accession,new_pool,old_pool,canonical,n_his,core_ok_new,best_ref,best_qtm,n_helix_ok,old_reason,a1_dist,a1_plddt,a1_helical,a1_sat,a2_dist,a2_plddt,a2_helical,a2_sat,a3_dist,a3_plddt,a3_helical,a3_sat,a4_dist,a4_plddt,a4_helical,a4_sat
B9VU65,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.826,3,core+cealign+floor_ok,4.19,55.3,1,0,0.33,96.1,1,1,0.54,98.8,1,1,0.31,98.5,1,1
A0A8H6KE22,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.777,3,core+cealign+floor_ok,3.79,52.7,1,0,0.45,88.3,1,1,0.23,96.8,1,1,0.34,96.1,1,1
A0AA39Q9J3,discarded,noncanonical,False,5,False,ref_PmTYR,0.672,3,core+cealign+floor_ok,1.91,66.5,1,0,0.32,96.0,1,1,0.56,96.4,1,1,0.35,98.0,1,1
A0A2H3SXS3,discarded,noncanonical,False,5,False,ref_PmTYR,0.662,3,core+cealign+floor_ok,0.51,93.7,1,1,0.39,94.9,1,1,0.23,92.1,1,1,3.16,70.1,0,0
A0AA39J8P7,discarded,noncanonical,False,4,False,ref_PmTYR,0.654,3,core+cealign+floor_ok,0.66,84.3,1,1,1.15,68.3,1,0,0.68,93.4,1,1,0.44,88.8,1,1
A0AA39NTJ8,discarded,noncanonical,False,4,False,ref_PmTYR,0.648,3,core+cealign+floor_ok,1.85,56.4,1,0,0.44,92.8,1,1,0.68,96.2,1,1,0.24,97.0,1,1
A0A365MY87,discarded,noncanonical,False,4,False,ref_PmTYR,0.64,3,core+cealign+floor_ok,0.26,81.2,1,1,3.77,51.7,1,0,0.66,96.1,1,1,0.18,94.1,1,1
A0A8H8SYG4,discarded,noncanonical,False,3,False,ref_PmTYR,0.639,2,core+cealign+floor_ok,3.33,58.3,1,0,1.88,37.4,1,0,0.46,98.0,1,1,0.77,95.7,1,1
A0A9P8S6I3,discarded,noncanonical,False,3,False,ref_PmTYR,0.629,3,core+cealign+floor_ok,1.73,86.9,1,1,1.74,83.2,1,1,0.93,88.6,1,1,1.61,67.1,1,0
A0A8H6CZQ6,discarded,noncanonical,False,3,False,ref_PmTYR,0.624,3,core+cealign+floor_ok,0.19,80.5,1,1,3.73,57.4,1,0,0.55,97.1,1,1,0.29,93.4,1,1
A0A9W6AV28,discarded,noncanonical,False,4,False,ref_PmTYR,0.622,3,core+cealign+floor_ok,0.51,85.7,1,1,3.22,56.0,1,0,0.59,93.7,1,1,0.49,90.5,1,1
A0A2G9H9E5,discarded,noncanonical,False,4,False,ref_1BT3_Ibatatas,0.615,3,core+cealign+floor_ok,1.89,82.6,1,1,3.11,43.0,1,0,0.23,96.8,1,1,0.27,92.5,1,1
A0A9P4NM41,discarded,noncanonical,False,4,False,ref_PmTYR,0.614,3,core+cealign+floor_ok,0.65,95.0,1,1,1.43,54.5,1,0,0.24,90.8,1,1,0.66,89.4,1,1
A0A830B0I8,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.608,3,core+cealign+floor_ok,0.17,89.6,1,1,0.09,94.5,1,1,0.41,64.4,1,0,0.29,94.7,1,1
A0A4Y7SLE9,discarded,noncanonical,False,2,False,ref_PmTYR,0.598,3,core+cealign+floor_ok,0.57,66.5,1,0,0.41,89.1,1,1,0.65,93.6,1,1,0.47,95.0,1,1
S0EA40,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.595,3,core+cealign+floor_ok,0.4,91.4,1,1,0.6,93.6,1,1,0.25,89.8,1,1,1.12,65.8,1,0
A0A8J5YYR4,discarded,noncanonical,False,3,False,ref_1BT3_Ibatatas,0.593,3,core+cealign+floor_ok,1.58,74.1,1,1,2.07,67.8,1,0,0.17,83.5,1,1,0.43,93.8,1,1
A0ABQ8FQ07,discarded,noncanonical,False,4,False,ref_PmTYR,0.592,3,core+cealign+floor_ok,0.4,72.7,1,1,5.45,58.5,0,0,0.39,93.7,1,1,0.42,92.2,1,1
A0ABR1RNS4,discarded,noncanonical,False,5,False,ref_PmTYR,0.592,3,core+cealign+floor_ok,1.32,61.0,0,0,0.28,94.4,1,1,0.48,95.4,1,1,0.26,97.5,1,1
A0AAE1CE31,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.59,3,core+cealign+floor_ok,0.49,84.2,0,0,0.22,93.4,1,1,0.18,70.7,1,1,0.17,91.9,1,1
H1V8W0,discarded,noncanonical,False,4,False,ref_PmTYR,0.589,3,core+cealign+floor_ok,0.37,86.7,1,1,2.87,59.3,0,0,0.38,95.6,1,1,0.59,94.0,1,1
A0AAD5CAK5,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.588,2,core+cealign+floor_ok,0.71,68.6,1,0,0.79,61.0,1,0,0.18,93.9,1,1,0.4,93.4,1,1
A0A8H6VAE7,discarded,noncanonical,False,5,False,ref_PmTYR,0.586,3,core+cealign+floor_ok,0.6,96.5,1,1,0.6,94.7,1,1,0.53,94.7,1,1,2.69,57.8,0,0
A0A0G4NU02,discarded,noncanonical,False,5,False,ref_PmTYR,0.583,3,core+cealign+floor_ok,0.57,93.3,1,1,0.51,95.4,1,1,0.32,93.5,1,1,1.61,52.4,1,0
W3XGL4,discarded,noncanonical,False,3,False,ref_PmTYR,0.581,2,core+cealign+floor_ok,1.26,76.8,1,1,0.29,86.5,1,1,1.11,68.5,1,0,3.2,49.1,1,0
A0A5C6SLG5,discarded,noncanonical,False,3,False,ref_PmTYR,0.578,2,core+cealign+floor_ok,2.1,67.4,1,0,1.2,61.9,1,0,0.42,97.9,1,1,0.42,94.4,1,1
A0A135TNR4,discarded,noncanonical,False,4,False,ref_PmTYR,0.576,3,core+cealign+floor_ok,0.94,94.9,1,1,1.94,65.4,1,0,0.78,97.5,1,1,0.17,94.6,1,1
A0A9P7H959,discarded,noncanonical,False,5,False,ref_PmTYR,0.575,3,core+cealign+floor_ok,2.64,68.5,1,0,0.52,96.2,1,1,0.69,98.8,1,1,0.65,96.5,1,1
H3CJD0,discarded,noncanonical,False,5,False,ref_PmTYR,0.575,3,core+cealign+floor_ok,0.49,85.0,1,1,0.38,86.1,1,1,0.33,79.6,1,1,0.51,68.8,1,0
A0A8H4VJZ4,discarded,noncanonical,False,5,False,ref_PmTYR,0.572,3,core+cealign+floor_ok,0.73,64.9,1,0,0.52,81.7,1,1,0.54,92.9,1,1,0.32,92.4,1,1
A0AA35MIP6,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.568,2,core+cealign+floor_ok,0.28,68.4,1,0,0.98,41.1,0,0,0.3,90.0,1,1,0.58,92.5,1,1
A0A0E0C8Q1,discarded,noncanonical,False,4,False,ref_1BT3_Ibatatas,0.567,3,core+cealign+floor_ok,1.04,83.2,1,1,2.28,69.0,1,0,0.24,90.3,1,1,0.51,92.2,1,1
A0A0C4EEL6,discarded,noncanonical,False,4,False,ref_PmTYR,0.566,3,core+cealign+floor_ok,0.2,96.0,1,1,0.37,96.8,1,1,2.86,49.5,1,0,0.36,94.3,1,1
H3CJD3,discarded,noncanonical,False,5,False,ref_PmTYR,0.566,3,core+cealign+floor_ok,0.39,93.3,1,1,0.34,92.8,1,1,0.29,87.9,1,1,3.55,58.4,1,0
A0AAN5Z3W8,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.563,2,core+cealign+floor_ok,0.86,71.0,0,0,1.87,56.1,1,0,0.32,91.0,1,1,0.43,91.8,1,1
A0A4U9EHQ3,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.562,2,core+cealign+floor_ok,0.85,71.5,0,0,1.87,56.8,1,0,0.32,91.1,1,1,0.44,91.9,1,1
A0A4R8TI16,discarded,noncanonical,False,4,False,ref_PmTYR,0.554,3,core+cealign+floor_ok,0.36,81.5,1,1,2.52,62.8,1,0,2.6,97.7,1,1,2.4,94.6,1,1
A0A9N9LHE3,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.554,3,core+cealign+floor_ok,0.54,95.8,0,0,0.44,98.5,1,1,0.38,97.7,1,1,0.62,98.8,1,1
A0ABQ9EDE6,discarded,noncanonical,False,4,False,ref_PmTYR,0.554,3,core+cealign+floor_ok,2.69,66.7,1,0,1.37,85.0,1,1,0.38,93.0,1,1,0.39,95.8,1,1
K3Y687,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.554,3,core+cealign+floor_ok,0.85,71.9,1,1,0.11,61.8,1,0,0.21,95.5,1,1,0.5,94.2,1,1
A0A0K9PZE6,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.553,3,core+cealign+floor_ok,1.57,68.3,1,0,0.2,96.7,1,1,0.14,98.2,1,1,0.19,98.5,1,1
A0A2U3E4P9,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.551,3,core+cealign+floor_ok,1.46,45.9,1,0,0.24,95.5,1,1,0.27,97.6,1,1,0.54,97.7,1,1
A0A9N9YKH8,discarded,noncanonical,False,3,False,ref_PmTYR,0.549,2,core+cealign+floor_ok,3.45,69.0,1,0,2.14,42.1,1,0,0.81,97.6,1,1,0.5,94.2,1,1
A0A9W9LNB7,discarded,noncanonical,False,4,False,ref_PmTYR,0.547,3,core+cealign+floor_ok,1.78,56.2,1,0,0.27,79.7,1,1,0.45,90.8,1,1,0.6,91.4,1,1
A0A066Y1V3,discarded,noncanonical,False,3,False,ref_2Y9W_Abisporus,0.541,2,core+cealign+floor_ok,0.44,81.0,0,0,0.85,62.1,1,0,0.18,92.6,1,1,0.72,93.9,1,1
A0AAE0HTN1,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.541,3,core+cealign+floor_ok,0.62,95.2,0,0,0.36,96.9,1,1,0.44,96.4,1,1,0.66,97.7,1,1
A0ABR1X726,discarded,noncanonical,False,4,False,ref_PmTYR,0.541,3,core+cealign+floor_ok,1.48,86.5,1,1,1.92,66.9,1,0,1.16,97.4,1,1,1.43,94.4,1,1
A0AAV6LBV0,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.54,3,core+cealign+floor_ok,0.5,75.8,1,1,3.31,52.0,0,0,0.16,94.7,1,1,0.45,93.6,1,1
A0A9Q1JNS3,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.534,3,core+cealign+floor_ok,1.04,89.8,1,1,0.39,93.8,1,1,0.76,83.0,1,1,0.31,67.5,1,0
L7J0V9,discarded,noncanonical,False,5,False,ref_PmTYR,0.534,3,core+cealign+floor_ok,2.1,56.5,1,0,0.3,96.3,1,1,0.99,96.6,1,1,0.3,97.8,1,1
A0A151TBD1,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.533,3,core+cealign+floor_ok,0.45,66.9,1,0,0.21,93.3,1,1,0.35,93.3,1,1,0.17,96.5,1,1
A0AA97NUK3,discarded,noncanonical,False,5,False,ref_PmTYR,0.533,3,core+cealign+floor_ok,2.62,54.0,1,0,0.32,96.3,1,1,0.9,96.5,1,1,0.31,97.8,1,1
A0A5J5NCV8,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.532,2,core+cealign+floor_ok,0.67,69.1,1,0,0.95,67.1,1,0,0.28,93.7,1,1,0.49,90.8,1,1
A0A177E0Q1,discarded,noncanonical,False,4,False,ref_PmTYR,0.531,3,core+cealign+floor_ok,1.09,89.6,1,1,2.57,52.4,0,0,0.66,96.3,1,1,0.36,94.9,1,1
A0A167KGF5,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.528,2,core+cealign+floor_ok,0.9,55.9,1,0,2.11,38.3,0,0,0.39,93.7,1,1,0.46,92.2,1,1
A0A5N5DLD5,discarded,noncanonical,False,5,False,ref_PmTYR,0.525,2,core+cealign+floor_ok,1.64,65.6,1,0,1.01,52.5,0,0,0.92,96.5,1,1,0.68,93.4,1,1
A0ABR2VB08,discarded,noncanonical,False,3,False,ref_PmTYR,0.525,3,core+cealign+floor_ok,1.58,71.5,1,1,2.63,55.0,0,0,0.86,97.1,1,1,0.51,92.5,1,1
A0A5D2CAK1,discarded,noncanonical,False,5,False,ref_5CE9_Jregia,0.524,2,core+cealign+floor_ok,0.86,69.1,1,0,1.25,66.3,1,0,0.3,94.2,1,1,0.48,91.5,1,1
A0A8H7LY65,discarded,noncanonical,False,3,False,ref_PmTYR,0.522,3,core+cealign+floor_ok,2.81,72.1,1,1,1.12,64.5,1,0,0.31,98.0,1,1,0.64,96.0,1,1
A0AAD6ZH33,discarded,noncanonical,False,3,False,ref_PmTYR,0.522,1,core+cealign+floor_ok,2.72,33.0,1,0,4.77,59.7,1,0,1.49,79.0,1,1,1.72,41.9,1,0
A0A167GD15,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.52,3,core+cealign+floor_ok,0.52,70.9,1,1,4.96,33.9,0,0,0.34,90.5,1,1,0.81,89.2,1,1
A0A0C4F9W5,discarded,noncanonical,False,5,False,ref_PmTYR,0.518,3,core+cealign+floor_ok,0.54,91.1,1,1,0.56,92.9,1,1,0.28,88.8,1,1,2.21,45.3,1,0
A0ACC0XMJ2,discarded,noncanonical,False,4,False,ref_5CE9_Jregia,0.518,3,core+cealign+floor_ok,0.59,75.3,1,1,2.59,60.2,1,0,0.4,91.8,1,1,0.47,91.2,1,1
W9CSJ2,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.517,3,core+cealign+floor_ok,0.28,84.9,1,1,1.49,56.5,1,0,0.47,91.0,1,1,0.42,88.5,1,1
A0A0A2VDR5,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.516,2,core+cealign+floor_ok,0.71,69.8,1,0,1.26,40.1,0,0,0.29,94.8,1,1,0.87,92.0,1,1
A0A179I3R8,discarded,noncanonical,False,4,False,ref_2Y9W_Abisporus,0.512,2,core+cealign+floor_ok,0.72,52.2,1,0,5.72,33.2,0,0,0.38,91.8,1,1,0.7,90.3,1,1
A0A1Y2DTS3,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.512,3,core+cealign+floor_ok,0.25,74.1,1,1,1.97,45.2,0,0,0.22,92.4,1,1,0.59,91.1,1,1
A0A8A3PKD0,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.512,3,core+cealign+floor_ok,0.5,87.3,0,0,0.43,94.7,1,1,0.37,97.0,1,1,0.52,97.9,1,1
A0A2J6R1Z2,discarded,noncanonical,False,5,False,ref_2Y9W_Abisporus,0.51,3,core+cealign+floor_ok,1.53,63.3,1,0,0.42,95.5,1,1,0.28,98.0,1,1,0.33,97.9,1,1
