query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A0G4L6X2	CVQH01008557	-10	0	64183	65547	+	CRK17448.1	BN1708_012056	hypothetical protein
A0A0G4L6X2	CVQH01008557	-9	0	65976	66689	+	CRK17449.1	BN1708_012057	hypothetical protein
A0A0G4L6X2	CVQH01008557	-8	0	67116	67566	-	CRK17451.1	BN1708_012058	hypothetical protein
A0A0G4L6X2	CVQH01008557	-7	0	69493	71256	+	CRK17453.1	BN1708_012059	hypothetical protein
A0A0G4L6X2	CVQH01008557	-6	0	70636	73648	-	CRK17454.1	BN1708_012060	hypothetical protein
A0A0G4L6X2	CVQH01008557	-5	0	76038	77195	+	CRK17455.1	BN1708_012061	hypothetical protein
A0A0G4L6X2	CVQH01008557	-4	0	78498	82197	+	CRK17456.1	BN1708_012062	hypothetical protein
A0A0G4L6X2	CVQH01008557	-3	0	83363	84242	-	CRK17457.1	BN1708_012063	hypothetical protein
A0A0G4L6X2	CVQH01008557	-2	0	88117	89302	-	CRK17458.1	BN1708_012064	hypothetical protein
A0A0G4L6X2	CVQH01008557	-1	0	93496	95482	-	CRK17459.1	BN1708_012065	hypothetical protein
A0A0G4L6X2	CVQH01008557	0	1	101320	102040	-	CRK17460.1	BN1708_012066	hypothetical protein
A0A0G4L6X2	CVQH01008557	1	0	105895	107576	+	CRK17461.1	BN1708_012067	hypothetical protein
A0A0G4L6X2	CVQH01008557	2	0	108592	109249	+	CRK17462.1	BN1708_012068	hypothetical protein
A0A0G4L6X2	CVQH01008557	3	0	109093	110996	-	CRK17463.1	BN1708_012069	hypothetical protein
A0A0G4L6X2	CVQH01008557	4	0	111889	112982	-	CRK17464.1	BN1708_012070	hypothetical protein
A0A0G4L6X2	CVQH01008557	5	0	114351	114788	+	CRK17465.1	BN1708_012071	hypothetical protein
A0A0G4L6X2	CVQH01008557	6	0	115075	115389	-	CRK17466.1	BN1708_012072	hypothetical protein
A0A0G4L6X2	CVQH01008557	7	0	118164	119108	+	CRK17467.1	BN1708_012073	hypothetical protein
A0A0G4L6X2	CVQH01008557	8	0	119260	120048	-	CRK17468.1	BN1708_012074	hypothetical protein
A0A0G4L6X2	CVQH01008557	9	0	120662	121904	-	CRK17469.1	BN1708_012075	hypothetical protein
A0A0G4L6X2	CVQH01008557	10	0	120962	121873	+	CRK17471.1	BN1708_012076	hypothetical protein
A0A0G4LPB5	CVQH01016224	-10	0	1843	6698	+	CRK23753.1	BN1708_013787	hypothetical protein
A0A0G4LPB5	CVQH01016224	-9	0	7045	8154	-	CRK23754.1	BN1708_013788	hypothetical protein
A0A0G4LPB5	CVQH01016224	-8	0	16152	17298	+	CRK23755.1	BN1708_013789	hypothetical protein
A0A0G4LPB5	CVQH01016224	-7	0	19686	19874	+	CRK23756.1	BN1708_013790	hypothetical protein
A0A0G4LPB5	CVQH01016224	-6	0	34455	35927	+	CRK23757.1	BN1708_013791	hypothetical protein
A0A0G4LPB5	CVQH01016224	-5	0	38825	39725	-	CRK23758.1	BN1708_013792	hypothetical protein
A0A0G4LPB5	CVQH01016224	-4	0	43577	44760	-	CRK23760.1	BN1708_013793	hypothetical protein
A0A0G4LPB5	CVQH01016224	-3	0	47307	48790	-	CRK23761.1	BN1708_013794	hypothetical protein
A0A0G4LPB5	CVQH01016224	-2	0	50897	51262	-	CRK23762.1	BN1708_013795	hypothetical protein
A0A0G4LPB5	CVQH01016224	-1	0	53452	54692	-	CRK23763.1	BN1708_013796	hypothetical protein
A0A0G4LPB5	CVQH01016224	0	1	61108	61951	-	CRK23764.1	BN1708_013797	hypothetical protein
A0A1F8A6I4	LYCR01000023	-10	0	123832	124889	+	OGM47495.1	ABOM_002574	hypothetical protein
A0A1F8A6I4	LYCR01000023	-9	0	128600	129501	-	OGM47388.1	ABOM_002575	NADPH dehydrogenase
A0A1F8A6I4	LYCR01000023	-8	0	130535	131781	-	OGM47497.1	ABOM_002576	hypothetical protein
A0A1F8A6I4	LYCR01000023	-7	0	133932	135023	+	OGM47496.1	ABOM_002577	putative monooxygenase
A0A1F8A6I4	LYCR01000023	-6	0	139174	140097	-	OGM47487.1	ABOM_002578	hypothetical protein
A0A1F8A6I4	LYCR01000023	-5	0	149099	153445	+	OGM47486.1	ABOM_002579	ATP-binding cassette transporter
A0A1F8A6I4	LYCR01000023	-4	0	153854	155326	+	OGM47394.1	ABOM_002580	hypothetical protein
A0A1F8A6I4	LYCR01000023	-3	0	155999	156724	-	OGM47395.1	ABOM_002581	hypothetical protein
A0A1F8A6I4	LYCR01000023	-2	0	157423	157734	-	OGM47396.1	ABOM_002582	protein phosphatase 1 regulatory inhibitor subunit 16A
A0A1F8A6I4	LYCR01000023	-1	0	159379	160288	+	OGM47397.1	ABOM_002583	hypothetical protein
A0A1F8A6I4	LYCR01000023	0	1	160502	161658	+	OGM47390.1	ABOM_002584	tyrosinase
A0A1F8A6I4	LYCR01000023	1	0	163828	164349	-	OGM47391.1	ABOM_002585	putative amino acid permease
A0A1F8A6I4	LYCR01000023	2	0	167353	168676	-	OGM47392.1	ABOM_002586	choline transport protein
A0A1F8A6I4	LYCR01000023	3	0	170173	170768	+	OGM47393.1	ABOM_002587	hypothetical protein
A0A1F8A6I4	LYCR01000023	4	0	173744	174539	-	OGM47398.1	ABOM_002588	hypothetical protein
