accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A024SD58						0
A0A099MZ46						0
A0A0A1YUC0						0
A0A0B2VUC6	6265		JPKZ01000912	KHN84575.1	Genomic_DNA	1
A0A0D2Y718						0
A0A0D3JSQ2	280463					0
A0A0D3JST8	280463					0
A0A0J9VNP9						0
A0A0M3K8B7	6269		UYRR01033250	VDK58265.1	Genomic_DNA	1
A0A0U1MAB1	28573		CVMT01000010	CRG91910.1	Genomic_DNA	1
A0A127I0D0						0
A0A136IUL0	196109		KQ964257	KXJ88670.1	Genomic_DNA	1
A0A167RCQ6						0
A0A183IVI7	241478		UZAM01010796	VDP13771.1	Genomic_DNA	1
A0A183UY55	6265					0
A0A1E3B9D8	573508		JXNT01000008	ODM17575.1	Genomic_DNA	1
A0A1E3V4Z2	1752398		LYBW01000065	ODR88525.1	Genomic_DNA	1
A0A1G9L3I7	430522		FNGY01000001	SDL56559.1	Genomic_DNA	1
A0A1G9LQ44	119000		FNGI01000005	SDL64050.1	Genomic_DNA	1
A0A1L5PR01						0
A0A1L9RUP8	1073089		KV878210	OJJ38661.1	Genomic_DNA	1
A0A1L9V3Y6	1160497		KV878930	OJJ78653.1	Genomic_DNA	1
A0A1N7U5H3	321846		CP007637	AIB36156.1	Genomic_DNA	1
A0A1S2TDC3						0
A0A1S3HAX8	7574					0
A0A1S3I9L8	7574					0
A0A1V6QQ78	416450		MDYN01000001	OQD91086.1	Genomic_DNA	1
A0A1V6T2W4	254877		MLQL01000016	OQE20627.1	Genomic_DNA	1
A0A249PKJ6	716928		CP023068	ASY66267.1	Genomic_DNA	1
A0A2A6B3L8	54126					0
A0A2A6C452	54126					0
A0A2H3GCF0						0
A0A2H3SVM4						0
A0A2I2G6A8	1392250		MSFO01000005	PLB48393.1	Genomic_DNA	1
A0A2J0YX98						0
A0A2N3N4T8	41688		NLAX01000701	PKS07412.1	Genomic_DNA	1
A0A2R2MNF5	7574					0
A0A2S9E9Y7	200451		PCQL01000037	PRC11704.1	Genomic_DNA	1
A0A2T4BLM2	58853		KZ680207	PTB70206.1	Genomic_DNA	1
A0A2T4BQX4	983965		KZ679146	PTB71694.1	Genomic_DNA	1
A0A2T4FKC8	1869229		MAUE01000026	OCW24568.1	Genomic_DNA	1
A0A2T6ZI61	42251		NESQ01000246	PUU75187.1	Genomic_DNA	1
A0A379ICC9						0
A0A395M9N5	2675880		PXXK01000476	RFN43983.1	Genomic_DNA	1
A0A395S4M8	694270		PXOG01000212	RGP67019.1	Genomic_DNA	1
A0A3L6MZC5						0
A0A3M8TNP8						0
A0A3N4IZV1	1336337		ML120498	RPA91406.1	Genomic_DNA	1
A0A3N4KYW5	1392247		ML119112	RPB15727.1	Genomic_DNA	1
A0A420NVL3						0
A0A420R194						0
A0A423FGB7						0
A0A4Q2VQ33						0
A0A4Z0AQA6	2293833		QUZT01000056	TFY88573.1	Genomic_DNA	1
A0A559KLZ0						0
A0A5B2UX14	129817		LT629800	SDU89586.1	Genomic_DNA	1
A0A5C6SHS5						0
A0A5N5XA86	41062		ML732166	KAB8077673.1	Genomic_DNA	1
A0A5N6ZG89	138285		ML739041	KAE8356243.1	Genomic_DNA	1
A0A5N7ABB3	61420		ML737622	KAE8365880.1	Genomic_DNA	1
A0A5N7CI82						0
A0A6A7AQI4	1408161		MU006380	KAF2844429.1	Genomic_DNA	1
A0A6J8CIJ4	42192		CACVKT020005607	CAC5396278.1	Genomic_DNA	1
A0A6J8CKE6	42192		CACVKT020005607	CAC5396281.1	Genomic_DNA	2
A0A6J8DL31	42192		CACVKT020007578	CAC5408635.1	Genomic_DNA	1
A0A7H8R1G7	121627		CP055900	QKX59521.1	Genomic_DNA	1
A0A7R7ZNQ8	182096		AP024419	BCR87542.1	Genomic_DNA	1
A0A7R9PVW4	1979941		CAJPIZ010000764	CAG2102235.1	Genomic_DNA	1
A0A7S0LHE4						0
A0A7W9ZFQ6	189		JACIIX010000001	MBB6209199.1	Genomic_DNA	1
A0A7X0J7C0						0
A0A7X1AU61	2724178		JAAXCZ010000029	MBC2385506.1	Genomic_DNA	1
A0A7Y1MNK6						0
A0A7Y8ELP5						0
A0A7Y8FG76						0
A0A7Y8G6M0						0
A0A812V5M0	878477		CAJNDS010002790	CAE7598404.1	Genomic_DNA	1
A0A8B6CGM7	29158		UYJE01001772	VDI04993.1	Genomic_DNA	1
A0A8B6CH58	29158		UYJE01001772	VDI04994.1	Genomic_DNA	1
A0A8B6FJF9	29158		UYJE01006915	VDI50193.1	Genomic_DNA	1
