protein_id	pfam
KRX22845	PF00250|Forkhead domain;PF00335|Tetraspanin family;PF00498|FHA domain
KRX22846	PF00250|Forkhead domain;PF00335|Tetraspanin family;PF00498|FHA domain
KRX22857	PF08551|Eukaryotic integral membrane protein (DUF1751)
KRX22858	PF06728|GPI transamidase subunit PIG-U
KRX22869	PF00198|2-oxoacid dehydrogenases acyltransferase (catalytic domain)
KRX22870	PF00198|2-oxoacid dehydrogenases acyltransferase (catalytic domain)
KRX22877	PF00351|Biopterin-dependent aromatic amino acid hydroxylase;PF10637|Oxoglutarate and iron-dependent oxygenase degradation C-term;PF13661|2OG-Fe(II) oxygenase superfamily
KRX22878	PF00351|Biopterin-dependent aromatic amino acid hydroxylase;PF10637|Oxoglutarate and iron-dependent oxygenase degradation C-term;PF13661|2OG-Fe(II) oxygenase superfamily
KRX22879	PF00351|Biopterin-dependent aromatic amino acid hydroxylase;PF10637|Oxoglutarate and iron-dependent oxygenase degradation C-term;PF13661|2OG-Fe(II) oxygenase superfamily
KRX22895	PF02115|RHO protein GDP dissociation inhibitor
KRX22897	PF00300|Histidine phosphatase superfamily (branch 1)
KRX22903	PF00498|FHA domain
KRX22904	PF00498|FHA domain
KRX22918	PF08123|Histone methylation protein DOT1
KRX22923	PF08784|Replication protein A C terminal
KRX22924	PF08784|Replication protein A C terminal
KRX22935	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRX22936	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRX22945	
KRX22949	PF00005|ABC transporter;PF12848|ABC transporter;PF26051|ABCF3, PWI-like helical bundle domain
KRX38125	PF08551|Eukaryotic integral membrane protein (DUF1751)
KRX38126	PF00498|FHA domain
KRX38127	PF05380|Pao retrotransposon-like RNaseH-like domain;PF18701|Family of unknown function (DUF5641)
KRX38128	PF02115|RHO protein GDP dissociation inhibitor
KRX38129	PF00300|Histidine phosphatase superfamily (branch 1)
KRX38137	
KRX38141	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRX38142	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRX38143	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRX38144	PF03564|Protein of unknown function (DUF1759)
KRX38146	PF06728|GPI transamidase subunit PIG-U
KRX38147	PF06728|GPI transamidase subunit PIG-U
KRX38149	PF00351|Biopterin-dependent aromatic amino acid hydroxylase;PF10637|Oxoglutarate and iron-dependent oxygenase degradation C-term;PF13661|2OG-Fe(II) oxygenase superfamily
KRX38150	PF00351|Biopterin-dependent aromatic amino acid hydroxylase;PF10637|Oxoglutarate and iron-dependent oxygenase degradation C-term;PF13661|2OG-Fe(II) oxygenase superfamily
KRX38152	
KRY21651	
KRY21652	PF08551|Eukaryotic integral membrane protein (DUF1751)
KRY21658	PF03564|Protein of unknown function (DUF1759)
KRY21663	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRY21664	PF00752|XPG N-terminal domain;PF00867|XPG I-region
KRY21667	PF00024|PAN domain;PF00264|Common central domain of tyrosinase
KRY21668	PF00024|PAN domain;PF00264|Common central domain of tyrosinase
KRY21711	PF00498|FHA domain
KRY21712	PF00498|FHA domain
