accession,failed_step,n_his,cu_dist
A0A010RV53,step5_his_coordination,5,3.84
A0A014N831,step5_his_coordination,5,3.74
A0A016W215,step5_his_coordination,3,27.72
A0A016W324,step5_his_coordination,3,17.28
A0A023GU59,step5_his_coordination,5,3.74
A0A024UGQ1,step5_his_coordination,4,24.93
A0A061GFI2,step5_his_coordination,3,5.36
A0A066RUA7,step5_his_coordination,5,4.18
A0A066X3Q1,step5_his_coordination,5,3.98
A0A066XSE1,step5_his_coordination,5,3.92
A0A067CT24,step5_his_coordination,3,24.39
A0A067CZT6,step5_his_coordination,5,4.41
A0A072Q6Y5,step5_his_coordination,5,4.02
A0A074RWE6,step5_his_coordination,3,4.18
A0A074S9M8,step5_his_coordination,5,3.84
A0A074SDG0,step5_his_coordination,3,4.38
A0A074VI76,step5_his_coordination,2,16.57
A0A074W682,step5_his_coordination,5,4.48
A0A074W6F3,step5_his_coordination,2,16.77
A0A074XND5,step5_his_coordination,1,24.39
A0A074YQS1,step5_his_coordination,2,29.61
A0A075AEH4,step5_his_coordination,5,4.17
A0A077YX65,step5_his_coordination,3,25.14
A0A077ZFE0,step5_his_coordination,1,36.57
A0A077ZGT3,step5_his_coordination,2,40.79
A0A080ZC48,step5_his_coordination,0,30.6
A0A080ZC49,step5_his_coordination,0,31.55
A0A080ZVP9,step5_his_coordination,4,21.66
A0A084AJL7,step5_his_coordination,5,3.71
A0A084GDW0,step5_his_coordination,2,38.07
A0A084R1I5,step5_his_coordination,5,3.71
A0A085M8H3,step5_his_coordination,3,40.98
A0A085NCJ6,step5_his_coordination,0,19.31
A0A086T0Z5,step5_his_coordination,4,5.29
A0A087UWG8,step5_his_coordination,2,15.74
A0A091EJM4,step5_his_coordination,5,3.34
A0A091IY37,step5_his_coordination,4,3.67
A0A091L9M2,step5_his_coordination,4,3.59
A0A091M3M6,step5_his_coordination,4,30.85
A0A091Q771,step5_his_coordination,4,3.59
A0A091TFJ5,step5_his_coordination,4,3.9
A0A091TMG5,step5_his_coordination,5,4.36
A0A093CQX0,step5_his_coordination,5,3.7
A0A093H736,step5_his_coordination,5,3.19
A0A093JA04,step5_his_coordination,4,4.02
A0A093R256,step5_his_coordination,5,3.49
A0A099ZQM2,step5_his_coordination,5,3.38
A0A0A2X4S5,step5_his_coordination,5,4.34
A0A0A7CM13,step5_his_coordination,4,4.02
A0A0A7CM93,step5_his_coordination,3,25.41
A0A0A7CMA7,step5_his_coordination,5,4.27
A0A0A7CN79,step5_his_coordination,5,4.21
A0A0A7CP65,step5_his_coordination,2,27.97
A0A0B2X1U6,step5_his_coordination,5,3.82
A0A0B7FL26,step5_his_coordination,3,4.06
A0A0C2HHH6,step5_his_coordination,3,17.29
A0A0C2WPB2,step5_his_coordination,4,5.06
A0A0C2XCT6,step5_his_coordination,5,4.45
A0A0C3B6I5,step5_his_coordination,5,3.94
A0A0C9SL04,step5_his_coordination,5,4.94
A0A0C9SRH3,step5_his_coordination,5,5.33
A0A0D2FU82,step5_his_coordination,5,4.12
A0A0D2M1N4,step5_his_coordination,3,26.23
A0A0D3HYU6,step5_his_coordination,4,4.23
A0A0D6LZL4,step5_his_coordination,5,4.17
A0A0D6M6M4,step5_his_coordination,4,24.55
A0A0D9NQW1,step5_his_coordination,5,3.79
A0A0F4GBJ7,step5_his_coordination,5,4.03
A0A0F5VAR5,step5_his_coordination,5,4.19
A0A0F8A4E9,step5_his_coordination,5,4.36
A0A0G2GB29,step5_his_coordination,4,5.17
A0A0G4IUF0,step5_his_coordination,1,23.6
A0A0G4N7R0,step5_his_coordination,5,3.79
A0A0K6G359,step5_his_coordination,3,13.89
A0A0K6G3H3,step5_his_coordination,3,13.4
A0A0K6GCM0,step5_his_coordination,3,11.39
A0A0L0NB41,step5_his_coordination,5,3.86
A0A0L0VSP3,step5_his_coordination,5,3.81
A0A0L0VSW2,step5_his_coordination,5,3.87
A0A0L6VTF1,step5_his_coordination,5,4.6
A0A0L8FGF3,step5_his_coordination,2,25.54
A0A0L8ICD6,step5_his_coordination,3,29.74
A0A0L8IDI7,step5_his_coordination,2,29.9
A0A0M3IG66,step5_his_coordination,5,3.55
A0A0M3IJ33,step5_his_coordination,3,3.96
A0A0N4SWM8,step5_his_coordination,5,3.5
A0A0P1ANE6,step5_his_coordination,1,35.13
A0A0R3QQ18,step5_his_coordination,5,3.63
A0A0R3RX42,step5_his_coordination,5,3.54
A0A0U1M3F3,step5_his_coordination,5,3.92
