query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A072P5W0	AMGV01000009	-10	0	315946	317418	+	KEF54653.1	A1O9_09095	hypothetical protein
A0A072P5W0	AMGV01000009	-9	0	319162	320464	+	KEF54654.1	A1O9_09096	hypothetical protein
A0A072P5W0	AMGV01000009	-8	0	321493	322665	+	KEF54655.1	A1O9_09097	hypothetical protein
A0A072P5W0	AMGV01000009	-7	0	324230	324565	-	KEF54656.1	A1O9_09098	hypothetical protein
A0A072P5W0	AMGV01000009	-6	0	326656	333256	-	KEF54657.1	A1O9_09099	hypothetical protein
A0A072P5W0	AMGV01000009	-5	0	339967	341577	+	KEF54658.1	A1O9_09100	hypothetical protein
A0A072P5W0	AMGV01000009	-4	0	341946	342540	-	KEF54659.1	A1O9_09101	hypothetical protein
A0A072P5W0	AMGV01000009	-3	0	344070	345326	-	KEF54660.1	A1O9_09102	hypothetical protein
A0A072P5W0	AMGV01000009	-2	0	346143	347078	+	KEF54661.1	A1O9_09103	hypothetical protein
A0A072P5W0	AMGV01000009	-1	0	347318	348007	-	KEF54662.1	A1O9_09104	adenylate cyclase
A0A072P5W0	AMGV01000009	0	1	349298	350425	-	KEF54663.1	A1O9_09105	hypothetical protein
A0A072P5W0	AMGV01000009	1	0	352868	354112	-	KEF54664.1	A1O9_09106	hypothetical protein
A0A072P5W0	AMGV01000009	2	0	355016	356191	+	KEF54665.1	A1O9_09107	hypothetical protein
A0A072P5W0	AMGV01000009	3	0	356870	357808	-	KEF54666.1	A1O9_09108	hypothetical protein
A0A072P5W0	AMGV01000009	4	0	358175	359974	+	KEF54667.1	A1O9_09109	pre-mRNA-processing protein 45
A0A072P5W0	AMGV01000009	5	0	360597	361463	+	KEF54668.1	A1O9_09110	hypothetical protein
A0A072P5W0	AMGV01000009	6	0	361830	362056	-	KEF54669.1	A1O9_09111	hypothetical protein
A0A072P5W0	AMGV01000009	7	0	363423	363733	-	KEF54670.1	A1O9_09112	hypothetical protein
A0A072P5W0	AMGV01000009	8	0	365808	367480	-	KEF54671.1	A1O9_09113	hypothetical protein
A0A072P5W0	AMGV01000009	9	0	367918	370650	+	KEF54672.1	A1O9_09114	hypothetical protein
A0A072P5W0	AMGV01000009	10	0	371529	373800	+	KEF54673.1	A1O9_09115	hypothetical protein
A0A072P8W8	AMGV01000006	-10	0	1338172	1342089	+	KEF56261.1	A1O9_07842	DNA repair protein RAD50
A0A072P8W8	AMGV01000006	-9	0	1344068	1344885	+	KEF56262.1	A1O9_07843	hypothetical protein
A0A072P8W8	AMGV01000006	-8	0	1346767	1348332	-	KEF56263.1	A1O9_07844	hypothetical protein
A0A072P8W8	AMGV01000006	-7	0	1349435	1351489	+	KEF56264.1	A1O9_07845	hypothetical protein
A0A072P8W8	AMGV01000006	-6	0	1352762	1353932	-	KEF56265.1	A1O9_07846	high-affinity iron transporter
A0A072P8W8	AMGV01000006	-5	0	1355943	1357101	+	KEF56266.1	A1O9_07847	hypothetical protein
A0A072P8W8	AMGV01000006	-4	0	1358832	1360688	-	KEF56267.1	A1O9_07848	hypothetical protein
A0A072P8W8	AMGV01000006	-3	0	1361325	1363076	+	KEF56268.1	A1O9_07849	hypothetical protein
A0A072P8W8	AMGV01000006	-2	0	1364386	1366365	+	KEF56269.1	A1O9_07850	CNT family concentrative nucleoside transporter
A0A072P8W8	AMGV01000006	-1	0	1367796	1369251	+	KEF56270.1	A1O9_07851	hypothetical protein
A0A072P8W8	AMGV01000006	0	1	1369783	1370916	-	KEF56271.1	A1O9_07852	hypothetical protein
