accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A098SBM4	1524460		JPOS01000004	KGE89576.1	Genomic_DNA	1
A0A0L0W3I3	1165861		AJIL01000004	KNF06113.1	Genomic_DNA	1
A0A0L6VMV5	27349		LAVV01003799	KNZ61897.1	Genomic_DNA	1
A0A212C521	46360		MKHE01000029	OWK01087.1	Genomic_DNA	1
A0A284RJ44	47428		FUEG01000009	SJL08784.1	Genomic_DNA	1
A0A2B4RIN6	50429		LSMT01000422	PFX18254.1	Genomic_DNA	1
A0A2B4RKW6	50429		LSMT01000422	PFX18251.1	Genomic_DNA	1
A0A2B4RN75	50429		LSMT01000422	PFX18249.1	Genomic_DNA	1
A0A2B4RNC9	50429		LSMT01000398	PFX18676.1	Genomic_DNA	1
A0A2B4RPF7	50429		LSMT01000398	PFX18679.1	Genomic_DNA	1
A0A2B4RQ59	50429		LSMT01000398	PFX18680.1	Genomic_DNA	1
A0A2B4RQQ5	50429		LSMT01000398	PFX18677.1	Genomic_DNA	1
A0A2B4SFS2	50429		LSMT01000098	PFX27670.1	Genomic_DNA	1
A0A2B4SG55	50429		LSMT01000103	PFX27425.1	Genomic_DNA	1
A0A2B4STS7	50429		LSMT01000006	PFX34084.1	Genomic_DNA	1
A0A2H3C2Z9	1076256		KZ293426	PBK70513.1	Genomic_DNA	1
A0A2N5SR99	200324		PGCJ01000887	PLW15765.1	Genomic_DNA	1
A0A2N5UIA0						0
A0A2N5VYB5	200324		PGCJ01000038	PLW54978.1	Genomic_DNA	1
A0A2S4VAI6	27350		PKSM01000158	POW06485.1	Genomic_DNA	1
A0A2S4VYL5	27350		PKSL01000017	POW14576.1	Genomic_DNA	1
A0A3B0YDV7						0
A0A3M6TCS2	46731		RCHS01003857	RMX39153.1	Genomic_DNA	1
A0A3M6U071	46731		RCHS01002511	RMX47007.1	Genomic_DNA	1
A0A3M6UE86	46731		RCHS01001709	RMX51879.1	Genomic_DNA	1
A0A3M6UM69	46731		RCHS01001212	RMX54732.1	Genomic_DNA	1
A0A3M6UP51	46731		RCHS01001065	RMX55401.1	Genomic_DNA	1
A0A3M6UR97	46731		RCHS01000895	RMX56180.1	Genomic_DNA	1
A0A3M6URF3	46731		RCHS01000895	RMX56179.1	Genomic_DNA	1
A0A5B0M872	56615		VSWC01000158	KAA1073357.1	Genomic_DNA	1
A0A5B0PDE5	56615		VSWC01000145	KAA1076529.1	Genomic_DNA	1
A0A643BP73	9770		SGJD01006520	KAB0389772.1	Genomic_DNA	1
A0A6P8HAX5	6105					0
A0A6P8HXM1	6105					0
A0A6P8I080	6105					0
A0A6P8I0S2	6105					0
A0A6P8I583	6105					0
A0A6P8IFD5	6105					0
A0A6P8IFJ7	6105					0
A0A6P8ITZ4	6105					0
A0A6P8IWU9	6105					0
A0A6P8IXP5	6105					0
A0A6P8IXU5	6105					0
A0A6S7GH91	317549		CACRXK020001397	CAB3988872.1	Genomic_DNA	1
A0A6S7H2E1	317549		CACRXK020002940	CAB3996759.1	Genomic_DNA	1
A0A6S7H6Z2	317549		CACRXK020003684	CAB3999846.1	Genomic_DNA	1
A0A6S7HJV0	317549		CACRXK020004952	CAB4004609.1	Genomic_DNA	1
A0A6S7IGK9	317549		CACRXK020009051	CAB4016273.1	Genomic_DNA	1
A0A6S7IY75	317549		CACRXK020006749	CAB4010322.1	Genomic_DNA	1
A0A6S7JHU5	317549		CACRXK020009051	CAB4016272.1	Genomic_DNA	1
A0A6U1NCL5						0
A0A7D9ED42	317549		CACRXK020005451	CAB4006231.1	Genomic_DNA	1
A0A7D9HKT2	317549		CACRXK020000799	CAB3984903.1	Genomic_DNA	1
A0A7D9IRV5	317549		CACRXK020008826	CAB4015742.1	Genomic_DNA	1
A0A7D9IU48	317549		CACRXK020007898	CAB4013469.1	Genomic_DNA	1
A0A7D9IUI2	317549		CACRXK020007898	CAB4013470.1	Genomic_DNA	1
A0A7D9J4R1	317549		CACRXK020011669	CAB4021861.1	Genomic_DNA	1
A0A7D9J5S3	317549		CACRXK020012031	CAB4022546.1	Genomic_DNA	1
A0A7J7EAG6	77932		JACDTQ010003801	KAF5912792.1	Genomic_DNA	1
A0A7M5U0C1	252671					0
A0A7M6DMJ9	252671					0
A0A7M6DMK7	252671					0
A0A7M6DQ32	252671					0
A0A8C4YB85	1825980					0
A0A8C6UF35	47308					0
A0A8J6AKY6	202257		JAGFMF010011478	KAG8521311.1	Genomic_DNA	1
A0A913WQ01	2652724					0
A0A913WWA6	2652724					0
A0A913X4H6	2652724					0
A0A913XDR8	2652724					0
A0A913XUE8	2652724					0
A0A913XUF7	2652724					0
A0A913Y9Y4	2652724					0
A0A913YC92	2652724					0
A0A913YCG3	2652724					0
A0A913YCI0	2652724					0
A0A913YDR0	2652724					0
A0A913YE43	2652724					0
A0A913YST3	2652724					0
A0A9P6NP50	708437		MU167217	KAG0150690.1	Genomic_DNA	1
A0A9P6NUP1	708437		MU167217	KAG0150692.1	Genomic_DNA	1
A0A9Q3E4W3	1389203		AVOT02023760	MBW0514008.1	Genomic_DNA	1
A0A9W8YXX2	1191159		JAPEVB010000002	KAJ4393393.1	Genomic_DNA	1
A0A9W9YWR8	174260		MU826855	KAJ7370850.1	Genomic_DNA	1
A0A9W9YWV3	174260		MU826855	KAJ7370851.1	Genomic_DNA	1
A0A9W9ZU34	174260		MU825873	KAJ7387500.1	Genomic_DNA	1
A0A9X0CDF4	174260		MU827804	KAJ7326089.1	Genomic_DNA	1
A0AA39JBC8	47425		JAUEPT010000039	KAK0439199.1	Genomic_DNA	1
A0AAD9Q3A2	6130		JARQWQ010000075	KAK2553749.1	Genomic_DNA	1
A0AAD9QB75	6130		JARQWQ010000046	KAK2558116.1	Genomic_DNA	1
A0AAU9WDB8	46732		CALNXJ010000013	CAH3113064.1	Genomic_DNA	1
A0AAU9WFJ4	46732		CALNXJ010000013	CAH3113066.1	Genomic_DNA	1
A0AAU9WFM1	46732		CALNXJ010000013	CAH3113068.1	Genomic_DNA	1
A0AAU9WGN4	46732		CALNXJ010000012	CAH3110206.1	Genomic_DNA	1
A0AAU9WHW5	46732		CALNXJ010000013	CAH3113077.1	Genomic_DNA	1
A0AAU9WI44	46732		CALNXJ010000013	CAH3111982.1	Genomic_DNA	1
A0AAU9WPB8	46732		CALNXJ010000018	CAH3121124.1	Genomic_DNA	1
A0AAU9WPJ8	46732		CALNXJ010000018	CAH3121127.1	Genomic_DNA	1
A0AAU9Y0L2	46732		CALNXJ010000080	CAH3161463.1	Genomic_DNA	1
