accession	n_neighbours	n_ustya	closest_ustya	n_melc1	has_TF_fungal	has_TF_bacterial	has_transporter	has_P450	has_OMT	has_biosynthetic	bgc_context	bgc_old
A0A0G4L6X2	20	0		0	0	0	1	0	0	0	none	none
A0A0G4LPB5	10	0		0	0	0	1	0	0	0	none	none
A0A1F8A6I4	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A1G7JAM5	11	0		0	0	0	0	0	0	0	none	none
A0A1G7K2Z2	20	0		0	0	0	0	0	0	0	none	none
A0A1M6NA87	6	0		0	0	0	0	0	0	0	none	none
A0A285MR25	20	0		0	0	0	0	0	0	0	none	none
A0A2V1CZI9	1	0		0	0	0	0	0	0	0	none	none
A0A2Z4LVM5	20	0		0	0	0	0	0	0	0	none	none
A0A316L4G5	11	0		0	0	0	0	0	0	0	none	none
A0A317UZS7	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A317WBK9	18	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A318ZGW2	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A319AVK5	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A319E1L0	19	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A319EJ46	20	2	1	0	1	0	1	0	0	1	UstYa_cluster	UstYa_cluster
A0A397H284	20	0		0	0	0	1	0	0	0	none	none
A0A3A1NL96	20	0		0	0	0	0	0	0	1	none	none
A0A3E2GYC9	13	1	2	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A3F3PSP3	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A3M9YDG5	20	0		0	0	0	1	0	0	0	none	none
A0A401L788	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A439CYQ7	11	0		0	0	0	1	0	0	0	none	none
A0A4Z1P5A9	20	0		0	1	0	0	1	0	0	BGC_accessory	BGC_accessory
A0A517KXT5	20	0		0	0	0	0	1	0	0	none	none
A0A5N5IZL2	20	0		0	0	0	0	0	0	1	none	none
A0A5N5X5Y0	20	0		0	0	0	1	0	1	0	BGC_accessory	BGC_accessory
A0A5N6D8B2	20	5	5	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A5N6EDE4	12	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A5N6JAD3	20	5	6	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A5N6U4R0	20	0		0	1	0	1	0	0	1	BGC_accessory	BGC_accessory
A0A5N6VBP0	20	1	4	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A5N6WAL7	20	2	9	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A5N6X0X6	20	5	3	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A5N7AN97	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A5N7AYA5	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A6P0UFZ0	20	0		0	0	0	0	0	0	0	none	none
A0A7C8MWQ0	20	0		0	0	0	1	0	0	0	none	none
A0A7H8R8H9	20	2	1	0	1	0	1	0	0	1	UstYa_cluster	UstYa_cluster
A0A7U2MHQ4	20	6	5	0	1	0	1	0	0	0	UstYa_cluster	UstYa_cluster
A0A8G1QQX9	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A8H3FYE1	10	0		0	0	0	0	0	0	1	none	none
A0A8H3G6G5	17	0		0	1	0	0	0	1	0	BGC_accessory	BGC_accessory
A0A8H3WCH4	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A8H4CL76	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A8H6E1Q8	9	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A8H6P259	14	0		0	0	0	1	0	0	0	none	none
A0A8J2X377	20	0		0	0	0	0	0	0	0	none	none
A0A8K0J8J2	10	1	4	0	1	0	0	0	0	1	UstYa_cluster	UstYa_cluster
A0A934KPH0	2	0		0	0	0	0	0	0	0	none	none
A0A964TAH5	20	0		0	0	0	0	0	0	0	none	none
A0A9P5K8I6	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A9P7NE30	3	0		0	0	0	0	0	0	0	none	none
A0A9P8YGS0	20	0		0	1	0	0	0	0	0	none	none
A0A9P8YJY5	20	0		0	1	0	0	0	0	1	BGC_accessory	none
A0A9P9AFP1	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A9P9BVC7	20	0		0	0	0	1	0	0	1	BGC_accessory	none
A0A9P9DY84	20	0		0	1	0	0	0	1	0	BGC_accessory	BGC_accessory
A0A9P9IDE3	20	0		0	1	0	0	0	0	0	none	none
A0A9W4S0R7	3	0		0	0	0	0	0	0	0	none	none
A0A9W8ABZ6	20	0		0	0	0	0	0	0	1	none	none
A0A9W8BH04	12	0		0	0	0	0	0	0	0	none	none
A0A9W8N878	2	0		0	0	0	0	0	0	0	none	none
A0AA39MWI5	20	0		0	1	0	0	0	0	0	none	none
A0AA39P123	16	0		0	0	0	0	0	0	0	none	none
A0AA39QMY4	20	0		0	0	0	0	0	0	0	none	none
A0AA39WW28	20	0		0	0	0	0	0	0	0	none	none
A0AA40F7V3	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0AA40JYG4	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0AA48HBG1	20	0		0	0	0	0	0	0	0	none	none
A0AAD4PWA9	20	4	1	0	1	0	1	0	0	1	UstYa_cluster	UstYa_cluster
A0AAD9ENP9	11	0		0	1	0	0	0	0	0	none	none
A0AAE8N352	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0AAJ0H0A0	20	0		0	0	0	0	0	0	0	none	none
A0AAN6XU13	3	0		0	0	0	0	0	0	0	none	none
A0AAN7UQF6	14	0		0	0	0	0	0	0	0	none	none
A0AAN8I1Q1	20	1	1	0	0	0	0	1	0	0	UstYa_cluster	UstYa_cluster
A0AAV9GQZ8	20	1	2	0	1	0	0	1	0	0	UstYa_cluster	UstYa_cluster
A0AAW0QU21	20	0		0	1	0	0	0	0	1	BGC_accessory	none
A0ABQ0GEZ1	20	0		0	0	0	0	1	0	0	none	none
A0ABQ6X2C6	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0ABR0REJ7	20	1	1	0	0	0	0	1	0	0	UstYa_cluster	UstYa_cluster
A0ABR1Q1Z9	20	0		0	0	0	0	0	0	0	none	none
A0ABR1RZG1	20	0		0	0	0	0	0	0	0	none	none
A0ABR1VKF8	20	0		0	0	0	0	0	0	0	none	none
A0ABR1VWS6	20	0		0	1	0	0	0	0	0	none	none
A0ABR2JIV1	20	0		0	1	0	0	0	0	0	none	none
A0ABU2WI91	17	0		0	0	0	0	0	0	0	none	none
A0ABU3LA82	20	0		0	0	0	0	0	0	0	none	none
A0ABV8PKK5	20	0		0	0	0	0	0	0	0	none	none
A0ABW4XUU2	20	0		0	0	0	0	0	0	0	none	none
A0ABY6UQ04	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0ACC1HST6	1	0		0	0	0	0	0	0	0	none	none
A0ACC2JU58	5	0		0	0	0	1	0	0	0	none	none
A0ACC3AFN8	20	1	1	0	0	0	0	0	0	0	UstYa_cluster	UstYa_cluster
A0ACD1IDW1	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
E6X453	20	0		0	0	0	0	0	0	0	none	none
G2X9U2	20	0		0	0	0	1	0	0	0	none	none
L2G1G8	20	0		0	0	0	0	0	0	0	none	none
M7SWL2	20	0		0	0	0	0	0	0	0	none	none
Q2U7F6	20	4	3	0	1	0	0	0	0	0	UstYa_cluster	UstYa_cluster
