accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A080ZC48						0
A0A080ZC49						0
A0A0A7CP65	1202772		JNBR01001475	OQR86922.1	Genomic_DNA	1
A0A0P1ANE6	4781		CCYD01000645	CEG42541.1	Genomic_DNA	1
A0A0W8AY19						0
A0A0W8DAM1						0
A0A1V9YE51	74557		JNBS01004173	OQR83990.1	Genomic_DNA	1
A0A1V9Z4B6	1202772		JNBR01000437	OQR92863.1	Genomic_DNA	1
A0A329SB08	29920		MJFZ01000223	RAW33841.1	Genomic_DNA	1
A0A3F2RYX7						0
A0A3M6VLC9	542832		QLLG01000173	RMX67187.1	Genomic_DNA	1
A0A3R6YR15	157072		QUSY01003588	RHY16984.1	Genomic_DNA	1
A0A3R7FX46	325452		MBDN02000092	RLN80989.1	Genomic_DNA	1
A0A425CLB8						0
A0A485KPS2	120398		CAADRA010005211	VFT87074.1	Genomic_DNA	1
A0A6A3FBU7	53985		QXGB01000258	KAE9222278.1	Genomic_DNA	1
A0A6A4G489	129364		QXFT01000192	KAE9351435.1	Genomic_DNA	1
A0A833WLV2	4787		WSZM01000125	KAF4041390.1	Genomic_DNA	1
A0A8J4W827						0
A0A8J5IZX1	2496075		JAENGY010000208	KAG6969479.1	Genomic_DNA	1
A0A8T1W6M6	221518		JAGDFM010000062	KAG7388348.1	Genomic_DNA	1
A0A8T1WU85	109152		JAGDFL010000129	KAG7397026.1	Genomic_DNA	1
A0A976IE71	4779		SHOA02000019	TDH68461.1	Genomic_DNA	1
A0A9W6UBD6	2077276		BSXW01000746	GMF28931.1	Genomic_DNA	1
A0AAD9GMI7	4793		JASMQC010000012	KAK1941312.1	Genomic_DNA	1
A0AAU9KU22	622444		CAKLCB010000264	CAH0518589.1	Genomic_DNA	1
A0AAV0UD10						0
A0AAV0UFB5	162125		CANTFL010001264	CAI5735517.1	Genomic_DNA	1
A0AAV0UHU3	86335		CANTFM010001124	CAI5735345.1	Genomic_DNA	1
A0AAV0V041	162125		CANTFL010001446	CAI5740931.1	Genomic_DNA	1
A0AAV1T0B6						0
A0ABD3FX43	2107226		JBIMZQ010000007	KAL3670250.1	Genomic_DNA	1
A0ABN8C0W3	134698		CAKLBC010000527	CAH0486806.1	Genomic_DNA	1
A0ABN8CNH4	622444		CAKLCB010000014	CAH0513506.1	Genomic_DNA	1
A0ACC0W512	230839		CM047583	KAI9913250.1	Genomic_DNA	1
D0NAA1	403677		DS028130	EEY54759.1	Genomic_DNA	1
G4Z7X0	1094619		JH159153	EGZ22505.1	Genomic_DNA	1
H3GEM4	164328					0
M4C6D4	559515					0
T0PU14	1156394		JH767257	EQC25741.1	Genomic_DNA	1
V9E917	1317065		ANIZ01003133	ETI35466.1	Genomic_DNA	1
V9EB77	1317065		ANIZ01003133	ETI35467.1	Genomic_DNA	1
W2I6U4						0
W2I6Y9						0
W2KB90						0
W2MH14						0
W2PMT3						0
W2PPJ1						0
W2W5P6						0
W2W6T1						0
W2YEN6						0
W2YF51						0
