accession	group	subgroup
A0A062U9V8	canonical_novelty	Glu195_I
A0A062U9V8	canonical_novelty	His230_F
A0A062U9V8	canonical_novelty	Phe65_Y
A0A066Z0K1	canonical_novelty	Glu195_I
A0A066Z0K1	canonical_novelty	His230_F
A0A098SBM4	canonical_novelty	Glu195_R
A0A098SBM4	canonical_novelty	His230_F
A0A098SBM4	canonical_novelty	Val218_S
A0A098YAD9	canonical_novelty	His230_T
A0A099MZ46	canonical_novelty	His230_Y
A0A0A0B9F3	canonical_novelty	Phe227_V
A0A0A0B9F3	canonical_novelty	Val218_S
A0A0A0F2E9	canonical_novelty	Asn205_F
A0A0A1YUC0	canonical_novelty	His230_Y
A0A0A2WKA0	canonical_novelty	Glu195_D
A0A0A3XNH3	canonical_novelty	Glu195_D
A0A0A3XNH3	canonical_novelty	His230_I
A0A0A6UH53	canonical_novelty	Val218_R
A0A0A6UH99	canonical_novelty	Val218_R
A0A0A6UK08	canonical_novelty	Val218_R
A0A0B5EPG7	canonical_novelty	Gly46_Y
A0A0C1NKB8	canonical_novelty	His230_I
A0A0D0NEG3	canonical_novelty	Glu195_I
A0A0D0NEG3	canonical_novelty	His230_F
A0A0D8ZXW9	canonical_novelty	Val218_S
A0A0F4JVR7	canonical_novelty	Gly46_L
A0A0F4XVI2	canonical_novelty	Glu195_I
A0A0F4XVI2	canonical_novelty	His230_F
A0A0F4XVI2	canonical_novelty	Phe65_Y
A0A0G3BQ28	canonical_novelty	Glu195_K
A0A0G3BQ28	canonical_novelty	Phe227_V
A0A0H3HYW4	canonical_novelty	Gly46_W
A0A0J6H4S8	canonical_novelty	Val218_S
A0A0J7Z2T4	canonical_novelty	His230_V
A0A0K1ZKE1	canonical_novelty	Gly46_D
A0A0N9HUR6	canonical_novelty	Gly46_L
A0A0S4LNR0	canonical_novelty	Gly46_A
A0A0S4TX46	canonical_novelty	Gly46_D
A0A0S4U8D6	canonical_novelty	Gly46_D
A0A0W7WYA7	canonical_novelty	Gly46_I
A0A101J743	canonical_novelty	His230_V
A0A117NXX7	canonical_novelty	His230_V
A0A117PT81	canonical_novelty	Gly46_Y
A0A124I005	canonical_novelty	Gly46_Y
A0A124I9G6	canonical_novelty	His230_V
A0A127I0D0	canonical_novelty	His230_Y
A0A139X072	canonical_novelty	His230_I
A0A150X4H6	canonical_novelty	His230_F
A0A158FM56	canonical_novelty	Gly46_H
A0A158GFY2	canonical_novelty	Gly46_H
A0A158GQ64	canonical_novelty	Gly46_H
A0A158IB94	canonical_novelty	Gly46_H
A0A158JMF3	canonical_novelty	Val218_S
A0A158L420	canonical_novelty	Val218_S
A0A166PW93	canonical_novelty	Val218_S
A0A1B1M2R3	canonical_novelty	Gly46_I
A0A1C3Y9U9	canonical_novelty	Val218_E
A0A1D7YL38	canonical_novelty	Gly46_I
A0A1D8P699	canonical_novelty	Val218_S
A0A1D8TVF9	canonical_novelty	Glu195_I
A0A1D9LLW6	canonical_novelty	Glu195_D
A0A1E3V4Z2	canonical_novelty	His230_Y
A0A1G5ZDT2	canonical_novelty	Glu195_D
A0A1G5ZDT2	canonical_novelty	His230_V
A0A1G5ZXY5	canonical_novelty	Glu195_D
A0A1G5ZXY5	canonical_novelty	His230_V
A0A1G6RZ21	canonical_novelty	His230_F
A0A1G6US90	canonical_novelty	Val218_E
A0A1G7EV08	canonical_novelty	His230_V
A0A1G7EVK2	canonical_novelty	Asn205_R
A0A1G7JAM5	canonical_novelty	Asn205_R
A0A1G7K2Z2	canonical_novelty	Asn205_R
A0A1G9L3I7	canonical_novelty	Glu195_I
A0A1G9L3I7	canonical_novelty	His230_Y
A0A1G9LEN0	canonical_novelty	His230_M
A0A1G9LQ44	canonical_novelty	His230_Y
A0A1G9R0Y5	canonical_novelty	Phe227_V
A0A1H1Q0J6	canonical_novelty	Arg209_E
A0A1H1Q0J6	canonical_novelty	Trp68_V
A0A1H1YK07	canonical_novelty	Val218_R
A0A1H3CW61	canonical_novelty	His230_F
A0A1H3PKM2	canonical_novelty	Arg209_C
A0A1H3SYD2	canonical_novelty	His230_W
A0A1H3SYD2	canonical_novelty	Trp68_G
A0A1H7NHR1	canonical_novelty	Val218_S
A0A1H7NPW0	canonical_novelty	Glu195_S
A0A1H7NPW0	canonical_novelty	Gly46_A
A0A1H8KQ84	canonical_novelty	His230_I
A0A1H9F825	canonical_novelty	Phe227_V
A0A1H9TR89	canonical_novelty	Gly46_T
A0A1H9TR89	canonical_novelty	Val218_S
A0A1I0DNM4	canonical_novelty	Arg209_C
A0A1I2GNX2	canonical_novelty	Val218_R
A0A1I2J207	canonical_novelty	Arg209_P
A0A1I2J207	canonical_novelty	His230_F
A0A1I4MA92	canonical_novelty	Glu195_D
A0A1I4MA92	canonical_novelty	His230_I
A0A1I4XEP0	canonical_novelty	Arg209_C
A0A1I4XKW7	canonical_novelty	Arg209_C
A0A1I4YET0	canonical_novelty	Val218_S
A0A1I6M5T1	canonical_novelty	Glu195_D
A0A1I6M5T1	canonical_novelty	His230_I
A0A1I7G4D1	canonical_novelty	Arg209_C
A0A1K0GCJ9	canonical_novelty	Val218_R
A0A1L3FF99	canonical_novelty	Glu195_D
A0A1L3FF99	canonical_novelty	His230_I
A0A1L5PBE2	canonical_novelty	Val218_E
A0A1L5PR01	canonical_novelty	His230_Y
A0A1L9B3D7	canonical_novelty	Val218_S
A0A1M5KSP5	canonical_novelty	Gly46_Y
A0A1M6FXH1	canonical_novelty	Phe227_V
A0A1M6NA87	canonical_novelty	Asn205_R
A0A1M6UBL7	canonical_novelty	His230_F
A0A1M6UZM2	canonical_novelty	Gly46_H
A0A1M7BKJ4	canonical_novelty	Arg209_C
A0A1M7UXB1	canonical_novelty	Arg209_P
A0A1M7UXB1	canonical_novelty	Gly46_E
A0A1M7UXB1	canonical_novelty	His230_F
A0A1N6GWC1	canonical_novelty	Glu195_I
A0A1N6GWC1	canonical_novelty	His230_F
A0A1N6GWC1	canonical_novelty	Phe65_Y
A0A1N7U5H3	canonical_novelty	His230_Y
A0A1Q4V843	canonical_novelty	Val218_S
A0A1Q4V9C0	canonical_novelty	Val218_S
A0A1R4H7B9	canonical_novelty	Arg209_C
A0A1R4HGF1	canonical_novelty	Val218_R
A0A1S1QQN5	canonical_novelty	Val218_S
A0A1S1RLQ1	canonical_novelty	Val218_S
A0A1S1U863	canonical_novelty	His230_F
A0A1S2PQK3	canonical_novelty	Arg209_H
A0A1S2TDC3	canonical_novelty	His230_Y
A0A1U9VPE0	canonical_novelty	Gly46_D
A0A1U9ZYN5	canonical_novelty	Phe227_V
A0A1V0UF35	canonical_novelty	Val218_S
A0A1V2UT19	canonical_novelty	Arg209_C
A0A1W2FQF9	canonical_novelty	Phe227_V
A0A1W6SPL1	canonical_novelty	Val218_S
A0A1W6SQT2	canonical_novelty	Arg209_C
A0A1Y2JMB7	canonical_novelty	Glu195_D
A0A1Y2JMB7	canonical_novelty	His230_I
A0A1Y2LAB1	canonical_novelty	Glu195_N
A0A1Y3CKL6	canonical_novelty	Arg209_C
A0A1Y5XJS9	canonical_novelty	Gly46_L
A0A1Y6CW86	canonical_novelty	Glu195_D
A0A1Y6CW86	canonical_novelty	Gly46_L
A0A1Z4C3I1	canonical_novelty	Glu195_D
A0A1Z4C3I1	canonical_novelty	His230_I
A0A1Z4C3W5	canonical_novelty	Arg209_C
A0A1Z4LKJ3	canonical_novelty	His230_I
A0A1Z4LU81	canonical_novelty	Asn205_V
A0A1Z4LU81	canonical_novelty	His230_T
A0A202B6Z1	canonical_novelty	Glu195_D
A0A221NXB2	canonical_novelty	Gly46_Y
A0A221P6L7	canonical_novelty	Gly46_I
A0A238URH8	canonical_novelty	Glu195_D
A0A239B9T9	canonical_novelty	His230_F
A0A248JNQ9	canonical_novelty	Gly46_A
A0A248JNQ9	canonical_novelty	His230_F
A0A248JZS5	canonical_novelty	Arg209_C
A0A249PKJ6	canonical_novelty	His230_Y
A0A250J906	canonical_novelty	Val218_S
A0A255XTK6	canonical_novelty	Glu195_D
A0A255XVR5	canonical_novelty	Glu195_D
A0A255XVR5	canonical_novelty	His230_V
A0A285MR25	canonical_novelty	Asn205_R
A0A2A5KJE3	canonical_novelty	Val218_E
A0A2A6J2U9	canonical_novelty	Val218_E
A0A2D2AU21	canonical_novelty	Val218_Y
A0A2D2AXZ0	canonical_novelty	Glu195_D
A0A2I0SHR2	canonical_novelty	Gly46_Y
A0A2J0YX98	canonical_novelty	His230_Y
A0A2K8PQ16	canonical_novelty	Gly46_L
A0A2K8SJE4	canonical_novelty	Gly46_T
A0A2L2XEG7	canonical_novelty	His230_F
A0A2M9B5K9	canonical_novelty	Phe227_V
A0A2N5CV28	canonical_novelty	Gly46_H
A0A2N5D510	canonical_novelty	Arg209_C
A0A2N5D510	canonical_novelty	Val218_S
A0A2N5DB92	canonical_novelty	Arg209_C
A0A2N8P306	canonical_novelty	Gly46_I
A0A2P1AAW5	canonical_novelty	Gly46_I
A0A2P7QYD3	canonical_novelty	Glu195_D
A0A2P7QYD3	canonical_novelty	His230_I
A0A2S2DK37	canonical_novelty	Glu195_D
A0A2S5CHZ5	canonical_novelty	Arg209_C
A0A2S5CI23	canonical_novelty	Glu195_D
A0A2S5CI23	canonical_novelty	His230_I
A0A2S6H7D7	canonical_novelty	Glu195_D
A0A2S6H7D7	canonical_novelty	His230_I
A0A2S8HAU2	canonical_novelty	Val218_S
A0A2S9E9Y7	canonical_novelty	His230_Y
A0A2T0K3L1	canonical_novelty	Val218_R
A0A2T4FKC8	canonical_novelty	His230_Y
A0A2T5ICY1	canonical_novelty	Arg209_C
A0A2T9JKS7	canonical_novelty	Arg209_C
A0A2T9K5C6	canonical_novelty	Gly46_H
A0A2T9KBG5	canonical_novelty	Arg209_C
A0A2T9KBG5	canonical_novelty	Val218_S
A0A2X0SIE4	canonical_novelty	Arg209_C
A0A2Z4J867	canonical_novelty	His230_T
A0A2Z4LVM5	canonical_novelty	Asn205_R
A0A316FBE9	canonical_novelty	Val218_R
A0A316FI64	canonical_novelty	Val218_R
A0A316HQM8	canonical_novelty	Phe227_V
A0A316L4G5	canonical_novelty	Asn205_R
A0A318K0J3	canonical_novelty	His230_F
A0A327RH85	canonical_novelty	Arg209_E
A0A368Z550	canonical_novelty	Val218_E
A0A379ICC9	canonical_novelty	His230_Y
A0A383RI28	canonical_novelty	Arg209_P
A0A383RI28	canonical_novelty	His230_F
A0A385SND3	canonical_novelty	Phe227_V
A0A387G576	canonical_novelty	Gly46_A
A0A3A1NL96	canonical_novelty	Asn205_R
A0A3D9ISF7	canonical_novelty	Gly46_H
A0A3D9ISF7	canonical_novelty	His230_I
A0A3D9L4M1	canonical_novelty	Glu195_D
A0A3M8TNP8	canonical_novelty	His230_Y
A0A3N1GBQ3	canonical_novelty	Val218_R
A0A3N4VF60	canonical_novelty	Glu195_D
A0A3N4VIU7	canonical_novelty	Glu195_D
A0A3P3QF50	canonical_novelty	Arg209_C
A0A3S0IN34	canonical_novelty	Asn205_R
A0A3S9M6T3	canonical_novelty	His230_V
A0A3S9PH06	canonical_novelty	Gly46_I
A0A3T1D022	canonical_novelty	Gly46_H
A0A3T1D022	canonical_novelty	His230_I
A0A423FGB7	canonical_novelty	His230_Y
A0A423IDL1	canonical_novelty	Val218_S
A0A423JH14	canonical_novelty	Val218_S
A0A428YVS8	canonical_novelty	Gly46_L
A0A432M9S8	canonical_novelty	Arg209_C
A0A432NWL9	canonical_novelty	Val218_E
A0A432PA96	canonical_novelty	Val218_E
A0A454TKW0	canonical_novelty	Gly46_D
A0A494XK40	canonical_novelty	Gly46_H
A0A494XK40	canonical_novelty	His230_I
A0A495W4Q7	canonical_novelty	Gly46_A
A0A4Q1UIS4	canonical_novelty	Glu195_D
A0A4Q1UIS4	canonical_novelty	His230_I
A0A4Q7Z0G8	canonical_novelty	Glu195_D
A0A4Q7Z0G8	canonical_novelty	His230_I
A0A4Q9RBJ6	canonical_novelty	Glu195_D
A0A4R3I324	canonical_novelty	Gly46_H
A0A4R3Q368	canonical_novelty	Val218_E
A0A4R6YR80	canonical_novelty	Glu195_D
A0A4V2PI10	canonical_novelty	Gly46_L
A0A4V6NY19	canonical_novelty	Gly46_H
A0A4Y3KUD1	canonical_novelty	Phe227_V
A0A4Y3KUD1	canonical_novelty	Val218_S
A0A4Y6R7S8	canonical_novelty	His230_F
A0A4Y8RPT3	canonical_novelty	Val218_S
A0A4Y8ZK93	canonical_novelty	Arg209_C
A0A4Z0AQA6	canonical_novelty	His230_Y
A0A4Z0L9R6	canonical_novelty	Gly46_H
A0A4Z0NTW6	canonical_novelty	Gly46_D
A0A4Z1CUV9	canonical_novelty	Gly46_Y
A0A4Z1D3W1	canonical_novelty	Gly46_Y
A0A502E729	canonical_novelty	Glu195_D
A0A502E729	canonical_novelty	Gly46_L
A0A502G532	canonical_novelty	Arg209_C
A0A510HL80	canonical_novelty	Gly46_A
A0A512NBT8	canonical_novelty	Phe227_V
A0A559JN81	canonical_novelty	Gly46_H
A0A559JN81	canonical_novelty	His230_I
A0A560ER47	canonical_novelty	Arg209_C
A0A560FH35	canonical_novelty	Arg209_C
A0A560FJT8	canonical_novelty	Gly46_A
A0A560FJT8	canonical_novelty	His230_F
A0A560GA21	canonical_novelty	His230_F
A0A560H357	canonical_novelty	Gly46_A
A0A560H357	canonical_novelty	His230_F
A0A560HKW1	canonical_novelty	Gly46_A
A0A560HKW1	canonical_novelty	His230_F
A0A560IMW6	canonical_novelty	Arg209_C
A0A560JF27	canonical_novelty	Arg209_C
A0A560KAP8	canonical_novelty	His230_F
A0A562MFH3	canonical_novelty	Glu195_D
A0A562MFH3	canonical_novelty	His230_V
A0A5B2UX14	canonical_novelty	His230_Y
A0A5B2XQW2	canonical_novelty	Gly46_I
A0A5B8IB42	canonical_novelty	Val218_S
A0A5B8VE83	canonical_novelty	Phe227_V
A0A5C8LQN2	canonical_novelty	Arg209_C
A0A5E9PE47	canonical_novelty	Arg209_C
A0A5J6J652	canonical_novelty	Gly46_I
A0A5N5IZL2	canonical_novelty	Asn205_R
A0A5N8WIB3	canonical_novelty	Gly46_Y
A0A5P6PFX1	canonical_novelty	Glu195_D
A0A5P6PFX1	canonical_novelty	His230_I
A0A646KIV1	canonical_novelty	Val218_S
A0A646KQ41	canonical_novelty	Val218_S
A0A6B3N9A7	canonical_novelty	His230_F
A0A6B3N9A7	canonical_novelty	Phe65_Y
A0A6G3SJU9	canonical_novelty	Val218_S
A0A6G4QY69	canonical_novelty	Arg209_C
A0A6G4QY69	canonical_novelty	Val218_S
A0A6G8RXV7	canonical_novelty	Arg209_C
A0A6H9UQ49	canonical_novelty	Gly46_I
A0A6I1HWZ8	canonical_novelty	His230_F
A0A6I6N6T5	canonical_novelty	Arg209_H
A0A6L6WYS5	canonical_novelty	Gly46_I
A0A6M4PQD2	canonical_novelty	Gly46_Y
A0A6M4PSG3	canonical_novelty	Gly46_I
A0A6M5YW59	canonical_novelty	Arg209_E
A0A6N6JP54	canonical_novelty	Arg209_P
A0A6N6JP54	canonical_novelty	His230_F
A0A6N6JP54	canonical_novelty	Phe65_Y
A0A6N9T3N7	canonical_novelty	Glu195_D
A0A6P0UFZ0	canonical_novelty	Asn205_R
A0A6P0UL92	canonical_novelty	Val218_S
A0A6P1BIH4	canonical_novelty	Glu195_D
A0A6P1BIH4	canonical_novelty	His230_I
A0A7D3Y0J0	canonical_novelty	Val218_Y
A0A7G5C193	canonical_novelty	Gly46_H
A0A7G5C193	canonical_novelty	His230_I
A0A7H0LH09	canonical_novelty	Glu195_D
A0A7H0LH09	canonical_novelty	His230_V
A0A7H2PW11	canonical_novelty	Arg209_C
A0A7H2PXL4	canonical_novelty	Arg209_C
A0A7H2V328	canonical_novelty	Arg209_C
A0A7H2XHW1	canonical_novelty	Arg209_C
A0A7K0C9D4	canonical_novelty	Gly46_I
A0A7K3QZS7	canonical_novelty	Gly46_Y
A0A7M2SPF7	canonical_novelty	His230_V
A0A7S7SGR7	canonical_novelty	Glu195_A
A0A7W7E3W6	canonical_novelty	Val218_E
A0A7W7LFN0	canonical_novelty	Arg209_P
A0A7W7LFN0	canonical_novelty	His230_F
A0A7W9UN50	canonical_novelty	Gly46_Y
A0A7W9UNQ5	canonical_novelty	Gly46_I
A0A7W9ZFQ6	canonical_novelty	His230_Y
A0A7X0J7C0	canonical_novelty	Glu195_I
A0A7X0J7C0	canonical_novelty	His230_Y
A0A7X0RVL1	canonical_novelty	Gly46_H
A0A7X0RVL1	canonical_novelty	His230_I
A0A7X0ULY4	canonical_novelty	Gly46_D
A0A7X0VVP0	canonical_novelty	Gly46_H
A0A7X0VVP0	canonical_novelty	His230_I
A0A7X1AJN0	canonical_novelty	Gly46_A
A0A7X1AU61	canonical_novelty	His230_Y
A0A7X1XF74	canonical_novelty	Val218_S
A0A7X6DTB4	canonical_novelty	Glu195_N
A0A7X6F8F4	canonical_novelty	Val218_E
A0A7Y1MNK6	canonical_novelty	His230_Y
A0A7Y7XW82	canonical_novelty	Glu195_I
A0A7Y7XW82	canonical_novelty	His230_F
A0A7Y7XW82	canonical_novelty	Phe65_Y
A0A7Y7YGK1	canonical_novelty	Glu195_I
A0A7Y7YGK1	canonical_novelty	His230_F
A0A7Y7YGK1	canonical_novelty	Phe65_Y
A0A7Y8ELP5	canonical_novelty	His230_Y
A0A7Y8FG76	canonical_novelty	His230_Y
A0A7Y8G6M0	canonical_novelty	His230_Y
A0A7Z0TSU8	canonical_novelty	Glu195_D
A0A7Z0TSU8	canonical_novelty	His230_I
A0A7Z2VPE3	canonical_novelty	Gly46_H
A0A7Z2VPE3	canonical_novelty	His230_I
A0A831VP34	canonical_novelty	Asn205_R
A0A831VWH6	canonical_novelty	His230_V
A0A841H669	canonical_novelty	Glu195_D
A0A841H669	canonical_novelty	His230_I
A0A846H7Z0	canonical_novelty	Gly46_T
A0A846HA78	canonical_novelty	His230_V
A0A846LGJ8	canonical_novelty	His230_V
A0A853CK14	canonical_novelty	Glu195_D
A0A856MK52	canonical_novelty	His230_I
A0A858RE72	canonical_novelty	Glu195_I
A0A858RE72	canonical_novelty	His230_F
A0A858RE72	canonical_novelty	Phe65_Y
A0A8A4TY47	canonical_novelty	Glu195_D
A0A8I0N0B8	canonical_novelty	His230_F
