accession,taxid,kingdom,phylum,genus
A0A010Q293,1445577,Fungi,Ascomycota,Colletotrichum
A0A010Q4B9,1445577,Fungi,Ascomycota,Colletotrichum
A0A010QAA5,1445577,Fungi,Ascomycota,Colletotrichum
A0A010QHN9,1445577,Fungi,Ascomycota,Colletotrichum
A0A010QL93,1445577,Fungi,Ascomycota,Colletotrichum
A0A010QPL7,1445577,Fungi,Ascomycota,Colletotrichum
A0A010QXZ0,1445577,Fungi,Ascomycota,Colletotrichum
A0A010QYY8,1445577,Fungi,Ascomycota,Colletotrichum
A0A010R9A2,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RBA2,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RL70,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RM53,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RPY0,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RQ21,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RUM6,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RV80,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RY59,1445577,Fungi,Ascomycota,Colletotrichum
A0A010RYF3,1445577,Fungi,Ascomycota,Colletotrichum
A0A010S6Q2,1445577,Fungi,Ascomycota,Colletotrichum
A0A010SFQ0,1445577,Fungi,Ascomycota,Colletotrichum
A0A010SKU6,1445577,Fungi,Ascomycota,Colletotrichum
A0A010SMB4,1445577,Fungi,Ascomycota,Colletotrichum
A0A010SNL7,1445577,Fungi,Ascomycota,Colletotrichum
A0A014P1F1,568076,Fungi,Ascomycota,Metarhizium
A0A014PNW6,568076,Fungi,Ascomycota,Metarhizium
A0A014QX88,568076,Fungi,Ascomycota,Metarhizium
A0A016RWG9,53326,Animals,Nematoda,Ancylostoma
A0A016RXK8,53326,Animals,Nematoda,Ancylostoma
A0A016S930,53326,Animals,Nematoda,Ancylostoma
A0A016SJ50,53326,Animals,Nematoda,Ancylostoma
A0A016SK14,53326,Animals,Nematoda,Ancylostoma
A0A016T0A5,53326,Animals,Nematoda,Ancylostoma
A0A016T1G5,53326,Animals,Nematoda,Ancylostoma
A0A016TKY1,53326,Animals,Nematoda,Ancylostoma
A0A016UL52,53326,Animals,Nematoda,Ancylostoma
A0A016ULR3,53326,Animals,Nematoda,Ancylostoma
A0A016VBJ0,53326,Animals,Nematoda,Ancylostoma
A0A016VC89,53326,Animals,Nematoda,Ancylostoma
A0A016VDA3,53326,Animals,Nematoda,Ancylostoma
A0A016VE53,53326,Animals,Nematoda,Ancylostoma
A0A016VS08,53326,Animals,Nematoda,Ancylostoma
A0A016W0V7,53326,Animals,Nematoda,Ancylostoma
A0A016W1G3,53326,Animals,Nematoda,Ancylostoma
A0A016W259,53326,Animals,Nematoda,Ancylostoma
A0A016W313,53326,Animals,Nematoda,Ancylostoma
A0A016W3A4,53326,Animals,Nematoda,Ancylostoma
A0A016W3W4,53326,Animals,Nematoda,Ancylostoma
A0A016WCE7,53326,Animals,Nematoda,Ancylostoma
A0A016WQP8,53326,Animals,Nematoda,Ancylostoma
A0A016WQV2,53326,Animals,Nematoda,Ancylostoma
A0A017SD63,1388766,Fungi,Ascomycota,Aspergillus
A0A017SF68,1388766,Fungi,Ascomycota,Aspergillus
A0A022QC39,4155,Plants,Streptophyta,Erythranthe
A0A022QE60,4155,Plants,Streptophyta,Erythranthe
A0A022QG63,4155,Plants,Streptophyta,Erythranthe
A0A022QL39,4155,Plants,Streptophyta,Erythranthe
A0A022R0C6,4155,Plants,Streptophyta,Erythranthe
A0A022R0D6,4155,Plants,Streptophyta,Erythranthe
A0A022R1L2,4155,Plants,Streptophyta,Erythranthe
A0A022R1L7,4155,Plants,Streptophyta,Erythranthe
A0A022R3H9,4155,Plants,Streptophyta,Erythranthe
A0A022R5P3,4155,Plants,Streptophyta,Erythranthe
A0A022WGP6,1215330,Fungi,Ascomycota,Trichophyton
A0A022Y7J2,1215331,Fungi,Ascomycota,Trichophyton
A0A023PMD2,4558,Plants,Streptophyta,Sorghum
A0A023PN01,4558,Plants,Streptophyta,Sorghum
A0A023PNV8,4558,Plants,Streptophyta,Sorghum
A0A023PP81,4558,Plants,Streptophyta,Sorghum
A0A024CHG7,104660,Animals,Mollusca,Pinctada
A0A024CHH0,104660,Animals,Mollusca,Pinctada
A0A024CHU4,104660,Animals,Mollusca,Pinctada
A0A024CHU9,104660,Animals,Mollusca,Pinctada
A0A024CI03,104660,Animals,Mollusca,Pinctada
A0A024CI05,104660,Animals,Mollusca,Pinctada
A0A024CIJ0,104660,Animals,Mollusca,Pinctada
A0A024CIJ4,104660,Animals,Mollusca,Pinctada
A0A024CIJ8,104660,Animals,Mollusca,Pinctada
A0A024CJP7,104660,Animals,Mollusca,Pinctada
A0A024CJQ0,104660,Animals,Mollusca,Pinctada
A0A024DBG7,9606,Animals,Chordata,Homo
A0A024FR46,105599,Plants,Streptophyta,Vitis
A0A024FS61,105599,Plants,Streptophyta,Vitis
A0A024FZ14,65357,Oomycota,Oomycota,Albugo
A0A024GPM3,65357,Oomycota,Oomycota,Albugo
A0A024S4X8,1344414,Fungi,Ascomycota,Hypocrea
A0A024SD58,1344414,Fungi,Ascomycota,Hypocrea
A0A024SJR1,1344414,Fungi,Ascomycota,Hypocrea
A0A024T961,157072,Oomycota,Oomycota,Aphanomyces
A0A024T9U4,157072,Oomycota,Oomycota,Aphanomyces
A0A024TEL4,157072,Oomycota,Oomycota,Aphanomyces
A0A024TMR4,157072,Oomycota,Oomycota,Aphanomyces
A0A024TN69,157072,Oomycota,Oomycota,Aphanomyces
A0A024UNS3,157072,Oomycota,Oomycota,Aphanomyces
A0A024UP64,157072,Oomycota,Oomycota,Aphanomyces
A0A024URD5,157072,Oomycota,Oomycota,Aphanomyces
A0A058ZW33,71139,Plants,Streptophyta,Eucalyptus
A0A059CCV1,71139,Plants,Streptophyta,Eucalyptus
A0A059CDE4,71139,Plants,Streptophyta,Eucalyptus
A0A059F260,1288291,Fungi,Microsporidia,Anncaliia
A0A059JJQ6,1215338,Fungi,Ascomycota,Trichophyton
A0A059TZU2,30521,Animals,Chordata,Bos
A0A059U1P9,30521,Animals,Chordata,Bos
