query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A024CHU4	KJ533309	0	1	91	1407	+	AHZ34291.1	TyrB2.1	tyrosinase B2.1
A0A024CIJ4	KJ533310	0	1	27	1196	+	AHZ34292.1	TyrB2.2	tyrosinase B2.2
A0A024CIJ8	KJ533315	0	1	4	799	+	AHZ34297.1	TyrBPmax1	tyrosinase BPmax1
A0A0G2YLH0	KP322726	0	1	71	2128	+	AKI87982.1		byssal tyrosinase-like protein-1 precursor
A0A084GCK1	JOWA01000086	-10	0	811446	812117	-	KEZ45053.1	SAPIO_CDS2472	hypothetical protein
A0A084GCK1	JOWA01000086	-9	0	819249	820847	+	KEZ45054.1	SAPIO_CDS2475	Uncharacterized protein
A0A084GCK1	JOWA01000086	-8	0	825771	826412	+	KEZ45055.1	SAPIO_CDS2476	hypothetical protein
A0A084GCK1	JOWA01000086	-7	0	831969	832979	+	KEZ45056.1	SAPIO_CDS2478	Siderophore iron transporter mirB
A0A084GCK1	JOWA01000086	-6	0	834339	834766	-	KEZ45057.1	SAPIO_CDS2479	hypothetical protein
A0A084GCK1	JOWA01000086	-5	0	838273	839156	+	KEZ45058.1	SAPIO_CDS2480	hypothetical protein
A0A084GCK1	JOWA01000086	-4	0	843351	844054	+	KEZ45059.1	SAPIO_CDS2482	hypothetical protein
A0A084GCK1	JOWA01000086	-3	0	850457	851706	+	KEZ45060.1	SAPIO_CDS2483	hypothetical protein
A0A084GCK1	JOWA01000086	-2	0	852163	852939	-	KEZ45061.1	SAPIO_CDS2484	Uncharacterized protein
A0A084GCK1	JOWA01000086	-1	0	855050	857316	-	KEZ45062.1	SAPIO_CDS2485	hypothetical protein
A0A084GCK1	JOWA01000086	0	1	863072	863602	+	KEZ45063.1	SAPIO_CDS2486	hypothetical protein
A0A084GCK1	JOWA01000086	1	0	865241	866736	-	KEZ45064.1	SAPIO_CDS2487	Uncharacterized protein
A0A084GCK1	JOWA01000086	2	0	869439	870697	+	KEZ45065.1	SAPIO_CDS2488	putative Dimethylaniline monooxygenase
A0A084GCK1	JOWA01000086	3	0	876510	877149	-	KEZ45066.1	SAPIO_CDS2490	hypothetical protein
A0A084GCK1	JOWA01000086	4	0	879325	880532	+	KEZ45067.1	SAPIO_CDS2491	putative 2og-fe oxygenase superfamily protein
A0A084GCK1	JOWA01000086	5	0	880841	883772	-	KEZ45068.1	SAPIO_CDS2492	Carbohydrate esterase family 9 protein
A0A084GCK1	JOWA01000086	6	0	885260	886080	-	KEZ45069.1	SAPIO_CDS2494	Alcohol oxidase
A0A084GCK1	JOWA01000086	7	0	895591	896587	+	KEZ45070.1	SAPIO_CDS2497	hypothetical protein
A0A084GCK1	JOWA01000086	8	0	897761	898852	-	KEZ45071.1	SAPIO_CDS2498	hypothetical protein
A0A084GCK1	JOWA01000086	9	0	905719	906469	-	KEZ45072.1	SAPIO_CDS2500	hypothetical protein
