accession	site	pmm_feconi_prob
A0A010RV53	CuA	0.9900
A0A023GU59	CuA	0.9800
A0A066X3Q1	CuA	0.9800
A0A066XSE1	CuB	0.9200
A0A066XSE1	CuA	1.0000
A0A067CT24	CuB	0.9800
A0A067CZT6	CuA	0.9800
A0A072Q6Y5	CuA	0.9900
A0A074W682	CuA	1.0000
A0A075AEH4	CuA	1.0000
A0A077YX65	CuA	0.9600
A0A080ZVP9	CuB	0.9900
A0A084AJL7	CuA	0.9900
A0A084R1I5	CuA	0.9900
A0A091EJM4	CuA	1.0000
A0A091EJM4	CuB	0.9900
A0A091IY37	CuA	0.9900
A0A091L9M2	CuA	0.9800
A0A091M3M6	CuA	0.8800
A0A091TFJ5	CuA	0.9900
A0A091TMG5	CuA	1.0000
A0A093CQX0	CuA	1.0000
A0A093H736	CuA	1.0000
A0A093JA04	CuA	0.9900
A0A093R256	CuA	1.0000
A0A099ZQM2	CuA	0.9900
A0A0A2X4S5	CuA	0.9700
A0A0A2X4S5	CuB	0.9400
A0A0A7CM13	CuA	0.9900
A0A0A7CM93	CuB	0.9800
A0A0A7CN79	CuA	0.9900
A0A0B2X1U6	CuB	0.9600
A0A0B7FL26	CuA	0.9900
A0A0C2HHH6	CuA	0.8200
A0A0C2WPB2	CuB	0.9600
A0A0C3B6I5	CuA	0.9500
A0A0C3B6I5	CuB	0.9700
A0A0F4GBJ7	CuA	0.9900
A0A0F5VAR5	CuB	0.9600
A0A0F8A4E9	CuB	0.9700
A0A0G4N7R0	CuA	1.0000
A0A0L0NB41	CuA	0.9200
A0A0L0VSP3	CuA	1.0000
A0A0L0VSW2	CuA	0.9900
A0A0L6VTF1	CuA	0.9900
A0A0M3IG66	CuA	0.9900
A0A0N4SWM8	CuA	0.9900
A0A0R3QQ18	CuA	0.9900
A0A0R3RX42	CuA	0.9900
A0A0U1M3F3	CuA	0.9400
A0A0V0S806	CuA	0.9700
A0A0V0TGR2	CuA	0.9700
A0A0V0YE73	CuA	0.9700
A0A0V1AAJ2	CuA	0.9500
A0A0V1ABN4	CuA	0.9600
A0A0V1BIN6	CuA	0.9700
A0A0V1DE70	CuA	0.9400
A0A0V1ESS6	CuA	0.9700
A0A0V1G4S3	CuA	0.9400
A0A0V1I3Y0	CuA	0.9400
A0A0V1JHS7	CuA	0.9600
A0A0V1KD92	CuA	0.9700
A0A0V1KR57	CuA	0.9600
A0A0V1MUW3	CuA	0.9600
A0A0W8C3R7	CuB	0.9800
A0A0Y0DNT4	CuA	0.9900
A0A135V6Y1	CuB	0.9700
A0A139HAY5	CuA	0.9200
A0A142I737	CuA	0.9800
A0A158RAT2	CuA	0.9900
A0A161VY89	CuA	0.9900
A0A161VY89	CuB	0.8700
A0A166M367	CuA	1.0000
A0A166M367	CuB	0.9300
A0A166TEN8	CuA	0.9900
A0A166U3J7	CuB	0.9400
A0A167AFV0	CuA	1.0000
A0A167BRG2	CuA	0.9900
A0A168EXD0	CuA	0.9900
A0A175W3Y2	CuA	0.9700
A0A177T6E5	CuB	0.9700
A0A194WE27	CuA	0.9800
A0A194XMC7	CuA	0.9800
A0A194XN12	CuA	0.9600
A0A194XN12	CuB	0.8900
A0A1B7YR08	CuA	1.0000
A0A1G4AYJ9	CuA	0.9900
A0A1G4AYJ9	CuB	0.9300
A0A1G4BKS1	CuA	0.9300
A0A1G6VNA4	CuB	0.9300
A0A1H1X1U7	CuB	0.9700
A0A1I5PK02	CuA	0.9400
A0A1I7VEA5	CuA	0.9900
A0A1I8IJ91	CuB	0.9700
A0A1I9G609	CuA	0.9900
A0A1I9G629	CuA	0.9900
A0A1L7T8U3	CuA	0.9800
A0A1L7T8U3	CuB	0.9300
A0A1L7V991	CuA	0.9900
A0A1L7V991	CuB	0.9200
A0A1L7XXI3	CuA	0.8400
A0A1L9PZT9	CuA	1.0000
A0A1L9PZT9	CuB	0.9400
A0A1Q8RT46	CuA	0.9900
A0A1R3RV41	CuA	0.9700
A0A1R3RV41	CuB	0.9300
A0A1R3VBN3	CuB	0.9600
A0A1R4H727	CuA	0.9900
A0A1S8CTM4	CuB	0.9500
A0A1U7LR42	CuB	0.9600
A0A1V4I1C4	CuB	0.9700
A0A1V9YSU1	CuA	0.9800
A0A1X7RU91	CuA	0.9900
A0A1Y1ZAQ2	CuA	0.9600
A0A1Y2CTW7	CuA	0.9900
A0A1Y2EAK7	CuA	1.0000
A0A1Y6LJW2	CuA	1.0000
A0A225WZW1	CuB	0.9800
A0A232M3P4	CuA	0.9600
A0A2H1GH96	CuA	0.9900
A0A2H3E8H0	CuA	1.0000
A0A2H3S6Y7	CuA	0.9900
A0A2H3S6Y7	CuB	0.9300
A0A2H3SXS3	CuB	0.9700
A0A2H4SUB3	CuB	0.9700
A0A2I0MT65	CuA	0.9900
A0A2J6PRK0	CuA	0.9900
A0A2J6QS19	CuA	0.9100
A0A2J6S1F6	CuA	0.9800
A0A2J6S2Q8	CuA	0.9100
A0A2J6S2Q8	CuB	0.9400
A0A2J6TC85	CuB	0.9500
A0A2L2TIX2	CuA	1.0000
A0A2L2TIX2	CuB	0.9100
A0A2N5SEN2	CuA	1.0000
A0A2N5SRB5	CuA	1.0000
A0A2N5SSF6	CuA	1.0000
A0A2N5U4U9	CuA	0.9400
A0A2N5VYB1	CuA	1.0000
A0A2P7YDE6	CuB	0.9600
A0A2P7Z1M8	CuA	0.7700
A0A2P7Z1M8	CuB	0.9900
A0A2S4VER1	CuA	1.0000
A0A2T3ZXK1	CuA	0.9900
A0A2T4GS12	CuA	1.0000
A0A2T6ZWP4	CuB	0.9800
A0A2V1D8S9	CuA	0.9900
