product	n_queries	freq_all	freq_with_data	total
lrp/asnc family transcriptional regulator	15	0.073	0.197	15
asnc family transcriptional regulator	7	0.034	0.092	7
lysr family transcriptional regulator	7	0.034	0.092	7
type ii secretion system inner membrane protein gspf	6	0.029	0.079	6
type ii secretion system atpase gspe	6	0.029	0.079	6
biopolymer transporter exbd	5	0.024	0.066	5
energy transducer tonb	5	0.024	0.066	5
peptidylprolyl isomerase	5	0.024	0.066	5
transposase	5	0.024	0.066	5
abc transporter substrate-binding protein	5	0.024	0.066	7
type ii secretion system protein gspl	5	0.024	0.066	5
major facilitator superfamily domain-containing protein	5	0.024	0.066	5
alpha/beta hydrolase protein	5	0.024	0.066	6
filamentous hemagglutinin family protein	5	0.024	0.066	5
substrate-binding domain-containing protein	5	0.024	0.066	5
protein disulfide reductase	4	0.019	0.053	4
nad(p)-binding protein	4	0.019	0.053	4
type ii secretion system secretin gspd	4	0.019	0.053	4
lipase (lipp)	4	0.019	0.053	4
heterokaryon incompatibility protein-domain-containing protein	4	0.019	0.053	6
prevent-host-death protein	3	0.015	0.039	3
gntr family transcriptional regulator	3	0.015	0.039	3
arac family transcriptional regulator	3	0.015	0.039	3
hemagglutinin	3	0.015	0.039	3
dna repair protein	3	0.015	0.039	3
biopolymer transporter exbb	3	0.015	0.039	3
type ii secretion system protein gspe	3	0.015	0.039	3
filamentous hemagglutinin n-terminal domain-containing protein	3	0.015	0.039	3
s-adenosyl-l-methionine-dependent methyltransferase	3	0.015	0.039	3
fungal-specific transcription factor domain-containing protein	3	0.015	0.039	3
putative porin	3	0.015	0.039	3
transcriptional regulator, asnc family	3	0.015	0.039	3
type ii secretion system minor pseudopilin gspk	3	0.015	0.039	3
hypothetical predicted protein	3	0.015	0.039	24
tyrosinase	3	0.015	0.039	4
benzoate 4-monooxygenase cytochrome p450	3	0.015	0.039	3
acyl esterase	3	0.015	0.039	3
tkl kinase	3	0.015	0.039	3
nitric-oxide synthase salivary gland	3	0.015	0.039	3
stress response rds1p	3	0.015	0.039	3
1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase 1	3	0.015	0.039	3
nucleoside phosphorylase	3	0.015	0.039	3
response regulator transcription factor	3	0.015	0.039	3
llm class flavin-dependent oxidoreductase	3	0.015	0.039	6
abc transporter atp-binding protein	3	0.015	0.039	5
methyltransferase	3	0.015	0.039	3
