member,accession,cterm_len,n_seg,status
A0AA88AFA7_taxID_3494_model_A,A0AA88AFA7,131,1,ok
A0A076FRP2_taxID_3635_model,A0A076FRP2,169,1,ok
A0A076FRN6_taxID_3635_model,A0A076FRN6,168,1,ok
A0A5D2C8N1_taxID_34276_model,A0A5D2C8N1,166,1,ok
A0A5D2ULC9_taxID_34275_model,A0A5D2ULC9,168,1,ok
A0A0A9H6D8_taxID_35708_model_A,A0A0A9H6D8,148,1,ok
A0A0B2P669_taxID_3848_model,A0A0B2P669,90,1,ok
A0A0C9S6R6_taxID_56998_model_A,A0A0C9S6R6,170,1,ok
A0A0D2TW57_taxID_29730_model_A,A0A0D2TW57,165,1,ok
A0A0D2UIJ1_taxID_29730_model,A0A0D2UIJ1,181,1,ok
A0A0D3QEC2_taxID_15565_model,A0A0D3QEC2,137,1,ok
A0A0D4D5X8_taxID_156531_model_A,A0A0D4D5X8,152,1,ok
A0A0D9W9R3_taxID_77586_model_A,A0A0D9W9R3,135,1,ok
A0A0D9ZQY1_taxID_40148_model_A,A0A0D9ZQY1,132,1,ok
A0A0E0C8Q1_taxID_40149_model,A0A0E0C8Q1,84,1,ok
A0A0E0DIL3_taxID_40149_model_A,A0A0E0DIL3,155,1,ok
A0A0E0FUB6_taxID_4536_model,A0A0E0FUB6,113,1,ok
A0A0E0KVG9_taxID_4537_model_A,A0A0E0KVG9,130,1,ok
A0A0E0N3H7_taxID_4529_model,A0A0E0N3H7,171,1,ok
A0A0K9NMQ6_taxID_29655_model_A,A0A0K9NMQ6,167,1,ok
A0A0K9NTB7_taxID_29655_model,A0A0K9NTB7,155,1,ok
A0A0K9P7U4_taxID_29655_model_A,A0A0K9P7U4,125,1,ok
A0A0K9PZE6_taxID_29655_model,A0A0K9PZE6,123,1,ok
A0A0K9PZY4_taxID_29655_model_A,A0A0K9PZY4,142,1,ok
A0A0K9Q3U4_taxID_29655_model_A,A0A0K9Q3U4,175,1,ok
A0A0N9HGV8_taxID_93608_model_A,A0A0N9HGV8,159,1,ok
A0A0R0JBC8_taxID_3847_model,A0A0R0JBC8,127,1,ok
A0A0U1TTF5_taxID_141207_model_A,A0A0U1TTF5,121,1,ok
A0A0U1VG68_taxID_141207_model_A,A0A0U1VG68,120,1,ok
A0A0U2D7M5_taxID_3670_model_A,A0A0U2D7M5,132,1,ok
A0A103PWC4_taxID_59895_model,A0A103PWC4,160,1,ok
A0A124SHT3_taxID_59895_model_A,A0A124SHT3,162,1,ok
A0A151R8K1_taxID_3821_model_A,A0A151R8K1,155,1,ok
A0A151R8P6_taxID_3821_model_A,A0A151R8P6,154,1,ok
A0A172DC01_taxID_3670_model_A,A0A172DC01,126,1,ok
A0ABC8S9C6_taxID_185542_model_A,A0ABC8S9C6,155,1,ok
A0A173DSG7_taxID_156531_model,A0A173DSG7,155,1,ok
A0A176VEH7_taxID_1480154_model_A,A0A176VEH7,173,1,ok
A0A2R6W0C7_taxID_3197_model_A,A0A2R6W0C7,173,1,ok
A0AAF6BK96_taxID_1480154_model_A,A0AAF6BK96,173,1,ok
A0A199VCW6_taxID_4615_model,A0A199VCW6,124,1,ok
A0A199VDT9_taxID_4615_model_A,A0A199VDT9,124,1,ok
A0A6P5G1C1_taxID_4615_model,A0A6P5G1C1,124,1,ok
A0A199VDJ0_taxID_4615_model,A0A199VDJ0,153,1,ok
A0A1E5WH95_taxID_888268_model,A0A1E5WH95,129,1,ok
A0A1E5WJW0_taxID_888268_model,A0A1E5WJW0,170,1,ok
A0A1I1WTL0_taxID_32040_model,A0A1I1WTL0,177,1,ok
A0A1R3I1N9_taxID_210143_model_A,A0A1R3I1N9,151,1,ok
A0A1S3Y7P7_taxID_4097_model_A,A0A1S3Y7P7,162,1,ok
A0A0V0IHG3_taxID_4108_model_A,A0A0V0IHG3,160,1,ok
A0A1J6JLI9_taxID_49451_model,A0A1J6JLI9,163,1,ok
A0A1S3ZQP6_taxID_4097_model_A,A0A1S3ZQP6,161,1,ok
A0A1S4D1N7_taxID_4097_model_A,A0A1S4D1N7,162,1,ok
A0A1U7VU91_taxID_4096_model_A,A0A1U7VU91,162,1,ok
A0A286MEA3_taxID_126903_model,A0A286MEA3,138,1,ok
A0A2G2W2T9_taxID_33114_model_A,A0A2G2W2T9,147,1,ok
A0A2G2XHP8_taxID_33114_model_A,A0A2G2XHP8,166,1,ok
A0A2G2XM38_taxID_33114_model_A,A0A2G2XM38,162,1,ok
A0A2G2XMF4_taxID_33114_model_A,A0A2G2XMF4,161,1,ok
A0A2G3ABT2_taxID_4072_model_A,A0A2G3ABT2,167,1,ok
A0A2G3AGB1_taxID_4072_model_A,A0A2G3AGB1,133,1,ok
A0A2G3AGB2_taxID_4072_model_A,A0A2G3AGB2,161,1,ok
A0A2G3AP27_taxID_4072_model_A,A0A2G3AP27,168,1,ok
