accession,status,af3_cu_dist,n_predicted_cu,predicted_cu_dist,cu_dist_diff,n_all_metals,cu1_prob,cu2_prob,error
A0A010S6Q2,ok,4.07,3,4.89,0.82,26,0.91,0.88,
A0A074Z7G7,ok,3.95,2,4.08,0.13,45,0.93,0.85,
A0A0A0A6E7,ok,3.93,3,3.76,-0.17,21,0.87,0.76,
A0A0D2IUZ3,ok,4.09,3,2.38,-1.71,44,0.74,0.72,
A0A0G2IAS2,ok,4.0,3,4.1,0.1,32,0.97,0.81,
A0A0H5RF96,ok,4.34,3,4.75,0.41,29,0.87,0.83,
A0A0L1INA1,ok,3.87,2,3.07,-0.8,23,0.92,0.87,
A0A0N4WJP6,ok,4.05,4,2.43,-1.62,42,0.85,0.85,
A0A0N4ZH21,ok,4.44,3,1.97,-2.47,45,0.95,0.95,
A0A162MRN0,ok,4.15,2,3.35,-0.8,24,0.53,0.31,
A0A166Y7S8,ok,3.87,2,8.82,4.95,40,0.98,0.18,
A0A175VPP2,ok,3.97,2,2.56,-1.41,18,0.9,0.51,
A0A1C7MJW4,ok,3.85,4,3.77,-0.08,50,0.75,0.47,
A0A1E1MLZ3,ok,4.32,3,4.17,-0.15,23,0.79,0.53,
A0A1J9Q075,ok,4.27,2,2.15,-2.12,50,0.42,0.39,
A0A1L9N5U9,ok,4.01,2,3.22,-0.79,18,0.85,0.83,
A0A1Q8S0I1,ok,4.15,2,3.02,-1.13,20,0.92,0.91,
A0A1R0H9M4,ok,3.89,2,3.15,-0.74,31,0.93,0.9,
A0A1S3B632,ok,3.7,2,2.52,-1.18,23,0.64,0.6,
A0A1Y1Y511,ok,3.99,3,2.61,-1.38,22,0.82,0.74,
A0A1Y1YAL0,ok,4.2,4,2.34,-1.86,32,0.96,0.9,
A0A1Y2D0V7,ok,3.92,3,2.94,-0.98,27,0.89,0.55,
A0A260ZAA2,ok,4.27,3,3.36,-0.91,43,0.95,0.62,
A0A2A2JDX4,ok,3.78,2,2.91,-0.87,42,0.8,0.49,
A0A2G2XHP8,ok,4.0,2,2.76,-1.24,40,0.66,0.54,
A0A2G7FQL5,ok,3.94,3,3.03,-0.91,25,0.6,0.57,
A0A2H1GNC2,ok,4.05,3,2.91,-1.14,31,0.96,0.64,
A0A2I2G3M9,ok,4.08,3,3.8,-0.28,26,1.0,0.76,
A0A2K8P7T4,ok,3.87,4,2.18,-1.69,17,0.82,0.8,
A0A2N5D510,ok,3.91,3,2.61,-1.3,37,0.78,0.64,
A0A2N5VYD7,ok,4.06,3,6.27,2.21,30,0.71,0.21,
A0A2R6XDH9,ok,4.01,3,2.67,-1.34,23,0.85,0.83,
A0A2T4GS03,ok,4.22,2,3.65,-0.57,28,0.96,0.92,
A0A2T9Z3X5,ok,4.05,5,3.2,-0.85,31,0.8,0.8,
A0A2T9ZGW2,ok,3.81,5,3.65,-0.16,28,0.97,0.97,
A0A2U1JE60,ok,3.83,4,3.18,-0.65,29,0.73,0.72,
A0A2Y9EW91,ok,3.81,3,3.58,-0.23,28,0.98,0.86,
A0A368GCF5,ok,4.23,2,3.56,-0.67,31,0.66,0.6,
A0A395RTE0,ok,4.21,3,2.98,-1.23,32,0.89,0.79,
A0A397AP35,ok,4.21,2,2.57,-1.64,13,0.84,0.74,
A0A3B3YLN6,ok,3.84,2,3.68,-0.16,30,0.84,0.83,
