accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A024SD58						0
A0A024TEL4						0
A0A024UNS3						0
A0A024UP64						0
A0A024URD5						0
A0A067BTT5	695850		KK583596	KDO17666.1	Genomic_DNA	1
A0A067BUS0	695850		KK583272	KDO22239.1	Genomic_DNA	1
A0A067CPX4	695850		KK583198	KDO31285.1	Genomic_DNA	1
A0A067CXC8	695850		KK583190	KDO35143.1	Genomic_DNA	1
A0A067D814	695850		KK583190	KDO35142.1	Genomic_DNA	1
A0A072P5W0	1182545		AMGV01000009	KEF54663.1	Genomic_DNA	1
A0A072P8W8	1182545		AMGV01000006	KEF56271.1	Genomic_DNA	1
A0A098SBM4	1524460		JPOS01000004	KGE89576.1	Genomic_DNA	1
A0A099MZ46						0
A0A0A1YUC0						0
A0A0A7CLT5	74557		JNBS01000302	OQS06830.1	Genomic_DNA	1
A0A0A7CNE6	1202772		JNBR01000690	OQR90007.1	Genomic_DNA	1
A0A0A7CNP6	1202772		JNBR01000151	OQR96262.1	Genomic_DNA	1
A0A0A7CPE6						0
A0A0C2F7M2	1398154		AWTV01000010	KIH87058.1	Genomic_DNA	1
A0A0C4DYF2	644358					0
A0A0D1YF04						0
A0A0D1ZN85	569365		KN847042	KIW29411.1	Genomic_DNA	1
A0A0D2BB96	569365		KN847040	KIW34852.1	Genomic_DNA	1
A0A0D2BH13	91928		KN847493	KIW18288.1	Genomic_DNA	1
A0A0D2BKG3	91928		KN847493	KIW19040.1	Genomic_DNA	1
A0A0D2BR19	91928		KN847497	KIW13649.1	Genomic_DNA	1
A0A0D2CZ06	1851006		KN846957	KIW70436.1	Genomic_DNA	1
A0A0D2D664	215243		KN847342	KIW37870.1	Genomic_DNA	1
A0A0D2DPV7	215243		KN847342	KIW37869.1	Genomic_DNA	1
A0A0D2DYM6	215243		KN847338	KIW40639.1	Genomic_DNA	1
A0A0D2EDR6	215243		KN847333	KIW46064.1	Genomic_DNA	1
A0A0D2EIL3	348802		KN847320	KIW55248.1	Genomic_DNA	1
A0A0D2ETA8	348802		KN847318	KIW57965.1	Genomic_DNA	1
A0A0D2EZC7	1442368		KN846972	KIW79722.1	Genomic_DNA	1
A0A0D2F4M5	348802		KN847320	KIW54844.1	Genomic_DNA	1
A0A0D2G164	1442370		KN846988	KIW92472.1	Genomic_DNA	1
A0A0D2G9B5	1851006		KN846958	KIW68484.1	Genomic_DNA	1
A0A0D2HA46	1442368		KN846971	KIW81419.1	Genomic_DNA	1
A0A0D2HER3	1442369		KN847475	KIX09128.1	Genomic_DNA	1
A0A0D2HGH5	1442370		KN846994	KIW89900.1	Genomic_DNA	1
A0A0D2IAF0	1442371		KN848089	KIX94131.1	Genomic_DNA	1
A0A0D2JFD5	1442369		KN847476	KIX07950.1	Genomic_DNA	1
A0A0D2K829	1442371		KN848064	KIY02238.1	Genomic_DNA	1
A0A0D2Y718						0
A0A0F2MLY8						0
A0A0G2EUA6	158046		LCWF01000039	KKY25721.1	Genomic_DNA	1
A0A0J9VNP9						0
A0A0L0W3I3	1165861		AJIL01000004	KNF06113.1	Genomic_DNA	1
A0A0L6VMV5	27349		LAVV01003799	KNZ61897.1	Genomic_DNA	1
A0A0N1H7B4	1664694		LFJN01000017	KPI38810.1	Genomic_DNA	1
A0A0N1P0I4	1664694		LFJN01000005	KPI43615.1	Genomic_DNA	1
A0A0U1MAB1	28573		CVMT01000010	CRG91910.1	Genomic_DNA	1
A0A127I0D0						0
A0A136IUL0	196109		KQ964257	KXJ88670.1	Genomic_DNA	1
A0A167RCQ6						0
A0A167TE01	1081102		AZHD01000009	OAA60507.1	Genomic_DNA	1
A0A175W9V9	100816		LCTW02000060	KXX80403.1	Genomic_DNA	1
A0A177CDD2	1460663		KV441552	OAG05654.1	Genomic_DNA	1
A0A177EUN3	254056		LVKK01000146	OAG34679.1	Genomic_DNA	1
A0A177FEY3	254056		LVKK01000014	OAG42813.1	Genomic_DNA	1
A0A178CTE4	856822		LVCJ01000054	OAL33119.1	Genomic_DNA	1
A0A178DF33	856822		LVCJ01000003	OAL39823.1	Genomic_DNA	1
A0A178Z9S6	1367422		LVYI01000009	OAP56211.1	Genomic_DNA	1
A0A179A145	1367422		LVYI01000001	OAP65717.1	Genomic_DNA	1
A0A182YW94						0
A0A194X723	149040		KQ947417	KUJ15889.1	Genomic_DNA	1
A0A1C1CNS0	86049		LGRB01000010	OCT50146.1	Genomic_DNA	1
A0A1C1CVI7	86049		LGRB01000008	OCT52455.1	Genomic_DNA	1
A0A1C9CXH9	78579		KX772412	AON76802.1	mRNA	1
A0A1E3V4Z2	1752398		LYBW01000065	ODR88525.1	Genomic_DNA	1
A0A1G9LQ44	119000		FNGI01000005	SDL64050.1	Genomic_DNA	1
A0A1J7JKX2	1408157		KV875098	OIW28322.1	Genomic_DNA	1
A0A1L5PR01						0
A0A1N7U5H3	321846		CP007637	AIB36156.1	Genomic_DNA	1
A0A1S2TDC3						0
A0A1V6QQ78	416450		MDYN01000001	OQD91086.1	Genomic_DNA	1
A0A1V6T2W4	254877		MLQL01000016	OQE20627.1	Genomic_DNA	1
A0A1V9Y4A2	1202772		JNBR01002939	OQR80550.1	Genomic_DNA	1
A0A1V9Y4B3	1202772		JNBR01002939	OQR80552.1	Genomic_DNA	1
A0A1V9Y543	74557		JNBS01005113	OQR80840.1	Genomic_DNA	1
A0A1V9Y5I4	1202772		JNBR01002849	OQR80969.1	Genomic_DNA	1
A0A1V9Y9H5	1202772		JNBR01002478	OQR82366.1	Genomic_DNA	1
A0A1V9YBP5	1202772		JNBR01002313	OQR83112.1	Genomic_DNA	1
A0A1V9YEM7	1202772		JNBR01001928	OQR84152.1	Genomic_DNA	1
A0A1V9Z5U0	1202772		JNBR01000412	OQR93368.1	Genomic_DNA	1
A0A1V9ZS86	74557		JNBS01001686	OQS00811.1	Genomic_DNA	1
