protein_id	pfam
AGS67699	PF00069|Protein kinase domain
AGS67700	PF00296|Luciferase-like monooxygenase
AGS67701	PF04686|Streptomyces sporulation and cell division protein, SsgA
AGS67702	PF09997|Predicted membrane protein (DUF2238)
AGS67703	PF19853|Family of unknown function (DUF6328)
AGS67704	PF00248|Aldo/keto reductase family
AGS67705	PF00440|Bacterial regulatory proteins, tetR family;PF17920|Tetracyclin repressor-like, C-terminal domain
AGS67706	PF07690|Major Facilitator Superfamily
AGS67707	PF01494|FAD binding domain
AGS67708	PF06236|Tyrosinase co-factor MelC1
AGS67710	PF00075|RNase H
AGS67711	PF00903|Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
AGS67712	PF00027|Cyclic nucleotide-binding domain;PF19307|Type 2A encapsulin shell protein SrpI-like
AGS67713	PF19086|Terpene synthase family 2, C-terminal metal binding
AGS67714	PF08241|Methyltransferase domain
AGS67715	PF06983|3-demethylubiquinone-9 3-methyltransferase
AGS67716	PF06441|Epoxide hydrolase N terminus
AGS67717	PF01381|Helix-turn-helix
AGS67718	PF04539|Sigma-70 region 3;PF04542|Sigma-70 region 2;PF04545|Sigma-70, region 4
AGS67719	PF13581|Histidine kinase-like ATPase domain
AOR36263	PF01381|Helix-turn-helix
AOR36264	PF06441|Epoxide hydrolase N terminus
AOR36265	PF08241|Methyltransferase domain
AOR36266	PF19086|Terpene synthase family 2, C-terminal metal binding
AOR36267	PF00027|Cyclic nucleotide-binding domain;PF19307|Type 2A encapsulin shell protein SrpI-like
AOR36268	PF08240|Alcohol dehydrogenase GroES-like domain
AOR36269	PF00903|Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
AOR36270	PF00075|RNase H
AOR36272	PF06236|Tyrosinase co-factor MelC1
AOR36273	PF07690|Major Facilitator Superfamily
AOR36274	PF00440|Bacterial regulatory proteins, tetR family;PF17920|Tetracyclin repressor-like, C-terminal domain
AOR36275	PF00126|Bacterial regulatory helix-turn-helix protein, lysR family;PF03466|LysR substrate binding domain
AOR36276	PF01370|NAD dependent epimerase/dehydratase family
AOR36277	PF01565|FAD binding domain;PF09129|Cholesterol oxidase, substrate-binding
AOR36278	PF00248|Aldo/keto reductase family
AOR36279	PF04686|Streptomyces sporulation and cell division protein, SsgA
AOR37605	PF06983|3-demethylubiquinone-9 3-methyltransferase
AOR37606	PF01764|Lipase (class 3)
AOR37607	PF19853|Family of unknown function (DUF6328)
ASN27847	
ASN27848	PF00005|ABC transporter;PF00498|FHA domain;PF01061|ABC-2 type transporter
ASN27849	
ASN27850	PF00069|Protein kinase domain
ASN27851	
ASN27852	PF20568|Domain of unknown function (DUF6777)
ASN27853	PF13581|Histidine kinase-like ATPase domain
ASN27854	PF06983|3-demethylubiquinone-9 3-methyltransferase
ASN27855	PF00903|Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
ASN27856	PF00075|RNase H
ASN27858	PF06236|Tyrosinase co-factor MelC1
ASN27859	PF01494|FAD binding domain
ASN27860	PF07690|Major Facilitator Superfamily
ASN27861	PF00440|Bacterial regulatory proteins, tetR family;PF17920|Tetracyclin repressor-like, C-terminal domain
ASN27862	PF00069|Protein kinase domain
ASN27863	PF00348|Polyprenyl synthetase
ASN27864	PF13424|Tetratricopeptide repeat
ASN27865	PF01987|Mitochondrial biogenesis AIM24
AZQ71622	PF14279|HNH endonuclease
AZQ71623	PF00924|Mechanosensitive ion channel, beta-domain;PF21082|Mechanosensitive ion channel MscS, C-terminal;PF21088|Mechanosensitive ion channel, transmembrane helices 2/3
AZQ71624	PF16571|FBP C-terminal treble-clef zinc-finger
AZQ71625	PF00480|ROK family;PF12802|MarR family
AZQ71626	PF01547|Bacterial extracellular solute-binding protein
AZQ71627	PF00528|Binding-protein-dependent transport system inner membrane component
AZQ71628	PF00528|Binding-protein-dependent transport system inner membrane component
AZQ71629	PF02056|Family 4 glycosyl hydrolase;PF11975|Family 4 glycosyl hydrolase C-terminal domain
AZQ71630	PF01869|BadF/BadG/BcrA/BcrD ATPase family
AZQ71631	PF06236|Tyrosinase co-factor MelC1
AZQ71633	PF00497|Bacterial extracellular solute-binding proteins, family 3
AZQ71634	
AZQ71635	PF00069|Protein kinase domain;PF16918|Protein kinase G tetratricopeptide repeat;PF16919|Protein kinase G rubredoxin domain
AZQ71636	PF13672|Protein phosphatase 2C
AZQ71637	PF13768|von Willebrand factor type A domain;PF18571|von Willebrand factor type A C-terminal domain
AZQ71638	PF00498|FHA domain
AZQ71639	PF01152|Bacterial-like globin
AZQ71640	PF26035|Domain of unknown function (DUF8010);PF26572|Domain of unknown function (DUF8185)
AZQ71641	PF13279|Thioesterase-like superfamily
AZQ75497	PF28326|Actinobacterial sensor domain
CAC5362303	PF00135|Carboxylesterase family
CAC5362305	PF00085|Thioredoxin
CAC5362306	
CAC5362308	
CAC5362309	PF20694|TRADD-like N-terminal domain
CAC5362311	
CAC5362312	
CAC5393211	PF18701|Family of unknown function (DUF5641)
CAC5393212	
CAC5393213	PF00003|7 transmembrane sweet-taste receptor of 3 GCPR;PF01094|Receptor family ligand binding region;PF07562|Nine Cysteines Domain of family 3 GPCR
CAC5393214	PF00078|Reverse transcriptase (RNA-dependent DNA polymerase)
CAC5393215	PF01094|Receptor family ligand binding region
CAC5393216	PF01529|DHHC palmitoyltransferase
CAC5393217	PF01529|DHHC palmitoyltransferase
CAC5393218	PF01529|DHHC palmitoyltransferase
CAC5393219	PF00566|Rab-GTPase-TBC domain
CAC5393220	PF00264|Common central domain of tyrosinase
CAC5393222	
CAC5393223	PF10324|Serpentine type 7TM GPCR chemoreceptor Srw
