query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A225WZW1	NBNE01000131	-9	0	3105	8857	-	OWZ22496.1	PHMEG_0002780	hypothetical protein
A0A225WZW1	NBNE01000131	-8	0	9913	10491	+	OWZ22504.1	PHMEG_0002790	hypothetical protein
A0A225WZW1	NBNE01000131	-7	0	10549	12300	-	OWZ22497.1	PHMEG_0002781	hypothetical protein
A0A225WZW1	NBNE01000131	-6	0	14503	16272	+	OWZ22505.1	PHMEG_0002792	hypothetical protein
A0A225WZW1	NBNE01000131	-5	0	16285	16638	-	OWZ22498.1	PHMEG_0002782	hypothetical protein
A0A225WZW1	NBNE01000131	-4	0	16830	17405	+	OWZ22506.1	PHMEG_0002793	Elicitin
A0A225WZW1	NBNE01000131	-3	0	17503	17985	+	OWZ22507.1	PHMEG_0002794	Elicitin
A0A225WZW1	NBNE01000131	-2	0	18025	19446	-	OWZ22499.1	PHMEG_0002783	S-adenosylhomocysteine deaminase
A0A225WZW1	NBNE01000131	-1	0	19625	21522	-	OWZ22500.1	PHMEG_0002784	hypothetical protein
A0A225WZW1	NBNE01000131	0	1	22843	24577	+	OWZ22508.1	PHMEG_0002795	hypothetical protein
A0A225WZW1	NBNE01000131	1	0	24744	28193	-	OWZ22501.1	PHMEG_0002785	DNA-directed RNA polymerase III
A0A225WZW1	NBNE01000131	2	0	29688	31063	+	OWZ22509.1	PHMEG_0002796	hypothetical protein
A0A225WZW1	NBNE01000131	3	0	31468	35754	-	OWZ22502.1	PHMEG_0002787	hypothetical protein
A0A225WZW1	NBNE01000131	4	0	36598	37995	-	OWZ22503.1	PHMEG_0002788	hypothetical protein
A0A6A3MUA3	QXFT01000377	-10	0	235	839	+	KAE9345684.1	PR003_g7823	hypothetical protein
A0A6A3MUA3	QXFT01000377	-9	0	1109	1354	-	KAE9345681.1	PR003_g7824	hypothetical protein
A0A6A3MUA3	QXFT01000377	-8	0	2049	3621	-	KAE9345680.1	PR003_g7825	hypothetical protein
A0A6A3MUA3	QXFT01000377	-7	0	4644	6127	+	KAE9345683.1	PR003_g7826	hypothetical protein
A0A6A3MUA3	QXFT01000377	-6	0	6342	8232	+	KAE9345682.1	PR003_g7827	hypothetical protein
A0A6A3MUA3	QXFT01000377	-5	0	8319	8735	-	KAE9345679.1	PR003_g7828	hypothetical protein
A0A6A3MUA3	QXFT01000377	-4	0	8869	8973	-	KAE9345678.1	PR003_g7829	hypothetical protein
A0A6A3MUA3	QXFT01000377	-3	0	9100	9510	+	KAE9345673.1	PR003_g7830	hypothetical protein
A0A6A3MUA3	QXFT01000377	-2	0	9613	11037	-	KAE9345674.1	PR003_g7831	5-methylthioadenosine/S-adenosylhomocysteine deaminase
A0A6A3MUA3	QXFT01000377	-1	0	11270	14752	+	KAE9345672.1	PR003_g7832	DNA-directed RNA polymerase III subunit
A0A6A3MUA3	QXFT01000377	0	1	14934	16567	-	KAE9345677.1	PR003_g7833	hypothetical protein
A0A6A3MUA3	QXFT01000377	1	0	17655	17777	+	KAE9345670.1	PR003_g7834	hypothetical protein
A0A6A3MUA3	QXFT01000377	2	0	18227	20040	+	KAE9345671.1	PR003_g7835	hypothetical protein
A0A6A3MUA3	QXFT01000377	3	0	20249	20731	+	KAE9345668.1	PR003_g7836	hypothetical protein
A0A6A3MUA3	QXFT01000377	4	0	20964	22108	-	KAE9345669.1	PR003_g7837	hypothetical protein
A0A6A3MUA3	QXFT01000377	5	0	22549	23203	+	KAE9345666.1	PR003_g7838	hypothetical protein
A0A6A3MUA3	QXFT01000377	6	0	24138	29081	-	KAE9345667.1	PR003_g7839	hypothetical protein
A0A6A3MUA3	QXFT01000377	7	0	29212	30795	-	KAE9345676.1	PR003_g7840	hypothetical protein
A0A6A3MUA3	QXFT01000377	8	0	32218	33192	+	KAE9345675.1	PR003_g7841	hypothetical protein
A0A329SW91	MJFZ01000035	-10	0	36650	37231	+	RAW41148.1	PC110_g2623	hypothetical protein
A0A329SW91	MJFZ01000035	-9	0	37306	39209	-	RAW41141.1	PC110_g2624	hypothetical protein
A0A329SW91	MJFZ01000035	-8	0	39626	40126	+	RAW41142.1	PC110_g2625	hypothetical protein
A0A329SW91	MJFZ01000035	-7	0	40293	41714	+	RAW41143.1	PC110_g2626	5-methylthioadenosine/S-adenosylhomocysteine deaminase
A0A329SW91	MJFZ01000035	-6	0	41810	42268	-	RAW41144.1	PC110_g2627	hypothetical protein
A0A329SW91	MJFZ01000035	-5	0	42506	42937	+	RAW41149.1	PC110_g2628	hypothetical protein
A0A329SW91	MJFZ01000035	-4	0	42990	44736	-	RAW41150.1	PC110_g2629	hypothetical protein
A0A329SW91	MJFZ01000035	-3	0	44839	45794	-	RAW41159.1	PC110_g2630	hypothetical protein
A0A329SW91	MJFZ01000035	-2	0	45875	46276	-	RAW41158.1	PC110_g2631	hypothetical protein
A0A329SW91	MJFZ01000035	-1	0	46479	46901	-	RAW41164.1	PC110_g2632	hypothetical protein
A0A329SW91	MJFZ01000035	0	1	47527	49326	-	RAW41157.1	PC110_g2633	hypothetical protein
A0A329SW91	MJFZ01000035	1	0	50849	52608	+	RAW41163.1	PC110_g2634	hypothetical protein
A0A329SW91	MJFZ01000035	2	0	53537	57010	-	RAW41162.1	PC110_g2635	DNA-directed RNA polymerase III subunit
A0A329SW91	MJFZ01000035	3	0	57262	58344	-	RAW41161.1	PC110_g2636	hypothetical protein
A0A329SW91	MJFZ01000035	4	0	58593	59395	+	RAW41160.1	PC110_g2637	hypothetical protein
A0A329SW91	MJFZ01000035	5	0	60094	65016	-	RAW41156.1	PC110_g2638	hypothetical protein
A0A329SW91	MJFZ01000035	6	0	65078	66475	-	RAW41155.1	PC110_g2639	hypothetical protein
A0A329SW91	MJFZ01000035	7	0	68459	69595	+	RAW41186.1	PC110_g2640	hypothetical protein
A0A329SW91	MJFZ01000035	8	0	70859	72333	+	RAW41187.1	PC110_g2641	hypothetical protein
A0A329SW91	MJFZ01000035	9	0	72412	72945	+	RAW41184.1	PC110_g2642	hypothetical protein
A0A329SW91	MJFZ01000035	10	0	77935	78656	+	RAW41185.1	PC110_g2643	hypothetical protein
A0A6A4E140	QXGB01000477	-8	0	1222	2793	-	KAE9213507.1	PF005_g10165	hypothetical protein
A0A6A4E140	QXGB01000477	-7	0	3816	4190	+	KAE9213509.1	PF005_g10166	hypothetical protein
A0A6A4E140	QXGB01000477	-6	0	4332	5295	+	KAE9213508.1	PF005_g10167	hypothetical protein
A0A6A4E140	QXGB01000477	-5	0	5505	7389	+	KAE9213506.1	PF005_g10168	hypothetical protein
A0A6A4E140	QXGB01000477	-4	0	7476	7892	-	KAE9213505.1	PF005_g10169	hypothetical protein
A0A6A4E140	QXGB01000477	-3	0	8208	8387	+	KAE9213520.1	PF005_g10170	hypothetical protein
A0A6A4E140	QXGB01000477	-2	0	8778	10202	-	KAE9213521.1	PF005_g10171	5-methylthioadenosine/S-adenosylhomocysteine deaminase
A0A6A4E140	QXGB01000477	-1	0	10435	13917	+	KAE9213518.1	PF005_g10172	DNA-directed RNA polymerase III subunit
