accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A0V0S806	6336		JYDL01000028	KRX22899.1	Genomic_DNA	1
A0A0V0TGR2	144512		JYDJ01000280	KRX38134.1	Genomic_DNA	1
A0A0V0YE73						0
A0A0V1AAJ2	990121		JYDQ01000014	KRY21668.1	Genomic_DNA	1
A0A0V1ABN4	990121		JYDQ01000014	KRY21667.1	Genomic_DNA	1
A0A0V1BIN6	6334		JYDH01000042	KRY36467.1	Genomic_DNA	1
A0A0V1DE70	45882		JYDI01000010	KRY59688.1	Genomic_DNA	1
A0A0V1ESS6						0
A0A0V1G4S3	6337		JYDT01000003	KRY93284.1	Genomic_DNA	1
A0A0V1I3Y0	268475		JYDP01000008	KRZ17010.1	Genomic_DNA	1
A0A0V1JHS7	6337		JYDS01000003	KRZ34556.1	Genomic_DNA	1
A0A0V1KD92						0
A0A0V1KR57	6335		JYDW01000288	KRZ49896.1	Genomic_DNA	1
A0A0V1MUW3	268474		JYDO01000040	KRZ75246.1	Genomic_DNA	1
