query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A0A7CP65	JNBR01001475	-10	0	5370	6901	+	OQR86929.1	ACHHYP_09724	cystathionine beta-lyase
A0A0A7CP65	JNBR01001475	-9	0	7448	9430	+	OQR86926.1	ACHHYP_09725	hypothetical protein
A0A0A7CP65	JNBR01001475	-8	0	10664	11152	+	OQR86935.1	ACHHYP_09726	hypothetical protein
A0A0A7CP65	JNBR01001475	-7	0	13308	14381	+	OQR86941.1	ACHHYP_09728	hypothetical protein
A0A0A7CP65	JNBR01001475	-6	0	16697	17244	-	OQR86933.1	ACHHYP_09730	hypothetical protein
A0A0A7CP65	JNBR01001475	-5	0	20106	21093	-	OQR86927.1	ACHHYP_09731	NLI interacting factor-like phosphatase
A0A0A7CP65	JNBR01001475	-4	0	23061	23945	+	OQR86936.1	ACHHYP_09733	autophagy-related protein 7
A0A0A7CP65	JNBR01001475	-3	0	25702	26869	-	OQR86938.1	ACHHYP_09734	hypothetical protein
A0A0A7CP65	JNBR01001475	-2	0	27779	29134	-	OQR86944.1	ACHHYP_09735	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family
A0A0A7CP65	JNBR01001475	-1	0	30116	30610	+	OQR86930.1	ACHHYP_09736	hypothetical protein
A0A0A7CP65	JNBR01001475	0	1	31776	34298	+	OQR86922.1	ACHHYP_09737	hypothetical protein
A0A0A7CP65	JNBR01001475	1	0	34416	34989	+	OQR86928.1	ACHHYP_09738	hypothetical protein
A0A0A7CP65	JNBR01001475	2	0	35574	36235	-	OQR86923.1	ACHHYP_09739	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily
A0A0A7CP65	JNBR01001475	3	0	38527	39076	-	OQR86939.1	ACHHYP_09740	hypothetical protein
A0A0A7CP65	JNBR01001475	4	0	42675	43378	+	OQR86931.1	ACHHYP_09741	WD domain-containing protein
A0A0A7CP65	JNBR01001475	5	0	47792	48913	+	OQR86925.1	ACHHYP_09744	serine/threonine-protein phosphatase PP2A
A0A0A7CP65	JNBR01001475	6	0	49140	50186	-	OQR86934.1	ACHHYP_09745	S-adenosylmethionine tRNA ribosyltransferase
A0A0A7CP65	JNBR01001475	7	0	50927	51914	+	OQR86924.1	ACHHYP_09746	ATP-dependent RNA helicase
A0A0A7CP65	JNBR01001475	8	0	54106	54535	-	OQR86940.1	ACHHYP_09747	hypothetical protein
A0A0A7CP65	JNBR01001475	9	0	56529	60700	+	OQR86942.1	ACHHYP_09748	hypothetical protein
A0A0A7CP65	JNBR01001475	10	0	61235	62179	-	OQR86921.1	ACHHYP_09751	membrane protein
A0A1V9YE51	JNBS01004173	0	1	1	2137	+	OQR83990.1	THRCLA_10888	hypothetical protein
A0A1V9YE51	JNBS01004173	1	0	2616	3284	-	OQR83989.1	THRCLA_10890	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily
A0A0P1ANE6	CCYD01000645	-10	0	786415	788046	-	CEG42531.1	PHALS_12798	hypothetical protein
A0A0P1ANE6	CCYD01000645	-9	0	793178	794413	+	CEG42532.1	PHALS_12799	hypothetical protein
A0A0P1ANE6	CCYD01000645	-8	0	795314	795538	+	CEG42533.1	PHALS_14636	hypothetical protein
A0A0P1ANE6	CCYD01000645	-7	0	803688	804027	+	CEG42534.1	PHALS_12800	hypothetical protein
A0A0P1ANE6	CCYD01000645	-6	0	805729	805957	-	CEG42535.1	PHALS_12801	serine threonine protein kinase
A0A0P1ANE6	CCYD01000645	-5	0	814708	815864	+	CEG42536.1	PHALS_12802	hypothetical protein L915_17717
A0A0P1ANE6	CCYD01000645	-4	0	815888	816370	-	CEG42537.1	PHALS_12803	gnat family protein
A0A0P1ANE6	CCYD01000645	-3	0	816418	816893	+	CEG42538.1	PHALS_12804	hypothetical protein
A0A0P1ANE6	CCYD01000645	-2	0	817107	817611	-	CEG42539.1	PHALS_12805	agc pkg protein kinase
A0A0P1ANE6	CCYD01000645	-1	0	821586	825872	+	CEG42540.1	PHALS_12806	RAVE (regulator of V-ATPase assembly) complex subunit RAV1/DMX protein, WD repeat superfamily
A0A0P1ANE6	CCYD01000645	0	1	830287	831708	-	CEG42541.1	PHALS_12807	RxLR-like protein
A0A0P1ANE6	CCYD01000645	1	0	832008	834458	+	CEG42542.1	PHALS_12808	hypothetical protein
A0A0P1ANE6	CCYD01000645	2	0	834680	840856	+	CEG42543.1	PHALS_12809	hypothetical protein
A0A0P1ANE6	CCYD01000645	3	0	841260	841723	+	CEG42544.1	PHALS_12810	transcription initiation factor tfiid
A0A0P1ANE6	CCYD01000645	4	0	841786	842363	-	CEG42545.1	PHALS_12811	RxLR-like protein
A0A0P1ANE6	CCYD01000645	5	0	845146	850922	+	CEG42546.1	PHALS_12812	hypothetical protein F443_03822
A0A0P1ANE6	CCYD01000645	6	0	852515	853972	-	CEG42547.1	PHALS_12813	hypothetical protein
A0A0P1ANE6	CCYD01000645	7	0	859857	860756	-	CEG42548.1	PHALS_12814	hypothetical protein
A0A0P1ANE6	CCYD01000645	8	0	860902	861192	-	CEG42549.1	PHALS_14637	hypothetical protein
A0A0P1ANE6	CCYD01000645	9	0	863566	864957	-	CEG42550.1	PHALS_12815	DOWNSTREAM NEIGHBOR OF SON
A0A0P1ANE6	CCYD01000645	10	0	869989	871533	+	CEG42551.1	PHALS_12816	glucuronosyltransferase pgsip8-like
A0A1V9Z4B6	JNBR01000437	-1	0	1063	2115	+	OQR92866.1	ACHHYP_03115	hypothetical protein
A0A1V9Z4B6	JNBR01000437	0	1	2622	4253	+	OQR92863.1	ACHHYP_03117	hypothetical protein
A0A1V9Z4B6	JNBR01000437	1	0	4364	5254	-	OQR92870.1	ACHHYP_03118	hypothetical protein
A0A1V9Z4B6	JNBR01000437	2	0	6567	7334	-	OQR92865.1	ACHHYP_03119	hypothetical protein
A0A1V9Z4B6	JNBR01000437	3	0	8223	8996	-	OQR92881.1	ACHHYP_03120	phosphatidylinositide phosphatase SAC1-like protein
A0A1V9Z4B6	JNBR01000437	4	0	10990	11501	+	OQR92871.1	ACHHYP_03121	hypothetical protein
A0A1V9Z4B6	JNBR01000437	5	0	12353	12793	-	OQR92860.1	ACHHYP_03122	hypothetical protein
A0A1V9Z4B6	JNBR01000437	6	0	13914	14257	+	OQR92876.1	ACHHYP_03123	hypothetical protein
A0A1V9Z4B6	JNBR01000437	7	0	15476	15970	+	OQR92858.1	ACHHYP_03124	hypothetical protein
A0A1V9Z4B6	JNBR01000437	8	0	16035	16470	-	OQR92882.1	ACHHYP_03125	hypothetical protein
A0A1V9Z4B6	JNBR01000437	9	0	17726	18217	-	OQR92877.1	ACHHYP_03126	hypothetical protein
A0A1V9Z4B6	JNBR01000437	10	0	18665	20210	+	OQR92861.1	ACHHYP_03127	hypothetical protein
A0A3M6VLC9	QLLG01000173	-10	0	59637	60149	-	RMX67202.1	DD238_002285	hypothetical protein
A0A3M6VLC9	QLLG01000173	-9	0	60913	64405	-	RMX67201.1	DD238_002286	hypothetical protein
A0A3M6VLC9	QLLG01000173	-8	0	65541	66352	+	RMX67200.1	DD238_002287	hypothetical protein
A0A3M6VLC9	QLLG01000173	-7	0	66773	67525	+	RMX67205.1	DD238_002288	hypothetical protein
A0A3M6VLC9	QLLG01000173	-6	0	69687	72453	-	RMX67204.1	DD238_002289	hypothetical protein
A0A3M6VLC9	QLLG01000173	-5	0	74050	75233	+	RMX67189.1	DD238_002290	hypothetical protein
A0A3M6VLC9	QLLG01000173	-4	0	75277	75759	-	RMX67190.1	DD238_002291	hypothetical protein
A0A3M6VLC9	QLLG01000173	-3	0	75800	76432	+	RMX67191.1	DD238_002292	hypothetical protein
A0A3M6VLC9	QLLG01000173	-2	0	76571	77228	-	RMX67192.1	DD238_002293	hypothetical protein
A0A3M6VLC9	QLLG01000173	-1	0	81568	89925	+	RMX67186.1	DD238_002294	hypothetical protein
A0A3M6VLC9	QLLG01000173	0	1	91271	92903	-	RMX67187.1	DD238_002295	hypothetical protein
A0A3M6VLC9	QLLG01000173	1	0	93158	95641	+	RMX67188.1	DD238_002296	hypothetical protein
A0A3R6YR15	QUSY01003588	0	1	433	1870	+	RHY16984.1	DYB32_010590	hypothetical protein
A0A3R7FX46	MBDN02000092	-4	0	707	1243	-	RLN80993.1	BBO99_00004101	hypothetical protein
A0A3R7FX46	MBDN02000092	-3	0	3319	5674	+	RLN80992.1	BBO99_00004102	hypothetical protein
A0A3R7FX46	MBDN02000092	-2	0	10823	12062	+	RLN80991.1	BBO99_00004103	hypothetical protein
A0A3R7FX46	MBDN02000092	-1	0	12342	14840	-	RLN80990.1	BBO99_00004104	hypothetical protein
A0A3R7FX46	MBDN02000092	0	1	18164	19587	-	RLN80989.1	BBO99_00004105	hypothetical protein
A0A3R7FX46	MBDN02000092	1	0	21200	29822	+	RLN80988.1	BBO99_00004106	hypothetical protein
A0A3R7FX46	MBDN02000092	2	0	32259	37952	-	RLN80987.1	BBO99_00004107	hypothetical protein
A0A3R7FX46	MBDN02000092	3	0	50064	52167	+	RLN80986.1	BBO99_00004108	hypothetical protein
A0A3R7FX46	MBDN02000092	4	0	55147	55888	-	RLN80985.1	BBO99_00004109	hypothetical protein
A0A3R7FX46	MBDN02000092	5	0	56057	56740	-	RLN80979.1	BBO99_00004110	hypothetical protein
A0A3R7FX46	MBDN02000092	6	0	56952	61813	+	RLN80980.1	BBO99_00004111	hypothetical protein
A0A3R7FX46	MBDN02000092	7	0	62870	64507	+	RLN80994.1	BBO99_00004112	hypothetical protein
A0A3R7FX46	MBDN02000092	8	0	64840	68247	-	RLN80995.1	BBO99_00004113	hypothetical protein
A0A3R7FX46	MBDN02000092	9	0	68423	69563	+	RLN80981.1	BBO99_00004114	hypothetical protein
A0A3R7FX46	MBDN02000092	10	0	70004	71073	-	RLN80982.1	BBO99_00004115	hypothetical protein
A0A485KPS2	CAADRA010005211	-10	0	19993	20920	+	VFT87064.1	ASTE57867_10188	hypothetical protein
A0A485KPS2	CAADRA010005211	-9	0	21228	21669	-	VFT87065.1	ASTE57867_10189	hypothetical protein
A0A485KPS2	CAADRA010005211	-8	0	22981	23765	-	VFT87066.1	ASTE57867_10190	hypothetical protein
A0A485KPS2	CAADRA010005211	-7	0	25120	26345	+	VFT87067.1	ASTE57867_10191	hypothetical protein
A0A485KPS2	CAADRA010005211	-6	0	27035	28530	+	VFT87068.1	ASTE57867_10192	hypothetical protein
A0A485KPS2	CAADRA010005211	-5	0	28768	29655	+	VFT87069.1	ASTE57867_10193	hypothetical protein
A0A485KPS2	CAADRA010005211	-4	0	34800	36827	-	VFT87070.1	ASTE57867_10194	hypothetical protein
A0A485KPS2	CAADRA010005211	-3	0	37901	39176	-	VFT87071.1	ASTE57867_10195	hypothetical protein
A0A485KPS2	CAADRA010005211	-2	0	40155	42320	-	VFT87072.1	ASTE57867_10196	hypothetical protein
A0A485KPS2	CAADRA010005211	-1	0	44222	45876	-	VFT87073.1	ASTE57867_10197	hypothetical protein
A0A485KPS2	CAADRA010005211	0	1	47155	49037	-	VFT87074.1	ASTE57867_10198	hypothetical protein
A0A485KPS2	CAADRA010005211	1	0	50033	51229	-	VFT87075.1	ASTE57867_10199	hypothetical protein
A0A485KPS2	CAADRA010005211	2	0	51430	52432	+	VFT87076.1	ASTE57867_10200	hypothetical protein
A0A485KPS2	CAADRA010005211	3	0	52437	53835	-	VFT87077.1	ASTE57867_10201	hypothetical protein
A0A485KPS2	CAADRA010005211	4	0	53935	54685	+	VFT87078.1	ASTE57867_10202	hypothetical protein
A0A485KPS2	CAADRA010005211	5	0	56319	56567	-	VFT87079.1	ASTE57867_10203	hypothetical protein
A0A485KPS2	CAADRA010005211	6	0	57305	58637	-	VFT87080.1	ASTE57867_10204	hypothetical protein
A0A485KPS2	CAADRA010005211	7	0	59373	60643	-	VFT87081.1	ASTE57867_10205	hypothetical protein
A0A485KPS2	CAADRA010005211	8	0	61683	63284	+	VFT87082.1	ASTE57867_10206	hypothetical protein
A0A485KPS2	CAADRA010005211	9	0	64212	66240	+	VFT87083.1	ASTE57867_10207	hypothetical protein
A0A485KPS2	CAADRA010005211	10	0	67212	67988	-	VFT87084.1	ASTE57867_10208	hypothetical protein
A0A6A3FBU7	QXGB01000258	-5	0	628	2348	-	KAE9222273.1	PF005_g6750	hypothetical protein
A0A6A3FBU7	QXGB01000258	-4	0	3050	3917	+	KAE9222274.1	PF005_g6751	hypothetical protein
A0A6A3FBU7	QXGB01000258	-3	0	4426	5763	-	KAE9222275.1	PF005_g6752	hypothetical protein
A0A6A3FBU7	QXGB01000258	-2	0	6290	14402	-	KAE9222276.1	PF005_g6753	hypothetical protein
A0A6A3FBU7	QXGB01000258	-1	0	15848	18412	-	KAE9222277.1	PF005_g6754	hypothetical protein
A0A6A3FBU7	QXGB01000258	0	1	19309	20971	+	KAE9222278.1	PF005_g6755	hypothetical protein
A0A6A3FBU7	QXGB01000258	1	0	21521	22002	-	KAE9222279.1	PF005_g6756	hypothetical protein
A0A6A3FBU7	QXGB01000258	2	0	23244	24427	+	KAE9222280.1	PF005_g6757	hypothetical protein
A0A6A3FBU7	QXGB01000258	3	0	25141	26250	+	KAE9222271.1	PF005_g6758	hypothetical protein
A0A6A3FBU7	QXGB01000258	4	0	26615	31019	-	KAE9222272.1	PF005_g6759	hypothetical protein
A0A6A3FBU7	QXGB01000258	5	0	36630	36791	-	KAE9222282.1	PF005_g6760	hypothetical protein
A0A6A3FBU7	QXGB01000258	6	0	36966	38768	+	KAE9222281.1	PF005_g6761	Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein
A0A833WLV2	WSZM01000125	-10	0	426672	427190	+	KAF4041380.1	GN244_ATG06377	hypothetical protein
A0A833WLV2	WSZM01000125	-9	0	427406	431713	-	KAF4041381.1	GN244_ATG06378	Oligonucleotide/oligosaccharide-binding (OB)-fold
A0A833WLV2	WSZM01000125	-8	0	435341	435538	+	KAF4041382.1	GN244_ATG06379	hypothetical protein
A0A833WLV2	WSZM01000125	-7	0	435818	436123	-	KAF4041383.1	GN244_ATG06380	hypothetical protein
A0A833WLV2	WSZM01000125	-6	0	445269	445595	-	KAF4041384.1	GN244_ATG06381	hypothetical protein
A0A833WLV2	WSZM01000125	-5	0	446329	447288	+	KAF4041385.1	GN244_ATG06382	ABC transporter
A0A833WLV2	WSZM01000125	-4	0	447443	449377	+	KAF4041386.1	GN244_ATG06383	hypothetical protein
A0A833WLV2	WSZM01000125	-3	0	449926	454691	+	KAF4041387.1	GN244_ATG06384	Protein kinase domain
A0A833WLV2	WSZM01000125	-2	0	456406	456807	-	KAF4041388.1	GN244_ATG06385	hypothetical protein
A0A833WLV2	WSZM01000125	-1	0	459086	459616	-	KAF4041389.1	GN244_ATG06386	GRIP domain-containing protein
A0A833WLV2	WSZM01000125	0	1	468755	470201	-	KAF4041390.1	GN244_ATG06387	Common central domain of tyrosinase
A0A833WLV2	WSZM01000125	1	0	470543	472921	+	KAF4041391.1	GN244_ATG06388	hypothetical protein
A0A833WLV2	WSZM01000125	2	0	473188	477157	-	KAF4041392.1	GN244_ATG06389	C2 domain
A0A833WLV2	WSZM01000125	3	0	477262	477523	-	KAF4041393.1	GN244_ATG06390	RAVE protein 1 C terminal
A0A833WLV2	WSZM01000125	4	0	483209	484259	+	KAF4041394.1	GN244_ATG06391	Protein kinase domain
A0A833WLV2	WSZM01000125	5	0	487408	487607	-	KAF4041395.1	GN244_ATG06392	hypothetical protein
A0A833WLV2	WSZM01000125	6	0	488088	488564	+	KAF4041396.1	GN244_ATG06393	Acetyltransferase (GNAT) domain
A0A833WLV2	WSZM01000125	7	0	488613	489774	-	KAF4041397.1	GN244_ATG06394	2OG-Fe(II) oxygenase superfamily
A0A833WLV2	WSZM01000125	8	0	493125	493659	-	KAF4041398.1	GN244_ATG06396	hypothetical protein
A0A833WLV2	WSZM01000125	9	0	493987	494580	+	KAF4041399.1	GN244_ATG06397	hypothetical protein
A0A833WLV2	WSZM01000125	10	0	515122	515349	+	KAF4041400.1	GN244_ATG06399	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-7	0	1515	4045	+	KAG6969482.1	JG688_00005298	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-6	0	5316	6215	+	KAG6969471.1	JG688_00005299	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-5	0	6912	7667	+	KAG6969472.1	JG688_00005300	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-4	0	7888	8286	-	KAG6969475.1	JG688_00005301	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-3	0	9896	10084	-	KAG6969473.1	JG688_00005302	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-2	0	10791	18471	-	KAG6969474.1	JG688_00005303	hypothetical protein
A0A8J5IZX1	JAENGY010000208	-1	0	18995	21517	-	KAG6969478.1	JG688_00005304	hypothetical protein
A0A8J5IZX1	JAENGY010000208	0	1	21723	23351	+	KAG6969479.1	JG688_00005305	hypothetical protein
