protein_id	pfam
ETI42076	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
ETI42077	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
ETI42078	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
ETI42079	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
ETI42080	PF00041|Fibronectin type III domain;PF12810|ALK/LTK, Glycine-rich domain;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
ETI42081	PF00266|Aminotransferase class-V
ETI42082	
ETI42083	
ETI42084	
ETI42085	PF00264|Common central domain of tyrosinase
ETI42087	PF00264|Common central domain of tyrosinase
ETI42088	PF00964|Elicitin
ETI42089	
ETI42090	
ETI42091	
ETI42092	PF01979|Amidohydrolase family
ETI42093	PF00964|Elicitin
ETI42094	PF00964|Elicitin
ETI42095	PF00566|Rab-GTPase-TBC domain
ETI42096	PF00566|Rab-GTPase-TBC domain
KAE9213503	
KAE9213504	PF00266|Aminotransferase class-V
KAE9213505	
KAE9213506	
KAE9213507	PF00566|Rab-GTPase-TBC domain
KAE9213508	
KAE9213509	PF00964|Elicitin
KAE9213510	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
KAE9213511	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
KAE9213512	PF00041|Fibronectin type III domain;PF01344|Kelch motif;PF12810|ALK/LTK, Glycine-rich domain;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
KAE9213513	PF01344|Kelch motif;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
KAE9213514	PF00964|Elicitin
KAE9213515	
KAE9213516	
KAE9213517	PF00264|Common central domain of tyrosinase
KAE9213518	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
KAE9213520	
KAE9213521	PF01979|Amidohydrolase family
KAE9345666	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
KAE9345667	PF00041|Fibronectin type III domain;PF01344|Kelch motif;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
KAE9345668	PF00964|Elicitin
KAE9345669	
KAE9345670	
KAE9345671	PF00264|Common central domain of tyrosinase
KAE9345672	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
KAE9345673	PF00964|Elicitin
KAE9345674	PF01979|Amidohydrolase family
KAE9345675	
KAE9345676	PF00266|Aminotransferase class-V
KAE9345678	
KAE9345679	
KAE9345680	PF00566|Rab-GTPase-TBC domain
KAE9345681	
KAE9345682	
KAE9345683	
KAE9345684	
KAG6972960	PF01979|Amidohydrolase family
KAG6972961	PF00964|Elicitin
KAG6972962	PF00566|Rab-GTPase-TBC domain
KAG6972963	
KAG6972964	
KAG6972965	
KAG6972966	PF01369|Sec7 domain;PF12783|Mon2/Sec7/BIG1-like, HUS domain;PF23325|GBF1-like, tetratrico peptide repeat region
KAG6972967	
KAG6972968	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
KAG6972969	PF00041|Fibronectin type III domain;PF01344|Kelch motif;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
KAG6972970	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
KAG6972971	
KAG6972972	PF00266|Aminotransferase class-V
KAG6972973	
KAG6972975	PF00264|Common central domain of tyrosinase
KAG6972977	
KAG6972978	PF00964|Elicitin
KAG7388154	PF05603|Hikeshi-like, N-terminal domain;PF21057|Hikeshi-like, C-terminal domain
KAG7388155	
KAG7388156	PF00266|Aminotransferase class-V
KAG7388157	PF00041|Fibronectin type III domain;PF12810|ALK/LTK, Glycine-rich domain;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
KAG7388158	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
KAG7388159	
KAG7388160	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
KAG7388162	PF00264|Common central domain of tyrosinase
KAG7388163	PF00964|Elicitin
KAG7388164	
KAG7388165	
KAG7388166	
KAG7388167	PF00964|Elicitin
KAG7388168	PF01979|Amidohydrolase family
KAG7388169	PF00964|Elicitin
KAG7388170	PF00566|Rab-GTPase-TBC domain
KAG7388171	
KAL3669431	PF00566|Rab-GTPase-TBC domain
KAL3669433	PF00964|Elicitin
KAL3669434	
KAL3669435	
KAL3669436	
KAL3669437	
KAL3669438	PF00964|Elicitin
KAL3669439	PF00964|Elicitin
KAL3669440	PF01979|Amidohydrolase family
KAL3669441	PF00264|Common central domain of tyrosinase
KAL3669443	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
KAL3669444	
KAL3669445	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
KAL3669446	
KAL3669447	
KAL3669448	PF00664|ABC transporter transmembrane region
KAL3669449	
KAL3669450	PF00266|Aminotransferase class-V
KAL3669451	PF00041|Fibronectin type III domain;PF12810|ALK/LTK, Glycine-rich domain;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
KAL3669452	PF05603|Hikeshi-like, N-terminal domain;PF21057|Hikeshi-like, C-terminal domain
OWZ22496	PF01369|Sec7 domain;PF12783|Mon2/Sec7/BIG1-like, HUS domain;PF16213|Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain;PF23325|GBF1-like, tetratrico peptide repeat region
OWZ22497	PF00566|Rab-GTPase-TBC domain
OWZ22498	
OWZ22499	PF01979|Amidohydrolase family
OWZ22500	PF00264|Common central domain of tyrosinase
OWZ22501	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
OWZ22502	PF00041|Fibronectin type III domain;PF12810|ALK/LTK, Glycine-rich domain;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
OWZ22503	PF00266|Aminotransferase class-V
OWZ22504	
OWZ22505	
OWZ22506	PF00964|Elicitin
OWZ22507	PF00964|Elicitin
OWZ22509	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
RAW41141	PF00566|Rab-GTPase-TBC domain
RAW41142	PF00964|Elicitin
RAW41143	PF01979|Amidohydrolase family
RAW41144	PF00964|Elicitin
RAW41148	
RAW41149	
RAW41150	
RAW41155	PF00266|Aminotransferase class-V
RAW41156	PF00041|Fibronectin type III domain;PF01344|Kelch motif;PF12810|ALK/LTK, Glycine-rich domain;PF24681|KLHDC2/KLHL20/DRC7 Kelch-repeats domain
RAW41158	PF00964|Elicitin
RAW41159	
RAW41160	PF12640|Peptide arginase FlmR/OhkR-like, N-terminal domain
RAW41161	
RAW41162	PF00562|RNA polymerase Rpb2, domain 6;PF04560|RNA polymerase Rpb2, domain 7;PF04561|RNA polymerase Rpb2, domain 2;PF04563|RNA polymerase beta subunit;PF04565|RNA polymerase Rpb2, domain 3;PF04566|RNA polymerase Rpb2, domain 4;PF04567|RNA polymerase Rpb2, domain 5
RAW41163	PF00264|Common central domain of tyrosinase
RAW41164	
RAW41184	
RAW41185	PF05603|Hikeshi-like, N-terminal domain;PF21057|Hikeshi-like, C-terminal domain
RAW41186	
RAW41187	
