accession	pool	length	ndom_chainsaw	pfam_id	pfam_name	env_from	env_to	dom_evalue	description
A0A010Q293	canonical	343	1	PF00264	Tyrosinase	80	266	1.9e-38	Common central domain of tyrosinase
A0A010Q4B9	canonical	404	1	PF00264	Tyrosinase	111	343	2.5e-55	Common central domain of tyrosinase
A0A010QAA5	canonical	403	2	PF00264	Tyrosinase	109	346	2.3e-55	Common central domain of tyrosinase
A0A010QHN9	canonical	399	1	PF00264	Tyrosinase	113	339	6.0e-48	Common central domain of tyrosinase
A0A010QIY5	discarded	415	3	PF00264	Tyrosinase	53	237	2.5e-19	Common central domain of tyrosinase
A0A010QL93	canonical	324	1	PF00264	Tyrosinase	67	249	4.3e-39	Common central domain of tyrosinase
A0A010QPL7	canonical	361	1	PF00264	Tyrosinase	75	297	4.0e-41	Common central domain of tyrosinase
A0A010QXZ0	canonical	368	1	PF00264	Tyrosinase	65	291	1.0e-31	Common central domain of tyrosinase
A0A010QYY8	canonical	363	1	PF00264	Tyrosinase	77	299	2.0e-39	Common central domain of tyrosinase
A0A010R234	discarded	623	2	PF00264	Tyrosinase	62	311	4.4e-28	Common central domain of tyrosinase
A0A010R234	discarded	623	2	PF18132	Tyrosinase_C	451	578	6.2e-31	Tyrosinase C-terminal domain
A0A010R9A2	canonical	409	2	PF00264	Tyrosinase	113	349	1.2e-60	Common central domain of tyrosinase
A0A010RBA2	canonical	549	2	PF00264	Tyrosinase	75	314	9.4e-37	Common central domain of tyrosinase
A0A010RL70	canonical	415	1	PF00264	Tyrosinase	118	357	2.2e-52	Common central domain of tyrosinase
A0A010RM53	canonical	338	1	PF00264	Tyrosinase	70	282	1.5e-42	Common central domain of tyrosinase
A0A010RPY0	canonical	383	1	PF00264	Tyrosinase	97	326	3.0e-60	Common central domain of tyrosinase
A0A010RQ21	canonical	392	1	PF00264	Tyrosinase	104	335	9.8e-59	Common central domain of tyrosinase
A0A010RR72	discarded	596	2	PF00264	Tyrosinase	56	324	4.2e-21	Common central domain of tyrosinase
A0A010RR72	discarded	596	2	PF18132	Tyrosinase_C	409	548	6.4e-31	Tyrosinase C-terminal domain
A0A010RUM6	canonical	516	2	PF00264	Tyrosinase	36	324	5.9e-44	Common central domain of tyrosinase
A0A010RV53	noncanonical	488	1	PF00264	Tyrosinase	195	431	1.3e-51	Common central domain of tyrosinase
A0A010RV80	canonical	353	1	PF00264	Tyrosinase	79	273	3.0e-42	Common central domain of tyrosinase
A0A010RY59	canonical	764	3	PF00264	Tyrosinase	73	324	4.1e-44	Common central domain of tyrosinase
A0A010RY59	canonical	764	3	PF18132	Tyrosinase_C	465	580	5.5e-35	Tyrosinase C-terminal domain
A0A010RY59	canonical	764	3	PF01423	LSM	647	712	3.7e-14	LSM domain
A0A010RYF3	canonical	750	3	PF00264	Tyrosinase	489	693	4.4e-42	Common central domain of tyrosinase
A0A010S1R5	discarded	684	2	PF00264	Tyrosinase	67	337	9.9e-43	Common central domain of tyrosinase
A0A010S1R5	discarded	684	2	PF18132	Tyrosinase_C	511	637	1.6e-33	Tyrosinase C-terminal domain
A0A010S6Q2	canonical	380	1	PF00264	Tyrosinase	95	323	4.9e-60	Common central domain of tyrosinase
A0A010SFQ0	canonical	348	1	PF00264	Tyrosinase	74	285	3.3e-37	Common central domain of tyrosinase
A0A010SKU6	canonical	529	2	PF00264	Tyrosinase	42	328	1.8e-34	Common central domain of tyrosinase
A0A010SMB4	canonical	330	1	PF00264	Tyrosinase	65	254	3.8e-40	Common central domain of tyrosinase
A0A010SNL7	canonical	410	2	PF00264	Tyrosinase	111	349	1.1e-59	Common central domain of tyrosinase
A0A014N831	noncanonical	391	1	PF00264	Tyrosinase	131	332	1.9e-44	Common central domain of tyrosinase
A0A014P1F1	canonical	378	2	PF00264	Tyrosinase	98	321	3.1e-46	Common central domain of tyrosinase
A0A014P933	discarded	638	2	PF00264	Tyrosinase	145	386	2.3e-28	Common central domain of tyrosinase
A0A014P933	discarded	638	2	PF18132	Tyrosinase_C	485	611	9.9e-21	Tyrosinase C-terminal domain
A0A014PGS4	discarded	315	1	PF00264	Tyrosinase	69	263	7.4e-31	Common central domain of tyrosinase
A0A014PNW6	canonical	618	2	PF00264	Tyrosinase	70	363	6.9e-40	Common central domain of tyrosinase
A0A014PNW6	canonical	618	2	PF18132	Tyrosinase_C	462	586	5.7e-19	Tyrosinase C-terminal domain
A0A014QX88	canonical	382	1	PF00264	Tyrosinase	106	325	7.8e-55	Common central domain of tyrosinase
A0A016RWG9	canonical	473	2	PF00264	Tyrosinase	155	348	1.0e-28	Common central domain of tyrosinase
A0A016RXK8	canonical	461	2	PF00264	Tyrosinase	143	336	9.4e-29	Common central domain of tyrosinase
A0A016S930	canonical	580	3	PF00264	Tyrosinase	158	349	2.3e-37	Common central domain of tyrosinase
A0A016SJ50	canonical	550	3	PF00264	Tyrosinase	144	335	1.4e-34	Common central domain of tyrosinase
A0A016SJ50	canonical	550	3	PF01549	ShK	464	499	8.5e-06	ShK domain-like
A0A016SJ50	canonical	550	3	PF01549	ShK	509	544	1.7e-05	ShK domain-like
A0A016SK14	canonical	532	3	PF00264	Tyrosinase	126	317	1.3e-34	Common central domain of tyrosinase
A0A016SK14	canonical	532	3	PF01549	ShK	446	481	8.1e-06	ShK domain-like
A0A016SK14	canonical	532	3	PF01549	ShK	491	526	1.6e-05	ShK domain-like
A0A016T0A5	canonical	952	6	PF00264	Tyrosinase	347	537	5.4e-33	Common central domain of tyrosinase
A0A016T0A5	canonical	952	6	PF01549	ShK	697	732	3.1e-05	ShK domain-like
A0A016T0A5	canonical	952	6	PF01549	ShK	741	774	7.4e-08	ShK domain-like
A0A016T0A5	canonical	952	6	PF01549	ShK	815	852	6.2e-05	ShK domain-like
A0A016T0A5	canonical	952	6	PF01549	ShK	865	900	7.5e-06	ShK domain-like
