accession,nres,ndom,chopping,confidence
A0A010Q293,343,1,28-342,0.720
A0A010Q4B9,404,1,30-403,0.671
A0A010QAA5,403,2,"31-180_255-402,183-254",0.661
A0A010QHN9,399,1,33-397,0.709
A0A010QIY5,415,3,"5-108,109-292,309-412",0.591
A0A010QL93,324,1,31-323,0.709
A0A010QPL7,361,1,37-360,0.657
A0A010QXZ0,368,1,26-123_143-367,0.700
A0A010QYY8,363,1,39-362,0.658
A0A010R234,623,2,"30-207_316-368,208-315_373-606",0.650
A0A010R9A2,409,2,"32-183_262-408,191-260",0.668
A0A010RBA2,549,2,"42-395,416-538",0.695
A0A010RL70,415,1,37-175_269-412,0.671
A0A010RM53,338,1,32-213_216-335,0.617
A0A010RPY0,383,1,28-168_202-382,0.594
A0A010RQ21,392,1,27-391,0.641
A0A010RR72,596,2,"21-372,379-593",0.617
A0A010RUM6,516,2,"5-190_293-392,199-292_400-512",0.644
A0A010RV53,488,1,108-487,0.856
A0A010RV80,353,1,43-349,0.721
A0A010RY59,764,3,"15-407,408-602,635-722",0.715
A0A010RYF3,750,3,"8-105,106-408,458-738",0.791
A0A010S1R5,684,2,"29-234_348-400,235-347_404-664",0.656
A0A010S6Q2,380,1,25-379,0.608
A0A010SFQ0,348,1,24-344,0.738
A0A010SKU6,529,2,"3-186_301-397,190-300_409-528",0.683
A0A010SMB4,330,1,26-329,0.723
A0A010SNL7,410,2,"29-183_257-409,189-245",0.659
A0A014N831,391,1,102-378,0.877
A0A014P1F1,378,2,"28-171_240-377,174-238",0.676
A0A014P933,638,2,"21-263_394-440,265-393_441-636",0.647
A0A014PGS4,315,1,59-303,0.736
A0A014PNW6,618,2,"28-254_340-419,255-339_420-616",0.643
A0A014QX88,382,1,31-381,0.646
A0A015J8T7,156,1,1-155,0.898
A0A016RWG9,473,2,"91-400,418-460",0.881
A0A016RXK8,461,2,"79-388,406-448",0.885
A0A016S930,580,3,"1-70,80-401,419-460",0.856
A0A016SJ50,550,3,"44-387,406-449,471-536",0.892
A0A016SK14,532,3,"22-369,388-431,453-523",0.903
A0A016T0A5,952,6,"79-160,185-224,288-589,607-655,704-782,822-932",0.837
A0A016T1G5,867,5,"72-161,186-267,288-642,704-746,751-841",0.830
A0A016TKY1,599,3,"21-382,400-441,510-598",0.828
A0A016UL52,759,4,"33-376,394-442,455-613,623-758",0.898
A0A016ULR3,702,4,"4-319,337-385,398-556,566-701",0.906
A0A016VBJ0,801,4,"96-448,454-508,542-622,650-731",0.797
A0A016VC89,894,3,"96-502_504-506,542-622,650-731",0.791
A0A016VDA3,731,4,"26-378,384-438,472-553,580-661",0.786
A0A016VE53,824,3,"26-432_434-436,472-553,580-661",0.790
A0A016VS08,475,2,"87-396,414-456",0.877
A0A016W0V7,618,3,"25-377,383-437,467-548",0.769
A0A016W1E9,199,2,"22-58,67-197",0.739
A0A016W1G3,629,3,"25-388,394-448,478-559",0.766
A0A016W1Z7,233,2,"3-160,182-228",0.895
A0A016W210,285,1,66-248_265-281,0.660
A0A016W215,367,3,"3-125,173-305,322-361",0.600
A0A016W255,240,2,"33-167,189-235",0.901
A0A016W259,430,1,50-373,0.736
A0A016W267,139,1,4-79,0.942
A0A016W313,456,2,"32-373,392-422",0.860
A0A016W316,114,1,25-113,0.945
A0A016W324,442,3,"27-60,61-380,397-436",0.746
A0A016W3A4,602,3,"25-377,383-437,467-548",0.758
A0A016W3W4,327,1,66-319,0.666
A0A016W3W9,146,2,"4-79,101-145",0.946
A0A016WCE7,490,3,"1-273,282-329,364-445",0.766
A0A016WQP8,728,2,"226-590,608-648",0.809
A0A016WQV2,766,3,"226-590,608-648,684-749",0.809
A0A017S513,586,3,"18-146,161-207,214-574",0.824
A0A017SD63,385,1,28-384,0.648
A0A017SF68,622,2,"25-242_337-406,243-336_411-611",0.639
A0A022QC39,590,2,"98-428,446-583",0.846
A0A022QE60,583,2,"88-419,440-580",0.845
A0A022QG63,587,2,"101-425,443-579",0.851
A0A022QL39,587,2,"93-414,420-585",0.852
A0A022R0C6,585,2,"97-422,428-584",0.839
A0A022R0D6,471,2,"2-287,309-442",0.910
A0A022R0D9,224,1,103-223,0.879
A0A022R1L2,581,2,"89-421,442-575",0.857
A0A022R1L7,594,2,"98-424,441-579",0.852
A0A022R3H9,598,2,"96-420,449-574",0.843
A0A022R5P3,597,2,"103-429,446-588",0.839
A0A022WGP6,634,2,"46-400,403-626",0.701
A0A022Y7J2,634,2,"46-400,403-626",0.699
A0A023GU59,599,2,"97-426,432-596",0.850
A0A023PMD2,554,2,"64-393,421-553",0.862
A0A023PN01,554,2,"64-393,421-553",0.862
A0A023PNV8,553,2,"63-392,420-552",0.863
A0A023PP81,553,2,"97-392,420-552",0.853
A0A023WF78,177,1,37-168,0.913
A0A023WF84,177,1,37-168,0.875
A0A023WF90,176,1,37-169,0.913
A0A023WF96,177,1,37-168,0.915
A0A023WFC0,177,1,24-168,0.892
A0A023WFC4,177,1,37-168,0.922
A0A023WFC9,177,1,24-168,0.926
A0A023WFD4,176,1,37-168,0.923
A0A023WFD9,177,1,37-168,0.912
A0A023WFR6,177,1,24-168,0.892
A0A023WFS1,177,1,37-168,0.921
A0A023WFS6,176,1,37-168,0.922
A0A023WFT2,176,1,38-169,0.911
A0A023WGB6,177,1,24-168,0.892
A0A023WGB9,177,1,37-168,0.921
A0A023WGC5,177,1,37-168,0.915
A0A023WGD1,160,1,37-161,0.960
A0A023WGD7,174,1,25-171,0.874
A0A023WGM6,177,1,37-168,0.924
A0A023WGN1,177,1,37-168,0.893
A0A023WGN6,176,1,37-168,0.923
A0A023WGP1,175,1,24-170,0.882
A0A023WGP6,175,1,37-170,0.902
A0A024CHG7,453,2,"26-174,181-442",0.622
A0A024CHH0,200,2,"8-110,120-199",0.622
A0A024CHU4,438,1,32-237_247-389,0.666
A0A024CHU9,434,1,1-316_321-324,0.778
A0A024CI03,523,2,"1-24_471-500,26-356",0.808
A0A024CI05,212,1,1-208,0.737
A0A024CIJ0,373,1,33-310,0.781
A0A024CIJ4,389,2,"6-180,181-353",0.611
A0A024CIJ8,265,2,"6-129,139-262",0.792
A0A024CJP7,456,2,"33-96,106-409",0.715
A0A024CJQ0,295,2,"1-110,120-252",0.615
A0A024DBG7,529,2,"1-226,273-452",0.625
A0A024FBC3,203,2,"28-62,70-201",0.735
A0A024FR46,607,2,"104-433,472-605",0.822
A0A024FS61,602,2,"99-434,436-601",0.820
A0A024FZ14,549,2,"49-393,394-548",0.678
A0A024GPM3,562,2,"26-415,422-521",0.730
A0A024GR18,560,1,2-255_442-553,0.775
A0A024S4X8,623,2,"29-400,434-622",0.646
A0A024SD58,590,3,"6-88,115-414,479-589",0.901
A0A024SJR1,561,2,"43-395,418-548",0.670
A0A024T832,137,1,7-86,0.788
A0A024T961,705,3,"43-205,231-577,578-697",0.837
A0A024T9U4,615,3,"32-92,151-509,515-606",0.783
A0A024TEL4,897,6,"33-93,107-164,180-237,259-319,331-391,441-863",0.820
A0A024TMR4,515,2,"30-366,370-514",0.671
A0A024TN69,511,2,"27-359,363-498",0.697
A0A024TPQ1,667,4,"22-88,102-165,242-560,565-657",0.747
A0A024TRP2,390,3,"22-88,102-165,244-377",0.904
A0A024U9A0,396,3,"2-73,74-229,247-376",0.756
A0A024UGQ1,599,1,133-598,0.725
A0A024UNS3,597,3,"47-119,136-489,495-587",0.758
A0A024UP64,590,2,"26-90,223-584",0.877
A0A024URD5,509,2,"39-393,399-508",0.655
A0A058ZVU6,337,2,"5-188,197-336",0.840
A0A058ZW33,595,2,"108-431,432-594",0.833
A0A058ZX16,226,1,108-225,0.832
A0A059CCV1,601,2,"101-437,474-600",0.831
A0A059CDE4,659,2,"165-498,504-658",0.824
A0A059F260,317,2,"25-261,280-316",0.753
A0A059JJQ6,625,2,"46-401,411-617",0.711
A0A059TZU2,537,1,112-464,0.766
A0A059U1P9,537,1,112-464,0.737
A0A059UAM0,557,2,"101-398,404-556",0.860
A0A060S6S8,573,2,"25-385,462-562",0.666
A0A060SLI6,273,1,30-272,0.709
A0A060WMQ6,519,1,25-42_84-84_86-457,0.661
A0A060WUY0,516,2,"26-307_420-457,321-417",0.529
A0A060X1G5,522,1,21-454,0.665
A0A060X8B7,447,2,"24-298,299-448",0.660
A0A060XL10,522,2,"22-304_408-460,321-407",0.555
A0A060ZAB7,124,1,8-108,0.968
A0A061DZ45,608,2,"113-437,455-607",0.860
A0A061E0X0,565,2,"70-394,403-564",0.881
A0A061E6S7,529,2,"34-358,376-528",0.910
A0A061GEN3,605,2,"108-437,469-603",0.826
A0A061GFI2,538,2,"71-365,371-536",0.836
A0A061GFY3,618,2,"114-452,482-616",0.825
A0A061GFY7,602,2,"107-435,467-600",0.827
A0A061GMJ6,600,2,"105-427,433-598",0.813
A0A061GMK1,411,1,106-408,0.904
A0A061HFI6,619,2,"37-432,433-610",0.601
A0A061HSG6,584,2,"31-393,394-579",0.620
A0A061IGF6,443,2,"46-252,294-442",0.664
A0A062U9V8,502,3,"14-77,94-365,399-497",0.863
A0A063BRM1,594,2,"28-396,410-592",0.599
A0A066RUA7,471,2,"4-294,314-469",0.889
A0A066WXF3,529,2,"5-189_298-397,199-297_403-527",0.652
A0A066X3Q1,370,1,94-368,0.896
A0A066X6L4,330,1,26-329,0.724
A0A066X7V3,682,2,"29-231_344-397,232-343_401-662",0.660
A0A066X846,380,1,28-379,0.663
A0A066X9U3,761,2,"5-485_548-559,568-747",0.605
A0A066XLM3,414,2,"38-177_269-413,196-268",0.623
A0A066XQD0,410,2,"32-183_263-409,191-262",0.685
A0A066XSE1,488,1,114-487,0.859
A0A066XSY6,717,2,"163-520,562-712",0.784
A0A066XW40,639,3,"59-399,410-442,465-627",0.639
A0A066XWR5,373,1,25-372,0.697
A0A066XZ78,380,1,25-150_238-379,0.624
A0A066Y1D2,393,1,25-158_250-392,0.601
A0A066Y1V3,555,2,"43-392,422-549",0.680
A0A066Z0K1,269,1,11-234,0.707
A0A067BLT8,474,2,"29-340,345-463",0.746
A0A067BLZ4,728,4,"27-90,100-168,178-241,314-718",0.859
A0A067BRT6,705,3,"25-85,98-159,287-695",0.820
A0A067BTT5,511,2,"34-358,363-510",0.733
A0A067BUS0,494,2,"36-360,365-482",0.728
A0A067BX73,476,2,"28-355,373-475",0.717
A0A067BZH5,486,2,"29-352,357-475",0.734
A0A067C156,652,4,"22-85,103-163,179-242,251-651",0.879
A0A067C4V3,329,2,"3-233,238-317",0.794
A0A067C5L8,476,2,"28-373,380-468",0.669
A0A067C631,498,2,"28-351,357-487",0.683
A0A067CPX4,464,2,"21-330,331-456",0.710
A0A067CT24,419,1,35-367,0.778
A0A067CXC8,635,2,"29-92,168-592",0.718
A0A067CZT6,497,2,"38-366,370-490",0.769
A0A067D5R2,705,4,"24-87,101-165,190-252,288-696",0.801
A0A067D814,806,2,"24-177,340-796",0.812
A0A067GK93,591,2,"96-416,422-589",0.839
A0A067JAU2,592,2,"83-415,421-590",0.824
A0A067MC03,361,2,"43-195,221-359",0.614
A0A067MC09,354,2,"37-193_251-352,214-250",0.617
A0A067ME78,545,2,"26-340,378-536",0.579
A0A067MJR9,675,2,"20-181_331-425,234-330_428-672",0.627
A0A067MN37,63,1,17-60,0.877
A0A067MSX0,403,2,"30-225_267-267_269-396,237-266_268-268",0.641
A0A067N7R8,337,1,32-336,0.653
A0A067NHK1,223,1,53-210,0.687
A0A067NVB7,291,1,28-277,0.759
A0A067NXD0,367,1,39-202_243-361,0.642
A0A067PHP8,702,2,"11-228,268-677",0.737
A0A067PPZ9,564,2,"17-227,246-549",0.711
A0A067PSS3,658,2,"17-219,242-652",0.712
A0A067S9C3,369,1,38-196_236-368,0.618
A0A067T9P6,333,1,30-332,0.674
A0A067TCE7,354,1,36-348,0.728
A0A067TKM5,624,2,"19-382,469-613",0.711
A0A067XIX1,502,2,"28-239,268-487",0.655
A0A068FAU8,265,1,20-226,0.784
A0A068NQY3,538,2,"32-377,401-537",0.747
A0A068TU86,580,2,"81-410,417-579",0.860
A0A068UD36,584,2,"108-423,429-578",0.866
A0A068UEN7,578,2,"93-418,424-577",0.848
A0A068UEP3,582,2,"101-421,428-580",0.849
A0A068VB21,233,2,"4-68,94-231",0.957
A0A068VBG9,189,1,12-188,0.934
A0A068VNV4,423,2,"12-257,282-422",0.906
A0A069NJ99,460,2,"15-241,275-456",0.915
A0A069P877,543,2,"78-304,338-525",0.840
A0A069P8P9,480,2,"35-258,296-476",0.894
A0A072P207,409,1,49-408,0.656
A0A072P5W0,375,1,26-371,0.701
A0A072P8W8,377,1,50-372,0.678
A0A072PCR1,409,2,"22-184_255-408,189-244",0.619
A0A072PH66,402,2,"20-195,204-383",0.651
A0A072PJG5,363,1,37-362,0.667
A0A072PV79,244,1,48-217_223-236,0.722
A0A072Q6Y5,251,1,3-238,0.823
A0A074RCL1,320,1,36-313,0.729
A0A074RG36,150,1,35-146,0.839
A0A074RJD3,318,1,15-167_198-316,0.618
A0A074RK37,334,2,"27-115,189-333",0.826
A0A074RKY4,310,1,35-306,0.743
A0A074RLS0,322,1,42-317,0.709
A0A074RRF8,773,2,"52-217_391-476,293-390_481-772",0.661
A0A074RSM2,320,1,33-313,0.701
A0A074RSY5,457,2,"28-200_401-436,216-400",0.643
A0A074RTB9,353,1,38-197_221-352,0.649
A0A074RWE6,395,1,61-218_243-389,0.665
A0A074RXC0,348,1,42-346,0.662
A0A074RXE5,679,2,"1-251,340-678",0.952
A0A074RXR6,354,2,"37-190_322-353,215-320",0.634
A0A074RYB7,364,2,"41-197_256-363,221-255",0.590
A0A074S0H8,317,1,36-316,0.740
A0A074S2B5,318,1,34-316,0.768
A0A074S7C5,381,1,16-189_227-370,0.638
A0A074S7W9,350,1,30-185_224-344,0.613
A0A074S897,345,1,42-343,0.676
A0A074S9M8,305,1,36-304,0.738
A0A074SA15,350,1,69-344,0.763
A0A074SDG0,342,1,29-320,0.742
A0A074SDL0,124,1,7-122,0.902
A0A074SFZ9,356,2,"25-180_309-353,203-300",0.584
A0A074SK72,618,3,"29-359,454-505,506-616",0.872
A0A074SK81,281,2,"31-186,204-280",0.680
A0A074SUA9,304,1,14-302,0.756
A0A074VDT7,389,1,24-388,0.666
A0A074VGZ0,404,2,"32-174_255-403,184-253",0.635
A0A074VI76,322,1,101-321,0.839
A0A074VIF5,670,2,"26-406,425-597",0.687
A0A074W682,344,1,6-343,0.739
A0A074W6F3,321,1,101-320,0.923
A0A074WGJ9,689,2,"34-399,437-608",0.692
A0A074WJS2,390,1,25-389,0.670
A0A074WWD6,404,2,"32-177_255-403,184-253",0.649
A0A074X475,327,1,2-326,0.724
A0A074XC75,774,2,"66-431,504-693",0.765
A0A074XNA1,382,2,"32-156_229-368,162-218",0.616
A0A074XND5,322,1,3-20_95-321,0.805
A0A074XR97,392,1,24-391,0.654
A0A074XWE1,390,1,25-389,0.678
A0A074Y1Q9,327,1,2-326,0.730
A0A074YH07,377,2,"40-130_285-376,132-281",0.599
A0A074YPA7,782,2,"66-431,509-705",0.768
A0A074YPF6,390,1,25-389,0.673
A0A074YQS1,321,1,101-320,0.893
A0A074Z7G7,482,2,"25-236,265-474",0.643
A0A074ZDD7,948,2,"24-469,502-947",0.805
A0A074ZHJ0,218,0,NULL,0.561
A0A074ZPR2,477,2,"30-204,214-474",0.710
A0A075AEH4,345,0,NULL,0.676
A0A075AU36,200,1,2-198,0.968
A0A075AX41,530,2,"2-239,439-500",0.740
A0A075AYG4,372,2,"28-278,290-333",0.784
A0A075AZW6,294,1,1-293,0.743
A0A075B1D3,611,2,"1-300,343-608",0.905
A0A075BWS7,614,2,"94-444,453-614",0.813
A0A075BX21,615,2,"94-443,452-613",0.826
A0A075DN54,602,2,"86-429,438-598",0.835
A0A075Q1C6,220,1,11-205,0.771
A0A075Q3G6,219,1,11-192,0.763
A0A075Q4B7,204,1,11-191,0.805
A0A075QBC7,220,1,11-205,0.771
A0A076FRB3,598,2,"100-425,468-596",0.829
A0A076FRC0,209,1,2-180,0.816
A0A076FRN6,627,2,"104-458,459-626",0.826
A0A076FRP2,627,2,"104-452,458-626",0.815
A0A076FRP6,608,2,"6-18_452-607,98-446",0.822
A0A076FT34,616,2,"102-446,452-615",0.809
A0A076FX85,584,2,"115-417,426-581",0.841
A0A076FX88,567,2,"74-406,412-566",0.847
A0A076JQI5,486,2,"40-91,151-485",0.726
A0A076KXK6,699,2,"22-70_502-689,78-436",0.818
A0A077EN17,140,1,2-127,0.797
A0A077HD11,273,2,"2-124,153-271",0.637
A0A077QRG5,220,1,1-195,0.699
A0A077R9S7,762,2,"47-158,456-756",0.789
A0A077S4H3,542,2,"49-378,412-540",0.892
A0A077YX65,411,3,"19-53,62-347,365-406",0.823
A0A077Z814,460,3,"3-83,92-403,421-459",0.826
A0A077ZFE0,605,2,"76-337_367-493,499-539",0.690
A0A077ZGT3,752,4,"3-356,374-413,501-640,661-743",0.877
A0A078AII6,525,2,"7-216_290-391,221-289_412-523",0.667
A0A078ARQ6,448,2,"5-247,335-447",0.636
A0A080Z0A1,524,2,"32-405,409-505",0.633
A0A080ZC48,495,2,"23-357,366-490",0.711
A0A080ZC49,450,3,"4-276,283-312,321-445",0.672
A0A080ZVP8,570,2,"39-358,361-522",0.777
A0A080ZVP9,546,2,"38-363,367-541",0.779
A0A080ZVS2,631,1,49-512,0.660
A0A080ZVS5,649,2,"28-363_500-531,536-602",0.743
A0A080ZVS7,561,2,"28-369_450-452,453-545",0.761
A0A081AHF5,559,2,"62-451,460-553",0.700
A0A081AVN2,544,2,"37-408,412-531",0.646
A0A081AZP8,523,2,"36-374,375-522",0.598
A0A081CKB9,648,2,"57-147,338-638",0.863
A0A081XZW0,324,2,"3-172,188-320",0.726
A0A084AF08,390,1,23-176_218-389,0.600
A0A084AJL7,389,1,94-386,0.886
A0A084AR48,404,1,28-403,0.648
A0A084AV30,556,2,"45-397,402-541",0.679
A0A084AYI1,637,3,"30-399,413-453,472-636",0.635
A0A084B2K4,338,2,"32-208,214-335",0.557
A0A084B4D9,384,1,26-383,0.602
A0A084B663,352,1,21-351,0.751
A0A084B7G3,353,1,33-330,0.757
A0A084B8J4,876,1,562-875,0.794
A0A084BB06,325,1,40-313,0.691
A0A084FV28,411,1,20-165_233-410,0.714
A0A084FV70,792,2,"70-102,478-791",0.870
A0A084G098,691,2,"49-360,413-657",0.898
A0A084G330,392,2,"36-308,329-391",0.613
A0A084G3K0,339,1,33-336,0.636
A0A084G593,393,1,28-272_340-392,0.782
A0A084G5H0,388,1,29-387,0.683
A0A084G6B5,407,1,27-183_260-406,0.650
A0A084G7S9,325,1,37-324,0.734
A0A084G7V9,355,2,"27-291,321-354",0.648
A0A084G9G0,397,1,37-287_353-396,0.739
A0A084GCK1,395,2,"40-72_364-378,74-363_379-394",0.640
A0A084GDW0,476,1,161-475,0.888
A0A084GGH5,661,2,"19-386,390-401_478-647",0.601
A0A084GGL7,570,2,"45-373,413-547",0.679
A0A084QC22,556,2,"45-397,402-541",0.673
A0A084QCB8,338,1,32-213_216-335,0.624
A0A084QJ67,637,3,"30-399,413-452,477-636",0.628
A0A084QQ18,384,1,26-383,0.636
A0A084QWG9,325,1,40-313,0.688
A0A084QX23,390,1,23-159_249-389,0.656
A0A084QY85,320,1,77-319,0.759
A0A084QZJ0,852,1,526-851,0.820
A0A084R0Y5,347,1,21-346,0.752
A0A084R149,353,1,33-330,0.758
A0A084R1I5,382,1,105-379,0.893
A0A085M8H3,784,4,"34-34_36-388,406-445,512-672,693-775",0.851
A0A085N949,467,3,"32-88_276-282,92-275_283-410,428-466",0.684
A0A085NCJ6,643,2,"117-370_464-534,381-459",0.751
A0A086ADX6,488,2,"27-319,349-487",0.931
A0A086J2K3,314,1,1-18_20-299,0.672
A0A086N2U2,288,2,"3-125,156-287",0.668
A0A086SV08,392,1,38-391,0.575
A0A086T0Z5,530,2,"42-383,425-526",0.607
A0A087QSF6,457,2,"5-219,262-445",0.631
A0A087R0E2,522,2,"29-312_407-458,324-406",0.575
A0A087RFL1,529,2,"20-57,87-452",0.757
A0A087UWG6,234,2,"3-69,81-233",0.921
A0A087UWG8,337,1,8-271,0.776
A0A087V2P2,529,1,20-23_87-89_91-91_93-452,0.725
A0A087X5L9,530,2,"35-310_442-464,321-423",0.566
A0A087XJW4,523,2,"29-321_355-461,325-354",0.599
A0A087XNB6,540,1,21-455,0.677
A0A087YDX2,549,2,"43-118,124-477",0.769
A0A087YHH7,546,2,"27-91,95-453",0.745
A0A089WYP0,274,1,3-271,0.761
A0A089X5M9,288,2,"3-125,156-287",0.670
A0A090CH20,384,1,21-383,0.733
A0A090CL68,413,1,39-412,0.677
A0A090CMR9,342,1,9-341,0.740
A0A090CWC0,570,3,"21-251_304-427,255-299,449-568",0.661
A0A090D4S5,350,1,27-343,0.726
A0A090KP27,684,4,"1-294,312-351,370-530,540-683",0.894
A0A090L4G2,436,2,"49-353,371-414",0.797
A0A090L5U2,708,4,"27-388,406-449,482-563,587-683",0.808
