accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A0F0IHD9						0
A0A0F7TKD9	104259		CDHK01000005	CEJ57039.1	Genomic_DNA	1
A0A0L1JH90	1509407		JNOM01000005	KNG91121.1	Genomic_DNA	1
A0A117DZY6						0
A0A146F7M9	1069201		AP024430	BCS01765.1	Genomic_DNA	1
A0A177CCF1	1460663		KV441553	OAG05313.1	Genomic_DNA	1
A0A177WRB0						0
A0A1F8A877	109264		LYCR01000019	OGM47924.1	Genomic_DNA	1
A0A1L7XVJ9	576137		FJOG01000064	CZR69038.1	Genomic_DNA	1
A0A1L9MQY6	767770		KV878208	OJI79367.1	Genomic_DNA	1
A0A1L9SFQ7	1073090		KV878343	OJJ45991.1	Genomic_DNA	1
A0A1L9U5P7	767769		KV878696	OJJ67001.1	Genomic_DNA	1
A0A1L9WN79	690307		KV878982	OJJ97632.1	Genomic_DNA	1
A0A1M3TFS3						0
A0A1R3RGL8	602072		KV907504	OOF93613.1	Genomic_DNA	1
A0A1S9DF80						0
A0A1S9RI10						0
A0A1V6P941	416450		MDYN01000209	OQD73327.1	Genomic_DNA	1
A0A1V6QBL1	416450		MDYN01000008	OQD86236.1	Genomic_DNA	1
A0A254UGL9						0
A0A292PKA2	59557		LN891246	CUS07125.1	Genomic_DNA	1
A0A2G7G703	656916		NEXV01000098	PIG88599.1	Genomic_DNA	1
A0A2J6PV40	2082293		KZ613497	PMD17892.1	Genomic_DNA	1
A0A2T3AX63	857342		KZ679014	PSS13251.1	Genomic_DNA	1
A0A2T6ZCK0	42251		NESQ01000399	PUU73227.1	Genomic_DNA	1
A0A2V1DGW1	97972		KZ805453	PVH96843.1	Genomic_DNA	1
A0A2V5GZD8	1450538		KZ825163	PYI16895.1	Genomic_DNA	1
A0A2V5H7P1	1450538		KZ825133	PYI19581.1	Genomic_DNA	1
A0A2V5HTW1	1450541		KZ825574	PYI27251.1	Genomic_DNA	1
A0A2V5IGT7	1450541		KZ825485	PYI33283.1	Genomic_DNA	1
A0A317STV4	42249		PYWC01000020	PWW77812.1	Genomic_DNA	1
A0A317URF9	1448314		MSFU01000035	PWY63668.1	Genomic_DNA	1
A0A317UXL8	1448321		MSFL01000043	PWY66784.1	Genomic_DNA	1
A0A317WJT9	1448321		MSFL01000008	PWY85931.1	Genomic_DNA	1
A0A317WYK6	1450535		MSFK01000010	PWY90347.1	Genomic_DNA	1
A0A318YAT8	1448310		KZ821473	PYH31466.1	Genomic_DNA	1
A0A319ANC3	1450539		KZ821222	PYH48062.1	Genomic_DNA	1
A0A319AUV2	1448311		KZ821655	PYH63374.1	Genomic_DNA	1
A0A319CG24	1448315		KZ821690	PYH83319.1	Genomic_DNA	1
A0A319CY13	1448315		KZ821709	PYH80538.1	Genomic_DNA	1
A0A319DGV8	1448320		KZ825987	PYH90323.1	Genomic_DNA	1
A0A319DU42	1448318		KZ826421	PYI01232.1	Genomic_DNA	1
A0A370C830						0
A0A370P5X5	1353007		KZ851873	RDK37117.1	Genomic_DNA	1
A0A395HF45	1448316		KZ824423	RAL04854.1	Genomic_DNA	1
A0A395I0G5	1450537		KZ824279	RAL13427.1	Genomic_DNA	1
A0A3N4J8U4	1336337		ML120452	RPA93438.1	Genomic_DNA	1
A0A401L7K2	105351		BDHI01000029	GCB27455.1	Genomic_DNA	1
A0A4Z1E519	87230		PQXH01000338	TGO07056.1	Genomic_DNA	1
A0A4Z1G6H5	278943		PQXK01000306	TGO32564.1	Genomic_DNA	1
A0A5B6YVS2						0
A0A5N6DQ39	5067		ML734962	KAB8206623.1	Genomic_DNA	1
A0A5N6FCL6	986946		ML733391	KAB8226394.1	Genomic_DNA	1
A0A5N6HEF6						0
A0A5N6JER4	656917		ML732772	KAB8277362.1	Genomic_DNA	1
A0A5N6T9V3	132259		ML743553	KAE8142951.1	Genomic_DNA	1
A0A5N6VBI8	41984		ML738586	KAE8168193.1	Genomic_DNA	1
A0A5N6W889	1034304		ML738303	KAE8317044.1	Genomic_DNA	1
A0A5N6XI36	1034303		ML741765	KAE8332572.1	Genomic_DNA	1
A0A5N6YJ96						0
A0A5N7APG9	61420		ML737563	KAE8370899.1	Genomic_DNA	1
A0A5N7B877	1226010		ML736215	KAE8377964.1	Genomic_DNA	1
A0A5N7DF31	1506151		ML736763	KAE8405010.1	Genomic_DNA	1
A0A6A5U9F7	147558		ML976982	KAF1960960.1	Genomic_DNA	1
A0A6A5UP97	1447943		ML976749	KAF1966210.1	Genomic_DNA	1
A0A6A5XX45	1450172		ML978068	KAF2017473.1	Genomic_DNA	1
A0A6A6RLB0	1395130		MU006809	KAF2635261.1	Genomic_DNA	1
A0A6J8A749	42192		CACVKT020000738	CAC5362307.1	Genomic_DNA	1
A0A8B6GUD9	29158		UYJE01009010	VDI69196.1	Genomic_DNA	1
A0A8B6GUE4	29158		UYJE01009010	VDI69193.1	Genomic_DNA	3
A0A8G1QUY8	1448313		KZ825077	RAH53337.1	Genomic_DNA	1
A0A8G1RJC8	1448319		KZ824670	RAK74349.1	Genomic_DNA	1
A0A8G1S217	1448319		KZ824623	RAK81955.1	Genomic_DNA	1
A0A8T8WMD9	1448312		KZ824864	RAH76569.1	Genomic_DNA	1
A0A8T8X2Y5	1448312		KZ824792	RAH81992.1	Genomic_DNA	1
A0A9N9KVW9	746836		CAJVRL010000057	CAG8954776.1	Genomic_DNA	1
A0A9P4PM39	1392251		MU001497	KAF2446716.1	Genomic_DNA	1
A0A9P6GNG8	565426		WJXW01000003	KAF9738876.1	Genomic_DNA	1
A0A9P8UIC0	152316		JAGPXC010000005	KAH6652558.1	Genomic_DNA	1
A0A9W4U7M0	1303443		CAOQHR010000002	CAI6303331.1	Genomic_DNA	1
A0A9W5ZU18						0
A0A9W6ASD3						0
A0A9W6DIJ1						0
A0A9W9CD07	1932322		JAPEUX010000003	KAJ4355947.1	Genomic_DNA	1
A0A9W9LGF4	189055		JAPQKN010000007	KAJ5153095.1	Genomic_DNA	1
A0A9W9VFI7	2100454		JAPZBS010000004	KAJ5377620.1	Genomic_DNA	1
A0AAD6CBX2	63821		JAPVEA010000002	KAJ5460009.1	Genomic_DNA	1
A0AAD6MRX0	1324776		JAQJAN010000018	KAJ5709520.1	Genomic_DNA	1
A0AAJ8BUI3						0
A0AAN6M599	1892770		WVTA01000003	KAK3215172.1	Genomic_DNA	1
A0AAW1G8T0	48416		JBCEZU010000001	KAK9542925.1	Genomic_DNA	1
A0AB74CD63						0
A0ABQ6X3Q5	1825620		ML735687	KAE8423959.1	Genomic_DNA	1
A0ABQ8FHW2	1357716		JAFCIX010000102	KAH6598562.1	Genomic_DNA	1
A0ABR3RMI3	300254		JAKJXO020000005	KAL1605339.1	Genomic_DNA	1
A0ABR4H8T2	176169		JBFXLT010000053	KAL2811855.1	Genomic_DNA	1
A0ABR4KDN5	1810923		JBFXLU010000039	KAL2850142.1	Genomic_DNA	1
A0ACD1GE84	1450534		KZ825329	RAH47522.1	Genomic_DNA	1
A0ACD1GJU9	1450534		KZ825317	RAH49527.1	Genomic_DNA	1
A0ACD1GX66	1448322		KZ824988	RAH65931.1	Genomic_DNA	1
A0ACD1HPQ9	1448322		KZ824933	RAH75467.1	Genomic_DNA	1
A0ACD1I4V8	1448317		KZ824565	RAK85538.1	Genomic_DNA	1
A2R6E6	425011		AM270352	CAK42654.1	Genomic_DNA	1
B8NWK1	332952		CP044616	QRD92651.1	Genomic_DNA	1
F4PG32	684364		GL882999	EGF75812.1	Genomic_DNA	1
G3XX77						0
I8TNZ4						0
K1WLZ8	1072389		JH921450	EKD13347.1	Genomic_DNA	1
M7SCY3	1287681		KB707510	EMR62022.1	Genomic_DNA	1
Q2TWH3	510516		AP007175	BAE66400.1	Genomic_DNA	2
W3XL66	1229662		KI912110	ETS86011.1	Genomic_DNA	1
