accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A010RV53	1445577		JARH01000168	EXF84421.1	Genomic_DNA	1
A0A066XSE1	1173701		JMSE01000325	KDN70624.1	Genomic_DNA	1
A0A135V8Q3	1209931		JFFI01000164	KXH69104.1	Genomic_DNA	1
A0A166M367	1573173		LFIW01002706	KZL64229.1	Genomic_DNA	1
A0A166U3J7	708197		LFIV01000051	KZL72889.1	Genomic_DNA	1
A0A1B7YR08	759273		LTAN01000002	OBR14467.1	Genomic_DNA	1
A0A1G4AYJ9	1209926		MJBS01000105	OHE94175.1	Genomic_DNA	1
A0A1Q8RG93	708187		MPGH01000204	OLN83361.1	Genomic_DNA	1
A0A484G057	1213857		AMCV02000005	TDZ23501.1	Genomic_DNA	1
A0A4R8PT74	1347390		QAPG01000385	TDZ28941.1	Genomic_DNA	1
A0A4R8REE8	5466		RYZW01000047	TDZ58291.1	Genomic_DNA	1
A0A4R8T272	1347389		QAPF01000455	TEA10724.1	Genomic_DNA	1
A0A4T0WAP6						0
A0A5Q4BZL7	2078593		PUHP01000164	TQN72542.1	Genomic_DNA	1
A0A7J6J5I0	1213859		ANPB02000004	KAF4484884.1	Genomic_DNA	1
A0A8H3W2Z1	702518		WOWK01000085	KAF0320233.1	Genomic_DNA	1
A0A8H4CPR6	474922		WVTB01000027	KAF3807818.1	Genomic_DNA	1
A0A8H6MX70	2175907		WIGN01000073	KAF6811548.1	Genomic_DNA	1
A0A9P5F1P8	690259		QPMT01000005	KAF4864093.1	Genomic_DNA	1
A0A9P6HYB5	1095194		JAATWM020000034	KAF9873078.1	Genomic_DNA	1
A0A9P7R9D2	1209932		JAESDN010000004	KAG7050864.1	Genomic_DNA	1
A0A9Q0B6Y1	1671311		SDAQ01000026	KAI3554057.1	Genomic_DNA	1
A0A9Q8WCM4	145971		CP019474	UQC78833.1	Genomic_DNA	1
A0A9W4W8U2	2664923		CAMGZC010000399	CAI0647112.1	Genomic_DNA	1
A0AA37GRR7	708192		BPPX01000020	GJC86039.1	Genomic_DNA	1
A0AA37P8W3	700344		BQXU01000021	GKT47800.1	Genomic_DNA	1
A0AAD8UFY3	27357		JAHMHS010000104	KAK1718065.1	Genomic_DNA	1
A0AAD9ARY9	1836956		JAQOWY010000054	KAK1853451.1	Genomic_DNA	1
A0AAD9HKI6	1216348		MU842847	KAK2030785.1	Genomic_DNA	1
A0AAE0D8U4	34407		VYYT01000114	KAK2767875.1	Genomic_DNA	1
A0AAI9XSF2	1209925		MLGG01000009	KAK1462039.1	Genomic_DNA	1
A0AAI9XYD0	1209917		MPDP01000257	KAK1467630.1	Genomic_DNA	1
A0AAJ0A0G4	359342		JAHMHQ010000002	KAK1654126.1	Genomic_DNA	1
A0AAJ0DVU7	1209916		MOOE01000015	KAK1516843.1	Genomic_DNA	1
A0AAJ0EU37	1209918		JAHMHR010000016	KAK1676851.1	Genomic_DNA	1
A0AAV9SY11	1209068		JASAOK010000047	KAK6209775.1	Genomic_DNA	1
A0AAX4I0H5	34406		CP137305	WQF76508.1	Genomic_DNA	1
A0ABQ9PND2	1209924		JARUPT010000331	KAK0373045.1	Genomic_DNA	1
A0ABQ9QHE7	1209934		MLFU01000268	KAK1470395.1	Genomic_DNA	1
A0ABQ9T229	1914294		MOPA01000002	KAK1545837.1	Genomic_DNA	1
A0ABR2W3C9	34480		JASJQH010007123	KAK9717838.1	Genomic_DNA	1
A0ACC3YJX9	5467		VUJX02000009	KAL0932174.1	Genomic_DNA	1
H1UWR0						0
L2GEI1						0
T0KJ59						0
W7F1D8	930091		KI968708	EUN30002.1	Genomic_DNA	1
