accession	n_neighbours	n_ustya	closest_ustya	n_melc1	has_TF_fungal	has_TF_bacterial	has_transporter	has_P450	has_OMT	has_biosynthetic	bgc_context	bgc_old
A0A072P5W0	20	0		0	0	0	0	0	0	1	none	none
A0A072P8W8	20	0		0	1	0	0	1	0	0	BGC_accessory	BGC_accessory
A0A0D2IAF0	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A0G2EUA6	20	0		0	0	0	1	0	0	0	none	none
A0A0N1H7B4	20	0		0	0	0	1	0	0	0	none	none
A0A0N1P0I4	20	0		0	0	0	0	0	0	0	none	none
A0A177EUN3	18	0		0	0	0	1	0	0	0	none	none
A0A177FEY3	15	0		0	0	0	1	0	0	0	none	none
A0A178DF33	20	0		0	0	0	1	0	0	0	none	none
A0A178Z9S6	20	0		0	0	0	1	0	0	0	none	none
A0A179A145	20	0		0	0	0	1	0	0	0	none	none
A0A1C1CNS0	20	0		0	0	0	1	0	0	0	none	none
A0A1C1CVI7	20	0		0	0	0	1	0	0	0	none	none
A0A8H6DNI4	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0AA38XND7	20	0		0	0	0	0	0	0	0	none	none
A0AA38XQF2	20	0		0	0	0	1	0	0	0	none	none
A0AA38XXB7	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0AA38Y990	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0AA38YDK5	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0AAN7T3Y1	20	0		0	1	0	0	0	0	0	none	none
A0AAN7T5E4	20	0		0	0	0	0	0	0	1	none	none
A0AAN8F2Z4	20	1	3	0	0	0	0	0	0	0	UstYa_cluster	UstYa_cluster
A0AAN8I9N5	20	0		0	0	0	0	1	0	1	BGC_accessory	none
A0AAV9NM11	20	0		0	0	0	0	0	0	1	none	none
A0AAV9PYQ5	20	0		0	1	0	1	1	0	0	BGC_accessory	BGC_accessory
A0AAV9Q2N9	20	0		0	1	0	0	0	0	0	none	none
A0AAV9QGM4	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0ABD3P7G1	9	0		0	0	0	0	0	0	0	none	none
A0ABQ6MZQ8	2	0		0	0	0	0	0	0	0	none	none
A0ABR0IZ48	20	0		0	1	0	0	1	0	0	BGC_accessory	BGC_accessory
A0ABR0JMJ3	20	0		0	0	0	0	0	0	0	none	none
A0ABR0KBS0	10	0		0	0	0	0	0	0	1	none	none
A0ABR0KH52	20	0		0	0	0	0	1	0	0	none	none
A0ABR0RAB7	20	1	2	0	0	0	0	1	0	0	UstYa_cluster	UstYa_cluster
A0ABR0RMX2	20	0		0	1	0	0	1	0	1	BGC_accessory	BGC_accessory
A0ACC2ZZX6	10	0		0	0	0	0	0	0	0	none	none
A0ACC3AAT4	18	0		0	0	0	0	0	0	1	none	none
O97885	0	0		0	0	0	0	0	0	0	none	none
Q7PCK9	0	0		0	0	0	0	0	0	0	none	none
W9VMR6	15	0		0	0	0	0	0	0	0	none	none
W9VXV1	20	0		0	0	0	1	0	0	0	none	none
W9W212	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
W9WQA9	20	0		0	0	0	1	0	0	0	none	none
W9XSH8	20	0		0	1	0	0	0	0	0	none	none
W9Y3F5	20	0		0	1	0	0	0	0	0	none	none
W9YKS7	20	0		0	0	0	0	0	0	0	none	none
W9YQ03	20	0		0	0	0	0	0	0	0	none	none
