accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A010RM53	1445577		JARH01001073	EXF73218.1	Genomic_DNA	1
A0A010RYF3	1445577		JARH01000074	EXF85656.1	Genomic_DNA	1
A0A024TEL4						0
A0A024UNS3						0
A0A024UP64						0
A0A024URD5						0
A0A059F260	1288291		KK365144	KCZ81378.1	Genomic_DNA	1
A0A067BTT5	695850		KK583596	KDO17666.1	Genomic_DNA	1
A0A067BUS0	695850		KK583272	KDO22239.1	Genomic_DNA	1
A0A067CPX4	695850		KK583198	KDO31285.1	Genomic_DNA	1
A0A067CXC8	695850		KK583190	KDO35143.1	Genomic_DNA	1
A0A067D814	695850		KK583190	KDO35142.1	Genomic_DNA	1
A0A067MC03	930990		KL198044	KDQ13278.1	Genomic_DNA	1
A0A074RCL1	1423351		AZST01002585	KEP44906.1	Genomic_DNA	1
A0A074RLS0	1423351		AZST01000666	KEP47734.1	Genomic_DNA	1
A0A074RSM2	1423351		AZST01000537	KEP48300.1	Genomic_DNA	1
A0A074RTB9	1423351		AZST01000284	KEP50119.1	Genomic_DNA	1
A0A074RXR6	1423351		AZST01000284	KEP50120.1	Genomic_DNA	1
A0A074S0H8	1423351		AZST01000257	KEP50408.1	Genomic_DNA	1
A0A074S7C5	1423351		AZST01000057	KEP53525.1	Genomic_DNA	1
A0A074S7W9	1423351		AZST01001266	KEP46137.1	Genomic_DNA	1
A0A074SA15	1423351		AZST01000924	KEP46862.1	Genomic_DNA	1
A0A074SFZ9	1423351		AZST01000426	KEP48977.1	Genomic_DNA	1
A0A074SK72	1423351		AZST01000253	KEP50447.1	Genomic_DNA	1
A0A074SK81	1423351		AZST01000251	KEP50462.1	Genomic_DNA	1
A0A074SUA9	1423351		AZST01000058	KEP53512.1	Genomic_DNA	1
A0A084B2K4	1280523		KL648196	KEY71783.1	Genomic_DNA	1
A0A084BB06	1280523		KL647495	KEY74735.1	Genomic_DNA	1
A0A084G3K0	563466		JOWA01000105	KEZ41912.1	Genomic_DNA	1
A0A084QCB8	1283841		KL660845	KFA61603.1	Genomic_DNA	1
A0A084QWG9	1283841		KL659939	KFA68304.1	Genomic_DNA	1
A0A090N5Z6						0
A0A0A1UJW0						0
A0A0A1UJX2						0
A0A0A2JVP7	27334		JQFZ01000170	KGO56270.1	Genomic_DNA	1
A0A0A7CLT5	74557		JNBS01000302	OQS06830.1	Genomic_DNA	1
A0A0A7CNE6	1202772		JNBR01000690	OQR90007.1	Genomic_DNA	1
A0A0A7CNP6	1202772		JNBR01000151	OQR96262.1	Genomic_DNA	1
A0A0A7CPE6						0
A0A0B7F0F6	1108050		LN679100	CEL51511.1	Genomic_DNA	1
A0A0B7F0G8	1108050		LN679100	CEL51521.1	Genomic_DNA	1
A0A0B7F0N2	1108050		LN679100	CEL51561.1	Genomic_DNA	1
A0A0B7F0Q1	1108050		LN679100	CEL51591.1	Genomic_DNA	1
A0A0B7F1Z6	1108050		LN679100	CEL51520.1	Genomic_DNA	1
A0A0B7F8H0	1108050		LN679113	CEL53845.1	Genomic_DNA	1
A0A0B7FCB0	1108050		LN679113	CEL53843.1	Genomic_DNA	1
A0A0B7FGN3	1108050		LN679127	CEL57146.1	Genomic_DNA	1
A0A0B7FN78	1108050		LN679129	CEL58389.1	Genomic_DNA	1
A0A0B7FUY2	1108050		LN679104	CEL60669.1	Genomic_DNA	1
A0A0B7FY08	1108050		LN679171	CEL62851.1	Genomic_DNA	1
