sequence_id	domain_rmsd	domain_start	domain_plddt	trp_resid	trp_dist	n_ca
A0A0G2YLH0_taxID_42192_model_A	2.758	135	96.503	199	0.000	685
A0A0L8FPZ6_taxID_37653_model	2.811	125	86.625	172	0.000	709
A0A0L8HYV5_taxID_37653_model	2.816	8	89.378	55	0.000	493
A0A0L8I5G4_taxID_37653_model	2.772	45	93.769	92	0.000	650
A0A0Y0DNT4_taxID_211853_model	2.831	145	92.854	192	0.000	762
A0A182YW94_taxID_6526_model	2.853	135	94.756	182	0.000	636
A0A193DUA5_taxID_42192_model	1.464	46	81.432		NA	701
A0A1J0KEL5_taxID_165450_model	0.969	29	86.583		NA	778
A0A1J0KGN7_taxID_165450_model_A	1.320	53	85.935	93	0.000	662
A0A1L1ZLS6_taxID_291251_model	1.021	34	94.046		NA	689
A0A1S3HNS5_taxID_7574_model	2.164	50	60.273	99	0.000	821
A0A1S3IIA6_taxID_7574_model	2.288	50	59.251	99	0.000	817
A0A210PLP8_taxID_6573_model	2.569	32	82.249		NA	874
A0A210PPR4_taxID_6573_model	1.117	30	84.660	70	0.000	653
A0A210PWA4_taxID_6573_model_A	1.018	27	74.826	67	0.000	645
A0A210QF88_taxID_6573_model	0.875	31	86.879	81	0.000	750
A0A210QME8_taxID_6573_model	2.780	33	79.603	72	0.000	655
A0A210R239_taxID_6573_model	1.205	31	90.421	95	0.000	686
A0A210R2J1_taxID_6573_model	1.270	32	78.664	83	0.000	878
A0A210R2J5_taxID_6573_model	1.248	34	90.543		NA	703
A0A210R2R4_taxID_6573_model_A	1.125	36	87.586		NA	729
A0A222YS18_taxID_106299_model	2.449	29	83.484		NA	669
A0A222YSB4_taxID_106299_model	1.169	30	83.425	70	0.000	619
A0A222YTC9_taxID_106299_model_A	2.455	26	88.924		NA	667
A0A2C9JDT0_taxID_6526_model	2.872	135	95.524	182	0.000	635
A0A2C9KDF9_taxID_6526_model	2.817	140	94.528	187	0.000	766
A0A2C9KDI8_taxID_6526_model	4.609	132	90.942		NA	622
A0A2C9L419_taxID_6526_model	2.868	138	95.706	185	0.000	644
A0A3L5TTX5_taxID_29158_model	0.696	36	90.332		NA	836
A0A6B9QJU3_taxID_28835_model	2.609	27	86.889		NA	781
A0A6J8CCA4_taxID_42192_model_A	2.753	355	95.413	419	0.000	905
A0A6J8CDZ2_taxID_42192_model_A	2.710	118	95.410	182	0.000	670
A0A6J8CJI4_taxID_42192_model	0.767	76	90.991		NA	853
A0A6J8CKE6_taxID_42192_model	1.375	34	83.895	85	0.000	628
A0A6J8CMR4_taxID_42192_model	0.745	40	92.174		NA	817
A0A6J8CZL5_taxID_42192_model	1.322	25	85.953	75	0.000	892
A0A6J8D799_taxID_42192_model	0.850	3	91.146		NA	794
A0A6J8DL31_taxID_42192_model_A	2.632	32	84.046		NA	596
A0A6J8E8F7_taxID_42192_model	0.748	9	80.745	50	0.000	888
A0A6J8E904_taxID_42192_model	2.629	102	92.448	149	0.000	649
A0A6J8EA39_taxID_42192_model	1.460	46	80.198		NA	701
A0A6J8EA73_taxID_42192_model	2.739	141	88.506	188	0.000	757
A0A6J8EAN0_taxID_42192_model	1.418	81	81.963		NA	740
A0A6J8ETS6_taxID_42192_model_A	2.814	31	76.236	71	0.000	678
A0A6M8NXE9_taxID_165450_model	0.888	29	75.969	69	0.000	730
A0A6P7S5R8_taxID_2607531_model	2.687	22	76.387	62	0.000	711
A0A6P7S5V1_taxID_2607531_model	2.733	123	88.000	170	0.000	741
