accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A024CHU4	104660		KJ533309	AHZ34291.1	mRNA	1
A0A024CIJ4	104660		KJ533310	AHZ34292.1	mRNA	1
A0A024CIJ8	104660		KJ533315	AHZ34297.1	mRNA	1
A0A067S9C3	685588		KL142422	KDR66552.1	Genomic_DNA	1
A0A084GCK1	563466		JOWA01000086	KEZ45063.1	Genomic_DNA	1
A0A0B7AML2						0
A0A0G2YLH0	42192		KP322726	AKI87982.1	mRNA	1
A0A0K0E814	6248					0
A0A0W7WYA7	1765722		LOCL01000044	KUF15496.1	Genomic_DNA	1
A0A183BN42	36090					0
A0A1B1M2R3	1915		CP016438	ANS62717.1	Genomic_DNA	1
A0A1B7NUR7	1955775		LGUA01000683	OAX80518.1	Genomic_DNA	1
A0A1B8XYP0						0
A0A1D7YL38	1904616		CP017248	AOR36271.1	Genomic_DNA	1
A0A1L1ZLS6	291251		KP250881	ALG64484.1	mRNA	1
A0A1L9RUP8	1073089		KV878210	OJJ38661.1	Genomic_DNA	1
A0A1L9V3Y6	1160497		KV878930	OJJ78653.1	Genomic_DNA	1
A0A1L9X8A5	690307		KV878970	OJK04675.1	Genomic_DNA	1
A0A1Y2D1M5	329046		MCGO01000002	ORY53181.1	Genomic_DNA	1
A0A210QF88	6573		NEDP02003910	OWF47427.1	Genomic_DNA	1
A0A210QJQ9	6573		NEDP02003339	OWF48970.1	Genomic_DNA	1
A0A210QRD1	6573		NEDP02002292	OWF51306.1	Genomic_DNA	1
A0A210R249	6573		NEDP02000756	OWF55160.1	Genomic_DNA	1
A0A210R2J1	6573		NEDP02000756	OWF55164.1	Genomic_DNA	1
A0A221P6L7	1355015		CP022433	ASN27857.1	Genomic_DNA	1
A0A238JCS7	1037362		FXXP01000002	SMX28215.1	Genomic_DNA	1
A0A2B7X3E4	2060905		PDNC01000050	PGH03287.1	Genomic_DNA	1
A0A2I1CR74	1392248		MSFM01000016	PKY00109.1	Genomic_DNA	1
A0A2N3N0U6	41688		NLAX01001139	PKS06048.1	Genomic_DNA	1
A0A2N8P306	66423		LGUI01000001	PNE35381.1	Genomic_DNA	1
A0A2P1AAW5						0
A0A317XLV9	1882483		KZ819195	PWY99294.1	Genomic_DNA	1
A0A3S9PH06	66425		CP034587	AZQ71632.1	Genomic_DNA	1
A0A4V1IUQ4	1555241		ML014174	RKP01369.1	Genomic_DNA	1
A0A507FGD0	246404		QEAP01000081	TPX75431.1	Genomic_DNA	1
A0A5B2XQW2	1892852		VUOB01000003	KAA2266057.1	Genomic_DNA	1
A0A5J6J652	1960		CP023692	QEV44334.1	Genomic_DNA	1
A0A5P2DVP6						0
A0A6A6CMY4	1080233		ML993593	KAF2167578.1	Genomic_DNA	1
