accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A067N7R8						0
A0A0A6UH53	1869		JRTT01000028	KHD75355.1	Genomic_DNA	1
A0A0A6UH99	1869		JRTT01000043	KHD74468.1	Genomic_DNA	1
A0A0A6UK08	1869		JRTT01000018	KHD76450.1	Genomic_DNA	1
A0A0G4HMU6						0
A0A0W0FIC5						0
A0A1H1YK07	113562		LT629758	SDT21665.1	Genomic_DNA	1
A0A1I2GNX2	35752		FONV01000007	SFF18978.1	Genomic_DNA	1
A0A1I7S4X7	6326		CAJFDI010000004	CAD5227327.1	Genomic_DNA	1
A0A1I8AD71	37863					0
A0A1K0GCJ9	56427		MEIA01000541	OJF09894.1	Genomic_DNA	1
A0A1R0H9J9	133383		LSSL01000005	OLY85777.1	Genomic_DNA	1
A0A1R4HGF1	360316		FUKI01000145	SJM95326.1	Genomic_DNA	1
A0A2A2J8D8	2018661		LIAE01010614	PAV57923.1	Genomic_DNA	1
A0A2B4RN75	50429		LSMT01000422	PFX18249.1	Genomic_DNA	1
A0A2B7XWW1	1447875		PDNB01000049	PGH13112.1	Genomic_DNA	1
A0A2G5BCU3	763665		KZ303497	PIA16829.1	Genomic_DNA	1
A0A2I1BV77	1392255		MSZS01000010	PKX89293.1	Genomic_DNA	1
A0A2T0K3L1	113567		PVMZ01000016	PRX17419.1	Genomic_DNA	1
A0A2T9ZGP7	133381		MBFS01000197	PVV03749.1	Genomic_DNA	1
A0A316FBE9	512350		QGGR01000012	PWK44206.1	Genomic_DNA	1
A0A316FI64	512350		QGGR01000007	PWK47500.1	Genomic_DNA	1
A0A3M6U071	46731		RCHS01002511	RMX47007.1	Genomic_DNA	1
A0A3N1GBQ3						0
A0A4U5PGP8	34508		AZBU02000002	TKR95573.1	Genomic_DNA	1
A0A6V7TIR8						0
A0A811KY04	465554		CAJFDH010000004	CAD5219766.1	Genomic_DNA	1
A0A8H4NX87	78861		JAADJF010000061	KAF4441152.1	Genomic_DNA	1
A0A8H5J9Q5	751941		JAAOAM010000072	KAF5551324.1	Genomic_DNA	1
