accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A010RM53	20	0		0	1	1	0	BGC_accessory
A0A010RYF3	12	0		0	0	0	0	none
A0A059F260	16	0		0	0	0	0	none
A0A067BUS0	20	0		0	0	0	0	none
A0A067CPX4	20	0		0	0	0	0	none
A0A067MC03	20	0		0	0	0	0	none
A0A074RCL1	0	0		0	0	0	0	none
A0A074RLS0	4	0		0	0	0	0	none
A0A074RSM2	4	0		0	0	0	0	none
A0A074RTB9	11	0		0	0	0	0	none
A0A074RXR6	11	0		0	0	0	0	none
A0A074S0H8	7	0		0	0	0	0	none
A0A074S7C5	14	0		0	0	0	0	none
A0A074S7W9	2	0		0	0	0	0	none
A0A074SA15	5	0		0	1	0	0	none
A0A074SFZ9	7	0		0	0	0	0	none
A0A074SK81	10	0		1	0	0	0	none
A0A074SUA9	18	0		0	0	0	0	none
A0A084BB06	18	0		1	0	0	0	none
A0A084G3K0	20	0		1	1	0	0	BGC_accessory
A0A084QCB8	15	0		1	1	0	0	BGC_accessory
A0A084QWG9	15	0		1	1	0	0	BGC_accessory
A0A0A2JVP7	20	0		0	0	0	0	none
A0A0A7CLT5	14	0		0	0	0	0	none
A0A0A7CNE6	1	0		0	0	0	0	none
A0A0A7CNP6	20	0		0	0	0	0	none
A0A0B7FGN3	20	0		0	0	0	0	none
A0A0B7FN78	11	0		0	0	1	0	none
A0A0B7FY08	20	0		0	0	0	0	none
A0A0B7G165	18	0		0	0	0	0	none
A0A0C3FFF8	20	0		0	0	1	0	none
A0A0C3FYC4	20	0		0	0	0	0	none
A0A0D0CCA2	20	0		0	0	0	0	none
A0A0D2AGE3	20	0		1	1	1	0	BGC_accessory
A0A0E0RYC2	20	0		1	0	1	0	BGC_accessory
A0A0F7S7B3	1	0		0	0	0	0	none
A0A0F7TYM6	20	0		0	1	1	0	BGC_accessory
A0A0G4KK98	20	0		1	1	0	0	BGC_accessory
A0A0G4KKL5	20	0		1	1	0	0	BGC_accessory
A0A0K6FKC6	20	0		0	0	0	0	none
A0A0K6FMF9	1	0		0	0	0	0	none
A0A0K6FMV0	17	0		0	0	0	0	none
A0A0K6FPB5	11	0		0	0	0	0	none
A0A0K6FPV3	11	0		0	1	0	0	none
A0A0K6FU45	11	0		0	0	0	0	none
A0A0K6FUE9	10	0		0	0	0	0	none
A0A0K6FYY1	5	0		0	1	0	0	none
A0A0K6G019	8	0		0	0	0	0	none
A0A0K6GEK7	3	0		0	0	0	0	none
A0A0K6GIP8	1	0		0	0	0	0	none
A0A0K6GIR3	10	0		0	0	0	0	none
A0A0L0T1I9	15	0		0	0	0	0	none
A0A0L0T297	16	0		0	0	0	0	none
A0A0L0T3A5	20	0		0	0	0	0	none
A0A0L0T3E0	20	0		0	0	0	0	none
A0A0M9EWC2	20	0		1	0	1	0	BGC_accessory
A0A0W7VMU8	20	0		1	1	0	0	BGC_accessory
A0A101NIJ2	20	0		0	0	0	0	none
A0A101NV74	19	0		0	0	0	0	none
A0A135RS91	20	0		1	1	1	0	BGC_accessory
A0A135S3P5	15	0		0	1	0	0	none
A0A135SGH4	13	0		1	0	0	0	none
A0A135TPT1	4	0		0	1	0	0	none
A0A135U459	20	0		0	1	0	0	none
A0A136IUM9	20	0		0	0	1	0	none
A0A137NQN3	1	0		0	0	0	0	none
A0A137NY78	11	0		0	0	0	0	none
A0A164PTP5	19	0		0	0	1	0	none
A0A164SP08	20	0		1	0	0	0	none
A0A165J5C9	20	0		0	1	0	0	none
A0A165V412	20	0		0	0	0	0	none
A0A165YMC5	15	0		0	0	0	0	none
A0A166ALV4	20	0		1	0	0	0	none
A0A166DZQ5	20	0		0	0	1	0	none
A0A166QLI8	11	0		1	0	1	0	BGC_accessory
A0A166QMK6	19	0		1	0	1	0	BGC_accessory
A0A167BY34	7	0		1	0	0	0	none
A0A167H3K1	20	0		0	1	0	0	none
A0A168E5R7	20	1	1	0	1	0	0	UstYa_cluster
A0A1B1B8N9	20	0		0	0	0	0	none
A0A1B7Y3U5	20	0		1	1	0	0	BGC_accessory
A0A1B8AR83	20	0		0	1	0	0	none
A0A1B8AWE5	20	0		1	0	1	0	BGC_accessory
A0A1B8AZE2	20	0		0	0	0	0	none
A0A1D7YF24	20	0		0	0	0	0	none
A0A1J9Q3N9	14	0		1	0	0	0	none
A0A1J9QXP9	20	0		0	0	0	0	none
A0A1L7T7V9	20	0		0	1	1	0	BGC_accessory
A0A1L7THL1	12	0		1	1	1	0	BGC_accessory
A0A1L7TSE2	20	0		1	0	0	0	none
A0A1L7VVU2	20	0		1	0	0	0	none
A0A1L7W6N9	20	0		1	0	0	0	none
A0A1L7XG75	20	0		1	0	0	1	BGC_accessory
A0A1M2VFH5	15	0		0	1	0	0	none
A0A1Q3DUK8	17	0		1	1	0	0	BGC_accessory
A0A1S2PQK3	20	0		0	0	0	0	none
A0A1V6RNY4	20	0		0	0	0	0	none
A0A1V9Y4A2	2	0		0	0	0	0	none
A0A1V9Y4B3	2	0		0	0	0	0	none
A0A1V9Y543	0	0		0	0	0	0	none
A0A1V9Y5I4	1	0		0	0	0	0	none
A0A1V9Y9H5	2	0		0	0	0	0	none
A0A1V9YBP5	5	0		0	0	0	0	none
A0A1V9YEM7	5	0		0	0	0	0	none
A0A1V9Z5U0	15	0		0	0	0	0	none
A0A1V9ZS86	9	0		0	0	0	0	none
A0A1W7D1S4	20	0		0	1	0	0	none
A0A1Y2E7P4	20	0		1	0	1	0	BGC_accessory
A0A1Y2LJE8	20	0		0	1	0	0	none
A0A210QHJ1	17	0		0	0	1	0	none
A0A210R172	2	0		0	0	0	0	none
A0A218Z5Z3	20	0		0	1	1	0	BGC_accessory
A0A284QUC6	20	0		0	1	0	0	none
A0A284RNM6	20	0		0	1	0	0	none
A0A2B7WN75	13	0		0	1	0	0	none
A0A2B7YAT8	20	0		1	0	0	0	none
A0A2G8SRB1	20	0		0	1	1	0	BGC_accessory
A0A2H3BBQ8	20	0		0	1	0	0	none
A0A2H3D1Q0	20	0		0	1	0	0	none
A0A2H5BVB1	20	0		0	1	0	0	none
A0A2I2FVC4	20	0		1	1	1	0	BGC_accessory
A0A2K0USD3	20	0		1	0	0	0	none
A0A2L0P0J7	0	0		0	0	0	0	none
A0A2L2TND9	20	0		1	0	1	0	BGC_accessory
A0A2L2TT53	20	0		0	1	0	0	none
A0A2L2TZT7	20	0		1	1	0	0	BGC_accessory
A0A2N3N1M7	20	0		0	0	0	0	none
A0A2P5HSA0	6	0		0	0	0	0	none
A0A2T4GWT7	20	0		0	0	0	0	none
A0A2T4GXQ3	20	0		1	0	1	0	BGC_accessory
A0A2T7NHK1	20	0		0	0	0	0	none
A0A2T9ZGW2	17	0		0	0	0	0	none
A0A2U1JEL2	16	0		0	0	0	0	none
A0A2V1CYP5	0	0		0	0	0	0	none
A0A2V1E5D8	18	0		1	1	1	0	BGC_accessory
A0A317SBD7	9	0		0	0	0	0	none
A0A345I2D0	20	0		0	1	0	0	none
A0A366RBL7	10	0		0	0	1	0	none
A0A366S6I4	20	0		1	0	1	0	BGC_accessory
A0A370BCH9	19	0		0	1	0	0	none
A0A395MRW2	20	0		0	0	0	0	none
A0A395MVI2	17	0		1	0	1	0	BGC_accessory
A0A395N2K0	20	0		1	0	1	0	BGC_accessory
A0A395SCX6	20	0		1	1	0	0	BGC_accessory
A0A395SM33	20	0		0	0	1	0	none
A0A3M2RUE8	13	0		0	0	0	0	none
A0A3M9YBL7	20	0		1	1	0	0	BGC_accessory
A0A3N4HNW1	20	0		0	0	0	0	none
A0A3R6VRZ5	2	0		0	0	0	0	none
A0A3R7MJX7	1	0		0	0	0	0	none
A0A3R7WQH8	0	0		0	0	0	0	none
A0A3R7ZIF7	3	0		0	0	0	0	none
A0A401VX81	20	0		0	0	0	0	none
A0A418AHC0	1	0		0	0	0	0	none
A0A418AND4	1	0		0	0	0	0	none
A0A418AQE9	6	0		0	0	0	0	none
A0A425DJS3	7	0		0	0	0	0	none
A0A437AMZ0	1	0		0	0	0	0	none
A0A485K5I4	6	0		0	0	0	0	none
A0A485K9M7	6	0		0	0	0	0	none
A0A485KAJ9	6	0		0	0	0	0	none
A0A485KB07	0	0		0	0	0	0	none
A0A485KBW3	9	0		0	0	0	0	none
A0A485L799	4	0		0	0	0	0	none
A0A485L7D7	4	0		0	0	0	0	none
A0A485L8F1	3	0		0	0	0	0	none
A0A485LKF7	15	0		0	0	0	0	none
A0A485LNI1	11	0		0	0	0	0	none
A0A485LSG3	10	0		0	0	0	0	none
A0A4P9Z6Q7	6	0		0	0	0	0	none
A0A4Q4TQ47	1	0		0	0	0	0	none
A0A4Q9PR44	20	0		0	1	1	0	BGC_accessory
A0A4S4M1Y3	19	0		1	1	0	0	BGC_accessory
A0A4S4MA69	20	0		0	1	1	0	BGC_accessory
A0A4S8LAP1	20	0		0	0	1	0	none
A0A4V1IX23	12	0		0	0	0	0	none
A0A4V1X6P4	20	0		1	0	1	0	BGC_accessory
A0A4V2K7N5	20	0		0	1	1	0	BGC_accessory
A0A4V6QED0	12	0		0	0	0	0	none
A0A4Y9ZE70	19	0		0	1	1	0	BGC_accessory
A0A4Z0ZBZ0	20	0		0	1	0	0	none
A0A4Z1HN92	10	0		0	0	0	0	none
A0A507EFD5	20	0		0	1	0	0	none
A0A517LRF7	20	0		0	0	0	0	none
A0A542UIP7	20	0		0	0	0	0	none
A0A550CYA8	20	0		0	0	0	0	none
A0A5C2RQU6	11	0		1	0	0	0	none
A0A5C3PS01	11	0		1	0	0	0	none
A0A5C3Q880	20	0		0	0	0	0	none
A0A5C3QLZ5	20	0		0	1	0	0	none
A0A5N5DHS7	20	0		0	0	0	0	none
A0A5N5Q961	3	0		0	0	0	0	none
A0A5N5QCV3	6	0		0	0	0	0	none
A0A5N5QCX3	4	0		0	0	0	0	none
A0A5N5QD75	8	0		0	0	0	0	none
A0A5N5QF46	8	0		0	1	0	0	none
A0A5N5QF97	11	0		0	0	1	0	none
A0A5N5QFD1	10	0		0	0	0	0	none
A0A5N5QMV8	18	0		1	1	0	0	BGC_accessory
A0A5N5QMX1	20	0		1	0	0	0	none
A0A5N5QN45	17	0		1	1	0	0	BGC_accessory
A0A5N5QN80	20	0		0	0	1	0	none
A0A5N5QSX1	20	0		0	1	0	0	none
