protein_id	pfam
ADV50385	PF02470|MlaD protein;PF28542|Domain of unknown function (DUF8434);PF28544|Probable MCE-like lipid transporter, helical needle domain
ADV50386	PF13187|4Fe-4S dicluster domain
ADV50387	PF02754|Cysteine-rich domain
ADV50388	
ADV50389	PF00144|Beta-lactamase;PF00933|Glycosyl hydrolase family 3 N terminal domain
ADV50390	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
ADV50391	
ADV50392	PF03062|MBOAT, membrane-bound O-acyltransferase family
ADV50393	
ADV50394	PF00041|Fibronectin type III domain
ADV50396	PF00403|Heavy-metal-associated domain
ADV50397	PF07715|TonB-dependent Receptor Plug Domain;PF13715|CarboxypepD_reg-like domain
ADV50398	
ADV50399	PF27533|CapK C-terminal domain
ADV50400	PF17836|PglD N-terminal domain
ADV50401	PF00132|Bacterial transferase hexapeptide (six repeats);PF13480|Acetyltransferase (GNAT) domain;PF17836|PglD N-terminal domain
ADV50402	PF02397|Bacterial sugar transferase
ADV50403	PF02397|Bacterial sugar transferase
ADV50404	PF00534|Glycosyl transferases group 1;PF13477|Glycosyl transferase 4-like
ADV50405	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
AWX45783	PF13480|Acetyltransferase (GNAT) domain
AWX45784	PF13480|Acetyltransferase (GNAT) domain
AWX45785	PF13480|Acetyltransferase (GNAT) domain
AWX45786	PF13480|Acetyltransferase (GNAT) domain
AWX45787	PF13480|Acetyltransferase (GNAT) domain
AWX45788	
AWX45789	PF03062|MBOAT, membrane-bound O-acyltransferase family
AWX45790	PF13480|Acetyltransferase (GNAT) domain
AWX45791	
AWX45792	PF00041|Fibronectin type III domain
AWX45794	
AWX45795	PF00593|TonB dependent receptor-like, beta-barrel;PF07715|TonB-dependent Receptor Plug Domain;PF13715|CarboxypepD_reg-like domain
AWX45796	
AWX45797	PF27533|CapK C-terminal domain
AWX45798	PF02397|Bacterial sugar transferase
AWX45799	PF13454|FAD-NAD(P)-binding;PF17836|PglD N-terminal domain
AWX45800	PF00534|Glycosyl transferases group 1;PF13477|Glycosyl transferase 4-like
AWX45801	PF01501|Glycosyl transferase family 8
AWX45802	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
AWX45803	PF01943|Polysaccharide biosynthesis protein
BAE62499	PF01565|FAD binding domain;PF08031|Berberine and berberine like
BAE62500	
BAE62501	
BAE62502	PF03446|NAD binding domain of 6-phosphogluconate dehydrogenase
BAE62503	PF00069|Protein kinase domain
BAE62504	
BAE62505	
BAE62506	PF11951|Fungal specific transcription factor domain
BAE62507	
BAE62508	PF00324|Amino acid permease
BAE62510	PF04389|Peptidase family M28
BAE62511	
BAE62512	PF11807|Mycotoxin biosynthesis protein UstYa
BAE62513	PF11807|Mycotoxin biosynthesis protein UstYa
BAE62514	PF11807|Mycotoxin biosynthesis protein UstYa
BAE62515	PF11807|Mycotoxin biosynthesis protein UstYa
BAE62516	
BAE62517	
BAE62518	PF00023|Ankyrin repeat;PF12796|Ankyrin repeats (3 copies)
BAE62519	PF03483|B3/4 domain
BDW93794	PF00144|Beta-lactamase;PF00933|Glycosyl hydrolase family 3 N terminal domain
BDW93795	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
BDW93796	
BDW93797	
BDW93798	PF00691|OmpA family
BDW93799	PF17836|PglD N-terminal domain
BDW93800	PF02397|Bacterial sugar transferase
BDW93801	PF27533|CapK C-terminal domain
BDW93802	
BDW93803	PF00041|Fibronectin type III domain
BDW93805	
BDW93806	PF07715|TonB-dependent Receptor Plug Domain;PF13715|CarboxypepD_reg-like domain
BDW93807	
BDW93808	PF27533|CapK C-terminal domain
BDW93809	PF00534|Glycosyl transferases group 1;PF13579|Glycosyl transferase 4-like domain
BDW93810	PF13527|Acetyltransferase (GNAT) domain
BDW93811	PF01522|Polysaccharide deacetylase
BDW93812	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
BDW93813	PF00534|Glycosyl transferases group 1;PF13439|Glycosyltransferase Family 4
BDW93814	PF04932|O-Antigen ligase
CAF9929911	
CAF9929915	PF01494|FAD binding domain
CAF9929919	PF13489|Methyltransferase domain
CAF9929923	PF00106|short chain dehydrogenase
CAF9929927	PF20684|Fungal rhodopsin domain
CAF9929931	PF00109|Beta-ketoacyl synthase, N-terminal domain;PF00550|Phosphopantetheine attachment site;PF00698|Acyl transferase domain;PF02801|Beta-ketoacyl synthase, C-terminal domain;PF08240|Alcohol dehydrogenase GroES-like domain;PF08242|Methyltransferase domain;PF08659|KR domain;PF13602|Zinc-binding dehydrogenase;PF14765|Polyketide synthase dehydratase N-terminal domain;PF16197|Ketoacyl-synthetase C-terminal extension;PF21089|Polyketide synthase dehydratase domain;PF23114|HRPKS sdrA-like, NAD(P)-binding Rossmann-fold domain
CAF9929935	PF03583|Secretory lipase
CAF9929939	PF24476|Domain of unknown function (DUF7580)
CAF9929943	
CAF9929947	
CAF9937010	PF11578|Protein of unknown function (DUF3237)
CAF9937013	PF12738|twin BRCT domain;PF16892|Chitin biosynthesis protein CHS5 N-terminus;PF16893|Fibronectin type III domain
CAF9937016	PF01040|UbiA prenyltransferase family
CAF9937019	
CAF9937022	PF00891|O-methyltransferase domain;PF08100|O-methyltransferase dimerisation domain
CAF9937024	PF23190|TRPY1 N-terminal linker helical domain;PF23317|Calcium channel YVC1-like, C-terminal
CAF9937027	
CAF9937029	PF01738|Dienelactone hydrolase family
CAF9937032	
CAF9937034	PF00933|Glycosyl hydrolase family 3 N terminal domain;PF01915|Glycosyl hydrolase family 3 C-terminal domain;PF14310|Fibronectin type III-like domain
CAF9937038	
CAF9937040	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF11951|Fungal specific transcription factor domain
CAF9937042	
CAF9937044	PF20684|Fungal rhodopsin domain
CAF9937046	
CAF9937048	PF02668|Taurine catabolism dioxygenase TauD, TfdA family
CAF9937050	
CAH0379247	PF00023|Ankyrin repeat;PF12796|Ankyrin repeats (3 copies);PF13857|Ankyrin repeats (many copies)
CAH0379248	PF00415|Regulator of chromosome condensation (RCC1) repeat
CAH0379249	PF00254|FKBP-type peptidyl-prolyl cis-trans isomerase
CAH0379250	PF00224|Pyruvate kinase, barrel domain;PF02887|Pyruvate kinase, alpha/beta domain
CAH0379251	PF01370|NAD dependent epimerase/dehydratase family
CAH0379252	PF00160|Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD;PF21329|Peptidyl-prolyl cis-trans isomerase CYP38-like, PsbQ-like domain
CAH0379253	PF00270|DEAD/DEAH box helicase;PF00271|Helicase conserved C-terminal domain;PF04408|Helicase associated domain (HA2), winged-helix;PF07717|Oligonucleotide/oligosaccharide-binding (OB)-fold;PF21010|Helicase associated domain (HA2), ratchet-like
CAH0379254	PF00328|Histidine phosphatase superfamily (branch 2);PF18086|Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain
CAH0379255	
CAH0379256	
CAH0379258	PF00018|SH3 domain;PF03176|MMPL family;PF12349|Sterol-sensing domain of SREBP cleavage-activation;PF14604|Variant SH3 domain
CAH0379259	
CAH0379260	
CAH0379261	
CAH0379262	PF05739|SNARE domain
CAH0379263	
CAH0379264	
CAH0379265	
CAH0379266	PF14580|Leucine-rich repeat
CAH0379267	
CAI0651800	PF01757|Acyltransferase domain
CAI0651801	PF05592|Bacterial alpha-L-rhamnosidase concanavalin-like domain;PF08531|Alpha-L-rhamnosidase N-terminal domain;PF17389|Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain;PF17390|Bacterial alpha-L-rhamnosidase C-terminal domain;PF25788|Rha78A-like, N-terminal immunoglobulin domain
CAI0651802	PF20253|Family of unknown function (DUF6604)
CRK17448	PF01433|Peptidase family M1 domain;PF11838|ERAP1-like C-terminal domain
CRK17449	PF08241|Methyltransferase domain
CRK17451	PF13439|Glycosyltransferase Family 4
CRK17453	PF00293|NUDIX domain;PF08241|Methyltransferase domain
CRK17454	
CRK17455	PF00544|Pectate lyase
CRK17456	PF22974|Domain of unknown function (DUF7029)
CRK17457	PF01522|Polysaccharide deacetylase
CRK17458	PF00083|Sugar (and other) transporter
CRK17459	PF06993|Protein of unknown function (DUF1304);PF07942|Carnosine N-methyltransferase
CRK17461	PF00246|Zinc carboxypeptidase
CRK17462	PF00686|Starch binding domain
CRK17463	PF00246|Zinc carboxypeptidase
CRK17464	
CRK17465	PF00241|Cofilin/tropomyosin-type actin-binding protein
CRK17466	PF00082|Subtilase family
CRK17467	
CRK17468	
CRK17469	PF13641|Glycosyltransferase like family 2
CRK17471	
CRK23753	PF01822|WSC domain
CRK23754	PF06089|L-asparaginase II
CRK23755	PF20684|Fungal rhodopsin domain
CRK23756	PF27986|Effector TSP1
CRK23757	PF22974|Domain of unknown function (DUF7029)
CRK23758	PF01522|Polysaccharide deacetylase
CRK23760	PF00083|Sugar (and other) transporter
CRK23761	PF02353|Mycolic acid cyclopropane synthetase
CRK23762	PF06993|Protein of unknown function (DUF1304)
CRK23763	PF13738|Pyridine nucleotide-disulphide oxidoreductase
EGY15963	PF00004|ATPase family associated with various cellular activities (AAA)
EGY15964	PF13641|Glycosyltransferase like family 2
EGY15965	
EGY15966	
EGY15967	PF00082|Subtilase family
EGY15968	PF00241|Cofilin/tropomyosin-type actin-binding protein
EGY15969	
EGY15970	PF00246|Zinc carboxypeptidase
EGY15971	PF00686|Starch binding domain;PF03067|Lytic polysaccharide mono-oxygenase, cellulose-degrading
EGY15972	PF00246|Zinc carboxypeptidase
EGY15974	PF13738|Pyridine nucleotide-disulphide oxidoreductase
EGY15975	PF07942|Carnosine N-methyltransferase
EGY15976	PF06993|Protein of unknown function (DUF1304)
EGY15977	PF00083|Sugar (and other) transporter
EGY15978	PF01522|Polysaccharide deacetylase
EGY15979	PF22974|Domain of unknown function (DUF7029)
EGY15980	PF00544|Pectate lyase
EGY15981	
EGY15982	PF00293|NUDIX domain
EGY15983	PF08241|Methyltransferase domain
EMR68916	
EMR68917	
EMR68919	PF07942|Carnosine N-methyltransferase
EMR68920	PF01603|Protein phosphatase 2A regulatory B subunit (B56 family)
EMR68921	
EMR68923	
EMR68924	PF00710|Asparaginase, N-terminal;PF17763|Glutaminase/Asparaginase C-terminal domain
EMR68925	PF13513|HEAT-like repeat;PF23271|Stalled ribosome sensor GCN1-like, HEAT repeats;PF25574|Importin subunit beta-1-like, TPR repeats
EMR68927	PF02666|Phosphatidylserine decarboxylase
EMR68928	
EMR68929	PF14027|Questin oxidase-like
EMR68930	PF13561|Enoyl-(Acyl carrier protein) reductase
EMR68931	PF00514|Armadillo/beta-catenin-like repeat
EMR68932	PF22669|Endonuclease/Exonuclease/phosphatase family 2
EMR68935	PF03798|TLC domain
EMR68936	PF16093|Proteasome assembly chaperone 4
EMR68937	PF10502|Signal peptidase, peptidase S26
