accession	n_neighbours	n_ustya	closest_ustya	n_melc1	has_TF_fungal	has_TF_bacterial	has_transporter	has_P450	has_OMT	has_biosynthetic	bgc_context	bgc_old
A0A0A6UH53	20	0		2	0	1	0	0	0	0	melC1_operon	none
A0A0A6UH99	20	0		2	0	1	1	0	0	0	melC1_operon	none
A0A0A6UK08	20	0		2	0	0	0	0	0	1	melC1_operon	none
A0A1H1YK07	20	0		2	0	0	1	0	0	0	melC1_operon	none
A0A1I2GNX2	20	0		2	0	0	1	0	0	0	melC1_operon	none
A0A1I7S4X7	20	0		0	0	0	1	0	0	0	none	none
A0A1K0GCJ9	19	0		2	0	1	1	0	0	0	melC1_operon	none
A0A1R0H9J9	5	0		0	0	0	0	0	0	0	none	none
A0A1R4HGF1	20	0		0	0	0	1	0	0	0	none	none
A0A2A2J8D8	20	0		0	0	0	1	0	0	0	none	none
A0A2B4RN75	20	0		0	0	0	0	0	0	0	none	none
A0A2B7XWW1	13	0		0	1	0	0	0	0	0	none	none
A0A2G5BCU3	20	0		0	0	0	0	0	0	0	none	none
A0A2I1BV77	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A2T0K3L1	20	0		2	0	0	0	0	0	0	melC1_operon	none
A0A2T9ZGP7	8	0		0	0	0	0	0	0	0	none	none
A0A316FBE9	20	0		1	0	0	1	0	0	0	melC1_operon	none
A0A316FI64	20	0		1	0	1	0	0	0	0	melC1_operon	none
A0A3M6U071	20	0		0	0	0	0	0	0	0	none	none
A0A4U5PGP8	20	0		0	0	0	0	0	0	0	none	none
A0A811KY04	20	0		0	0	0	1	0	0	0	none	none
A0A8H4NX87	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0A8H5J9Q5	20	0		0	0	0	0	1	0	0	none	none
A0A8H6WIU6	20	0		0	0	0	0	0	0	0	none	none
A0A8H7DEF9	20	0		0	0	0	0	0	0	0	none	none
A0A8H7DQG2	20	0		0	0	0	0	0	0	0	none	none
A0A8K0WNM9	20	0		0	1	0	1	0	0	0	BGC_accessory	BGC_accessory
A0A931G5C6	20	0		2	0	0	0	0	1	0	melC1_operon	none
A0A9P5ZHD6	3	0		0	0	0	0	0	0	0	none	none
A0A9P6DDV4	20	0		0	0	0	0	0	0	0	none	none
A0A9W7Y720	19	0		0	0	0	1	0	0	0	none	none
A0A9W8B7S7	7	0		0	0	0	0	0	0	0	none	none
A0A9W8BH04	12	0		0	0	0	0	0	0	0	none	none
A0A9W8CXW5	2	0		0	0	0	0	0	0	0	none	none
A0A9W8GLQ1	13	0		0	0	0	0	0	0	0	none	none
A0A9W8GXD7	11	0		0	0	0	0	0	0	0	none	none
A0A9W8GZT3	6	0		0	0	0	0	0	0	0	none	none
A0A9W8H1R1	7	0		0	0	0	0	0	0	0	none	none
A0A9W8H6W1	16	0		0	0	0	0	0	0	0	none	none
A0A9W8IDD7	20	0		0	0	0	0	0	0	0	none	none
A0A9W8IG38	14	0		0	0	0	0	0	0	0	none	none
A0A9W8LKD4	12	0		0	0	0	0	0	0	0	none	none
A0A9W8LSU1	4	0		0	0	0	0	0	0	0	none	none
A0A9W8M233	17	0		0	0	0	0	0	0	0	none	none
A0A9W8M6D4	11	0		0	0	0	0	0	0	0	none	none
A0AA39M604	20	0		0	0	0	0	0	0	0	none	none
A0AAD4MY73	20	0		0	0	0	0	0	0	0	none	none
A0AAD6T862	15	0		0	0	0	0	0	0	0	none	none
A0AAD6T8W8	20	0		0	0	0	0	0	0	0	none	none
A0AAD6YJW0	20	0		0	0	0	1	0	0	0	none	none
A0AAD6ZEL1	20	0		0	1	0	0	0	0	0	none	none
A0AAD7AIV8	20	0		0	0	0	1	0	0	0	none	none
A0AAD7JQN9	14	0		0	0	0	0	1	0	0	none	none
A0AAD7MIH2	13	0		0	1	0	0	0	0	0	none	none
A0AAU9WGN4	20	0		0	0	0	0	0	0	0	none	none
A0AAW0CQ31	20	0		0	0	0	1	1	0	0	BGC_accessory	BGC_accessory
A0ABD2I4S2	20	0		0	0	0	0	0	0	0	none	none
A0ABD2JWA1	20	0		0	0	0	0	0	0	0	none	none
A0ABD2KIP0	20	0		0	0	0	0	0	0	0	none	none
A0ABD2LMP6	20	0		0	0	0	0	0	0	0	none	none
A0ABD2M5Y3	20	0		0	0	0	1	0	0	0	none	none
A0ABD6E5N7	6	0		0	0	0	0	0	0	0	none	none
A0ABQ0M0Y9	17	0		0	0	0	0	0	0	0	none	none
A0ABQ3XK95	20	0		2	0	0	1	0	0	0	melC1_operon	none
A0ABR3FAS3	11	0		0	0	0	1	0	0	0	none	none
A0ABR3IZU5	20	0		0	0	0	0	0	0	0	none	none
A0ABT5BA12	20	0		0	0	0	0	1	0	0	none	none
A0ABT6WGX1	20	0		1	0	0	0	0	0	0	melC1_operon	none
A0ABT6X1I4	19	0		1	0	1	1	0	0	0	melC1_operon	none
A0ABV8JG77	14	0		2	0	0	0	0	0	0	melC1_operon	none
A0ABW4AR86	20	0		2	0	0	0	0	0	0	melC1_operon	none
A0ACB0Y497	20	0		0	0	0	1	0	0	0	none	none
A0ACB0Y7T5	20	0		0	0	0	1	0	0	0	none	none
