accession,status,af3_cu_dist,n_predicted_cu,predicted_cu_dist,cu_dist_diff,n_all_metals,cu1_prob,cu2_prob,error
A0A010S6Q2,ok,4.07,3,4.89,0.82,26,0.910,0.880,
A0A074Z7G7,ok,3.95,2,4.08,0.13,45,0.930,0.850,
A0A0A0A6E7,ok,3.93,3,3.76,-0.17,21,0.870,0.760,
A0A0D2IUZ3,ok,4.09,3,2.38,-1.71,44,0.740,0.720,
A0A0G2IAS2,ok,4.0,3,4.10,0.10,32,0.970,0.810,
A0A0H5RF96,ok,4.34,3,4.75,0.41,29,0.870,0.830,
A0A0L1INA1,ok,3.87,2,3.07,-0.80,23,0.920,0.870,
A0A0N4WJP6,ok,4.05,4,2.43,-1.62,42,0.850,0.850,
A0A0N4ZH21,ok,4.44,3,1.97,-2.47,45,0.950,0.950,
A0A162MRN0,ok,4.15,2,3.35,-0.80,24,0.530,0.310,
A0A166Y7S8,ok,3.87,2,8.82,4.95,40,0.980,0.180,
A0A175VPP2,ok,3.97,2,2.56,-1.41,18,0.900,0.510,
A0A1C7MJW4,ok,3.85,4,3.77,-0.08,50,0.750,0.470,
A0A1E1MLZ3,ok,4.32,3,4.17,-0.15,23,0.790,0.530,
A0A1J9Q075,ok,4.27,2,2.15,-2.12,50,0.420,0.390,
A0A1L9N5U9,ok,4.01,2,3.22,-0.79,18,0.850,0.830,
A0A1Q8S0I1,ok,4.15,2,3.02,-1.13,20,0.920,0.910,
A0A1R0H9M4,ok,3.89,2,3.15,-0.74,31,0.930,0.900,
A0A1S3B632,ok,3.7,2,2.52,-1.18,23,0.640,0.600,
A0A1Y1Y511,ok,3.99,3,2.61,-1.38,22,0.820,0.740,
A0A1Y1YAL0,ok,4.2,4,2.34,-1.86,32,0.960,0.900,
A0A1Y2D0V7,ok,3.92,3,2.94,-0.98,27,0.890,0.550,
A0A260ZAA2,ok,4.27,3,3.36,-0.91,43,0.950,0.620,
A0A2A2JDX4,ok,3.78,2,2.91,-0.87,42,0.800,0.490,
A0A2G2XHP8,ok,4.0,2,2.76,-1.24,40,0.660,0.540,
A0A2G7FQL5,ok,3.94,3,3.03,-0.91,25,0.600,0.570,
A0A2H1GNC2,ok,4.05,3,2.91,-1.14,31,0.960,0.640,
A0A2I2G3M9,ok,4.08,3,3.80,-0.28,26,1.000,0.760,
A0A2K8P7T4,ok,3.87,4,2.18,-1.69,17,0.820,0.800,
A0A2N5D510,ok,3.91,3,2.61,-1.30,37,0.780,0.640,
A0A2N5VYD7,ok,4.06,3,6.27,2.21,30,0.710,0.210,
