accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A0B5EPG7						0
A0A117PT81						0
A0A124I005						0
A0A150GSZ2	33097		LSYV01000009	KXZ52931.1	Genomic_DNA	1
A0A1I8AZD4	6305					0
A0A1I8BFJ2	6305					0
A0A1M5KSP5	288992		FQUQ01000006	SHG55765.1	Genomic_DNA	1
A0A221NXB2	1355015		CP022433	ASN24542.1	Genomic_DNA	1
A0A2I0SHR2	2058924		PJOS01000074	PKT69467.1	Genomic_DNA	1
A0A2J7ZPY5	47790		PGGS01000675	PNH02330.1	Genomic_DNA	1
A0A4Z1CUV9	2340725		SRRT01000010	TGN72585.1	Genomic_DNA	1
A0A4Z1D3W1	29306		SRRU01000012	TGN76060.1	Genomic_DNA	1
A0A5N8WIB3	1803180		VJZE01000893	MPY46979.1	Genomic_DNA	1
A0A6M4PQD2	2726118		CP053189	QJS11886.1	Genomic_DNA	1
A0A6V7TZH9						0
A0A6V7X5C5						0
A0A6V7X5U8						0
A0A7K3QZS7						0
A0A7W9UN50	67293		JACHJK010000001	MBB5924885.1	Genomic_DNA	1
A0A812NUF4	1628268		CAJNJA010013586	CAE7324792.1	Genomic_DNA	1
A0A812Q4I5	878477		CAJNDS010002202	CAE7370162.1	Genomic_DNA	1
A0A812QA25	878477		CAJNDS010002202	CAE7370172.1	Genomic_DNA	1
A0A812UTX8	2952		CAJNIZ010039446	CAE7590384.1	Genomic_DNA	1
A0A812WL81	1628268		CAJNJA010033820	CAE7684378.1	Genomic_DNA	1
A0A914MUH6	6306					0
A0A915LHF2	6303					0
A0A915LIF0	6303					0
A0A915PFJ4	298350					0
A0A917P583	1500077		BMMU01000034	GGJ62215.1	Genomic_DNA	1
A0A918IXH7	1306176		BMUE01000002	GGW36942.1	Genomic_DNA	1
A0AA36I6Q6	2562239		CAUJNA010000874	CAJ1382123.1	Genomic_DNA	1
A0AA36I6U4	2562239		CAUJNA010000874	CAJ1382122.1	Genomic_DNA	1
A0AA36JMX8	2562239		CAUJNA010003726	CAJ1408551.1	Genomic_DNA	1
A0AA36MVQ5	2562239		CAUJNA010000874	CAJ1382124.1	Genomic_DNA	1
A0AAE7CKN2	1890		LHQL01000008	OOQ52088.1	Genomic_DNA	1
A0AAE8VXB0						0
A0AAU1UBC7						0
A0AAU2A8A6						0
A0AAV2ZDU1	4803		DAKRPA010000002	DBA05123.1	Genomic_DNA	1
A0AB39T4R7						0
A0ABP5NC15	295352		BAAAOQ010000006	GAA2194854.1	Genomic_DNA	1
A0ABP7IR36	647381		BAABDE010000025	GAA3824829.1	Genomic_DNA	1
A0ABQ3RP65	285531		BNEA01000015	GHI57656.1	Genomic_DNA	1
A0ABQ3RZ02	249586		BNEB01000003	GHI61107.1	Genomic_DNA	1
A0ABS1NZB4	2802280		JAERRH010000003	MBL1105115.1	Genomic_DNA	1
A0ABS2VTD6	1885		JAFFZS010000015	MBN0046389.1	Genomic_DNA	1
A0ABS8EGX4	66888		JAINUL010000001	MCC0100405.1	Genomic_DNA	1
A0ABS9JNH7	68277		JAKKZF010000139	MCG0067121.1	Genomic_DNA	1
A0ABS9XB71	2927582		JALDAX010000002	MCI3239291.1	Genomic_DNA	1
A0ABT0NYG0	67315		JAMCCK010000035	MCL3996400.1	Genomic_DNA	1
A0ABT6LHM3	67350		JARXVH010000004	MDH6215807.1	Genomic_DNA	1
A0ABU0NRC4	68264		JAUSWV010000002	MDQ0581097.1	Genomic_DNA	1
A0ABU0Q201	67255		JAUSYA010000001	MDQ0683940.1	Genomic_DNA	1
A0ABV1U8B2	3154379		JBEPAZ010000014	MER6429845.1	Genomic_DNA	1
A0ABV2ZAT7	3155129		JBEZVE010000002	MEU3779657.1	Genomic_DNA	1
A0ABV3A5C7	67297		JBFAEG010000006	MEU5707123.1	Genomic_DNA	1
A0ABW0UH65	349910		JBHSNY010000001	MFC5632692.1	Genomic_DNA	1
A0ABW6YNF0	42237		JBICBM010000001	MFF9880315.1	Genomic_DNA	1
A0ABW8CCG1	375757		JBITYG010000008	MFI9104113.1	Genomic_DNA	1
A0ABY4ZHF5	114686		CP099468	USQ88401.1	Genomic_DNA	1
A0ABY6END5	2981135		CP106795	UXY35911.1	Genomic_DNA	1
A0ABZ0LUF1	3081768		CP137573	WOX22394.1	Genomic_DNA	1
A0ABZ1KSB6	67255		CP108164	WTQ81386.1	Genomic_DNA	1
A0ABZ1WVE8	67350		CP109011	WUT43774.1	Genomic_DNA	1
A0ACB1AYG8	390850		CAVMJV010000146	CAK5113236.1	Genomic_DNA	1
A1IHF0	50426		AB254132	BAF42771.1	mRNA	1
A7BK18	50426		AB353113	BAF74507.1	mRNA	1
K3WTH8	431595					0
