accession,ref,qtmscore,a1_cov,a2_cov,a3_cov,a4_cov,n_helices
A0A010Q293,ref_PmTYR,0.6435,1.000,1.000,0.778,1.000,4
A0A010Q4B9,ref_A0A9N8ELP9_oomycota,0.5334,1.000,1.000,1.000,1.000,4
A0A010QAA5,ref_A0A9N8ELP9_oomycota,0.5387,1.000,1.000,1.000,1.000,4
A0A010QHN9,ref_A0A9N8ELP9_oomycota,0.5376,1.000,1.000,1.000,1.000,4
A0A010QIY5,ref_1JS8_squid,0.3355,1.000,0.944,1.000,0.826,4
A0A010QL93,ref_I3D139_archaea,0.5883,1.000,1.000,1.000,1.000,4
A0A010QPL7,ref_PmTYR,0.5354,1.000,1.000,1.000,1.000,4
A0A010QXZ0,ref_A0A9N8ELP9_oomycota,0.5820,0.917,0.950,1.000,1.000,4
A0A010QYY8,ref_PmTYR,0.5435,1.000,1.000,1.000,1.000,4
A0A010R234,ref_2Y9W_Abisporus,0.4165,1.000,0.667,1.000,1.000,4
A0A010R9A2,ref_A0A9N8ELP9_oomycota,0.5378,1.000,1.000,1.000,0.895,4
A0A010RBA2,ref_2Y9W_Abisporus,0.5361,1.000,1.000,1.000,1.000,4
A0A010RL70,ref_PmTYR,0.5258,1.000,1.000,1.000,1.000,4
A0A010RM53,ref_PmTYR,0.6319,1.000,1.000,0.778,0.947,4
A0A010RPY0,ref_A0A9N8ELP9_oomycota,0.5860,1.000,1.000,0.667,0.895,4
A0A010RQ21,ref_PmTYR,0.4805,1.000,1.000,1.000,1.000,4
A0A010RR72,ref_1JS8_squid,0.3364,1.000,1.000,1.000,0.913,4
A0A010RUM6,ref_2Y9W_Abisporus,0.5229,1.000,0.750,1.000,1.000,4
A0A010RV53,ref_PmTYR,0.4622,1.000,1.000,1.000,1.000,4
A0A010RV80,ref_A0A9N8ELP9_oomycota,0.5732,0.917,1.000,1.000,1.000,4
A0A010RY59,ref_2Y9W_Abisporus,0.4187,1.000,1.000,1.000,1.000,4
A0A010RYF3,ref_A0A9N8ELP9_oomycota,0.2972,1.000,0.950,0.750,1.000,4
A0A010S1R5,ref_2Y9W_Abisporus,0.4341,1.000,1.000,1.000,1.000,4
A0A010S6Q2,ref_A0A9N8ELP9_oomycota,0.5650,0.917,1.000,0.917,0.895,4
A0A010SFQ0,ref_PmTYR,0.6144,1.000,1.000,1.000,1.000,4
A0A010SKU6,ref_2Y9W_Abisporus,0.5148,1.000,0.833,1.000,1.000,4
A0A010SMB4,ref_PmTYR,0.6022,1.000,1.000,0.778,1.000,4
A0A010SNL7,ref_A0A9N8ELP9_oomycota,0.5321,1.000,1.000,1.000,0.895,4
A0A014N831,ref_PmTYR,0.5608,1.000,1.000,1.000,1.000,4
