member,accession,cterm_len,n_seg,status
A0AAJ0MJ41_taxID_260671_model_A,A0AAJ0MJ41,306,1,ok
A0A022Y7J2_taxID_1215331_model_A,A0A022Y7J2,224,1,ok
A0A022WGP6_taxID_1215330_model_A,A0A022WGP6,224,1,ok
A0A0G2I941_taxID_73230_model,A0A0G2I941,218,1,ok
A0A178EW52_taxID_5551_model_A,A0A178EW52,224,1,ok
A0A178FCH7_taxID_34388_model_A,A0A178FCH7,224,1,ok
A0A179UBU9_taxID_559298_model,A0A179UBU9,217,1,ok
A0A1J9Q3N9_taxID_1447872_model,A0A1J9Q3N9,222,1,ok
A0A1J9QK96_taxID_1658174_model,A0A1J9QK96,218,1,ok
A0A2B7X1D4_taxID_2060905_model,A0A2B7X1D4,222,1,ok
A0A2B7Y2D7_taxID_1447875_model,A0A2B7Y2D7,239,1,ok
A0A2B7Z651_taxID_73230_model,A0A2B7Z651,217,1,ok
A0A8A1M824_taxID_5037_model,A0A8A1M824,227,1,ok
A0A8H7YES8_taxID_5037_model,A0A8H7YES8,223,1,ok
A0ABX2VUI5_taxID_559297_model,A0ABX2VUI5,223,1,ok
C0NAP3_taxID_447093_model,C0NAP3,223,1,ok
C5FTV9_taxID_554155_model_A,C5FTV9,196,1,ok
C6H4P2_taxID_544712_model,C6H4P2,218,1,ok
E4V2N9_taxID_535722_model_A,E4V2N9,216,1,ok
F0UIU7_taxID_544711_model,F0UIU7,218,1,ok
F2PWT3_taxID_559882_model_A,F2PWT3,224,1,ok
F2S706_taxID_647933_model_A,F2S706,224,1,ok
F2T308_taxID_653446_model,F2T308,222,1,ok
A0A024SJR1_taxID_1344414_model,A0A024SJR1,131,1,ok
A0A2H3ABG1_taxID_858221_model,A0A2H3ABG1,128,1,ok
A0A2T4C3Y5_taxID_983965_model,A0A2T4C3Y5,132,1,ok
A0ABY2GWW1_taxID_65468_model,A0ABY2GWW1,132,1,ok
A0ZXZ4_taxID_51453_model,A0ZXZ4,131,1,ok
G0RC29_taxID_431241_model,G0RC29,131,1,ok
A0A060S6S8_taxID_5643_model,A0A060S6S8,101,1,ok
