product	n_queries	freq_all	freq_with_data	total
mfs transporter	12	0.073	0.143	12
tyrosinase cofactor	10	0.061	0.119	10
hypothetical predicted protein	9	0.055	0.107	99
tyrosinase	8	0.049	0.095	8
tyr3-like protein	8	0.049	0.095	10
ribonuclease hi	7	0.043	0.083	7
voc family protein	7	0.043	0.083	13
globin	7	0.043	0.083	7
helix-turn-helix transcriptional regulator	6	0.037	0.071	6
aldo/keto reductase	6	0.037	0.071	6
atp-binding protein	6	0.037	0.071	6
vwa domain-containing protein	6	0.037	0.071	6
sept7-like protein	6	0.037	0.071	6
slip-like protein	6	0.037	0.071	17
cc113-like protein	6	0.037	0.071	6
st1a1-like protein	6	0.037	0.071	6
acm4-like protein	6	0.037	0.071	6
tetr family transcriptional regulator	5	0.030	0.060	5
serine/threonine protein kinase	5	0.030	0.060	6
hnh endonuclease	5	0.030	0.060	5
6-phospho-beta-glucosidase	5	0.030	0.060	5
glutamate abc transporter substrate-binding protein	5	0.030	0.060	5
abc transporter substrate-binding protein	5	0.030	0.060	5
fbp domain-containing protein	5	0.030	0.060	5
tyro-like protein	5	0.030	0.060	5
sam-dependent methyltransferase	4	0.024	0.048	4
abc transporter atp-binding protein	4	0.024	0.048	4
carbohydrate abc transporter permease	4	0.024	0.048	5
rok family transcriptional regulator	4	0.024	0.048	4
mechanosensitive ion channel family protein	4	0.024	0.048	4
sugar abc transporter permease	4	0.024	0.048	5
fha domain-containing protein	4	0.024	0.048	4
protein phosphatase 2c domain-containing protein	4	0.024	0.048	4
2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthase	3	0.018	0.036	3
epoxide hydrolase	3	0.018	0.036	3
lysr family transcriptional regulator	3	0.018	0.036	3
transcriptional regulator	3	0.018	0.036	5
putative cytochrome p450	3	0.018	0.036	3
acyl-coa thioesterase	3	0.018	0.036	3
helix-turn-helix domain-containing protein	3	0.018	0.036	3
fad-dependent monooxygenase	3	0.018	0.036	3
llm class f420-dependent oxidoreductase	3	0.018	0.036	3
methyltransferase domain-containing protein	3	0.018	0.036	4
membrane protein	3	0.018	0.036	3
ribonuclease h	3	0.018	0.036	3
ssga family sporulation/cell division regulator	3	0.018	0.036	3
rna polymerase sigma factor sigf	3	0.018	0.036	3
aminoglycoside phosphotransferase family protein	3	0.018	0.036	3
tetratricopeptide repeat protein	3	0.018	0.036	3
s6a17-like protein	3	0.018	0.036	3
trpv3-like protein	3	0.018	0.036	3
apt-like protein	3	0.018	0.036	3
lipase	2	0.012	0.024	2
regulator	2	0.012	0.024	2
cyclase	2	0.012	0.024	2
tyrosinase-like protein 2	2	0.012	0.024	3
ankyrin repeat domain-containing protein 12	2	0.012	0.024	2
sodium- and chloride-dependent glycine transporter 2	2	0.012	0.024	2
thymidine kinase 2, mitochondrial	2	0.012	0.024	2
