query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A0V0TGR2	JYDJ01000280	-5	0	116	1896	-	KRX38127.1	T05_1547	hypothetical protein
A0A0V0TGR2	JYDJ01000280	-4	0	3247	5319	-	KRX38144.1	T05_4399	hypothetical protein
A0A0V0TGR2	JYDJ01000280	-3	0	3650	3901	+	KRX38137.1	T05_8771	hypothetical protein
A0A0V0TGR2	JYDJ01000280	-2	0	4871	5385	+	KRX38152.1	T05_9826	hypothetical protein
A0A0V0TGR2	JYDJ01000280	-1	0	6972	7509	-	KRX38128.1	T05_1089	Rho GDP-dissociation inhibitor 1
A0A0V0TGR2	JYDJ01000280	0	1	10540	13592	+	KRX38134.1	T05_10894	putative tyrosinase-like protein tyr-3
A0A0V0TGR2	JYDJ01000280	1	0	15596	16494	-	KRX38142.1	T05_2146	DNA repair protein -like protein
A0A0V0TGR2	JYDJ01000280	2	0	15596	16857	-	KRX38143.1	T05_2146	DNA repair protein
A0A0V0TGR2	JYDJ01000280	3	0	15596	16857	-	KRX38141.1	T05_2146	DNA repair protein
A0A0V0TGR2	JYDJ01000280	4	0	20031	20939	+	KRX38129.1	T05_11683	Protein UBASH3A -like protein
A0A0V0TGR2	JYDJ01000280	5	0	21559	22168	-	KRX38150.1	T05_13291	Tryptophan 5-hydroxylase 1
A0A0V0TGR2	JYDJ01000280	6	0	21559	22168	-	KRX38149.1	T05_13291	Tryptophan 5-hydroxylase 1
A0A0V0TGR2	JYDJ01000280	7	0	27227	28144	-	KRX38126.1	T05_15463	Smad nuclear interacting protein 1
A0A0V0TGR2	JYDJ01000280	8	0	30839	32074	+	KRX38125.1	T05_5464	Transmembrane protein
A0A0V0TGR2	JYDJ01000280	9	0	32314	33854	-	KRX38146.1	T05_5717	Phosphatidylinositol glycan anchor biosynthesis class U protein
A0A0V0TGR2	JYDJ01000280	10	0	32314	33647	-	KRX38147.1	T05_5717	Phosphatidylinositol glycan anchor biosynthesis class U protein
A0A0V0S806	JYDL01000028	-10	0	201295	202251	+	KRX22949.1	T07_12846	ATP-binding cassette sub-family F member 3
A0A0V0S806	JYDL01000028	-9	0	206826	207053	-	KRX22924.1	T07_13890	Replication protein A 32 kDa subunit
A0A0V0S806	JYDL01000028	-8	0	206826	207053	-	KRX22923.1	T07_13890	Replication protein A 32 kDa subunit
A0A0V0S806	JYDL01000028	-7	0	208128	209868	+	KRX22845.1	T07_13513	Forkhead box protein K2
A0A0V0S806	JYDL01000028	-6	0	208128	209868	+	KRX22846.1	T07_13513	Forkhead box protein K2
A0A0V0S806	JYDL01000028	-5	0	232068	233051	+	KRX22869.1	T07_6081	Pyruvate dehydrogenase protein X component, mitochondrial
A0A0V0S806	JYDL01000028	-4	0	232068	233051	+	KRX22870.1	T07_6081	Pyruvate dehydrogenase protein X component, mitochondrial
A0A0V0S806	JYDL01000028	-3	0	234812	235117	-	KRX22918.1	T07_9374	Histone-lysine N-methyltransferase, H3 lysine-79 specific
