accession,has_2cu,n_cu,cu_dist,cu_dist_ok,n_coord_his,his_ok,min_plddt,plddt_ok,canonical,his_positions
A0A010Q293,True,2,4.04,True,6,True,97.7,True,True,"90,98,107,226,230,253"
A0A010Q4B9,True,2,3.94,True,6,True,97.2,True,True,"121,129,138,302,306,330"
A0A010QAA5,True,2,4.07,True,6,True,98.2,True,True,"119,127,136,305,309,333"
A0A010QHN9,True,2,3.9,True,6,True,96.7,True,True,"123,131,140,298,302,326"
A0A010QIY5,True,2,3.58,True,4,False,61.4,False,False,"46,178,182,224"
A0A010QL93,True,2,4.13,True,6,True,98.0,True,True,"77,85,94,209,213,236"
A0A010QPL7,True,2,3.85,True,6,True,98.1,True,True,"85,93,102,254,258,284"
A0A010QXZ0,True,2,4.03,True,6,True,93.9,True,True,"75,83,92,251,255,278"
A0A010QYY8,True,2,3.65,True,6,True,97.8,True,True,"87,95,104,256,260,286"
A0A010R234,True,2,2.38,False,5,False,32.4,False,False,"73,271,275,297,298"
A0A010R9A2,True,2,4.22,True,6,True,98.2,True,True,"123,131,140,308,312,336"
A0A010RBA2,True,2,4.26,True,6,True,91.7,True,True,"85,108,117,272,276,301"
A0A010RL70,True,2,3.8,True,6,True,97.9,True,True,"128,136,145,316,320,344"
A0A010RM53,True,2,3.85,True,6,True,98.3,True,True,"80,88,97,243,247,269"
A0A010RPY0,True,2,3.96,True,6,True,98.3,True,True,"107,115,124,286,290,313"
A0A010RQ21,True,2,4.02,True,6,True,97.9,True,True,"114,122,131,295,299,322"
A0A010RR72,True,2,2.78,False,3,False,68.3,False,False,"66,106,311"
A0A010RUM6,True,2,3.99,True,6,True,86.3,True,True,"46,67,76,268,272,311"
A0A010RV53,True,2,3.84,True,5,False,96.4,True,False,"205,213,222,390,394"
A0A010RV80,True,2,4.09,True,6,True,96.8,True,True,"89,97,106,233,237,260"
A0A010RY59,True,2,4.41,True,6,True,92.1,True,True,"83,107,116,282,286,311"
A0A010RYF3,True,2,4.02,True,6,True,94.8,True,True,"499,507,516,654,658,680"
A0A010S1R5,True,2,4.93,True,5,False,57.9,False,False,"104,113,295,299,324"
A0A010S6Q2,True,2,4.07,True,6,True,98.1,True,True,"105,113,122,283,287,310"
A0A010SFQ0,True,2,4.2,True,6,True,94.3,True,True,"84,92,101,230,234,272"
A0A010SKU6,True,2,4.2,True,6,True,86.2,True,True,"52,78,87,271,275,315"
A0A010SMB4,True,2,4.28,True,6,True,97.4,True,True,"75,83,92,214,218,241"
A0A010SNL7,True,2,4.12,True,6,True,98.0,True,True,"121,129,138,308,312,336"
A0A014N831,True,2,3.74,True,5,False,93.8,True,False,"141,149,158,293,319"
A0A014P1F1,True,2,3.99,True,6,True,98.2,True,True,"108,116,125,281,285,308"
A0A014P933,True,2,17.75,False,4,False,42.8,False,False,"81,329,333,373"
A0A014PGS4,True,2,3.66,True,4,False,65.2,False,False,"87,96,224,250"
A0A014PNW6,True,2,3.88,True,6,True,79.6,True,True,"80,117,126,315,319,350"
A0A014QX88,True,2,3.99,True,6,True,98.2,True,True,"116,124,133,285,289,312"
A0A015J8T7,True,2,2.58,False,2,False,60.4,False,False,"86,90"
A0A016RWG9,True,2,4.12,True,6,True,95.9,True,True,"165,171,180,308,312,335"
A0A016RXK8,True,2,4.2,True,6,True,96.2,True,True,"153,159,168,296,300,323"
A0A016S930,True,2,4.27,True,6,True,91.2,True,True,"168,178,187,309,313,336"
A0A016SJ50,True,2,4.2,True,6,True,94.6,True,True,"154,164,173,295,299,322"
A0A016SK14,True,2,4.05,True,6,True,94.1,True,True,"136,146,155,277,281,304"
A0A016T0A5,True,2,4.28,True,6,True,85.3,True,True,"357,367,376,497,501,524"
A0A016T1G5,True,2,3.98,True,6,True,87.8,True,True,"357,367,376,497,501,524"
A0A016TKY1,True,2,4.18,True,6,True,87.7,True,True,"150,160,169,291,295,318"
A0A016UL52,True,2,4.13,True,6,True,91.5,True,True,"152,161,170,288,292,315"
A0A016ULR3,True,2,3.81,True,6,True,90.4,True,True,"95,104,113,231,235,258"
A0A016VBJ0,True,2,3.99,True,6,True,91.0,True,True,"215,225,234,356,360,383"
A0A016VC89,True,2,3.87,True,6,True,90.9,True,True,"215,225,234,356,360,383"
A0A016VDA3,True,2,3.94,True,6,True,91.9,True,True,"145,155,164,286,290,313"
A0A016VE53,True,2,3.97,True,6,True,89.3,True,True,"145,155,164,286,290,313"
A0A016VS08,True,2,4.1,True,6,True,96.1,True,True,"161,167,176,304,308,331"
A0A016W0V7,True,2,3.99,True,6,True,95.4,True,True,"145,155,164,285,289,312"
A0A016W1G3,True,2,3.98,True,6,True,93.3,True,True,"156,166,175,296,300,323"
A0A016W1Z7,True,2,14.04,False,4,False,72.8,True,False,"29,71,75,98"
A0A016W210,True,2,3.34,True,3,False,64.8,False,False,"134,144,153"
A0A016W215,True,2,27.72,False,2,False,85.1,True,False,"70,80"
A0A016W255,True,2,13.53,False,3,False,85.8,True,False,"71,75,98"
A0A016W259,True,2,4.08,True,6,True,89.4,True,True,"138,148,157,281,285,308"
A0A016W267,True,2,3.11,True,2,False,80.2,True,False,"16,17"
A0A016W313,True,2,3.99,True,6,True,89.2,True,True,"138,148,157,281,285,308"
A0A016W316,True,2,3.37,True,3,False,89.7,True,False,"64,68,91"
A0A016W324,True,2,17.28,False,2,False,94.8,True,False,"145,155"
A0A016W3A4,True,2,4.04,True,6,True,92.6,True,True,"145,155,164,285,289,312"
A0A016W3W4,True,2,4.21,True,6,True,87.8,True,True,"134,144,153,277,281,304"
A0A016W3W9,True,2,3.29,True,1,False,78.1,True,False,17
A0A016WCE7,True,2,4.1,True,6,True,90.3,True,True,"27,37,46,184,188,211"
A0A016WQP8,True,2,4.06,True,6,True,93.7,True,True,"353,363,372,498,502,525"
A0A016WQV2,True,2,4.09,True,6,True,93.1,True,True,"353,363,372,498,502,525"
A0A017S513,True,2,2.77,False,0,False,0,False,False,
A0A017SD63,True,2,4.08,True,6,True,97.9,True,True,"109,117,126,287,291,315"
A0A017SF68,True,2,3.88,True,6,True,87.5,True,True,"69,89,98,311,315,345"
A0A022QC39,True,2,3.78,True,6,True,82.8,True,True,"185,206,215,333,337,367"
A0A022QE60,True,2,3.93,True,6,True,91.3,True,True,"175,196,205,326,330,359"
A0A022QG63,True,2,3.74,True,6,True,86.1,True,True,"181,202,211,330,334,364"
A0A022QL39,True,2,3.88,True,6,True,93.8,True,True,"172,193,202,323,327,357"
A0A022R0C6,True,2,3.93,True,6,True,92.5,True,True,"180,201,210,331,335,364"
A0A022R0D6,True,2,3.94,True,6,True,80.1,True,True,"43,64,73,193,197,227"
A0A022R0D9,True,2,3.74,True,3,False,92.9,True,False,"179,200,209"
A0A022R1L2,True,2,3.77,True,6,True,87.2,True,True,"180,201,210,329,333,363"
A0A022R1L7,True,2,3.68,True,6,True,88.3,True,True,"179,200,209,328,332,363"
A0A022R3H9,True,2,3.75,True,6,True,79.4,True,True,"177,198,207,326,330,360"
A0A022R5P3,True,2,3.72,True,6,True,84.8,True,True,"183,204,213,333,337,368"
A0A022WGP6,True,2,4.26,True,6,True,87.7,True,True,"86,108,117,277,281,306"
A0A022Y7J2,True,2,4.31,True,6,True,87.2,True,True,"86,108,117,277,281,306"
A0A023GU59,True,2,3.74,True,5,False,95.1,True,False,"183,213,335,339,369"
A0A023PMD2,True,2,3.95,True,6,True,91.4,True,True,"150,171,180,302,306,336"
A0A023PN01,True,2,4.03,True,6,True,91.7,True,True,"150,171,180,302,306,336"
A0A023PNV8,True,2,3.82,True,6,True,91.2,True,True,"149,170,179,301,305,335"
A0A023PP81,True,2,3.86,True,6,True,90.9,True,True,"149,170,179,301,305,335"
A0A023WF78,True,2,17.06,False,3,False,86.0,True,False,"122,144,153"
A0A023WF84,True,2,17.42,False,3,False,71.4,True,False,"122,144,153"
A0A023WF90,True,2,17.52,False,3,False,63.5,False,False,"122,144,153"
A0A023WF96,True,2,17.5,False,4,False,89.2,True,False,"122,144,153,162"
A0A023WFC0,True,2,17.15,False,3,False,83.6,True,False,"122,144,153"
