accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A024CHU4	0	0		0	0	0	0	none
A0A024CIJ4	0	0		0	0	0	0	none
A0A024CIJ8	0	0		0	0	0	0	none
A0A067S9C3	20	0		0	1	1	0	BGC_accessory
A0A084GCK1	20	0		1	1	0	0	BGC_accessory
A0A0G2YLH0	0	0		0	0	0	0	none
A0A0W7WYA7	18	0		0	1	0	0	none
A0A1B7NUR7	2	0		0	0	0	0	none
A0A1D7YL38	19	0		0	1	0	0	none
A0A1L1ZLS6	0	0		0	0	0	0	none
A0A1L9V3Y6	20	0		0	0	1	0	none
A0A1Y2D1M5	20	0		0	0	0	0	none
A0A210QF88	5	0		0	0	0	0	none
A0A210QJQ9	4	0		0	0	0	0	none
A0A210QRD1	10	0		0	0	0	0	none
A0A210R249	18	0		0	0	0	0	none
A0A210R2J1	14	0		0	0	0	0	none
A0A221P6L7	18	0		0	1	0	0	none
A0A238JCS7	20	0		0	0	0	0	none
A0A2B7X3E4	20	0		0	1	0	0	none
A0A2I1CR74	20	0		0	1	1	0	BGC_accessory
A0A2N3N0U6	20	0		1	1	0	0	BGC_accessory
A0A2N8P306	20	0		0	1	0	0	none
A0A3S9PH06	20	0		0	0	0	0	none
A0A4V1IUQ4	10	0		0	0	0	0	none
A0A507FGD0	15	0		0	0	0	0	none
A0A5B2XQW2	20	0		0	1	0	0	none
A0A5J6J652	19	0		0	1	0	0	none
A0A6A6CMY4	20	3	1	1	0	0	0	UstYa_cluster
A0A6G1GZN1	20	0		0	0	1	0	none
A0A6H9UQ49	19	0		0	1	0	0	none
A0A6J8A749	7	0		0	0	0	0	none
A0A6J8CCA4	20	0		0	0	0	0	none
A0A6J8CIJ4	20	0		0	0	0	0	none
A0A6J8CKE6	20	0		0	0	0	0	none
A0A6J8D799	20	0		0	1	0	0	none
A0A6J8DAY9	20	0		0	0	0	0	none
A0A6L6WYS5	19	0		0	1	0	0	none
A0A6M8NXE9	0	0		0	0	0	0	none
A0A7D5M6X3	18	0		0	0	0	0	none
A0A7H8R1G7	20	0		1	1	1	0	BGC_accessory
A0A7K0C9D4	20	0		0	1	0	0	none
A0A7W9UNQ5	20	0		0	1	0	0	none
A0A835Z854	19	0		0	0	0	0	none
