query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A1S8X904	KV891587	-5	0	45556	47371	-	OON23205.1	X801_00878	EGF-like domain protein
A0A1S8X904	KV891587	-4	0	81526	95635	-	OON23206.1	X801_00879	cadherin domain protein
A0A1S8X904	KV891587	-3	0	110283	111544	-	OON23207.1	X801_00880	cadherin domain protein
A0A1S8X904	KV891587	-2	0	135879	137163	-	OON23208.1	X801_00881	cadherin domain protein
A0A1S8X904	KV891587	-1	0	207681	208085	+	OON23209.1	X801_00882	ribosomal protein L31e
A0A1S8X904	KV891587	0	1	219881	226549	-	OON23210.1	X801_00883	common central domain of tyrosinase
A0A1S8X904	KV891587	1	0	243628	244635	+	OON23211.1	X801_00884	hypothetical protein
A0A1S8X904	KV891587	2	0	266290	269581	-	OON23212.1	X801_00885	common central domain of tyrosinase
A0A1S8X904	KV891587	3	0	277648	280035	+	OON23213.1	X801_00886	hypothetical protein
A0A1S8X904	KV891587	4	0	287166	294572	-	OON23214.1	X801_00887	CHCH domain protein
A0A4S2LAY4	SJOL01008347	-9	0	28329	33619	+	TGZ60503.1	CRM22_008464	hypothetical protein
A0A4S2LAY4	SJOL01008347	-8	0	99386	110478	+	TGZ60504.1	CRM22_008465	hypothetical protein
A0A4S2LAY4	SJOL01008347	-7	0	136122	136442	+	TGZ60505.1	CRM22_008466	hypothetical protein
A0A4S2LAY4	SJOL01008347	-6	0	171933	172221	+	TGZ60506.1	CRM22_008467	hypothetical protein
A0A4S2LAY4	SJOL01008347	-5	0	188162	189445	-	TGZ60507.1	CRM22_008468	hypothetical protein
A0A4S2LAY4	SJOL01008347	-4	0	289843	290835	-	TGZ60509.1	CRM22_008469	hypothetical protein
A0A4S2LAY4	SJOL01008347	-3	0	289843	290835	-	TGZ60508.1	CRM22_008469	hypothetical protein
A0A4S2LAY4	SJOL01008347	-2	0	482005	482409	+	TGZ60510.1	CRM22_008470	hypothetical protein
A0A4S2LAY4	SJOL01008347	-1	0	497479	506087	-	TGZ60511.1	CRM22_008471	hypothetical protein
A0A4S2LAY4	SJOL01008347	0	1	501179	506087	-	TGZ60512.1	CRM22_008471	hypothetical protein
A0A4S2LAY4	SJOL01008347	1	0	522580	559322	+	TGZ60520.1	CRM22_008472	hypothetical protein
A0A4S2LAY4	SJOL01008347	2	0	522580	543499	+	TGZ60519.1	CRM22_008472	hypothetical protein
A0A4S2LAY4	SJOL01008347	3	0	522580	534163	+	TGZ60518.1	CRM22_008472	hypothetical protein
A0A4S2LAY4	SJOL01008347	4	0	537750	543231	-	TGZ60514.1	CRM22_008471	hypothetical protein
A0A4S2LAY4	SJOL01008347	5	0	537750	543231	-	TGZ60515.1	CRM22_008471	hypothetical protein
A0A4S2LAY4	SJOL01008347	6	0	537750	539958	-	TGZ60513.1	CRM22_008471	hypothetical protein
A0A4S2LAY4	SJOL01008347	7	0	537750	539958	-	TGZ60516.1	CRM22_008471	hypothetical protein
A0A4S2LAY4	SJOL01008347	8	0	539740	543231	-	TGZ60517.1	CRM22_008471	hypothetical protein
