cluster_rep	cluster_size	log_cluster_size	agger_type	cys_in_shell	n_agger_members	group_a	group_b	group_c	group_d	group_e	group_f	group_g	group_h	group_i	group_j	group_k	group_l
N1QEG0_taxID_692275_model_A	9816	3.9919	type1	0.0005	181	25	4	0	18	61	64	0	9	0	0	0	0
A0A0P7YXS6_taxID_113540_model	3432	3.5355	type1	0.0000	81	0	0	0	0	0	0	81	0	0	0	0	0
A0AAJ0MJ41_taxID_260671_model_A	2902	3.4627	type2	0.7767	33	0	0	0	0	0	0	0	0	0	0	0	33
A0AA88AFA7_taxID_3494_model_A	2873	3.4583	type2	0.9311	65	0	0	0	0	0	0	0	0	65	0	0	0
A0ACC0WCW2_taxID_230839_model	581	2.7642	type1	0.0000	15	0	0	15	0	0	0	0	0	0	0	0	0
A0AAP5IG72_taxID_2712845_model_A	355	2.5502	unassigned	0.7099	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A3N4LB84_taxID_1051890_model	336	2.5263	type2	0.6667	11	0	0	0	0	0	0	0	0	0	0	11	0
A0AAV4B738_taxID_259542_model	249	2.3962	type1	0.0000	27	27	0	0	0	0	0	0	0	0	0	0	0
A0AAD7UHF1_taxID_2483200_model	157	2.1959	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A952FIG1_taxID_171674_model	100	2.0000	unassigned	0.9900	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A934SYR6_taxID_2801341_model_A	72	1.8573	unassigned	0.9306	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A4Y8RPT3_taxID_2558362_model	70	1.8451	unassigned	0.6571	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AAF3FHG4_taxID_2138241_model_A	62	1.7924	type1	0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0
A0A2K8T4N2_taxID_2038116_model_A	46	1.6628	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A249PKJ6_taxID_716928_model	42	1.6232	unassigned	0.7381	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8H5LGT6_taxID_42677_model	41	1.6128	unassigned	0.8049	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABR7J057_taxID_2813823_model_A	29	1.4624	unassigned	0.5517	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A545VX13_taxID_43265_model_A	29	1.4624	unassigned	0.8621	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1R4H7B9_taxID_360316_model	29	1.4624	unassigned	0.7241	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A975J169_taxID_2824561_model_A	29	1.4624	unassigned	0.7586	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A1E7N234_taxID_1894_model_A	27	1.4314	unassigned	0.3704	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7S0WI35_taxID_1034604_model	25	1.3979	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABU3LA82_taxID_3076079_model_A	24	1.3802	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABN8LP07_taxID_104178_model	24	1.3802	type1	0.0000	4	0	4	0	0	0	0	0	0	0	0	0	0
A0A4S9AAS5_taxID_5580_model_A	23	1.3617	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABD2LG15_taxID_157864_model	23	1.3617	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A918SV45_taxID_543356_model	18	1.2553	unassigned	0.7778	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0A0B9F3_taxID_1408250_model	18	1.2553	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A7W9ZFQ6_taxID_189_model_A	14	1.1461	unassigned	0.7857	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0V1EIF6_taxID_6337_model	12	1.0792	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
P12031_taxID_6536_model	12	1.0792	unassigned	0.7500	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A2A2CZR1_taxID_1940_model_A	11	1.0414	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0G4IUQ3_taxID_37360_model	11	1.0414	type2	0.6364	2	0	0	0	0	0	0	0	0	0	2	0	0
A0A8W8NF03_taxID_29159_model_A	11	1.0414	unassigned	0.0000	0	0	0	0	0	0	0	0	0	0	0	0	0
A0ABV2I0A5_taxID_1209948_model	10	1.0000	unassigned	0.5000	0	0	0	0	0	0	0	0	0	0	0	0	0
