accession	group	subgroup
A0A0B5EPG7	canonical_novelty	Gly46_Y
A0A117PT81	canonical_novelty	Gly46_Y
A0A124I005	canonical_novelty	Gly46_Y
A0A150GSZ2	canonical_novelty	Gly46_Y
A0A1I8AZD4	canonical_novelty	Gly46_Y
A0A1I8BFJ2	canonical_novelty	Gly46_Y
A0A1M5KSP5	canonical_novelty	Gly46_Y
A0A221NXB2	canonical_novelty	Gly46_Y
A0A2I0SHR2	canonical_novelty	Gly46_Y
A0A2J7ZPY5	canonical_novelty	Gly46_Y
A0A4Z1CUV9	canonical_novelty	Gly46_Y
A0A4Z1D3W1	canonical_novelty	Gly46_Y
A0A5N8WIB3	canonical_novelty	Gly46_Y
A0A6M4PQD2	canonical_novelty	Gly46_Y
A0A6V7TZH9	canonical_novelty	Gly46_Y
A0A6V7X5C5	canonical_novelty	Gly46_Y
A0A6V7X5U8	canonical_novelty	Gly46_Y
A0A7K3QZS7	canonical_novelty	Gly46_Y
A0A7W9UN50	canonical_novelty	Gly46_Y
A0A812NUF4	canonical_novelty	Gly46_Y
A0A812Q4I5	canonical_novelty	Gly46_Y
A0A812QA25	canonical_novelty	Gly46_Y
A0A812UTX8	canonical_novelty	Gly46_Y
A0A812WL81	canonical_novelty	Gly46_Y
A0A914MUH6	canonical_novelty	Gly46_Y
A0A915LHF2	canonical_novelty	Gly46_Y
A0A915LIF0	canonical_novelty	Gly46_Y
A0A915PFJ4	canonical_novelty	Gly46_Y
A0A917P583	canonical_novelty	Gly46_Y
A0A918IXH7	canonical_novelty	Gly46_Y
A0AA36I6Q6	canonical_novelty	Gly46_Y
A0AA36I6U4	canonical_novelty	Gly46_Y
A0AA36JMX8	canonical_novelty	Gly46_Y
A0AA36MVQ5	canonical_novelty	Gly46_Y
A0AAE7CKN2	canonical_novelty	Gly46_Y
A0AAE8VXB0	canonical_novelty	Gly46_Y
A0AAU1UBC7	canonical_novelty	Gly46_Y
A0AAU2A8A6	canonical_novelty	Gly46_Y
A0AAV2ZDU1	canonical_novelty	Gly46_Y
A0AB39T4R7	canonical_novelty	Gly46_Y
A0ABP5NC15	canonical_novelty	Gly46_Y
A0ABP7IR36	canonical_novelty	Gly46_Y
A0ABQ3RP65	canonical_novelty	Gly46_Y
A0ABQ3RZ02	canonical_novelty	Gly46_Y
A0ABS1NZB4	canonical_novelty	Gly46_Y
A0ABS2VTD6	canonical_novelty	Gly46_Y
A0ABS8EGX4	canonical_novelty	Gly46_Y
A0ABS9JNH7	canonical_novelty	Gly46_Y
A0ABS9XB71	canonical_novelty	Gly46_Y
A0ABT0NYG0	canonical_novelty	Gly46_Y
A0ABT6LHM3	canonical_novelty	Gly46_Y
A0ABU0NRC4	canonical_novelty	Gly46_Y
A0ABU0Q201	canonical_novelty	Gly46_Y
A0ABV1U8B2	canonical_novelty	Gly46_Y
A0ABV2ZAT7	canonical_novelty	Gly46_Y
A0ABV3A5C7	canonical_novelty	Gly46_Y
A0ABW0UH65	canonical_novelty	Gly46_Y
A0ABW6YNF0	canonical_novelty	Gly46_Y
A0ABW8CCG1	canonical_novelty	Gly46_Y
A0ABY4ZHF5	canonical_novelty	Gly46_Y
A0ABY6END5	canonical_novelty	Gly46_Y
A0ABZ0LUF1	canonical_novelty	Gly46_Y
A0ABZ1KSB6	canonical_novelty	Gly46_Y
A0ABZ1WVE8	canonical_novelty	Gly46_Y
A0ACB1AYG8	canonical_novelty	Gly46_Y
A1IHF0	canonical_novelty	Gly46_Y
A7BK18	canonical_novelty	Gly46_Y
K3WTH8	canonical_novelty	Gly46_Y
