accession	n_neighbours	n_ustya	closest_ustya	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A0B2VUC6	20	0		0	0	0	0	none
A0A0M3K8B7	0	0		0	0	0	0	none
A0A0U1MAB1	20	0		1	0	0	0	none
A0A136IUL0	20	0		0	0	0	0	none
A0A183IVI7	1	0		0	0	0	0	none
A0A1E3B9D8	20	0		1	1	0	0	BGC_accessory
A0A1E3V4Z2	19	0		0	1	0	0	none
A0A1G9L3I7	20	0		0	0	0	0	none
A0A1G9LQ44	20	0		0	1	0	0	none
A0A1L9V3Y6	20	0		0	0	1	0	none
A0A1N7U5H3	20	0		0	0	0	0	none
A0A1V6QQ78	20	0		0	1	0	0	none
A0A1V6T2W4	20	0		1	1	0	0	BGC_accessory
A0A249PKJ6	20	0		0	0	0	0	none
A0A2I2G6A8	20	0		1	0	0	0	none
A0A2N3N4T8	20	0		0	0	0	0	none
A0A2S9E9Y7	16	0		0	1	0	0	none
A0A2T4FKC8	20	0		0	0	0	0	none
A0A395M9N5	4	0		0	0	0	0	none
A0A395S4M8	20	0		1	0	0	0	none
A0A3N4IZV1	19	0		1	0	0	0	none
A0A3N4KYW5	20	0		1	0	0	0	none
A0A4Z0AQA6	17	0		0	0	0	0	none
A0A5B2UX14	20	0		0	0	0	0	none
A0A5N5XA86	20	0		1	1	0	0	BGC_accessory
A0A5N6ZG89	20	0		1	0	0	0	none
A0A5N7ABB3	12	0		1	1	0	0	BGC_accessory
A0A6A7AQI4	7	0		0	0	0	0	none
A0A6J8CIJ4	20	0		0	0	0	0	none
A0A6J8CKE6	20	0		0	0	0	0	none
A0A6J8DL31	11	0		0	0	0	0	none
A0A7H8R1G7	20	0		1	1	1	0	BGC_accessory
A0A7R7ZNQ8	20	0		0	1	0	0	none
A0A7R9PVW4	1	0		0	1	0	0	none
A0A7W9ZFQ6	20	0		0	1	0	0	none
A0A7X1AU61	11	0		0	0	0	0	none
A0A812V5M0	20	0		0	0	0	0	none
A0A8B6CGM7	11	0		0	0	0	0	none
A0A8B6CH58	12	0		0	0	0	0	none
A0A8B6FJF9	7	0		0	0	0	0	none
A0A8H3WRY4	20	0		0	0	0	0	none
A0A8H4JY40	20	0		0	1	1	0	BGC_accessory
A0A8H4ZL32	20	0		0	1	1	0	BGC_accessory
A0A8H5JC63	20	0		0	0	1	0	none
A0A8H5LGT6	19	0		1	0	0	0	none
A0A8H5WYS4	14	0		0	0	1	0	none
A0A8H7JCU1	20	0		1	0	1	0	BGC_accessory
A0A8J5SQH5	20	0		0	0	0	0	none
A0A8S3R655	13	0		0	0	0	0	none
A0A8S3TBT4	20	0		0	0	1	0	none
A0A8S9ZKX1	10	0		0	0	0	0	none
A0A934W1F1	20	0		0	1	0	0	none
A0A937FSZ6	20	0		0	0	0	0	none
A0A9P5AMW5	11	0		0	1	0	0	none
A0A9P5XZM4	20	0		0	0	0	0	none
A0A9P8ZYD0	20	0		0	1	0	0	none
A0A9P9HJ81	20	0		1	0	0	0	none
A0A9P9IXR3	20	0		1	0	0	0	none
A0A9P9JVC3	20	0		1	0	1	0	BGC_accessory
A0A9W4N770	20	0		0	1	0	0	none
A0A9W9IP98	20	0		0	1	0	0	none
A0AAD6IJM2	20	0		0	1	1	0	BGC_accessory
A0AAD8U991	11	0		0	0	0	1	none
A0AAD9SNU1	20	0		0	1	0	0	none
A0AAE0LZ24	20	0		0	0	0	0	none
A0AAN4ZCE4	20	0		0	0	0	0	none
A0AAN5YXM8	3	0		0	0	0	0	none
A0AAN6PSA1	18	0		1	0	0	0	none
A0AAN6TRL8	20	0		1	0	0	0	none
A0AAN7ADJ0	6	0		0	1	0	0	none
A0AAU7EFE9	20	0		0	0	0	1	none
A0AAV5EZW6	20	0		0	0	0	0	none
A0AAV5G052	2	0		0	0	0	1	none
A0AAV5TAE6	20	0		0	0	0	0	none
A0AAV5V305	20	0		0	0	0	0	none
A0AAW5AIV8	14	0		0	1	0	0	none
A0ABQ6WCU9	10	0		1	1	0	0	BGC_accessory
A0ABQ8QXP3	20	0		1	1	0	0	BGC_accessory
A0ABQ9EE55	20	0		0	0	0	0	none
A0ABR1FXH8	19	0		0	0	0	0	none
A0ABR3FVG0	16	0		0	1	0	0	none
A0ABR3FVU5	15	0		0	1	0	0	none
A0ABR3GF19	20	0		0	0	0	0	none
A0ABR4P8H6	20	0		0	0	0	0	none
A0ABR4TSS6	20	0		0	0	0	0	none
A0ABR5Y6J9	20	0		0	0	0	0	none
A0ABR6V5Y3	20	0		0	0	0	0	none
A0ABS6QBR2	20	0		0	0	0	0	none
A0ABS9FD76	11	0		0	0	0	0	none
A0ABT2ZPY2	20	0		0	0	0	0	none
A0ABT5NM23	4	0		0	0	0	0	none
A0ABU1D0H3	11	0		0	0	0	0	none
A0ABU5KX76	20	0		0	1	0	0	none
A0ABW8R094	20	0		0	1	0	0	none
A0ABX2QSF3	7	0		0	0	0	0	none
A0ABX7K4S3	18	0		0	1	0	0	none
A0ABY0T4X6	20	0		0	0	0	0	none
A0ABY9SUW3	19	0		0	0	0	0	none
A0ABZ1ADG6	20	0		0	0	0	0	none
A0ACC1P0Q8	0	0		0	0	0	0	none
A0ACC2SF11	10	0		0	0	0	0	none
A0ACC2U9E0	2	0		0	0	0	0	none
A0ACC6LFG7	10	0		0	0	0	0	none
A0ACD3YYX0	20	0		1	0	0	0	none
A1BB10	20	0		0	1	0	0	none
B6HTY5	18	0		1	0	0	0	none
D5GL91	14	0		1	0	0	0	none
I1S6D3	20	0		0	0	0	0	none
K3V6C2	6	0		0	0	0	0	none
Q0FSM9	20	0		0	1	0	0	none
Q5AXC0	20	0		1	1	1	1	BGC_accessory
Q8J130	0	0		0	0	0	0	none
X0C1C7	20	0		1	0	1	0	BGC_accessory
