accession,n_helices,ref,qtmscore,a1_cov,a2_cov,a3_cov,a4_cov,cu_dist,n_coord_his,min_his_plddt,trimmed_res,overall_plddt,alnlen,qlen
A0A074SK81,3,ref_PmTYR,0.6219,1.000,1.000,1.000,0.368,4.67,6,95.8,250,97.9,288,250
A0A075AU36,3,ref_PmTYR,0.8076,0.000,1.000,0.778,1.000,4.13,6,95.0,197,89.5,215,197
A0A183CK25,2,ref_PmTYR,0.2668,0.615,1.000,0.000,0.000,4.16,6,84.7,367,84.9,128,367
A0A1R3S0H8,3,ref_PmTYR,0.5998,0.846,0.368,0.778,1.000,4.59,6,95.8,243,95.2,218,243
A0A2B4RIN6,3,ref_PmTYR,0.4262,0.000,0.842,1.000,1.000,4.08,6,91.2,363,83.3,254,363
A0A388LGX3,3,ref_5CE9_Jregia,0.3604,0.417,1.000,1.000,1.000,3.91,6,71.3,579,60.4,264,579
A0A3B4TW30,3,ref_5M8L_human,0.6875,1.000,1.000,1.000,0.421,4.15,6,78.3,399,85.1,335,399
A0A3D9ISF7,2,ref_1BT3_Ibatatas,0.3523,0.000,0.000,1.000,0.947,4.67,6,94.4,146,93.8,116,146
A0A3T1D022,2,ref_1JS8_squid,0.3622,0.000,0.000,0.900,0.522,4.57,6,94.4,150,93.1,118,150
A0A453D018,3,ref_5CE9_Jregia,0.9534,1.000,0.368,1.000,1.000,4.51,6,84.9,263,82.0,298,263
A0A494XK40,2,ref_5M8L_human,0.3437,0.000,0.000,0.875,1.000,4.73,6,95.7,148,93.8,110,148
A0A4P9YNW1,3,ref_PmTYR,0.8516,0.000,1.000,0.778,1.000,4.05,6,94.2,196,90.0,215,196
A0A4P9YS92,3,ref_PmTYR,0.8193,0.000,1.000,1.000,0.579,4.43,6,92.6,167,93.5,177,167
A0A5N6KF72,3,ref_2Y9W_Abisporus,0.8454,0.375,1.000,1.000,1.000,4.17,6,78.9,315,88.1,319,315
A0A7S2G2D7,3,ref_A0A9N8ELP9_oomycota,0.4302,0.917,1.000,0.917,0.000,4.72,6,92.4,341,90.6,210,341
A0A7S2WEF6,3,ref_A0A9N8ELP9_oomycota,0.3430,1.000,1.000,1.000,0.000,4.94,6,93.3,529,91.9,252,529
A0A7X0VVP0,2,ref_A0A9N8ELP9_oomycota,0.3514,0.000,0.000,0.750,0.842,4.32,6,92.6,146,92.3,115,146
A0A7Z2VPE3,2,ref_I3D139_archaea,0.3921,0.000,0.000,1.000,1.000,4.52,6,95.7,147,93.3,118,147
A0A8C6SZA1,3,ref_5M8L_human,0.7809,1.000,1.000,1.000,0.474,4.18,6,93.8,424,95.7,365,424
A0A8H3AYG3,3,ref_PmTYR,0.6520,1.000,1.000,1.000,0.368,4.68,6,96.3,252,97.3,281,252
A0A8H3E826,3,ref_PmTYR,0.6731,1.000,1.000,0.778,0.368,4.79,6,85.0,238,84.9,269,238
A0AA95F4Q0,2,ref_1BT3_Ibatatas,0.3239,0.000,0.000,1.000,0.947,5.02,6,95.9,146,94.6,115,146
A0AAD4KYH8,3,ref_PmTYR,0.6286,1.000,1.000,0.778,0.316,4.17,6,96.0,257,97.7,282,257
A0ABR1G7G6,3,ref_A0A9N8ELP9_oomycota,0.3329,1.000,1.000,0.750,0.000,4.45,6,95.1,535,79.9,243,535
A0ABR1G9T2,3,ref_A0A9N8ELP9_oomycota,0.3555,1.000,1.000,1.000,0.000,4.26,6,92.9,497,87.7,252,497
A0ACB0YFD1,3,ref_PmTYR,0.7094,1.000,1.000,0.778,0.316,4.31,6,78.7,244,84.2,242,244
A0ACD3Q5J4,3,ref_5M8L_human,0.8394,1.000,1.000,1.000,0.421,4.1,6,91.4,371,90.0,326,371
E7CLR6,2,ref_1JS8_squid,0.5249,0.000,0.000,1.000,1.000,4.29,6,77.9,236,83.3,143,236
