protein_id	pfam
GGO20418	
GGO20425	
GGO20428	PF04542|Sigma-70 region 2;PF08281|Sigma-70, region 4
GGO20431	PF08044|DUF1707 SHOCT-like domain;PF09922|Cell wall-active antibiotics response LiaF, C-terminal
GGO20434	PF00023|Ankyrin repeat;PF12796|Ankyrin repeats (3 copies)
GGO20438	PF00441|Acyl-CoA dehydrogenase, C-terminal domain;PF02770|Acyl-CoA dehydrogenase, middle domain;PF18158|Adaptive response protein AidB N-terminal domain
GGO20443	PF02566|OsmC-like protein
GGO20447	PF00128|Alpha amylase, catalytic domain;PF02922|Carbohydrate-binding module 48 (Isoamylase N-terminal domain);PF21331|Isoamylase, C-terminal
GGO20450	PF01068|ATP dependent DNA ligase domain;PF04679|ATP dependent DNA ligase C terminal region
GGO20455	PF01872|RibD C-terminal domain
GGO20464	PF13230|Glutamine amidotransferases class-II
GGO20468	PF00282|Pyridoxal-dependent decarboxylase conserved domain
GGO20487	
GGO20495	
GGO20522	PF21686|LigD, primase-polymerase domain
GGO20525	PF01641|SelR domain
GGO20532	
GGO20536	PF13561|Enoyl-(Acyl carrier protein) reductase
GGO20539	PF06778|Chlorite dismutase
GGO20543	PF01593|Flavin containing amine oxidoreductase
GIH60597	PF08044|DUF1707 SHOCT-like domain;PF09922|Cell wall-active antibiotics response LiaF, C-terminal
GIH60598	PF00023|Ankyrin repeat;PF12796|Ankyrin repeats (3 copies)
GIH60599	PF00441|Acyl-CoA dehydrogenase, C-terminal domain;PF02770|Acyl-CoA dehydrogenase, middle domain;PF18158|Adaptive response protein AidB N-terminal domain
GIH60600	PF02566|OsmC-like protein
GIH60601	PF00128|Alpha amylase, catalytic domain;PF02922|Carbohydrate-binding module 48 (Isoamylase N-terminal domain);PF21331|Isoamylase, C-terminal
GIH60602	
GIH60603	PF03591|AzlC protein
GIH60604	PF05437|Branched-chain amino acid transport protein (AzlD)
GIH60605	PF01068|ATP dependent DNA ligase domain;PF04679|ATP dependent DNA ligase C terminal region
GIH60606	PF01872|RibD C-terminal domain
GIH60608	PF13230|Glutamine amidotransferases class-II
GIH60609	
GIH60610	
GIH60611	PF21686|LigD, primase-polymerase domain
GIH60612	PF01641|SelR domain
GIH60613	
GIH60614	PF02518|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;PF07730|Histidine kinase
GIH60615	PF00072|Response regulator receiver domain;PF00196|Bacterial regulatory proteins, luxR family
GIH60616	
GIH60617	PF06778|Chlorite dismutase
KAB8184927	PF01663|Type I phosphodiesterase / nucleotide pyrophosphatase
KAB8184928	PF01593|Flavin containing amine oxidoreductase
KAB8184929	PF06778|Chlorite dismutase
KAB8184930	
KAB8184931	PF01641|SelR domain
KAB8184932	PF21686|LigD, primase-polymerase domain
KAB8184933	
KAB8184934	PF00282|Pyridoxal-dependent decarboxylase conserved domain
KAB8184935	PF13230|Glutamine amidotransferases class-II
KAB8184937	PF01872|RibD C-terminal domain
KAB8184938	PF05437|Branched-chain amino acid transport protein (AzlD)
KAB8184939	PF00128|Alpha amylase, catalytic domain;PF02922|Carbohydrate-binding module 48 (Isoamylase N-terminal domain);PF21331|Isoamylase, C-terminal
KAB8184940	PF02566|OsmC-like protein
KAB8184941	PF00441|Acyl-CoA dehydrogenase, C-terminal domain;PF02770|Acyl-CoA dehydrogenase, middle domain;PF18158|Adaptive response protein AidB N-terminal domain
KAB8184942	PF08044|DUF1707 SHOCT-like domain;PF09922|Cell wall-active antibiotics response LiaF, C-terminal
KAB8185127	PF00480|ROK family
KAB8185128	PF01068|ATP dependent DNA ligase domain;PF04679|ATP dependent DNA ligase C terminal region
KAB8185129	PF03591|AzlC protein
KAB8185130	PF00023|Ankyrin repeat;PF12796|Ankyrin repeats (3 copies)
MBD3144823	
MBD3144824	PF04542|Sigma-70 region 2;PF08281|Sigma-70, region 4
MBD3144825	PF08044|DUF1707 SHOCT-like domain;PF09922|Cell wall-active antibiotics response LiaF, C-terminal
MBD3144826	PF00023|Ankyrin repeat;PF12796|Ankyrin repeats (3 copies)
MBD3144827	PF00441|Acyl-CoA dehydrogenase, C-terminal domain;PF02770|Acyl-CoA dehydrogenase, middle domain;PF18158|Adaptive response protein AidB N-terminal domain
MBD3144828	PF02566|OsmC-like protein
