accession	site	pmm_cu_prob
A0A010RV53	CuB	0.9300
A0A014N831	CuA	0.9900
A0A014N831	CuB	0.9200
A0A016W215	CuA	0.9100
A0A023GU59	CuB	0.9500
A0A024UGQ1	CuB	0.9800
A0A066RUA7	CuA	0.9000
A0A074RWE6	CuA	0.9600
A0A074S9M8	CuA	0.9100
A0A074SDG0	CuB	0.7800
A0A075AEH4	CuB	0.8800
A0A084AJL7	CuB	0.7800
A0A085M8H3	CuA	0.8900
A0A086T0Z5	CuA	0.9300
A0A091Q771	CuA	1.0000
A0A091TMG5	CuB	0.9500
A0A093CQX0	CuB	0.9500
A0A093H736	CuB	0.8600
A0A099ZQM2	CuB	0.9400
A0A0A7CMA7	CuA	0.9900
A0A0A7CN79	CuB	0.8600
A0A0C2XCT6	CuB	0.9700
A0A0C9SL04	CuA	1.0000
A0A0C9SL04	CuB	0.8500
A0A0C9SRH3	CuA	0.9900
A0A0C9SRH3	CuB	0.8600
A0A0D2FU82	CuA	0.9600
A0A0D2FU82	CuB	1.0000
A0A0D3HYU6	CuB	0.9600
A0A0D6LZL4	CuB	0.9600
A0A0D6M6M4	CuA	0.9900
A0A0D9NQW1	CuA	0.9900
A0A0F5VAR5	CuA	0.9300
A0A0F8A4E9	CuA	0.9500
A0A0K6GCM0	CuA	0.9900
A0A0K6GCM0	CuB	0.9800
A0A0L0NB41	CuB	0.8800
A0A0L0VSP3	CuB	0.9800
A0A0L0VSW2	CuB	0.7800
A0A135SEP1	CuA	0.9900
A0A135UY99	CuA	0.8900
A0A135V8Q3	CuB	0.9300
A0A135V8Q3	CuA	1.0000
A0A137NPX8	CuB	0.9300
A0A142I737	CuB	0.9400
A0A166U3J7	CuA	1.0000
A0A167AFV0	CuB	0.9100
A0A175VYW1	CuA	1.0000
A0A177DSJ1	CuA	1.0000
A0A183I077	CuA	0.9700
A0A183I077	CuB	0.7900
A0A194XSF1	CuA	1.0000
A0A1B7YR08	CuB	0.9300
A0A1G4BKS1	CuB	0.9400
A0A1G8B6K0	CuB	0.9800
A0A1H1X1U7	CuA	0.9500
A0A1H7VPR3	CuB	0.9700
A0A1I4X2F3	CuA	0.9500
A0A1I4X2F3	CuB	0.8700
A0A1I8I6W4	CuB	0.9700
A0A1J9R2U7	CuA	0.9400
A0A1J9R2U7	CuB	0.9900
A0A1L9T6V0	CuA	0.9900
A0A1L9T6V0	CuB	0.9600
A0A1L9WGB2	CuB	1.0000
A0A1Q8RG93	CuA	1.0000
A0A1R3VBN3	CuA	0.9500
A0A1R4H6E4	CuA	0.9800
A0A1R4H6E4	CuB	0.8700
A0A1R4H727	CuB	0.9700
A0A1S8CTM4	CuA	0.9300
A0A1V4I1C4	CuA	0.9500
A0A1V6NT23	CuA	0.8500
A0A1V6NT23	CuB	0.8400
