query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A010Q4B9	JARH01000957	-10	0	26959	27974	+	EXF74692.1	CFIO01_11218	D-arabinitol 2-dehydrogenase
A0A010Q4B9	JARH01000957	-9	0	28378	31395	+	EXF74693.1	CFIO01_11219	ankyrin repeat protein
A0A010Q4B9	JARH01000957	-8	0	32192	33983	-	EXF74694.1	CFIO01_11220	hypothetical protein
A0A010Q4B9	JARH01000957	-7	0	37267	38222	+	EXF74695.1	CFIO01_11221	CobW/HypB/UreG
A0A010Q4B9	JARH01000957	-6	0	42383	43378	+	EXF74696.1	CFIO01_11222	glycosyl hydrolase family 61
A0A010Q4B9	JARH01000957	-5	0	44586	46805	+	EXF74697.1	CFIO01_11223	HET domain-containing protein
A0A010Q4B9	JARH01000957	-4	0	48353	50322	+	EXF74698.1	CFIO01_11224	hypothetical protein
A0A010Q4B9	JARH01000957	-3	0	52873	53767	+	EXF74699.1	CFIO01_11225	hypothetical protein
A0A010Q4B9	JARH01000957	-2	0	54656	57832	-	EXF74700.1	CFIO01_11226	hydantoinase/oxoprolinase
A0A010Q4B9	JARH01000957	-1	0	58665	60466	+	EXF74701.1	CFIO01_11227	NCS1 nucleoside transporter
A0A010Q4B9	JARH01000957	0	1	60745	61593	-	EXF74702.1	CFIO01_11228	hypothetical protein
A0A010QAA5	JARH01000792	-10	0	76846	78284	-	EXF76787.1	CFIO01_05081	hypothetical protein
A0A010QAA5	JARH01000792	-9	0	81551	83595	+	EXF76788.1	CFIO01_05082	hypothetical protein
A0A010QAA5	JARH01000792	-8	0	83949	84743	-	EXF76789.1	CFIO01_05083	hypothetical protein
A0A010QAA5	JARH01000792	-7	0	88337	89272	+	EXF76790.1	CFIO01_05084	hypothetical protein
A0A010QAA5	JARH01000792	-6	0	89765	91331	-	EXF76791.1	CFIO01_05085	multicopper oxidase
A0A010QAA5	JARH01000792	-5	0	93308	94280	+	EXF76792.1	CFIO01_05086	iron permease FTR1 family protein
A0A010QAA5	JARH01000792	-4	0	95214	96053	-	EXF76793.1	CFIO01_05087	L-asparaginase
A0A010QAA5	JARH01000792	-3	0	97958	98435	-	EXF76794.1	CFIO01_05088	hypothetical protein
A0A010QAA5	JARH01000792	-2	0	98600	99620	-	EXF76795.1	CFIO01_05089	hypothetical protein
A0A010QAA5	JARH01000792	-1	0	101518	102442	+	EXF76796.1	CFIO01_05090	major facilitator superfamily transporter
A0A010QAA5	JARH01000792	0	1	104875	105458	+	EXF76797.1	CFIO01_05091	tyrosinase central domain-containing protein
A0A010QAA5	JARH01000792	1	0	107523	108249	+	EXF76798.1	CFIO01_05092	carboxylesterase
A0A010QAA5	JARH01000792	2	0	109977	111476	-	EXF76799.1	CFIO01_05093	aminotransferase class I and II
A0A010QAA5	JARH01000792	3	0	112201	114011	+	EXF76800.1	CFIO01_05094	onanonoxo-7-onima-8-eninoihtemlysoneda
A0A010QAA5	JARH01000792	4	0	115404	116042	-	EXF76801.1	CFIO01_05095	hypothetical protein
A0A010QAA5	JARH01000792	5	0	116938	118037	+	EXF76802.1	CFIO01_05096	hypothetical protein
A0A010QAA5	JARH01000792	6	0	121073	124225	+	EXF76803.1	CFIO01_05097	thioester reductase domain-containing protein
A0A010QAA5	JARH01000792	7	0	127839	128562	-	EXF76804.1	CFIO01_05098	hypothetical protein
A0A010QAA5	JARH01000792	8	0	134981	136200	-	EXF76805.1	CFIO01_05099	peroxisomal membrane protein
A0A010QAA5	JARH01000792	9	0	137316	138366	-	EXF76806.1	CFIO01_05100	fungal specific transcription factor
A0A010QAA5	JARH01000792	10	0	143586	145001	-	EXF76807.1	CFIO01_05101	Di-sulfide bridge nucleocytoplasmic transport domain-containing protein
A0A010QYY8	JARH01001073	-10	0	24947	27115	+	EXF73206.1	CFIO01_05566	fungal specific transcription factor
A0A010QYY8	JARH01001073	-9	0	28227	28644	+	EXF73207.1	CFIO01_05567	hypothetical protein
A0A010QYY8	JARH01001073	-8	0	30045	32007	+	EXF73208.1	CFIO01_05568	endoglucanase B
A0A010QYY8	JARH01001073	-7	0	32659	34503	-	EXF73209.1	CFIO01_05569	isoamyl alcohol oxidase
A0A010QYY8	JARH01001073	-6	0	37365	39365	+	EXF73210.1	CFIO01_05570	hypothetical protein
A0A010QYY8	JARH01001073	-5	0	39838	40263	-	EXF73211.1	CFIO01_05571	hypothetical protein
A0A010QYY8	JARH01001073	-4	0	40349	41318	-	EXF73212.1	CFIO01_05572	hypothetical protein
A0A010QYY8	JARH01001073	-3	0	42160	44403	-	EXF73213.1	CFIO01_05573	hypothetical protein
A0A010QYY8	JARH01001073	-2	0	46472	48154	+	EXF73214.1	CFIO01_05574	hypothetical protein
A0A010QYY8	JARH01001073	-1	0	48927	51976	-	EXF73215.1	CFIO01_05575	cofactor FMO1 FAD enzyme
A0A010QYY8	JARH01001073	0	1	53623	54283	-	EXF73216.1	CFIO01_05576	hypothetical protein
A0A010QYY8	JARH01001073	1	0	57248	57819	+	EXF73217.1	CFIO01_05577	hypothetical protein
A0A010QYY8	JARH01001073	2	0	59094	60225	-	EXF73218.1	CFIO01_05578	hypothetical protein
A0A010QYY8	JARH01001073	3	0	62310	63893	-	EXF73219.1	CFIO01_05579	hypothetical protein
A0A010QYY8	JARH01001073	4	0	69569	70420	-	EXF73220.1	CFIO01_05580	hypothetical protein
A0A010QYY8	JARH01001073	5	0	71128	72143	+	EXF73221.1	CFIO01_05581	hypothetical protein
A0A010QYY8	JARH01001073	6	0	73250	73845	+	EXF73222.1	CFIO01_05582	short chain dehydrogenase/reductase
A0A010QYY8	JARH01001073	7	0	75081	76936	-	EXF73223.1	CFIO01_05583	hypothetical protein
A0A010QYY8	JARH01001073	8	0	78391	86545	-	EXF73224.1	CFIO01_05584	hypothetical protein
A0A010QYY8	JARH01001073	9	0	87523	89205	-	EXF73225.1	CFIO01_05585	hypothetical protein
A0A010QYY8	JARH01001073	10	0	89774	90901	+	EXF73226.1	CFIO01_05586	hypothetical protein
A0A010RM53	JARH01001073	-10	0	30045	32007	+	EXF73208.1	CFIO01_05568	endoglucanase B
A0A010RM53	JARH01001073	-9	0	32659	34503	-	EXF73209.1	CFIO01_05569	isoamyl alcohol oxidase
A0A010RM53	JARH01001073	-8	0	37365	39365	+	EXF73210.1	CFIO01_05570	hypothetical protein
