product	n_queries	freq_all	freq_with_data	total
tyrosinase	11	0.081	0.262	17
hypothetical predicted protein	7	0.051	0.167	14
tetratricopeptide repeat protein 28	6	0.044	0.143	10
protein aatf	4	0.029	0.095	4
f-box only protein 18	4	0.029	0.095	4
ankyrin repeat domain-containing protein 16	4	0.029	0.095	4
aerolysin-3	4	0.029	0.095	4
aerolysin	4	0.029	0.095	8
proteasome subunit alpha type-5	3	0.022	0.071	3
hemicentin-1	3	0.022	0.071	3
galanin receptor type 2	3	0.022	0.071	3
chromatin modification-related protein yng2	3	0.022	0.071	3
kinesin light chain 1	3	0.022	0.071	3
beta-lactamase-like protein 2	3	0.022	0.071	3
uncharacterized protein c17orf59-like	3	0.022	0.071	3
carbohydrate sulfotransferase 4	3	0.022	0.071	3
putative beta-lactamase-like 1	3	0.022	0.071	11
von willebrand factor a	3	0.022	0.071	3
teneurin-m	2	0.015	0.048	2
uncharacterized protein k02a2.6	2	0.015	0.048	2
o-aminophenol oxidase	2	0.015	0.048	2
p-loop containing nucleoside triphosphate hydrolase protein	2	0.015	0.048	2
terpenoid synthase	2	0.015	0.048	2
unconventional myosin-vi	2	0.015	0.048	2
olfactomedin-like protein 2a	2	0.015	0.048	2
fatty-acid amide hydrolase 2	2	0.015	0.048	3
tetraspanin-33	2	0.015	0.048	2
sestrin-1	2	0.015	0.048	2
ankyrin repeat domain-containing protein 50	2	0.015	0.048	2
chromatin structure remodeling complex protein sfh1	2	0.015	0.048	2
proteasome component pup2	2	0.015	0.048	2
tyrosinase-like isoform x2	2	0.015	0.048	2
von willebrand factor type a domain	2	0.015	0.048	2
biological adhesion	2	0.015	0.048	6
cyclopropane-fatty-acyl-phospholipid synthase	2	0.015	0.048	2
acyl-coa oxidase	1	0.007	0.024	1
methylglyoxal synthase	1	0.007	0.024	1
transcriptional regulator	1	0.007	0.024	1
lytic transglycosylase	1	0.007	0.024	1
histidine ammonia-lyase	1	0.007	0.024	1
glycosyl hydrolase	1	0.007	0.024	1
histidine kinase	1	0.007	0.024	1
hypothetical protein, variant	1	0.007	0.024	2
60s ribosomal protein l15-b	1	0.007	0.024	1
hypothetical protein, variant 1	1	0.007	0.024	1
hypothetical protein, variant 2	1	0.007	0.024	1
related to polyphosphoinositide phosphatase family member	1	0.007	0.024	1
related to alpha-ketoglutarate-dependent taurine dioxygenase	1	0.007	0.024	1
related to bar domain protein	1	0.007	0.024	1
related to transporter protein	1	0.007	0.024	3
probable laccase-4	1	0.007	0.024	1
udp-n-acetylglucosamine transporter	1	0.007	0.024	1
sra stem-loop-interacting rna-binding protein, mitochondrial	1	0.007	0.024	1
atp-binding cassette sub-family d member 4	1	0.007	0.024	1
nlr family card domain-containing protein 4	1	0.007	0.024	1
polycystic kidney disease protein 1-like 2	1	0.007	0.024	2
snw domain-containing protein 1	1	0.007	0.024	1
potassium voltage-gated channel protein shaw	1	0.007	0.024	1
proteasome subunit alpha type-3	1	0.007	0.024	1
legumain	1	0.007	0.024	1
potassium voltage-gated channel subfamily c member 1	1	0.007	0.024	1
tubulin polyglutamylase ttll6	1	0.007	0.024	1
kinase-like protein	1	0.007	0.024	2
taud-domain-containing protein	1	0.007	0.024	1
laccase3	1	0.007	0.024	1
mfs general substrate transporter	1	0.007	0.024	3
polycomb protein scmh1	1	0.007	0.024	1
protein npat	1	0.007	0.024	1
putative g-protein coupled receptor 157	1	0.007	0.024	2
3-oxoacyl-[acyl-carrier-protein] reductase fabg	1	0.007	0.024	2
nogo-b receptor	1	0.007	0.024	1
5-methylcytosine rrna methyltransferase nsun4	1	0.007	0.024	1
dna polymerase zeta catalytic subunit	1	0.007	0.024	1
atp-binding cassette sub-family b member 7, mitochondrial	1	0.007	0.024	1
forkhead box protein o3	1	0.007	0.024	1
28s ribosomal protein s6, mitochondrial	1	0.007	0.024	1
hexaprenyldihydroxybenzoate methyltransferase, mitochondrial	1	0.007	0.024	1
protein oscp1	1	0.007	0.024	1
alpha-1,6-mannosylglycoprotein 6-beta-n-acetylglucosaminyltransferase a	1	0.007	0.024	2
trna wybutosine-synthesizing protein 5	1	0.007	0.024	1
leucine-rich repeat-containing protein 57	1	0.007	0.024	1
forkhead box protein i1	1	0.007	0.024	1
cancer-related nucleoside-triphosphatase	1	0.007	0.024	1
serine/threonine-protein kinase nek1	1	0.007	0.024	1
regucalcin	1	0.007	0.024	1
uncharacterized protein c20orf26-like	1	0.007	0.024	1
prolow-density lipoprotein receptor-related protein 1	1	0.007	0.024	1
mpdz	1	0.007	0.024	2
zdhhc21	1	0.007	0.024	1
frem1	1	0.007	0.024	2
lurap1l	1	0.007	0.024	1
nfib	1	0.007	0.024	1
zonadhesin	1	0.007	0.024	2
ras-related rab-7l1-like	1	0.007	0.024	2
sentrin-specific protease 8	1	0.007	0.024	1
partial	1	0.007	0.024	1
39s ribosomal l46, mitochondrial	1	0.007	0.024	2
serine protease 23-like	1	0.007	0.024	1
glucose-6-phosphate 1-dehydrogenase-like isoform x1	1	0.007	0.024	1
nedd1 isoform x1	1	0.007	0.024	2
suppressor of tub2 mutation	1	0.007	0.024	1
atp-dependent dna helicase sgs1	1	0.007	0.024	1
steroid 17-alpha-hydroxylase 17,20 lyase-like	1	0.007	0.024	2
mam and ldl-receptor class a domain-containing 2-like	1	0.007	0.024	1
palmitoyltransferase zdhhc21	1	0.007	0.024	1
tetratricopeptide repeat protein 39b	1	0.007	0.024	1
multiple pdz domain protein	1	0.007	0.024	1
cerberus	1	0.007	0.024	1
nuclear factor 1 b-type	1	0.007	0.024	2
eukaryotic translation initiation factor 3 subunit l	1	0.007	0.024	1
leucine rich adaptor protein 1-like	1	0.007	0.024	1
fras1-related extracellular matrix protein 1	1	0.007	0.024	1
transcriptional repressor general negative regulator of transcription subunit 4	1	0.007	0.024	2
ubiquinol--cytochrome-c reductase subunit 6	1	0.007	0.024	1
3-hydroxy-3-methylglutaryl coenzyme a synthase	1	0.007	0.024	1
putative nadh-ubiquinone oxidoreductase 30.4 kda subunit, mitochondrial	1	0.007	0.024	1
c-type lectin domain 17, member a	1	0.007	0.024	1
thromboxane-a synthase	1	0.007	0.024	1
greb1-like protein	1	0.007	0.024	1
heme peroxidase	1	0.007	0.024	1
bar domain-containing family protein	1	0.007	0.024	1
kinase-like domain-containing protein	1	0.007	0.024	2
laccase lcc5	1	0.007	0.024	1
saci homology domain-containing protein	1	0.007	0.024	1
allantoate permease	1	0.007	0.024	1
putative pantothenate transporter	1	0.007	0.024	1
major facilitator superfamily domain-containing protein	1	0.007	0.024	1
cartilage matrix protein	1	0.007	0.024	1
map kinase-activated protein kinase 5	1	0.007	0.024	1
e3 ubiquitin-protein ligase znrf3	1	0.007	0.024	1
coiled-coil domain-containing protein 62	1	0.007	0.024	1
putative rna-dependent rna polymerase 1	1	0.007	0.024	1
mediator of dna damage checkpoint protein 1	1	0.007	0.024	1
serine/threonine-protein kinase mos	1	0.007	0.024	1
ubiquitin-conjugating enzyme e2 w	1	0.007	0.024	1
ring finger protein 215	1	0.007	0.024	1
mitochondrial enolase superfamily member 1	1	0.007	0.024	3
pcna-interacting partner	1	0.007	0.024	1
kelch-like protein 10	1	0.007	0.024	1
putative rna-dependent rna polymerase 2	1	0.007	0.024	1
toll-like receptor 2	1	0.007	0.024	1
rna-dependent rna polymerase 2	1	0.007	0.024	1
dehydrodolichyl diphosphate synthase complex subunit nus1	1	0.007	0.024	2
iron-sulfur clusters transporter abcb7	1	0.007	0.024	1
ubiquinone biosynthesis o-methyltransferase	1	0.007	0.024	1
small nuclear ribonucleo protein	1	0.007	0.024	1
imidazole glycerol phosphate synthase hishf, chloroplastic	1	0.007	0.024	1
cobra-like protein 8	1	0.007	0.024	1
predicted protein	1	0.007	0.024	18
zinc metalloprotease	1	0.007	0.024	1
small nuclear ribonucleoprotein f	1	0.007	0.024	1
