protein_id	pfam
AEO63850	
AEO63851	PF00270|DEAD/DEAH box helicase;PF00271|Helicase conserved C-terminal domain;PF02889|Sec63 Brl domain;PF23445|Winged Helix-turn-helix domain
AEO63852	PF07690|Major Facilitator Superfamily
AEO63853	PF01408|Oxidoreductase family, NAD-binding Rossmann fold;PF02894|Oxidoreductase family, C-terminal alpha/beta domain
AEO63854	
AEO63855	PF07690|Major Facilitator Superfamily
AEO63856	PF01494|FAD binding domain
AEO63857	
AEO63858	PF12796|Ankyrin repeats (3 copies)
AEO63859	PF01432|Peptidase family M3
AEO63861	
AEO63862	
AEO63863	
AEO63864	PF03194|LUC7 N_terminus
AEO63865	PF04113|Gpi16 subunit, GPI transamidase component
AEO63866	PF12511|Protein of unknown function (DUF3716)
AEO63867	
AEO63868	
AEO63869	
AEO63870	PF15891|Nucleoside 2-deoxyribosyltransferase like
ATZ57865	PF00734|Fungal cellulose binding domain
ATZ57866	
ATZ57867	
ATZ57868	
ATZ57869	PF00687|Ribosomal protein L1p/L10e family
ATZ57870	PF02089|Palmitoyl protein thioesterase
ATZ57871	PF00134|Cyclin, N-terminal domain
ATZ57872	PF03661|Transmembrane protein 33/Nucleoporin POM33
ATZ57873	PF06985|Heterokaryon incompatibility protein (HET)
ATZ57874	PF01073|3-beta hydroxysteroid dehydrogenase/isomerase family
ATZ57876	PF11807|Mycotoxin biosynthesis protein UstYa
ATZ57877	
ATZ57878	PF11807|Mycotoxin biosynthesis protein UstYa
ATZ57879	
ATZ57880	PF11807|Mycotoxin biosynthesis protein UstYa
ATZ57881	
ATZ57882	
ATZ57884	
ATZ57885	
ATZ57887	
BCS28711	PF00076|RNA recognition motif
BCS28712	
BCS28713	
BCS28714	PF00312|Ribosomal protein S15;PF08069|Ribosomal S13/S15 N-terminal domain
BCS28715	PF08774|VRR-NUC domain;PF21170|Fanconi-associated nuclease 1, TPR domain;PF21315|FAN1, HTH domain
BCS28716	PF05186|Dpy-30 motif
BCS28717	PF00076|RNA recognition motif
BCS28718	PF10513|Enhancer of polycomb-like;PF13831|PHD-finger;PF13832|PHD-zinc-finger like domain
BCS28719	
BCS28720	PF14498|Glycosyl hydrolase family 65, N-terminal domain;PF21307|Glycoside hydrolase family 95, C-terminal domain;PF22124|Glycosyl hydrolase family 95 catalytic domain
BCS28722	PF11807|Mycotoxin biosynthesis protein UstYa
BCS28723	PF11807|Mycotoxin biosynthesis protein UstYa
BCS28724	PF00891|O-methyltransferase domain
BCS28725	
BCS28726	PF20684|Fungal rhodopsin domain
BCS28727	PF00561|alpha/beta hydrolase fold
BCS28728	PF20684|Fungal rhodopsin domain
BCS28729	PF00248|Aldo/keto reductase family
BCS28730	PF01965|DJ-1/PfpI family
BCS28731	PF01490|Transmembrane amino acid transporter protein
BDA39139	PF11807|Mycotoxin biosynthesis protein UstYa
BDA39140	PF03572|Peptidase family S41;PF23658|CPAF-like PDZ domain
BDA39141	PF11807|Mycotoxin biosynthesis protein UstYa
BDA39142	
BDA39143	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF11951|Fungal specific transcription factor domain
BDA39144	PF00005|ABC transporter;PF00664|ABC transporter transmembrane region
BDA39145	
BDA39146	
BDA39147	PF03169|OPT oligopeptide transporter protein
BDA39148	PF11807|Mycotoxin biosynthesis protein UstYa
BDA39150	PF00264|Common central domain of tyrosinase
BDA39151	PF11807|Mycotoxin biosynthesis protein UstYa
BDA39152	PF11807|Mycotoxin biosynthesis protein UstYa
BDA39153	PF01432|Peptidase family M3
BDA39154	
CAD6442782	PF00067|Cytochrome P450
CAD6442783	
CAD6442784	
CAD6442785	PF12937|F-box-like;PF25372|F-box/LRR-repeat protein 15, leucine rich repeat domain
CAD6442786	PF16035|Chalcone isomerase like
