query_accession	nucleotide_acc	offset	is_target	gene_start	gene_end	strand	protein_id	locus_tag	product
A0A098SBM4	JPOS01000004	-10	0	72293	73012	-	KGE89566.1	IX84_01975	transcriptional regulator
A0A098SBM4	JPOS01000004	-9	0	73143	73940	+	KGE89567.1	IX84_01980	hypothetical protein
A0A098SBM4	JPOS01000004	-8	0	74104	76431	+	KGE89568.1	IX84_01985	acyl-CoA oxidase
A0A098SBM4	JPOS01000004	-7	0	77622	78830	-	KGE89569.1	IX84_01995	hypothetical protein
A0A098SBM4	JPOS01000004	-6	0	79640	79960	+	KGE89570.1	IX84_02000	hypothetical protein
A0A098SBM4	JPOS01000004	-5	0	81344	82936	-	KGE89571.1	IX84_02010	histidine kinase
A0A098SBM4	JPOS01000004	-4	0	82963	83661	-	KGE89572.1	IX84_02015	glycosyl hydrolase
A0A098SBM4	JPOS01000004	-3	0	83873	85372	+	KGE89573.1	IX84_02020	hypothetical protein
A0A098SBM4	JPOS01000004	-2	0	85396	86952	+	KGE89574.1	IX84_02025	histidine ammonia-lyase
A0A098SBM4	JPOS01000004	-1	0	86965	88449	-	KGE89575.1	IX84_02030	hypothetical protein
A0A098SBM4	JPOS01000004	0	1	88515	89771	-	KGE89576.1	IX84_02035	hypothetical protein
A0A098SBM4	JPOS01000004	1	0	91188	91472	-	KGE89577.1	IX84_02045	hypothetical protein
A0A098SBM4	JPOS01000004	2	0	91674	91916	-	KGE89578.1	IX84_02050	hypothetical protein
A0A098SBM4	JPOS01000004	3	0	91995	92810	+	KGE89579.1	IX84_02055	hypothetical protein
A0A098SBM4	JPOS01000004	4	0	92807	94096	-	KGE89580.1	IX84_02060	hypothetical protein
A0A098SBM4	JPOS01000004	5	0	94597	94833	-	KGE89581.1	IX84_02070	hypothetical protein
A0A098SBM4	JPOS01000004	6	0	94974	95825	-	KGE89582.1	IX84_02075	hypothetical protein
A0A098SBM4	JPOS01000004	7	0	96008	96370	+	KGE89583.1	IX84_02080	methylglyoxal synthase
A0A098SBM4	JPOS01000004	8	0	96417	97859	+	KGE89584.1	IX84_02085	lytic transglycosylase
A0A098SBM4	JPOS01000004	9	0	98022	101204	-	KGE89585.1	IX84_02090	hypothetical protein
A0A098SBM4	JPOS01000004	10	0	101537	102112	+	KGE89586.1	IX84_02100	hypothetical protein
A0A0L6VMV5	LAVV01003799	0	1	11010	11973	+	KNZ61897.1	VP01_1341g2	hypothetical protein
A0A0L6VMV5	LAVV01003799	1	0	16284	16718	-	KNZ61896.1	VP01_1341g1	hypothetical protein
A0A0L0W3I3	AJIL01000004	-10	0	265700	266331	+	KNF06103.1	PSTG_00614	hypothetical protein
A0A0L0W3I3	AJIL01000004	-9	0	276218	276694	-	KNF06104.1	PSTG_00615	hypothetical protein
A0A0L0W3I3	AJIL01000004	-8	0	294039	294172	-	KNF06105.1	PSTG_00616	hypothetical protein
A0A0L0W3I3	AJIL01000004	-7	0	298294	299188	+	KNF06106.1	PSTG_00617	hypothetical protein
A0A0L0W3I3	AJIL01000004	-6	0	305396	305775	-	KNF06107.1	PSTG_00618	hypothetical protein
A0A0L0W3I3	AJIL01000004	-5	0	305629	306137	-	KNF06108.1	PSTG_00618	hypothetical protein, variant
A0A0L0W3I3	AJIL01000004	-4	0	308215	308771	+	KNF06109.1	PSTG_00619	hypothetical protein
A0A0L0W3I3	AJIL01000004	-3	0	308215	308771	+	KNF06110.1	PSTG_00619	hypothetical protein, variant 1
A0A0L0W3I3	AJIL01000004	-2	0	308215	308771	+	KNF06111.1	PSTG_00619	hypothetical protein, variant 2
A0A0L0W3I3	AJIL01000004	-1	0	319800	320143	-	KNF06112.1	PSTG_00620	proteasome subunit alpha type-5
A0A0L0W3I3	AJIL01000004	0	1	322334	322971	+	KNF06113.1	PSTG_00621	hypothetical protein
A0A0L0W3I3	AJIL01000004	1	0	327619	328336	-	KNF06114.1	PSTG_00623	hypothetical protein
A0A0L0W3I3	AJIL01000004	2	0	356894	357668	+	KNF06115.1	PSTG_00624	hypothetical protein
A0A0L0W3I3	AJIL01000004	3	0	361327	362070	+	KNF06116.1	PSTG_00625	hypothetical protein
A0A0L0W3I3	AJIL01000004	4	0	369663	373385	-	KNF06117.1	PSTG_00626	hypothetical protein
A0A0L0W3I3	AJIL01000004	5	0	402055	402231	-	KNF06118.1	PSTG_00627	60S ribosomal protein L15-B
A0A0L0W3I3	AJIL01000004	6	0	405223	405499	-	KNF06119.1	PSTG_00628	hypothetical protein
A0A0L0W3I3	AJIL01000004	7	0	409608	410150	+	KNF06120.1	PSTG_00629	hypothetical protein
A0A0L0W3I3	AJIL01000004	8	0	409608	410150	+	KNF06121.1	PSTG_00629	hypothetical protein, variant
A0A0L0W3I3	AJIL01000004	9	0	412669	414820	-	KNF06122.1	PSTG_00630	hypothetical protein
A0A0L0W3I3	AJIL01000004	10	0	417930	420076	-	KNF06123.1	PSTG_00631	hypothetical protein
A0A284RJ44	FUEG01000009	-10	0	1933637	1934409	+	SJL08774.1	ARMOST_12144	related to polyphosphoinositide phosphatase family member
A0A284RJ44	FUEG01000009	-9	0	1936854	1937569	-	SJL08775.1	ARMOST_12145	uncharacterized protein
A0A284RJ44	FUEG01000009	-8	0	1939135	1939325	+	SJL08776.1	ARMOST_12146	uncharacterized protein
A0A284RJ44	FUEG01000009	-7	0	1941487	1941658	-	SJL08777.1	ARMOST_12147	uncharacterized protein
A0A284RJ44	FUEG01000009	-6	0	1942956	1943726	+	SJL08778.1	ARMOST_12148	uncharacterized protein
A0A284RJ44	FUEG01000009	-5	0	1945851	1946076	-	SJL08779.1	ARMOST_12149	related to transporter protein
A0A284RJ44	FUEG01000009	-4	0	1951124	1951905	+	SJL08780.1	ARMOST_12150	uncharacterized protein
A0A284RJ44	FUEG01000009	-3	0	1954383	1954694	+	SJL08781.1	ARMOST_12151	related to transporter protein
A0A284RJ44	FUEG01000009	-2	0	1957097	1957361	-	SJL08782.1	ARMOST_12152	related to alpha-ketoglutarate-dependent taurine dioxygenase
A0A284RJ44	FUEG01000009	-1	0	1959902	1960236	+	SJL08783.1	ARMOST_12153	related to transporter protein
A0A284RJ44	FUEG01000009	0	1	1962658	1962815	-	SJL08784.1	ARMOST_12154	uncharacterized protein
A0A284RJ44	FUEG01000009	1	0	1965647	1965955	-	SJL08785.1	ARMOST_12155	related to BAR domain protein
A0A284RJ44	FUEG01000009	2	0	1967378	1967463	-	SJL08786.1	ARMOST_12156	uncharacterized protein
A0A284RJ44	FUEG01000009	3	0	1969641	1970066	+	SJL08787.1	ARMOST_12157	probable Laccase-4
A0A284RJ44	FUEG01000009	4	0	1973584	1975421	+	SJL08788.1	ARMOST_12158	uncharacterized protein
A0A284RJ44	FUEG01000009	5	0	1975727	1976244	+	SJL08789.1	ARMOST_12159	uncharacterized protein
A0A284RJ44	FUEG01000009	6	0	1977531	1978296	+	SJL08790.1	ARMOST_12160	uncharacterized protein
A0A284RJ44	FUEG01000009	7	0	1978669	1979070	+	SJL08791.1	ARMOST_12161	uncharacterized protein
A0A284RJ44	FUEG01000009	8	0	1980115	1981383	+	SJL08792.1	ARMOST_12162	uncharacterized protein
A0A284RJ44	FUEG01000009	9	0	1981451	1981879	+	SJL08793.1	ARMOST_12163	uncharacterized protein
A0A284RJ44	FUEG01000009	10	0	1982483	1982565	-	SJL08794.1	ARMOST_12164	uncharacterized protein
A0A2B4RNC9	LSMT01000398	-10	0	122958	125714	-	PFX18665.1	AWC38_SpisGene16938	Aerolysin-3
A0A2B4RNC9	LSMT01000398	-9	0	136518	138918	+	PFX18666.1	AWC38_SpisGene16939	Aerolysin
A0A2B4RNC9	LSMT01000398	-8	0	140325	141226	-	PFX18682.1	AWC38_SpisGene16940	hypothetical protein
A0A2B4RNC9	LSMT01000398	-7	0	147464	148204	-	PFX18681.1	AWC38_SpisGene16941	Ankyrin repeat domain-containing protein 16
A0A2B4RNC9	LSMT01000398	-6	0	154892	157916	+	PFX18684.1	AWC38_SpisGene16942	F-box only protein 18
A0A2B4RNC9	LSMT01000398	-5	0	176685	179199	-	PFX18683.1	AWC38_SpisGene16943	hypothetical protein
A0A2B4RNC9	LSMT01000398	-4	0	183852	186783	+	PFX18678.1	AWC38_SpisGene16944	Aerolysin
A0A2B4RNC9	LSMT01000398	-3	0	190748	191695	+	PFX18677.1	AWC38_SpisGene16945	Tyrosinase
A0A2B4RNC9	LSMT01000398	-2	0	198960	200344	+	PFX18680.1	AWC38_SpisGene16946	Hemicentin-1
A0A2B4RNC9	LSMT01000398	-1	0	215384	216629	+	PFX18679.1	AWC38_SpisGene16947	Tyrosinase
A0A2B4RNC9	LSMT01000398	0	1	229591	230679	-	PFX18676.1	AWC38_SpisGene16948	Tyrosinase
A0A2B4RNC9	LSMT01000398	1	0	258540	261211	+	PFX18675.1	AWC38_SpisGene16949	Protein AATF
A0A2B4RNC9	LSMT01000398	2	0	272333	276015	-	PFX18673.1	AWC38_SpisGene16950	hypothetical protein
A0A2B4RNC9	LSMT01000398	3	0	286801	288755	-	PFX18674.1	AWC38_SpisGene16951	Tetratricopeptide repeat protein 28
A0A2B4RNC9	LSMT01000398	4	0	290920	291981	+	PFX18671.1	AWC38_SpisGene16952	hypothetical protein
A0A2B4RNC9	LSMT01000398	5	0	293633	294117	-	PFX18672.1	AWC38_SpisGene16953	Tetratricopeptide repeat protein 28
A0A2B4RPF7	LSMT01000398	-10	0	114274	118075	-	PFX18670.1	AWC38_SpisGene16937	hypothetical protein
A0A2B4RPF7	LSMT01000398	-9	0	122958	125714	-	PFX18665.1	AWC38_SpisGene16938	Aerolysin-3
A0A2B4RPF7	LSMT01000398	-8	0	136518	138918	+	PFX18666.1	AWC38_SpisGene16939	Aerolysin
A0A2B4RPF7	LSMT01000398	-7	0	140325	141226	-	PFX18682.1	AWC38_SpisGene16940	hypothetical protein
A0A2B4RPF7	LSMT01000398	-6	0	147464	148204	-	PFX18681.1	AWC38_SpisGene16941	Ankyrin repeat domain-containing protein 16
A0A2B4RPF7	LSMT01000398	-5	0	154892	157916	+	PFX18684.1	AWC38_SpisGene16942	F-box only protein 18
A0A2B4RPF7	LSMT01000398	-4	0	176685	179199	-	PFX18683.1	AWC38_SpisGene16943	hypothetical protein
A0A2B4RPF7	LSMT01000398	-3	0	183852	186783	+	PFX18678.1	AWC38_SpisGene16944	Aerolysin
A0A2B4RPF7	LSMT01000398	-2	0	190748	191695	+	PFX18677.1	AWC38_SpisGene16945	Tyrosinase
A0A2B4RPF7	LSMT01000398	-1	0	198960	200344	+	PFX18680.1	AWC38_SpisGene16946	Hemicentin-1
A0A2B4RPF7	LSMT01000398	0	1	215384	216629	+	PFX18679.1	AWC38_SpisGene16947	Tyrosinase
A0A2B4RPF7	LSMT01000398	1	0	229591	230679	-	PFX18676.1	AWC38_SpisGene16948	Tyrosinase
A0A2B4RPF7	LSMT01000398	2	0	258540	261211	+	PFX18675.1	AWC38_SpisGene16949	Protein AATF
A0A2B4RPF7	LSMT01000398	3	0	272333	276015	-	PFX18673.1	AWC38_SpisGene16950	hypothetical protein
A0A2B4RPF7	LSMT01000398	4	0	286801	288755	-	PFX18674.1	AWC38_SpisGene16951	Tetratricopeptide repeat protein 28
A0A2B4RPF7	LSMT01000398	5	0	290920	291981	+	PFX18671.1	AWC38_SpisGene16952	hypothetical protein
A0A2B4RPF7	LSMT01000398	6	0	293633	294117	-	PFX18672.1	AWC38_SpisGene16953	Tetratricopeptide repeat protein 28
A0A2B4RQ59	LSMT01000398	-10	0	64221	67406	-	PFX18669.1	AWC38_SpisGene16936	Teneurin-m
A0A2B4RQ59	LSMT01000398	-9	0	114274	118075	-	PFX18670.1	AWC38_SpisGene16937	hypothetical protein
A0A2B4RQ59	LSMT01000398	-8	0	122958	125714	-	PFX18665.1	AWC38_SpisGene16938	Aerolysin-3
A0A2B4RQ59	LSMT01000398	-7	0	136518	138918	+	PFX18666.1	AWC38_SpisGene16939	Aerolysin
A0A2B4RQ59	LSMT01000398	-6	0	140325	141226	-	PFX18682.1	AWC38_SpisGene16940	hypothetical protein
A0A2B4RQ59	LSMT01000398	-5	0	147464	148204	-	PFX18681.1	AWC38_SpisGene16941	Ankyrin repeat domain-containing protein 16
A0A2B4RQ59	LSMT01000398	-4	0	154892	157916	+	PFX18684.1	AWC38_SpisGene16942	F-box only protein 18
A0A2B4RQ59	LSMT01000398	-3	0	176685	179199	-	PFX18683.1	AWC38_SpisGene16943	hypothetical protein
A0A2B4RQ59	LSMT01000398	-2	0	183852	186783	+	PFX18678.1	AWC38_SpisGene16944	Aerolysin
A0A2B4RQ59	LSMT01000398	-1	0	190748	191695	+	PFX18677.1	AWC38_SpisGene16945	Tyrosinase
A0A2B4RQ59	LSMT01000398	0	1	198960	200344	+	PFX18680.1	AWC38_SpisGene16946	Hemicentin-1
A0A2B4RQ59	LSMT01000398	1	0	215384	216629	+	PFX18679.1	AWC38_SpisGene16947	Tyrosinase
A0A2B4RQ59	LSMT01000398	2	0	229591	230679	-	PFX18676.1	AWC38_SpisGene16948	Tyrosinase
A0A2B4RQ59	LSMT01000398	3	0	258540	261211	+	PFX18675.1	AWC38_SpisGene16949	Protein AATF
A0A2B4RQ59	LSMT01000398	4	0	272333	276015	-	PFX18673.1	AWC38_SpisGene16950	hypothetical protein
A0A2B4RQ59	LSMT01000398	5	0	286801	288755	-	PFX18674.1	AWC38_SpisGene16951	Tetratricopeptide repeat protein 28
A0A2B4RQ59	LSMT01000398	6	0	290920	291981	+	PFX18671.1	AWC38_SpisGene16952	hypothetical protein
A0A2B4RQ59	LSMT01000398	7	0	293633	294117	-	PFX18672.1	AWC38_SpisGene16953	Tetratricopeptide repeat protein 28
A0A2B4RQQ5	LSMT01000398	-10	0	49348	52454	+	PFX18668.1	AWC38_SpisGene16935	UDP-N-acetylglucosamine transporter
A0A2B4RQQ5	LSMT01000398	-9	0	64221	67406	-	PFX18669.1	AWC38_SpisGene16936	Teneurin-m
A0A2B4RQQ5	LSMT01000398	-8	0	114274	118075	-	PFX18670.1	AWC38_SpisGene16937	hypothetical protein
A0A2B4RQQ5	LSMT01000398	-7	0	122958	125714	-	PFX18665.1	AWC38_SpisGene16938	Aerolysin-3
A0A2B4RQQ5	LSMT01000398	-6	0	136518	138918	+	PFX18666.1	AWC38_SpisGene16939	Aerolysin
A0A2B4RQQ5	LSMT01000398	-5	0	140325	141226	-	PFX18682.1	AWC38_SpisGene16940	hypothetical protein
A0A2B4RQQ5	LSMT01000398	-4	0	147464	148204	-	PFX18681.1	AWC38_SpisGene16941	Ankyrin repeat domain-containing protein 16
A0A2B4RQQ5	LSMT01000398	-3	0	154892	157916	+	PFX18684.1	AWC38_SpisGene16942	F-box only protein 18
A0A2B4RQQ5	LSMT01000398	-2	0	176685	179199	-	PFX18683.1	AWC38_SpisGene16943	hypothetical protein
A0A2B4RQQ5	LSMT01000398	-1	0	183852	186783	+	PFX18678.1	AWC38_SpisGene16944	Aerolysin
A0A2B4RQQ5	LSMT01000398	0	1	190748	191695	+	PFX18677.1	AWC38_SpisGene16945	Tyrosinase
A0A2B4RQQ5	LSMT01000398	1	0	198960	200344	+	PFX18680.1	AWC38_SpisGene16946	Hemicentin-1
A0A2B4RQQ5	LSMT01000398	2	0	215384	216629	+	PFX18679.1	AWC38_SpisGene16947	Tyrosinase
A0A2B4RQQ5	LSMT01000398	3	0	229591	230679	-	PFX18676.1	AWC38_SpisGene16948	Tyrosinase
A0A2B4RQQ5	LSMT01000398	4	0	258540	261211	+	PFX18675.1	AWC38_SpisGene16949	Protein AATF
A0A2B4RQQ5	LSMT01000398	5	0	272333	276015	-	PFX18673.1	AWC38_SpisGene16950	hypothetical protein
A0A2B4RQQ5	LSMT01000398	6	0	286801	288755	-	PFX18674.1	AWC38_SpisGene16951	Tetratricopeptide repeat protein 28
