sequence_id,filter_status
A0A010Q293,canonical
A0A010Q4B9,canonical
A0A010QAA5,canonical
A0A010QHN9,canonical
A0A010QL93,canonical
A0A010QPL7,canonical
A0A010QXZ0,canonical
A0A010QYY8,canonical
A0A010R9A2,canonical
A0A010RBA2,canonical
A0A010RL70,canonical
A0A010RM53,canonical
A0A010RPY0,canonical
A0A010RQ21,canonical
A0A010RUM6,canonical
A0A010RV80,canonical
A0A010RY59,canonical
A0A010RYF3,canonical
A0A010S6Q2,canonical
A0A010SFQ0,canonical
A0A010SKU6,canonical
A0A010SMB4,canonical
A0A010SNL7,canonical
A0A014P1F1,canonical
A0A014PNW6,canonical
A0A014QX88,canonical
A0A016RWG9,canonical
A0A016RXK8,canonical
A0A016S930,canonical
A0A016SJ50,canonical
A0A016SK14,canonical
A0A016T0A5,canonical
A0A016T1G5,canonical
A0A016TKY1,canonical
A0A016UL52,canonical
A0A016ULR3,canonical
A0A016VBJ0,canonical
A0A016VC89,canonical
A0A016VDA3,canonical
A0A016VE53,canonical
A0A016VS08,canonical
A0A016W0V7,canonical
A0A016W1G3,canonical
A0A016W259,canonical
A0A016W313,canonical
A0A016W3A4,canonical
A0A016W3W4,canonical
A0A016WCE7,canonical
A0A016WQP8,canonical
A0A016WQV2,canonical
A0A017SD63,canonical
A0A017SF68,canonical
A0A022QC39,canonical
A0A022QE60,canonical
A0A022QG63,canonical
A0A022QL39,canonical
A0A022R0C6,canonical
A0A022R0D6,canonical
A0A022R1L2,canonical
A0A022R1L7,canonical
A0A022R3H9,canonical
A0A022R5P3,canonical
A0A022WGP6,canonical
A0A022Y7J2,canonical
A0A023PMD2,canonical
A0A023PN01,canonical
A0A023PNV8,canonical
A0A023PP81,canonical
A0A024CHG7,canonical
A0A024CHH0,canonical
A0A024CHU4,canonical
A0A024CHU9,canonical
A0A024CI03,canonical
A0A024CI05,canonical
A0A024CIJ0,canonical
A0A024CIJ4,canonical
A0A024CIJ8,canonical
A0A024CJP7,canonical
A0A024CJQ0,canonical
A0A024DBG7,canonical
A0A024FR46,canonical
A0A024FS61,canonical
A0A024FZ14,canonical
A0A024GPM3,canonical
A0A024S4X8,canonical
A0A024SD58,canonical
A0A024SJR1,canonical
A0A024T961,canonical
A0A024T9U4,canonical
A0A024TEL4,canonical
A0A024TMR4,canonical
A0A024TN69,canonical
A0A024UNS3,canonical
A0A024UP64,canonical
A0A024URD5,canonical
A0A058ZW33,canonical
A0A059CCV1,canonical
A0A059CDE4,canonical
A0A059F260,canonical
A0A059JJQ6,canonical
A0A059TZU2,canonical
A0A059U1P9,canonical
A0A059UAM0,canonical
A0A060S6S8,canonical
A0A060WMQ6,canonical
A0A060WUY0,canonical
A0A060X1G5,canonical
A0A060X8B7,canonical
A0A060XL10,canonical
A0A061DZ45,canonical
A0A061E0X0,canonical
A0A061E6S7,canonical
A0A061GEN3,canonical
A0A061GFY3,canonical
A0A061GFY7,canonical
A0A061GMJ6,canonical
A0A061GMK1,canonical
A0A061HFI6,canonical
A0A061HSG6,canonical
A0A061IGF6,canonical
A0A062U9V8,canonical
A0A063BRM1,canonical
A0A066WXF3,canonical
A0A066X6L4,canonical
A0A066X7V3,canonical
A0A066X846,canonical
A0A066X9U3,canonical
A0A066XLM3,canonical
A0A066XQD0,canonical
A0A066XSY6,canonical
A0A066XW40,canonical
A0A066XWR5,canonical
A0A066XZ78,canonical
A0A066Y1D2,canonical
A0A066Z0K1,canonical
A0A067BLT8,canonical
A0A067BLZ4,canonical
A0A067BRT6,canonical
A0A067BTT5,canonical
A0A067BUS0,canonical
A0A067BX73,canonical
A0A067BZH5,canonical
A0A067C156,canonical
A0A067C631,canonical
A0A067CPX4,canonical
A0A067CXC8,canonical
A0A067D5R2,canonical
A0A067D814,canonical
A0A067GK93,canonical
A0A067JAU2,canonical
A0A067MC03,canonical
A0A067MC09,canonical
A0A067MJR9,canonical
A0A067MSX0,canonical
A0A067N7R8,canonical
A0A067NXD0,canonical
A0A067PHP8,canonical
A0A067PSS3,canonical
A0A067S9C3,canonical
A0A067T9P6,canonical
A0A067TCE7,canonical
A0A067TKM5,canonical
A0A067XIX1,canonical
A0A068NQY3,canonical
A0A068TU86,canonical
A0A068UD36,canonical
A0A068UEN7,canonical
A0A068UEP3,canonical
A0A068VNV4,canonical
A0A069NJ99,canonical
A0A069P877,canonical
A0A069P8P9,canonical
A0A072P207,canonical
A0A072P5W0,canonical
A0A072P8W8,canonical
A0A072PCR1,canonical
A0A072PJG5,canonical
A0A074RCL1,canonical
A0A074RJD3,canonical
A0A074RKY4,canonical
A0A074RLS0,canonical
A0A074RRF8,canonical
A0A074RSM2,canonical
A0A074RSY5,canonical
A0A074RTB9,canonical
A0A074RXC0,canonical
A0A074RXE5,canonical
A0A074RXR6,canonical
A0A074RYB7,canonical
A0A074S0H8,canonical
A0A074S2B5,canonical
A0A074S7C5,canonical
A0A074S7W9,canonical
A0A074S897,canonical
A0A074SA15,canonical
A0A074SFZ9,canonical
A0A074SK72,canonical
A0A074SK81,canonical
A0A074SUA9,canonical
A0A074VDT7,canonical
A0A074VGZ0,canonical
A0A074VIF5,canonical
A0A074WGJ9,canonical
A0A074WJS2,canonical
A0A074WWD6,canonical
A0A074X475,canonical
A0A074XC75,canonical
A0A074XNA1,canonical
A0A074XR97,canonical
A0A074XWE1,canonical
A0A074Y1Q9,canonical
A0A074YH07,canonical
A0A074YPA7,canonical
A0A074YPF6,canonical
A0A074Z7G7,canonical
A0A074ZDD7,canonical
A0A074ZPR2,canonical
A0A075AU36,canonical
A0A075AX41,canonical
A0A075AYG4,canonical
A0A075B1D3,canonical
A0A075BWS7,canonical
A0A075BX21,canonical
A0A075DN54,canonical
A0A076FRB3,canonical
A0A076FRN6,canonical
A0A076FRP2,canonical
A0A076FRP6,canonical
A0A076FT34,canonical
A0A076FX85,canonical
A0A076FX88,canonical
A0A076JQI5,canonical
A0A076KXK6,canonical
A0A077HD11,canonical
A0A077R9S7,canonical
A0A077S4H3,canonical
A0A077Z814,canonical
A0A078AII6,canonical
A0A080Z0A1,canonical
A0A080ZVP8,canonical
A0A080ZVS2,canonical
A0A080ZVS5,canonical
A0A080ZVS7,canonical
A0A081AHF5,canonical
A0A081AVN2,canonical
A0A081AZP8,canonical
A0A081CKB9,canonical
A0A081XZW0,canonical
A0A084AF08,canonical
A0A084AR48,canonical
A0A084AV30,canonical
A0A084AYI1,canonical
A0A084B2K4,canonical
A0A084B4D9,canonical
A0A084B663,canonical
A0A084B7G3,canonical
A0A084B8J4,canonical
A0A084BB06,canonical
A0A084FV28,canonical
A0A084FV70,canonical
A0A084G098,canonical
A0A084G3K0,canonical
A0A084G593,canonical
A0A084G5H0,canonical
A0A084G6B5,canonical
A0A084G7V9,canonical
A0A084G9G0,canonical
A0A084GCK1,canonical
A0A084GGH5,canonical
A0A084QC22,canonical
A0A084QCB8,canonical
A0A084QJ67,canonical
A0A084QQ18,canonical
A0A084QWG9,canonical
A0A084QX23,canonical
A0A084QY85,canonical
A0A084QZJ0,canonical
A0A084R0Y5,canonical
A0A084R149,canonical
A0A085N949,canonical
A0A086ADX6,canonical
A0A086J2K3,canonical
A0A086N2U2,canonical
A0A086SV08,canonical
A0A087QSF6,canonical
A0A087R0E2,canonical
A0A087RFL1,canonical
A0A087V2P2,canonical
A0A087X5L9,canonical
A0A087XJW4,canonical
A0A087XNB6,canonical
A0A087YDX2,canonical
A0A087YHH7,canonical
A0A089WYP0,canonical
A0A089X5M9,canonical
A0A090CH20,canonical
A0A090CL68,canonical
A0A090CMR9,canonical
A0A090CWC0,canonical
A0A090D4S5,canonical
A0A090L4G2,canonical
A0A090L5U2,canonical
A0A090LAX1,canonical
A0A090LH51,canonical
A0A090MKY8,canonical
A0A090N5Z6,canonical
A0A091DE91,canonical
A0A091EJW4,canonical
A0A091EQ39,canonical
A0A091EQG7,canonical
A0A091GBZ3,canonical
A0A091GGF7,canonical
A0A091H384,canonical
A0A091HA89,canonical
A0A091HDB5,canonical
A0A091HSS0,canonical
A0A091IFA6,canonical
A0A091ISS4,canonical
A0A091JF89,canonical
A0A091K495,canonical
A0A091K9P7,canonical
A0A091L5Q5,canonical
A0A091LD51,canonical
A0A091N6A9,canonical
A0A091N6N3,canonical
A0A091NYE1,canonical
A0A091P6C8,canonical
A0A091P7E8,canonical
A0A091QFD1,canonical
A0A091QKA4,canonical
A0A091QM34,canonical
A0A091RH37,canonical
A0A091S066,canonical
A0A091SAS8,canonical
A0A091T007,canonical
A0A091TDY4,canonical
A0A091U7D6,canonical
A0A091VK98,canonical
A0A091W054,canonical
A0A091W550,canonical
A0A091W941,canonical
A0A091WPJ3,canonical
A0A093CEX0,canonical
A0A093CEY8,canonical
A0A093FE14,canonical
A0A093FW37,canonical
A0A093GEC8,canonical
A0A093GMV7,canonical
A0A093I3S2,canonical
A0A093IJB5,canonical
A0A093NFD8,canonical
A0A093NYR8,canonical
A0A093PRN0,canonical
A0A093QDY2,canonical
A0A093R2N9,canonical
A0A093RE66,canonical
A0A093V4K7,canonical
A0A093VIP7,canonical
A0A093XBB1,canonical
A0A094KB04,canonical
A0A094KNZ4,canonical
A0A094KVX1,canonical
A0A094ZEX3,canonical
A0A095CG52,canonical
A0A096MND7,canonical
A0A096P1J2,canonical
A0A097ZQG6,canonical
A0A097ZQG8,canonical
A0A097ZQH0,canonical
A0A097ZQH2,canonical
A0A097ZQH9,canonical
A0A097ZQI2,canonical
A0A098E091,canonical
A0A098SBM4,canonical
A0A098VS40,canonical
A0A098Y3K8,canonical
A0A098YAD9,canonical
A0A099MZ46,canonical
A0A099ZU00,canonical
A0A0A0A6E7,canonical
A0A0A0AZE1,canonical
A0A0A0B9F3,canonical
A0A0A0D635,canonical
A0A0A0F2E9,canonical
A0A0A0LUI1,canonical
A0A0A0LXD0,canonical
A0A0A1SZ60,canonical
A0A0A1T2S7,canonical
A0A0A1T3I6,canonical
A0A0A1T7C1,canonical
A0A0A1T9R6,canonical
A0A0A1TL71,canonical
A0A0A1UIL1,canonical
A0A0A1UJW0,canonical
A0A0A1UJX2,canonical
A0A0A1UQ03,canonical
A0A0A1V0A4,canonical
A0A0A1V7Z8,canonical
A0A0A1VA99,canonical
A0A0A1VAF9,canonical
A0A0A1YUC0,canonical
A0A0A2J1X4,canonical
A0A0A2JBW7,canonical
A0A0A2JEJ9,canonical
A0A0A2JPW5,canonical
A0A0A2JVP7,canonical
A0A0A2KL20,canonical
A0A0A2KWA6,canonical
A0A0A2LDC3,canonical
A0A0A2VJT0,canonical
A0A0A2VR17,canonical
A0A0A2VY68,canonical
A0A0A2VYA5,canonical
A0A0A2W0H5,canonical
A0A0A2WKA0,canonical
A0A0A3XNH3,canonical
A0A0A3XV83,canonical
A0A0A6DAA9,canonical
A0A0A6UDS1,canonical
A0A0A6UH53,canonical
A0A0A6UH99,canonical
A0A0A6UK08,canonical
A0A0A7CLR3,canonical
A0A0A7CLT5,canonical
A0A0A7CMC8,canonical
A0A0A7CN07,canonical
A0A0A7CNE6,canonical
A0A0A7CNM6,canonical
A0A0A7CNP6,canonical
A0A0A7CPE6,canonical
A0A0A7DL33,canonical
A0A0A9H6D8,canonical
A0A0B1PD39,canonical
A0A0B1SX71,canonical
A0A0B1TC96,canonical
A0A0B1TJU4,canonical
A0A0B1TMI8,canonical
A0A0B2P1N0,canonical
A0A0B2P669,canonical
A0A0B2PHV4,canonical
A0A0B2RGX4,canonical
A0A0B2SNE1,canonical
A0A0B2SNW5,canonical
A0A0B2SP68,canonical
A0A0B2UX79,canonical
A0A0B2V4Z1,canonical
A0A0B2V753,canonical
A0A0B2VDU0,canonical
A0A0B2VHS7,canonical
A0A0B2VUC6,canonical
A0A0B2VVI5,canonical
A0A0B2WQI7,canonical
A0A0B2XHY5,canonical
A0A0B4EB98,canonical
A0A0B4EN03,canonical
A0A0B4F0K9,canonical
A0A0B4FMW4,canonical
A0A0B4FP45,canonical
A0A0B4G3L8,canonical
A0A0B4GIZ3,canonical
A0A0B4GNB7,canonical
A0A0B4H3N4,canonical
A0A0B4H7V4,canonical
A0A0B4HCA4,canonical
A0A0B4IAB3,canonical
A0A0B4XAD1,canonical
A0A0B5D7C0,canonical
A0A0B5EPG7,canonical
A0A0B5F6T3,canonical
A0A0B5IBE8,canonical
A0A0B6AQS6,canonical
A0A0B7A0D2,canonical
A0A0B7A1Q5,canonical
A0A0B7A255,canonical
A0A0B7AFX7,canonical
A0A0B7AGB0,canonical
A0A0B7AML2,canonical
A0A0B7BDN3,canonical
A0A0B7F0F6,canonical
A0A0B7F0G8,canonical
A0A0B7F0N2,canonical
A0A0B7F0Q1,canonical
A0A0B7F1Z6,canonical
A0A0B7F229,canonical
A0A0B7F3K0,canonical
A0A0B7F5A8,canonical
A0A0B7F7A3,canonical
A0A0B7F8H0,canonical
A0A0B7FCB0,canonical
A0A0B7FGN3,canonical
A0A0B7FN78,canonical
A0A0B7FQ89,canonical
A0A0B7FT97,canonical
A0A0B7FUX7,canonical
A0A0B7FUY2,canonical
A0A0B7FY08,canonical
A0A0B7G165,canonical
A0A0B7G340,canonical
A0A0B7JMD6,canonical
A0A0B7JS93,canonical
A0A0B7K4V5,canonical
A0A0B7K6S2,canonical
A0A0B7K6S7,canonical
A0A0B7K9E9,canonical
A0A0B7KA41,canonical
A0A0B7KAK2,canonical
A0A0B7KF68,canonical
A0A0B7KF87,canonical
A0A0B7KFX7,canonical
A0A0B7KHL5,canonical
A0A0C1NKB8,canonical
A0A0C2EVM1,canonical
A0A0C2EWN4,canonical
A0A0C2F7M2,canonical
A0A0C2F903,canonical
A0A0C2G9S5,canonical
A0A0C2GMT1,canonical
A0A0C2IEJ5,canonical
A0A0C2IES4,canonical
A0A0C2IMK2,canonical
A0A0C2W6Y7,canonical
A0A0C2W7D5,canonical
A0A0C2WNA9,canonical
A0A0C2WPJ7,canonical
A0A0C2WY12,canonical
A0A0C2X1R3,canonical
A0A0C2XG69,canonical
A0A0C2YBV3,canonical
A0A0C3AKS7,canonical
A0A0C3ARA1,canonical
A0A0C3ASP0,canonical
A0A0C3B3A9,canonical
A0A0C3B766,canonical
A0A0C3B7P4,canonical
A0A0C3BJQ5,canonical
A0A0C3CP60,canonical
A0A0C3CRE9,canonical
A0A0C3D1N7,canonical
A0A0C3DMT8,canonical
A0A0C3EEV9,canonical
A0A0C3F7Q7,canonical
A0A0C3FFF8,canonical
A0A0C3FR79,canonical
A0A0C3FYC4,canonical
A0A0C3GI02,canonical
A0A0C3H1J4,canonical
A0A0C3H2L9,canonical
A0A0C3LFR5,canonical
A0A0C3NCS7,canonical
A0A0C3P2N1,canonical
A0A0C3PGK8,canonical
A0A0C3Q4S8,canonical
A0A0C3QVQ1,canonical
A0A0C3RQX3,canonical
A0A0C3S3B5,canonical
A0A0C4DI87,canonical
A0A0C4DNP1,canonical
A0A0C4DNS3,canonical
A0A0C4DNU4,canonical
A0A0C4DWW6,canonical
A0A0C4DX73,canonical
A0A0C4DY08,canonical
A0A0C4DYF2,canonical
A0A0C4DYX4,canonical
A0A0C4E0P1,canonical
A0A0C4E313,canonical
A0A0C4E3X1,canonical
A0A0C4E530,canonical
A0A0C4E8A2,canonical
A0A0C4ECI4,canonical
A0A0C4ECU2,canonical
A0A0C4EFA8,canonical
A0A0C5G0L4,canonical
A0A0C9S6R6,canonical
A0A0C9SMC2,canonical
A0A0C9SUN8,canonical
A0A0C9T1I0,canonical
A0A0C9TQW6,canonical
A0A0C9TZW6,canonical
A0A0C9USP9,canonical
A0A0C9UT30,canonical
A0A0C9VHR2,canonical
A0A0C9W3M0,canonical
A0A0C9W3X0,canonical
A0A0C9W5Z2,canonical
A0A0C9WDK0,canonical
A0A0C9WXQ7,canonical
A0A0C9XE26,canonical
A0A0C9YP62,canonical
A0A0C9Z647,canonical
A0A0D0AL52,canonical
A0A0D0AMS9,canonical
A0A0D0CBB0,canonical
A0A0D0CCA2,canonical
A0A0D0CV66,canonical
A0A0D0E695,canonical
A0A0D0EB00,canonical
A0A0D0NEG3,canonical
A0A0D1CHR5,canonical
A0A0D1E6L1,canonical
A0A0D1W1D4,canonical
A0A0D1XF56,canonical
A0A0D1YF04,canonical
A0A0D1YWF9,canonical
A0A0D1YXH7,canonical
A0A0D1Z6F1,canonical
A0A0D1ZN85,canonical
A0A0D1ZTP1,canonical
