accession,trimmed_res,overall_plddt
A0A010Q293,315,96.4
A0A010Q4B9,374,96.2
A0A010QAA5,372,97.5
A0A010QHN9,365,96.2
A0A010QIY5,288,83.3
A0A010QL93,293,98.1
A0A010QPL7,324,98.1
A0A010QXZ0,342,88.2
A0A010QYY8,324,98.0
A0A010R234,339,72.5
A0A010R9A2,377,96.4
A0A010RBA2,354,96.5
A0A010RL70,376,95.8
A0A010RM53,304,98.2
A0A010RPY0,355,98.3
A0A010RQ21,365,97.0
A0A010RR72,352,74.6
A0A010RUM6,388,89.4
A0A010RV53,380,96.1
A0A010RV80,307,96.9
A0A010RY59,393,94.3
A0A010RYF3,281,96.0
A0A010S1R5,372,80.5
A0A010S6Q2,355,97.2
A0A010SFQ0,321,93.6
A0A010SKU6,395,85.1
A0A010SMB4,304,98.2
A0A010SNL7,381,97.0
A0A014N831,277,96.0
A0A014P1F1,350,97.7
A0A014P933,420,78.9
A0A014PGS4,245,88.8
A0A014PNW6,392,90.6
A0A014QX88,351,98.2
A0A015J8T7,155,57.4
A0A016RWG9,310,97.9
A0A016RXK8,310,97.7
A0A016S930,322,96.5
A0A016SJ50,344,95.2
A0A016SK14,348,94.8
A0A016T0A5,302,92.6
A0A016T1G5,355,93.5
A0A016TKY1,362,93.1
A0A016UL52,344,93.9
A0A016ULR3,316,91.7
A0A016VBJ0,353,92.7
A0A016VC89,411,95.2
A0A016VDA3,353,93.1
A0A016VE53,411,92.2
A0A016VS08,310,97.9
A0A016W0V7,353,94.4
A0A016W1G3,364,91.7
A0A016W1Z7,158,83.9
A0A016W210,216,66.6
A0A016W215,303,93.4
A0A016W255,135,83.1
A0A016W259,324,94.6
A0A016W267,76,92.5
A0A016W313,342,94.5
A0A016W316,89,82.2
A0A016W324,320,96.9
A0A016W3A4,353,92.9
A0A016W3W4,254,92.6
A0A016W3W9,76,91.5
A0A016WCE7,273,91.4
A0A016WQP8,365,89.7
A0A016WQV2,365,95.7
A0A017S513,190,87.0
A0A017SD63,357,97.2
A0A017SF68,382,92.8
A0A022QC39,331,91.2
A0A022QE60,332,96.0
A0A022QG63,325,91.7
A0A022QL39,322,96.9
A0A022R0C6,326,95.5
A0A022R0D6,286,90.5
A0A022R0D9,121,91.7
A0A022R1L2,333,93.3
A0A022R1L7,327,92.6
A0A022R3H9,325,90.2
A0A022R5P3,327,92.3
A0A022WGP6,355,96.9
A0A022Y7J2,355,96.8
A0A023GU59,330,96.3
A0A023PMD2,330,95.7
A0A023PN01,330,96.0
A0A023PNV8,330,95.4
A0A023PP81,296,96.6
A0A023WF78,132,91.6
A0A023WF84,132,88.6
A0A023WF90,133,87.3
A0A023WF96,132,93.9
A0A023WFC0,145,91.1
A0A023WFC4,132,88.8
A0A023WFC9,145,80.9
A0A023WFD4,132,94.5
A0A023WFD9,132,93.1
A0A023WFR6,145,91.1
A0A023WFS1,132,88.0
A0A023WFS6,132,86.8
A0A023WFT2,132,92.4
A0A023WGB6,145,91.1
A0A023WGB9,132,87.2
A0A023WGC5,132,93.9
A0A023WGD1,125,85.9
A0A023WGD7,147,88.9
A0A023WGM6,132,87.3
A0A023WGN1,132,93.2
A0A023WGN6,132,94.5
A0A023WGP1,147,90.9
A0A023WGP6,134,92.5
A0A024CHG7,417,90.5
A0A024CHH0,192,97.2
A0A024CHU4,358,93.3
A0A024CHU9,324,89.3
A0A024CI03,331,91.2
A0A024CI05,208,93.6
A0A024CIJ0,278,96.6
A0A024CIJ4,348,94.4
A0A024CIJ8,257,95.4
A0A024CJP7,304,96.5
A0A024CJQ0,252,95.7
A0A024DBG7,452,94.6
