keyword	Ala221_L	Arg209_C	Arg209_E	Arg209_H	Arg209_P	Asn205_F	Asn205_R	Asn205_V	Glu195_A	Glu195_D	Glu195_F	Glu195_I	Glu195_K	Glu195_N	Glu195_R	Glu195_S	Glu195_Y	Gly46_A	Gly46_D	Gly46_H	Gly46_I	Gly46_L	Gly46_T	Gly46_Y	His230_F	His230_I	His230_M	His230_T	His230_V	His230_Y	Phe227_V	Phe65_I	Phe65_Y	Trp68_V	Val218_E	Val218_R	Val218_S	Val218_Y
(cut1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0
3-dehydroquinate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-deoxy-7-phosphoheptulonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4-carboxymuconolactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
6-phospho-beta-glucosidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetyl-coa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
acetyltransferase	0	0	2	0	0	0	6	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	2	0	0	1	0
acid	0	4	3	0	0	0	6	0	0	2	0	2	0	1	0	0	0	4	0	0	3	0	1	1	3	2	0	0	2	7	1	0	0	1	0	1	9	1
adaptor	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alcohol	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	5	0	0	0	2	2	0	1	1	5	0	0	0	0	0	0	3	0
aldo/keto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1
alpha	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	6	0	8	3	0	0	1	0	1	0	0	0	1	0	2	0
alpha/beta	0	1	0	0	0	0	0	0	0	4	0	3	0	0	0	0	1	1	1	0	0	2	1	2	4	4	0	0	1	0	0	1	2	0	5	2	11	1
amino	0	5	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	0	2	0	0	1	3	1	0	0	0	4	1	0	0	0	0	1	4	1
anthranilate	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
antiporter,	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0
asnc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
aspartate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0
assembly	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
atp-binding	0	2	0	3	0	0	0	0	0	4	0	5	1	3	0	0	0	2	0	1	11	8	0	11	10	4	0	0	4	12	9	0	4	0	1	8	8	3
atp-dependent	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
atpase	0	6	2	0	0	1	3	0	0	3	0	7	0	0	0	0	0	1	0	0	4	0	3	3	8	2	1	0	1	8	6	0	2	0	0	0	15	1
beta	0	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	8	2	1	1	0	0	0	0	1	0	0	0	0	1	1	0
beta-glucanase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
biopolymer	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
biosynthesis	0	2	1	0	0	0	7	0	1	4	0	5	0	0	0	0	0	4	0	0	3	2	6	29	5	4	0	0	11	1	2	0	3	1	0	2	9	1
