product	n_queries	freq_all	freq_with_data	total
cytochrome p450	15	0.135	0.246	16
s-adenosyl-l-methionine-dependent methyltransferase	13	0.117	0.213	13
mfs general substrate transporter	9	0.081	0.148	12
histidinol dehydrogenase	9	0.081	0.148	9
short-chain dehydrogenase	9	0.081	0.148	9
integral membrane protein	9	0.081	0.148	9
glycoside hydrolase	9	0.081	0.148	9
asst-domain-containing protein	9	0.081	0.148	9
adenylate cyclase	8	0.072	0.131	8
amino acid permease/ slc12a domain-containing protein	8	0.072	0.131	8
threonyl/alanyl trna synthetase	8	0.072	0.131	8
glycosyl hydrolase	8	0.072	0.131	8
bacterial alpha-l-rhamnosidase-domain-containing protein	8	0.072	0.131	8
alpha/beta-hydrolase	7	0.063	0.115	7
bicupin, oxalate decarboxylase/oxidase	7	0.063	0.115	7
subtilisin-like protein	7	0.063	0.115	7
nad(p)-binding protein	7	0.063	0.115	9
arylsulphatase	7	0.063	0.115	7
allantoate permease	7	0.063	0.115	7
pyruvate/phosphoenolpyruvate kinase-like domain-containing protein	7	0.063	0.115	7
clavaminate synthase-like protein	6	0.054	0.098	6
soluble epoxide hydrolase	6	0.054	0.098	6
2-methylcitrate dehydratase prpd	6	0.054	0.098	6
protein serine/threonine phosphatase 2c	6	0.054	0.098	6
isoflavone reductase family protein	6	0.054	0.098	6
aconitase family protein	6	0.054	0.098	6
heterokaryon incompatibility protein-domain-containing protein	6	0.054	0.098	6
p-loop containing nucleoside triphosphate hydrolase protein	6	0.054	0.098	7
dihydroxy-acid dehydratase	5	0.045	0.082	5
putative nadph dehydrogenase	5	0.045	0.082	5
lipase	5	0.045	0.082	5
macro domain-like protein	5	0.045	0.082	5
putative aspartic-type endopeptidase	5	0.045	0.082	5
amino acid transporter	5	0.045	0.082	5
purine and uridine phosphorylase	5	0.045	0.082	5
sarcosine oxidase	5	0.045	0.082	5
transmembrane protein 14	5	0.045	0.082	5
carboxyphosphonoenolpyruvate mutase	5	0.045	0.082	5
mannan endo-1,4-beta-mannosidase a precursor	5	0.045	0.082	5
duf500-domain-containing protein	5	0.045	0.082	5
c6 transcription factor	4	0.036	0.066	4
alfa-l-rhamnosidase	4	0.036	0.066	4
o-methyltransferase	4	0.036	0.066	4
glycosyl hydrolase family 43 protein	4	0.036	0.066	4
putative pantothenate transporter	4	0.036	0.066	4
putative arabinosidase	4	0.036	0.066	4
synaptic vesicle transporter	4	0.036	0.066	4
aspergillopepsin	4	0.036	0.066	4
fad dependent oxidoreductase	4	0.036	0.066	4
porphyromonas-type peptidyl-arginine deiminase	3	0.027	0.049	3
n-alkane-inducible cytochrome p450	3	0.027	0.049	3
rta1 domain protein	3	0.027	0.049	3
nitroreductase family protein	3	0.027	0.049	3
integral membrane protein (pth11)	3	0.027	0.049	3
atp-binding cassette transporter	3	0.027	0.049	3
alanyl-trna synthetase	3	0.027	0.049	3
putative amino acid transporter	3	0.027	0.049	3
duf500 and uba/ts-n domain protein	3	0.027	0.049	3
alpha-amylase	3	0.027	0.049	3
phosphoenolpyruvate/pyruvate domain-containing protein	3	0.027	0.049	3
alpha/beta hydrolase protein	3	0.027	0.049	3
fad/nad(p)-binding domain-containing protein	3	0.027	0.049	3
rta1 like protein-domain-containing protein	3	0.027	0.049	3
dna-dependent atpase mgs1	3	0.027	0.049	3
formamidase	3	0.027	0.049	3
peptidyl-prolyl cis-trans isomerase d	3	0.027	0.049	3
secreted protein	3	0.027	0.049	3
d-aminoacyl-trna deacylase	3	0.027	0.049	3
fmn-dependent dehydrogenase family protein	2	0.018	0.033	2
putative isocitrate lyase/malate synthase	2	0.018	0.033	2
putative c6 finger domain protein	2	0.018	0.033	2
aspergillopepsin-2	2	0.018	0.033	2
mannan endo-1,4-beta-mannosidase man26a	2	0.018	0.033	2
putative sensor histidine kinase/response regulator	2	0.018	0.033	2
arabinosidase	2	0.018	0.033	2
c2h2 type zinc finger domain protein	2	0.018	0.033	2
wd40 repeat-like protein	2	0.018	0.033	2
aconitase iron-sulfur domain-containing protein	2	0.018	0.033	2
alpha-1,3-glucan synthase	2	0.018	0.033	2
glutathione s-transferase	2	0.018	0.033	2
ankyrin	2	0.018	0.033	2
mfs transporter	2	0.018	0.033	2
fmn-dependent dehydrogenase	2	0.018	0.033	2
atp-dependent rna helicase ddx31/dbp7	2	0.018	0.033	4
hypothetical predicted protein	2	0.018	0.033	36
tripeptidyl-peptidase sed2	2	0.018	0.033	2
acetyl-coenzyme a synthetase 2	2	0.018	0.033	2
slightly ste11-like protein	2	0.018	0.033	2
arylformamidase	2	0.018	0.033	2
laccase	2	0.018	0.033	2
efflux pump dotc	2	0.018	0.033	2
tim-barrel-protein domain-containing protein	2	0.018	0.033	2
major facilitator superfamily domain-containing protein	2	0.018	0.033	5
putative synaptic vesicle transporter svop	1	0.009	0.016	1
putative ccr4-not transcription complex, subunit 3	1	0.009	0.016	1
putative formamidase fmds	1	0.009	0.016	1
putative transmembrane protein usgs	1	0.009	0.016	1
putative d-tyrosyl-trna(tyr) deacylase	1	0.009	0.016	1
putative nuclear protein	1	0.009	0.016	1
putative hsp90 co-chaperone cpr7/cyclophilin	1	0.009	0.016	1
putative caib/baif family enzyme	1	0.009	0.016	1
putative fructosyl amine:oxygen oxidoreductase	1	0.009	0.016	1
putative btb domain transcription factor	1	0.009	0.016	1
probable glutathione s-transferase ure2-like	1	0.009	0.016	1
related to acyl-coa dehydrogenase	1	0.009	0.016	1
related to enoyl-coa hydratase/isomerase	1	0.009	0.016	1
related to steroid monooxygenase	1	0.009	0.016	1
related to 4-coumarate-coa ligase	1	0.009	0.016	1
related to lipase/esterase	1	0.009	0.016	1
related to trichothecene 3-o-acetyltransferase	1	0.009	0.016	1
related to negative acting factor	1	0.009	0.016	1
related to phosphatidylinositol phosphate phosphatase	1	0.009	0.016	1
glycoside hydrolase family 32 protein	1	0.009	0.016	1
putative multidrug resistance protein	1	0.009	0.016	1
nodulation protein l	1	0.009	0.016	1
isocitrate lyase/malate synthase	1	0.009	0.016	1
amidase signature enzyme	1	0.009	0.016	1
parp-domain-containing protein	1	0.009	0.016	1
drug resistance transporter	1	0.009	0.016	1
glycoside hydrolase family 2 protein	1	0.009	0.016	1
ras-domain-containing protein	1	0.009	0.016	1
gins complex, psf3 component	1	0.009	0.016	1
integral membrane protein duf92-domain-containing protein	1	0.009	0.016	1
fungal-specific transcription factor domain-domain-containing protein	1	0.009	0.016	1
glycoside hydrolase superfamily	1	0.009	0.016	1
cytochrome protein	1	0.009	0.016	1
groes-like protein	1	0.009	0.016	1
aromatic prenyltransferase	1	0.009	0.016	1
fad-binding domain-containing protein	1	0.009	0.016	1
ribokinase-like protein	1	0.009	0.016	1
oligopeptide transporter	1	0.009	0.016	1
opt superfamily oligopeptide transporter	1	0.009	0.016	1
acid protease	1	0.009	0.016	1
negative transcriptional regulator	1	0.009	0.016	1
putative cholinesterase	1	0.009	0.016	1
polyketide synthase	1	0.009	0.016	1
radh flavin-dependent halogenase	1	0.009	0.016	1
ketoacyl-synt-domain-containing protein	1	0.009	0.016	1
putative ferulic acid esterase/feruloyl esterase	1	0.009	0.016	1
carboxylesterase	1	0.009	0.016	1
tannase and feruloyl esterase	1	0.009	0.016	1
12-oxophytodienoate reductase	1	0.009	0.016	1
tmem14 protein homolog yjr085c	1	0.009	0.016	1
regulatory protein leu3	1	0.009	0.016	1
n amino acid transport system protein	1	0.009	0.016	1
l-pipecolate oxidase	1	0.009	0.016	1
carboxyvinyl-carboxyphosphonate phosphorylmutase	1	0.009	0.016	1
upf0619 gpi-anchored membrane protein afua_3g00880	1	0.009	0.016	1
tetracycline resistance protein, class a	1	0.009	0.016	1
uncharacterized transporter c1039.04	1	0.009	0.016	1
nonribosomal peptide synthetase 8	1	0.009	0.016	1
arylsulfatase	1	0.009	0.016	1
alpha-amylase a type-3	1	0.009	0.016	1
putative aconitate hydratase	1	0.009	0.016	1
cell wall alpha-1,3-glucan synthase ags1	1	0.009	0.016	1
acetyl-coa synthetase-like protein	1	0.009	0.016	1
o-methyltransferase-domain-containing protein	1	0.009	0.016	1
protease s8 tripeptidyl peptidase i	1	0.009	0.016	1
oxalate decarboxylase oxdc	1	0.009	0.016	1
pyrroline-5-carboxylate reductase dimerization-domain-containing protein	1	0.009	0.016	1
nitroreductase-like protein	1	0.009	0.016	1
glucooligosaccharide oxidase	1	0.009	0.016	1
tannase/feruloyl esterase	1	0.009	0.016	1
fmn-dependent dehydrogenase-domain-containing protein	1	0.009	0.016	1
dihydroxy-acid/6-phosphogluconate dehydratase	1	0.009	0.016	1
het-domain-containing protein	1	0.009	0.016	1
putative golgi integral membrane protein	1	0.009	0.016	1
hbrb-like protein	1	0.009	0.016	1
40s ribosomal protein s8e	1	0.009	0.016	1
rxt3-domain-containing protein	1	0.009	0.016	1
ctr copper transporter-like protein	1	0.009	0.016	1
