accession	genus	species	n_neighbours	n_ustya	closest_ustya_offset	has_TF	has_transporter	has_P450	has_OMT	bgc_context
A0A010RV53	Colletotrichum	Colletotrichum fioriniae	20	0		0	1	0	0	none
A0A066XSE1	Colletotrichum	Colletotrichum sublineola	20	0		0	1	0	0	none
A0A135V8Q3	Colletotrichum	Colletotrichum salicis	20	0		0	1	0	0	none
A0A166M367	Colletotrichum	Colletotrichum incanum	20	0		0	1	0	0	none
A0A166U3J7	Colletotrichum	Colletotrichum tofieldiae	18	0		0	1	0	0	none
A0A1B7YR08	Colletotrichum	Colletotrichum higginsianum	20	0		0	1	0	0	none
A0A1G4AYJ9	Colletotrichum	Colletotrichum orchidophilum	20	0		0	1	0	0	none
A0A1Q8RG93	Colletotrichum	Colletotrichum chlorophyti	20	0		1	0	0	0	none
A0A484G057	Colletotrichum	Colletotrichum orbiculare	20	0		0	1	0	0	none
A0A4R8PT74	Colletotrichum	Colletotrichum spinosum	20	0		0	1	0	0	none
A0A4R8REE8	Colletotrichum	Colletotrichum trifolii	13	0		0	0	0	0	none
A0A5Q4BZL7	Colletotrichum	Colletotrichum shisoi	13	0		0	1	0	0	none
A0A7J6J5I0	Colletotrichum	Colletotrichum fructicola	20	0		0	1	1	0	BGC_accessory
A0A8H3W2Z1	Colletotrichum	Colletotrichum asianum	20	0		0	1	0	0	none
A0A8H4CPR6	Colletotrichum	Colletotrichum gloeosporioides	20	0		0	1	1	0	BGC_accessory
A0A8H6MX70	Colletotrichum	Colletotrichum sojae	20	0		0	0	0	0	none
A0A9P5F1P8	Colletotrichum	Colletotrichum siamense	20	0		0	1	1	0	BGC_accessory
A0A9P6HYB5	Colletotrichum	Colletotrichum karsti	20	0		0	1	1	0	BGC_accessory
A0A9P7R9D2	Colletotrichum	Colletotrichum scovillei	16	0		0	1	0	0	none
A0A9Q0B6Y1	Colletotrichum	Colletotrichum abscissum	20	0		0	1	1	1	BGC_accessory
A0A9Q8WCM4	Colletotrichum	Colletotrichum lupini	20	0		0	1	0	0	none
A0A9W4W8U2	Colletotrichum	Colletotrichum noveboracense	11	0		0	1	0	0	none
A0AA37GRR7	Colletotrichum	Colletotrichum liriopes	20	0		0	1	0	0	none
A0AA37P8W3	Colletotrichum	Colletotrichum spaethianum	20	0		0	1	0	0	none
A0AAD8UFY3	Colletotrichum	Colletotrichum acutatum	20	0		0	1	0	0	none
A0AAD9ARY9	Colletotrichum	Colletotrichum chrysophilum	18	0		0	1	0	0	none
A0AAD9HKI6	Colletotrichum	Colletotrichum zoysiae	20	0		0	1	0	0	none
A0AAE0D8U4	Colletotrichum	Colletotrichum kahawae	20	0		0	1	0	0	none
A0AAI9XSF2	Colletotrichum	Colletotrichum melonis	20	0		0	0	0	0	none
A0AAI9XYD0	Colletotrichum	Colletotrichum cuscutae	20	0		0	1	0	0	none
A0AAJ0A0G4	Colletotrichum	Colletotrichum phormii	20	0		0	0	0	0	none
A0AAJ0DVU7	Colletotrichum	Colletotrichum costaricense	20	0		0	1	0	1	BGC_accessory
A0AAJ0EU37	Colletotrichum	Colletotrichum godetiae	20	0		0	1	0	1	BGC_accessory
A0AAV9SY11	Colletotrichum	Colletotrichum tabaci	20	0		0	1	0	0	none
A0AAX4I0H5	Colletotrichum	Colletotrichum destructivum	20	0		0	0	0	0	none
A0ABQ9PND2	Colletotrichum	Colletotrichum limetticola	16	0		0	1	0	0	none
A0ABQ9QHE7	Colletotrichum	Colletotrichum tamarilloi	7	0		0	0	0	0	none
A0ABQ9T229	Colletotrichum	Colletotrichum paranaense	20	0		0	1	0	0	none
A0ABR2W3C9	Basidiobolus	Basidiobolus ranarum	10	0		0	0	0	0	none
A0ACC3YJX9	Colletotrichum	Colletotrichum truncatum	20	0		0	1	0	0	none
W7F1D8	Bipolaris	Bipolaris victoriae	10	0		0	0	0	0	none
