protein_id	pfam
GAA33452	PF04084|Origin recognition complex subunit 2 RecA-like domain;PF24882|ORC2 WHD
GAA48879	
GAA48880	PF00008|EGF-like domain;PF00028|Cadherin domain
GAA48881	PF01198|Ribosomal protein L31e
GAA48882	PF00264|Common central domain of tyrosinase
GAA48883	PF00264|Common central domain of tyrosinase
GAA48884	
GAA48885	
GAA48886	PF00503|G-protein alpha subunit
GAA48887	
GAA48888	
GAA48889	
GAA48890	
GAA48891	
KAG5451571	
KAG5451572	PF01602|Adaptin N terminal region;PF07718|Coatomer beta C-terminal region;PF14806|Coatomer beta subunit appendage platform
KAG5451573	
KAG5451574	PF03184|DDE superfamily endonuclease;PF03221|Tc5 transposase DNA-binding domain;PF04218|CENP-B N-terminal DNA-binding domain
KAG5451575	PF06423|GWT1
KAG5451576	
KAG5451577	PF00481|Protein phosphatase 2C
KAG5451578	PF00264|Common central domain of tyrosinase
KAG5451580	PF00264|Common central domain of tyrosinase
KAG5451581	PF00264|Common central domain of tyrosinase
KAG5451582	PF01198|Ribosomal protein L31e
KAG5451583	PF00028|Cadherin domain
KAG5451584	PF00008|EGF-like domain;PF12661|Human growth factor-like EGF
KAG5451585	
KAG5451586	
KAG5451587	PF04084|Origin recognition complex subunit 2 RecA-like domain;PF24882|ORC2 WHD
KAG5451588	
KAG5451589	
KAG5451590	PF00023|Ankyrin repeat
KAG5451591	PF00104|Ligand-binding domain of nuclear hormone receptor;PF00105|Double treble clef zinc finger, C4 type
OON23205	PF00008|EGF-like domain;PF00028|Cadherin domain
OON23206	PF00028|Cadherin domain
OON23207	PF00028|Cadherin domain
OON23208	PF00028|Cadherin domain
OON23209	PF01198|Ribosomal protein L31e
OON23211	PF00264|Common central domain of tyrosinase
OON23212	PF00264|Common central domain of tyrosinase
OON23213	PF00264|Common central domain of tyrosinase
OON23214	
TGZ60503	PF00104|Ligand-binding domain of nuclear hormone receptor;PF00105|Double treble clef zinc finger, C4 type
TGZ60504	PF13637|Ankyrin repeats (many copies)
TGZ60505	
TGZ60506	
TGZ60507	PF04084|Origin recognition complex subunit 2 RecA-like domain;PF24882|ORC2 WHD
TGZ60508	PF00008|EGF-like domain;PF00028|Cadherin domain
TGZ60509	PF00008|EGF-like domain;PF00028|Cadherin domain
TGZ60510	PF01198|Ribosomal protein L31e
TGZ60511	PF00264|Common central domain of tyrosinase
TGZ60512	PF00264|Common central domain of tyrosinase
TGZ60513	PF00264|Common central domain of tyrosinase
TGZ60514	PF00264|Common central domain of tyrosinase
TGZ60515	PF00264|Common central domain of tyrosinase
TGZ60516	PF00264|Common central domain of tyrosinase
TGZ60517	PF00264|Common central domain of tyrosinase
TGZ60518	PF00264|Common central domain of tyrosinase
TGZ60519	PF00264|Common central domain of tyrosinase
TGZ60520	PF00264|Common central domain of tyrosinase
TGZ60521	
TGZ60522	PF00481|Protein phosphatase 2C
