protein_id	pfam
BAE66390	PF00005|ABC transporter
BAE66391	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF11951|Fungal specific transcription factor domain
BAE66392	PF13424|Tetratricopeptide repeat
BAE66393	PF00067|Cytochrome P450
BAE66394	PF20684|Fungal rhodopsin domain
BAE66395	PF00891|O-methyltransferase domain;PF08100|O-methyltransferase dimerisation domain
BAE66396	PF14388|Domain of unknown function (DUF4419)
BAE66397	PF14269|Arylsulfotransferase (ASST)
BAE66398	
BAE66399	PF06985|Heterokaryon incompatibility protein (HET);PF26640|Domain of unknown function (DUF8212)
BAE66401	
BAE66402	
BAE66403	PF05592|Bacterial alpha-L-rhamnosidase concanavalin-like domain;PF08531|Alpha-L-rhamnosidase N-terminal domain;PF17389|Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain;PF17390|Bacterial alpha-L-rhamnosidase C-terminal domain;PF25788|Rha78A-like, N-terminal immunoglobulin domain
BAE66404	PF04616|Glycosyl hydrolases family 43;PF22704|Alpha-galactosidase, CBM13 domain
BAE66405	PF07973|Threonyl and Alanyl tRNA synthetase second additional domain
BAE66406	PF00324|Amino acid permease
BAE66407	PF04371|Porphyromonas-type peptidyl-arginine deiminase
BAE66408	PF13714|Phosphoenolpyruvate phosphomutase
BAE66409	PF00400|WD domain, G-beta repeat
BAE66410	
BCS01755	
BCS01756	PF00106|short chain dehydrogenase
BCS01757	
BCS01758	PF02156|Glycosyl hydrolase family 26
BCS01759	
BCS01760	PF00172|Fungal Zn(2)-Cys(6) binuclear cluster domain;PF04082|Fungal specific transcription factor domain
BCS01761	PF00330|Aconitase family (aconitate hydratase);PF00694|Aconitase C-terminal domain
BCS01762	PF13714|Phosphoenolpyruvate phosphomutase
BCS01763	PF03647|Transmembrane proteins 14C
BCS01764	PF01828|Peptidase A4 family
BCS01766	
BCS01767	
BCS01768	PF07690|Major Facilitator Superfamily
BCS01769	PF07690|Major Facilitator Superfamily
BCS01770	PF01266|FAD dependent oxidoreductase
BCS01771	PF00884|Sulfatase
BCS01772	PF19271|Nis1 family
BCS01773	PF01490|Transmembrane amino acid transporter protein
BCS01774	
BCS01775	
CAC5362303	PF00135|Carboxylesterase family
CAC5362305	PF00085|Thioredoxin
CAC5362306	
CAC5362308	
CAC5362309	PF20694|TRADD-like N-terminal domain
CAC5362311	
CAC5362312	
CAG8954766	PF07933|Protein of unknown function (DUF1681)
CAG8954767	PF01008|Initiation factor 2 subunit family
CAG8954768	PF01150|GDA1/CD39 (nucleoside phosphatase) family
CAG8954769	PF03870|RNA polymerase Rpb8
CAG8954770	PF05625|PAXNEB protein
CAG8954771	
CAG8954772	PF05603|Hikeshi-like, N-terminal domain;PF21057|Hikeshi-like, C-terminal domain
CAG8954773	PF00293|NUDIX domain;PF15916|Domain of unknown function (DUF4743)
CAG8954774	PF02037|SAP domain
CAG8954775	PF04082|Fungal specific transcription factor domain
CAG8954777	
CAG8954778	
CAG8954779	PF01974|tRNA intron endonuclease, catalytic C-terminal domain;PF26577|TSEN34-like, N-terminal domain
CAG8954780	PF13920|Zinc finger, C3HC4 type (RING finger)
CAG8954781	
CAG8954782	
CAG8954783	
CAG8954784	PF00995|Sec1 family
CAG8954785	PF20566|eIF4E-associated protein
CAG8954786	PF11707|Ribosome 60S biogenesis N-terminal;PF16201|Nucleolar pre-ribosomal-associated protein 1;PF26140|URB1, central HEAT repeat domain
CAI6303043	PF00023|Ankyrin repeat;PF01544|CorA-like Mg2+ transporter protein;PF12796|Ankyrin repeats (3 copies)
CAI6303074	PF09286|Pro-kumamolisin, activation domain
CAI6303104	
CAI6303132	
CAI6303163	
CAI6303194	
CAI6303225	PF04488|Glycosyltransferase sugar-binding region containing DXD motif
CAI6303256	
CAI6303272	
CAI6303303	
CAI6303359	PF00703|Glycosyl hydrolases family 2;PF02836|Glycosyl hydrolases family 2, TIM barrel domain;PF02837|Glycosyl hydrolases family 2, sugar binding domain;PF16355|Domain of unknown function (DUF4982);PF18565|Glycoside hydrolase family 2 C-terminal domain 5
CAI6303389	PF01565|FAD binding domain;PF04030|D-arabinono-1,4-lactone oxidase
CAI6303427	PF02566|OsmC-like protein
CAI6303458	PF03595|Voltage-dependent anion channel
CAI6303486	
CAI6303515	
CAI6303542	
CAI6303570	PF03443|Auxiliary Activity family 9 (formerly GH61)
CAI6303599	PF20684|Fungal rhodopsin domain
CAI6303627	PF00006|ATP synthase alpha/beta family, nucleotide-binding domain;PF02874|ATP synthase alpha/beta family, beta-barrel domain;PF16886|ATPsynthase alpha/beta subunit barrel-sandwich domain;PF22919|C-terminal domain of V and A type ATP synthase
CAK42644	PF00884|Sulfatase
CAK42645	PF01266|FAD dependent oxidoreductase
CAK42646	PF07690|Major Facilitator Superfamily
CAK42647	PF07690|Major Facilitator Superfamily
CAK42648	
CAK42649	
CAK42650	
CAK42651	
CAK42652	
CAK42653	
CAK42655	
CAK42656	
CAK42657	PF01828|Peptidase A4 family
CAK42658	PF03647|Transmembrane proteins 14C
CAK42659	PF13714|Phosphoenolpyruvate phosphomutase
CAK42660	PF00330|Aconitase family (aconitate hydratase);PF00694|Aconitase C-terminal domain
CAK42661	PF04082|Fungal specific transcription factor domain
CAK42662	
CAK42663	PF02156|Glycosyl hydrolase family 26
CAK42664	PF00026|Eukaryotic aspartyl protease
CEJ57029	
CEJ57030	
