accession,best_ce_cov,best_ce_rmsd,best_ce_naln,best_ce_ref
A0A010RV53,0.889,3.37,256,ref_PmTYR
A0A010S1R5,0.855,4.28,224,ref_1JS8_squid
A0A014N831,0.861,3.17,248,ref_PmTYR
A0A016W215,0.889,3.08,256,ref_PmTYR
A0A016W324,0.889,3.06,256,ref_PmTYR
A0A023GU59,0.991,0.82,336,ref_5CE9_Jregia
A0A024UGQ1,0.916,4.73,240,ref_1JS8_squid
A0A061GFI2,0.905,0.97,304,ref_1BT3_Ibatatas
A0A066RUA7,0.885,3.31,232,ref_1JS8_squid
A0A066X3Q1,0.885,3.48,232,ref_1JS8_squid
A0A066XSE1,0.889,3.38,256,ref_PmTYR
A0A066Y1V3,0.916,3.38,240,ref_1JS8_squid
A0A067CT24,0.916,4.45,240,ref_1JS8_squid
A0A067CZT6,0.916,3.66,240,ref_1JS8_squid
A0A072Q6Y5,0.778,3.59,224,ref_PmTYR
A0A074RWE6,0.885,4.10,232,ref_1JS8_squid
A0A074S9M8,0.855,3.37,224,ref_1JS8_squid
A0A074SDG0,0.885,3.61,232,ref_1JS8_squid
A0A074VI76,0.548,5.28,184,ref_1BT3_Ibatatas
A0A074W682,0.889,3.29,256,ref_PmTYR
A0A074W6F3,0.667,4.49,192,ref_PmTYR
A0A074XND5,0.566,5.27,192,ref_5CE9_Jregia
A0A074YQS1,0.733,4.52,192,ref_1JS8_squid
A0A077YX65,0.833,3.29,240,ref_PmTYR
A0A077ZGT3,0.861,3.03,248,ref_PmTYR
A0A080ZC48,0.885,4.02,232,ref_1JS8_squid
A0A080ZC49,0.794,4.77,208,ref_1JS8_squid
A0A080ZVP9,0.916,4.07,240,ref_1JS8_squid
A0A084AJL7,0.885,4.13,232,ref_1JS8_squid
A0A084GDW0,0.885,3.46,232,ref_1JS8_squid
A0A084R1I5,0.885,3.51,232,ref_1JS8_squid
A0A085M8H3,0.861,3.06,248,ref_PmTYR
A0A086T0Z5,0.912,3.05,320,ref_2Y9W_Abisporus
A0A087UWG8,0.824,3.56,216,ref_1JS8_squid
A0A091EJM4,0.975,1.39,352,ref_5M8L_human
A0A091IY37,0.931,1.74,336,ref_5M8L_human
A0A091L9M2,0.931,1.77,336,ref_5M8L_human
A0A091TMG5,0.944,3.08,272,ref_PmTYR
A0A093CQX0,0.917,3.15,264,ref_PmTYR
A0A093H736,0.975,1.24,352,ref_5M8L_human
A0A093JA04,0.931,1.77,336,ref_5M8L_human
A0A093R256,0.944,2.92,272,ref_PmTYR
A0A099ZQM2,0.975,1.24,352,ref_5M8L_human
A0A0A2VDR5,0.885,4.01,232,ref_1JS8_squid
A0A0A2X4S5,0.885,4.85,232,ref_1JS8_squid
