accession,status,af3_cu_dist,n_predicted_cu,predicted_cu_dist,cu_dist_diff,n_all_metals,cu1_prob,cu2_prob,error
A0A2R6XDH9,ok,4.01,3,2.67,-1.34,23,0.850,0.830,
A0A2T4GS03,ok,4.22,2,3.65,-0.57,28,0.960,0.920,
A0A2T9Z3X5,ok,4.05,5,3.20,-0.85,31,0.800,0.800,
A0A2T9ZGW2,ok,3.81,5,3.65,-0.16,28,0.970,0.970,
A0A2U1JE60,ok,3.83,4,3.18,-0.65,29,0.730,0.720,
A0A2Y9EW91,ok,3.81,3,3.58,-0.23,28,0.980,0.860,
A0A368GCF5,ok,4.23,2,3.56,-0.67,31,0.660,0.600,
A0A395RTE0,ok,4.21,3,2.98,-1.23,32,0.890,0.790,
A0A397AP35,ok,4.21,2,2.57,-1.64,13,0.840,0.740,
A0A3B3YLN6,ok,3.84,2,3.68,-0.16,30,0.840,0.830,
