accession	organism_id	lineage	nucleotide_acc	protein_id	molecule_type	n_embl_refs
A0A010Q4B9	1445577		JARH01000957	EXF74702.1	Genomic_DNA	1
A0A010QAA5	1445577		JARH01000792	EXF76797.1	Genomic_DNA	1
A0A010QYY8	1445577		JARH01001073	EXF73216.1	Genomic_DNA	1
A0A010R9A2	1445577		JARH01000997	EXF74289.1	Genomic_DNA	1
A0A010RL70	1445577		JARH01000616	EXF78699.1	Genomic_DNA	1
A0A010RM53	1445577		JARH01001073	EXF73218.1	Genomic_DNA	1
A0A010RYF3	1445577		JARH01000074	EXF85656.1	Genomic_DNA	1
A0A010SFQ0	1445577		JARH01000224	EXF83608.1	Genomic_DNA	1
A0A010SMB4	1445577		JARH01000041	EXF86048.1	Genomic_DNA	1
A0A017SD63	1388766		KK088425	EYE94741.1	Genomic_DNA	1
A0A024GPM3	65357		CAIX01000246	CCI48749.1	Genomic_DNA	1
A0A024TEL4	157072		KI914004	ETV92031.1	Genomic_DNA	1
A0A024TMR4	157072		KI913981	ETV95415.1	Genomic_DNA	1
A0A024TN69	157072		KI913981	ETV95419.1	Genomic_DNA	1
A0A024UNS3	157072		KI913954	ETW08101.1	Genomic_DNA	1
A0A024UP64	157072		KI913954	ETW08099.1	Genomic_DNA	1
A0A024URD5	157072		KI913953	ETW08750.1	Genomic_DNA	1
A0A059F260	1288291		KK365144	KCZ81378.1	Genomic_DNA	1
A0A059TZU2	30521		KF790930	AHZ45543.1	Genomic_DNA	1
A0A059U1P9	30521		KF790931	AHZ45544.1	Genomic_DNA	1
A0A060WMQ6	8022		FR904626	CDQ68411.1	Genomic_DNA	1
A0A060WUY0	8022		FR904626	CDQ68410.1	Genomic_DNA	1
A0A060X1G5	8022		FR904753	CDQ71169.1	Genomic_DNA	1
A0A060XL10	8022		FR905279	CDQ77999.1	Genomic_DNA	1
A0A066X6L4	1173701		JMSE01001414	KDN61396.1	Genomic_DNA	1
A0A066XQD0	1173701		JMSE01000749	KDN67966.1	Genomic_DNA	1
A0A067BLT8	695850		KK583596	KDO17665.1	Genomic_DNA	1
A0A067BTT5	695850		KK583596	KDO17666.1	Genomic_DNA	1
A0A067BUS0	695850		KK583272	KDO22239.1	Genomic_DNA	1
A0A067BX73	695850		KK583287	KDO21450.1	Genomic_DNA	1
A0A067BZH5	695850		KK583272	KDO22240.1	Genomic_DNA	1
A0A067C631	695850		KK583272	KDO22242.1	Genomic_DNA	1
A0A067CPX4	695850		KK583198	KDO31285.1	Genomic_DNA	1
A0A067CXC8	695850		KK583190	KDO35143.1	Genomic_DNA	1
A0A067D814	695850		KK583190	KDO35142.1	Genomic_DNA	1
A0A067MC03	930990		KL198044	KDQ13278.1	Genomic_DNA	1
A0A067MC09	930990		KL198044	KDQ13283.1	Genomic_DNA	1
A0A067TCE7	685588		KL142372	KDR80002.1	Genomic_DNA	1
A0A072P5W0	1182545		AMGV01000009	KEF54663.1	Genomic_DNA	1
A0A072P8W8	1182545		AMGV01000006	KEF56271.1	Genomic_DNA	1
A0A072PCR1	1182545		AMGV01000014	KEF53335.1	Genomic_DNA	1
A0A074RCL1	1423351		AZST01002585	KEP44906.1	Genomic_DNA	1
A0A074RLS0	1423351		AZST01000666	KEP47734.1	Genomic_DNA	1
A0A074RSM2	1423351		AZST01000537	KEP48300.1	Genomic_DNA	1
