name	majority_kingdom	frac_Fungi	frac_Metazoa	frac_Bacteria	frac_Viridiplantae	frac_Other_Eukaryota	frac_Unknown
A0A6G1HLY0_taxID_703511_model_A	Fungi	0.5850	0.2394	0.0825	0.0020	0.0372	0.0539
A0AA88AFA7_taxID_3494_model_A	Viridiplantae	0.0003	0.0003	0.1867	0.7838	0.0000	0.0290
A0A8S3THT1_taxID_6550_model	Metazoa	0.0000	0.9559	0.0000	0.0000	0.0000	0.0441
A0AAN5XIX5_taxID_1396_model_A	Fungi	0.4323	0.0710	0.3419	0.0065	0.0000	0.1484
A0AAF3FHG4_taxID_2138241_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A2K8T4N2_taxID_2038116_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A841H669_taxID_1639882_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A934KPH0_taxID_291193_model_A	Bacteria	0.0000	0.0000	0.8000	0.0000	0.0000	0.2000
A0A7Y6A0K8_taxID_144055_model	Bacteria	0.0345	0.0000	0.8966	0.0000	0.0000	0.0690
A0ABV9I266_taxID_2041041_model_A	Bacteria	0.0000	0.0345	0.6207	0.0690	0.0000	0.2759
A0ABN8LP07_taxID_104178_model	Metazoa	0.0000	0.9583	0.0000	0.0000	0.0000	0.0417
A0A074XND5_taxID_1043002_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A4P9WCJ5_taxID_388810_model	Metazoa	0.1250	0.4375	0.0625	0.0000	0.0000	0.3750
A0A9K3LNV3_taxID_303405_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A835SWT6_taxID_2026947_model	Unknown	0.0000	0.0000	0.0000	0.2727	0.0000	0.7273
A0A1G6RZ21_taxID_1419277_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0ABU4XE34_taxID_3072316_model	Bacteria	0.4000	0.0000	0.5000	0.0000	0.0000	0.1000
A0ABU8FF18_taxID_3127667_model	Bacteria	0.2000	0.0000	0.7000	0.0000	0.0000	0.1000
A0ABW7AQ69_taxID_3351344_model	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
D7F7N8_taxID_541221_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A8S3RHI5_taxID_6550_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A812WL81_taxID_1628268_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0AA42B8L4_taxID_1215918_model	Bacteria	0.0000	0.0000	0.7500	0.0000	0.0000	0.2500
A0A494XK40_taxID_2419778_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
B5RHR0_taxID_515355_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0ABD2I4S2_taxID_97005_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A397DXJ3_taxID_112090_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0ABN8N4G6_taxID_104759_model_A	Unknown	0.0000	0.2857	0.0000	0.0000	0.0000	0.7143
A0A918UUM2_taxID_346377_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A285BU58_taxID_44577_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
M5FY28_taxID_1858805_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A812JR76_taxID_1628268_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A8B8ESA4_taxID_6565_model_A	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0A166CKA0_taxID_1314776_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABY8UIN7_taxID_3088_model	Viridiplantae	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000
A0A7S0LHE4_taxID_221442_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A4P9X7U9_taxID_1555241_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Q2Y722_taxID_323848_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
W3VU69_taxID_84754_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
F6WL94_taxID_7719_model	Metazoa	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
A0AAE3YLB9_taxID_137266_model_A	Bacteria	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
A0A813K9V7_taxID_89957_model	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A0A418AND4_taxID_157072_model	Other_Eukaryota	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000
A0A507FDN0_taxID_246404_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0AAN4PFQ7_taxID_293939_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0A8H3D1S1_taxID_456999_model	Fungi	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A0ABP0KF76_taxID_1381693_model_A	Unknown	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
A9G933_taxID_448385_model_A	Bacteria	0.0000	0.0000	0.6667	0.0000	0.0000	0.3333
